temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
2.815877;5.4148445;5821.947;-4462.253;1359.6938;18013.654;0.0002109249;0.0070308303
2.8689275;6.749814;6014.4404;-3577.5874;2436.853;24731.23;0.0008487745;0.014146241
3.0323455;8.46399;6566.722;-2504.8086;4061.9138;32723.717;0.0019304503;0.021449449
3.4438052;10.034627;7688.7246;-1718.1257;5970.5986;38740.836;0.0035049731;0.02920811
4.142965;11.125246;9300.649;-1454.2571;7846.3926;41157.555;0.0056683007;0.037788674
5.001583;11.827769;11078.857;-1530.5984;9548.259;41143.418;0.0085486155;0.047492307
5.8549323;12.332545;12757.11;-1713.1812;11043.93;40264.473;0.012269223;0.05842487
6.623211;12.722078;14236.874;-1912.2405;12324.634;39164.53;0.016923493;0.07051455
7.288171;13.019097;15505.616;-2114.266;13391.351;37993.363;0.022572584;0.08360216
7.8516006;13.252131;16551.96;-2299.1917;14252.769;36927.387;0.029253181;0.097510606
8.299199;13.490508;17325.152;-2398.4;14926.753;36435.25;0.036976498;0.11205
8.599568;13.797724;17788.344;-2348.1104;15440.233;36924.414;0.045712918;0.12698032
8.756259;14.123007;18028.885;-2216.5432;15812.341;37953.11;0.05537654;0.14199114
8.846627;14.341898;18207.953;-2154.5264;16053.427;38548.574;0.06585313;0.15679316
8.931056;14.473791;18358.656;-2155.5918;16203.063;38747.69;0.077061705;0.17124824
8.989039;14.590079;18441.65;-2147.6826;16293.967;39001.82;0.08894397;0.18529995
9.009306;14.725378;18449.816;-2101.0435;16348.772;39505.07;0.10144329;0.19890842
8.998673;14.854732;18418.232;-2046.5936;16371.639;40057.92;0.114499986;0.21203701
8.979751;14.952233;18370.578;-2012.4937;16358.084;40479.348;0.12805697;0.22466135
8.950665;15.020979;18309.66;-1995.5774;16314.082;40780.062;0.14206472;0.23677453
8.921456;15.033201;18259.56;-2026.1985;16233.362;40769.45;0.15647946;0.2483801
8.900619;15.007313;18211.121;-2087.2188;16123.902;40560.82;0.17126884;0.25949824
8.87123;14.998867;18126.145;-2123.045;16003.1;40515.266;0.18640639;0.27015418
8.818863;15.0154295;18001.92;-2128.9204;15873.0;40676.676;0.20185752;0.2803577
8.7500305;15.065741;17833.012;-2096.4463;15736.565;41100.215;0.21758278;0.29011035
8.654699;15.153336;17617.79;-2021.3384;15596.451;41806.79;0.23353258;0.29940075
8.545841;15.233788;17412.24;-1954.52;15457.721;42458.715;0.24964693;0.30820608
8.458555;15.285992;17258.357;-1926.3492;15332.007;42865.25;0.2658854;0.31653026
8.395882;15.3473425;17141.488;-1899.8464;15241.641;43244.816;0.28223008;0.3244024
8.346324;15.42074;17056.822;-1872.1431;15184.679;43621.59;0.29866454;0.33184952
8.316932;15.475711;17009.65;-1869.1865;15140.463;43831.61;0.3151791;0.33890226
8.29906;15.552589;16956.959;-1844.5856;15112.374;44163.52;0.331784;0.34560835
8.268144;15.642041;16913.357;-1809.272;15104.085;44541.207;0.3484784;0.3519984
8.264738;15.643384;16962.795;-1870.4337;15092.361;44293.285;0.36525753;0.35809562
8.310521;15.606194;17065.842;-1978.711;15087.132;43746.477;0.3821775;0.3639786
8.356308;15.614342;17132.516;-2043.4221;15089.093;43498.668;0.39931187;0.3697332
8.369898;15.726493;17101.516;-2000.898;15100.617;43963.793;0.41670755;0.3754122
8.327701;15.924634;16990.611;-1869.4945;15121.117;45016.426;0.4343633;0.38102043
8.273081;16.073584;16910.879;-1787.5024;15123.377;45764.824;0.45223975;0.3865297
8.251063;16.168938;16870.328;-1759.3687;15110.96;46171.453;0.47032315;0.39193594
8.230408;16.272419;16799.836;-1716.4321;15083.404;46679.23;0.48859674;0.39723313
8.180952;16.443981;16645.49;-1594.4071;15051.084;47691.246;0.5070081;0.40238735
8.084481;16.698158;16400.068;-1378.4625;15021.605;49293.406;0.5254689;0.40734023
7.951668;16.98227;16143.893;-1129.4457;15014.447;51066.7;0.5438679;0.41202113
7.8560953;17.06766;16077.53;-1084.8474;14992.683;51489.76;0.56206936;0.41634768
7.886891;16.959084;16187.376;-1238.5942;14948.782;50612.543;0.5800324;0.42031333
7.9414806;16.907797;16239.759;-1326.0148;14913.743;50129.426;0.5978387;0.42399907
7.929927;16.972422;16180.909;-1287.0317;14893.878;50434.08;0.61555153;0.42746633
7.8917065;17.015402;16146.014;-1270.0315;14875.982;50586.46;0.6331924;0.43074313
7.900013;16.950842;16228.522;-1370.8435;14857.679;49981.844;0.6508164;0.4338776
7.9670396;16.832987;16367.487;-1530.3188;14837.168;49005.246;0.668522;0.4369425
8.025529;16.797625;16444.56;-1609.8728;14834.687;48551.63;0.6864154;0.44000986
8.04377;16.831635;16451.549;-1619.354;14832.195;48574.062;0.7045489;0.44311252
8.033085;16.927284;16401.057;-1566.9656;14834.09;49010.09;0.7229034;0.44623664
7.9990478;17.032501;16330.774;-1504.2754;14826.499;49533.184;0.7414097;0.44933924
7.967645;17.12116;16258.607;-1455.6396;14802.968;49981.72;0.7599817;0.45237008
7.928755;17.209974;16168.503;-1403.3186;14765.185;50468.17;0.7785254;0.45527804
7.880078;17.311995;16048.171;-1331.5154;14716.655;51079.855;0.79696643;0.45802668
7.813358;17.42366;15918.617;-1247.1594;14671.458;51757.746;0.81526816;0.4606035
7.760763;17.453323;15867.754;-1246.2947;14621.46;51886.992;0.83340657;0.46300364
7.7624054;17.38466;15917.225;-1349.8665;14567.358;51345.79;0.85140914;0.46525088
7.7980785;17.33302;15967.603;-1440.8948;14526.708;50883.6;0.86939156;0.46741483
7.804577;17.388056;15939.645;-1426.341;14513.304;51086.83;0.8874691;0.46956038
7.77904;17.444431;15913.509;-1410.5498;14502.959;51293.727;0.9056786;0.47170758
7.784512;17.424782;15947.39;-1469.2736;14478.116;51019.816;0.9240186;0.4738557
7.804809;17.414272;15977.66;-1518.2859;14459.374;50796.625;0.94249624;0.4760082
7.8110366;17.440508;15973.853;-1529.978;14443.875;50816.152;0.9611308;0.4781745
7.8004813;17.514372;15925.148;-1493.1163;14432.032;51151.797;0.9799514;0.48036835
7.7662396;17.62576;15837.716;-1417.1716;14420.544;51743.664;0.99897295;0.48259562
7.720357;17.739933;15740.885;-1337.3453;14403.54;52369.152;1.018174;0.48484477
7.6767626;17.83225;15664.837;-1279.7537;14385.083;52851.625;1.0375183;0.4870978
7.65092;17.884047;15623.068;-1263.2162;14359.853;53075.953;1.0569752;0.48934036
7.637581;17.913748;15611.728;-1272.2175;14339.51;53136.316;1.0765079;0.49155614
7.6422276;17.910051;15623.88;-1313.6217;14310.258;52993.246;1.0960633;0.49372217
7.639503;17.980392;15576.843;-1282.4797;14294.363;53316.582;1.1156086;0.49582604
7.5955243;18.108044;15478.265;-1193.7504;14284.515;54013.1;1.1350896;0.49784634
7.5508327;18.183546;15419.629;-1155.7228;14263.906;54387.35;1.1544205;0.49974915
7.539819;18.199934;15411.047;-1176.6528;14234.395;54386.027;1.1735429;0.501514
7.539281;18.216177;15403.621;-1198.0059;14205.615;54382.156;1.1924636;0.5031492
7.531983;18.251472;15371.442;-1198.2612;14173.181;54517.25;1.2112118;0.5046716
7.5051227;18.341114;15292.518;-1143.6023;14148.915;55000.145;1.2298065;0.5060932
7.457637;18.452517;15205.227;-1067.7317;14137.495;55602.746;1.2482673;0.5074257
7.4252725;18.503525;15181.103;-1053.4198;14127.683;55799.676;1.2666264;0.5086853
7.4322753;18.504873;15202.184;-1087.0558;14115.128;55676.168;1.2849317;0.50989354
7.4394155;18.535532;15194.004;-1087.6973;14106.307;55747.58;1.3032211;0.5110671
7.4249673;18.580715;15151.394;-1065.3187;14086.075;55955.93;1.3214879;0.51220465
7.399474;18.632383;15087.814;-1029.4575;14058.357;56237.188;1.3397173;0.5133017
7.3663864;18.670954;15034.179;-1003.30646;14030.873;56438.863;1.3579055;0.51435816
7.3531475;18.63104;15052.063;-1053.2539;13998.81;56134.992;1.3760256;0.51536536
7.3857913;18.474966;15170.933;-1216.6838;13954.248;55091.51;1.3940464;0.5163135
7.4599776;18.289486;15312.541;-1408.0833;13904.458;53864.473;1.4119967;0.51721495
7.5126147;18.19488;15375.401;-1509.9055;13865.496;53211.73;1.4299432;0.5180954
7.522741;18.16092;15387.764;-1553.4961;13834.268;52938.375;1.4479216;0.51896834
7.534168;18.069931;15443.794;-1656.577;13787.217;52314.844;1.4659108;0.51982653
7.5719094;18.00428;15482.708;-1740.9706;13741.737;51841.043;1.4838995;0.5206665
7.563198;18.096773;15401.342;-1678.6487;13722.692;52333.65;1.5019019;0.5214937
7.499149;18.26927;15260.348;-1544.1912;13716.156;53314.094;1.5199286;0.5223122
7.4357076;18.414179;15140.901;-1438.9857;13701.916;54127.598;1.537984;0.52312386
7.383374;18.550858;15024.167;-1340.7917;13683.375;54900.29;1.5560304;0.52391595
7.321469;18.704844;14880.919;-1222.5935;13658.325;55807.418;1.5740303;0.52467674
7.2445617;18.876324;14717.948;-1085.0822;13632.866;56836.516;1.5919759;0.5254046
7.166397;19.020672;14571.908;-969.60315;13602.305;57710.797;1.6098479;0.5260941
7.103856;19.120987;14460.575;-892.4901;13568.085;58317.32;1.6275781;0.5267243
7.058054;19.169117;14387.623;-859.25195;13528.371;58611.043;1.6450738;0.5272672
7.0315843;19.156933;14363.082;-877.1531;13485.93;58534.168;1.6622665;0.52770364
7.0339084;19.062336;14408.569;-970.2771;13438.292;57942.06;1.6791401;0.52803147
7.073733;18.88459;14530.345;-1143.1323;13387.212;56817.734;1.6957117;0.5282591
7.14702;18.666092;14694.042;-1360.0708;13333.971;55421.582;1.7120292;0.52840406
7.225774;18.491632;14825.175;-1540.6492;13284.525;54287.168;1.7282014;0.5285019
7.266365;18.480843;14826.221;-1570.7979;13255.423;54152.656;1.7443832;0.528601
7.2277193;18.630163;14701.705;-1453.9221;13247.783;54994.61;1.7606959;0.52873755
7.156269;18.795404;14573.603;-1327.494;13246.108;55918.195;1.7772076;0.52893084
7.1090264;18.89724;14509.935;-1267.3347;13242.6;56428.934;1.7939616;0.52919227
