radius;rdf
0.01;2.307896
0.02;0.6271223
0.03;0.6577753
0.04;0.5706787
0.05;0.6060659
0.06;0.56303084
0.07;0.6921319
0.08;0.7055064
0.09;0.6614768
0.1;0.6040072
0.11;0.58624506
0.12;0.55740726
0.13;0.5450175
0.14;0.5339245
0.15;0.5774786
0.16;0.5847565
0.17;0.5905487
0.18;0.5914808
0.19;0.61868405
0.2;0.6092761
0.21;0.6172474
0.22;0.5997263
0.23;0.59366614
0.24;0.59817487
0.25;0.6061778
0.26;0.601703
0.27;0.595251
0.28;0.5999505
0.29;0.59687316
0.3;0.60411775
0.31;0.596262
0.32;0.59729934
0.33;0.59795123
0.34;0.5941942
0.35000000000000003;0.5952032
0.36;0.58566964
0.37;0.6129231
0.38;0.607148
0.39;0.5996282
0.4;0.6242679
0.41000000000000003;0.6098285
0.42;0.6108798
0.43;0.60482967
0.44;0.6169355
0.45;0.6122183
0.46;0.6129588
0.47000000000000003;0.60814124
0.48;0.60736454
0.49;0.6000812
0.5;0.6135644
0.51;0.6146199
0.52;0.60679126
0.53;0.59950507
0.54;0.6031078
0.55;0.6048616
0.56;0.6086964
0.5700000000000001;0.61272395
0.58;0.6046941
0.59;0.61005324
0.6;0.6132421
0.61;0.6218823
0.62;0.6244304
0.63;0.6208666
0.64;0.62973815
0.65;0.6272292
0.66;0.61990833
0.67;0.6190845
0.68;0.6178496
0.6900000000000001;0.62624615
0.7000000000000001;0.61998785
0.71;0.6163808
0.72;0.62101614
0.73;0.6160196
0.74;0.6228971
0.75;0.62400395
0.76;0.6170165
0.77;0.61928594
0.78;0.61106074
0.79;0.609804
0.8;0.6075581
0.81;0.6050849
0.8200000000000001;0.60461986
0.8300000000000001;0.6035232
0.84;0.6027457
0.85;0.60853463
0.86;0.6052225
0.87;0.60997325
0.88;0.611672
0.89;0.6386256
0.9;0.6495238
0.91;0.67329955
0.92;0.6993903
0.93;0.71499914
0.9400000000000001;0.72831386
0.9500000000000001;0.7466458
0.96;0.7540349
0.97;0.75922465
0.98;0.75922936
0.99;0.76314193
1.0;0.7504259
1.01;0.7479263
1.02;0.75129753
1.03;0.7406462
1.04;0.7352554
1.05;0.73421323
1.06;0.7211576
1.07;0.7102385
1.08;0.7035823
1.09;0.69010746
1.1;0.6877016
1.11;0.67890775
1.12;0.671069
1.1300000000000001;0.66966337
1.1400000000000001;0.66488284
1.1500000000000001;0.6563977
1.16;0.6526459
1.17;0.648236
1.18;0.6476285
1.19;0.641954
1.2;0.6391658
1.21;0.62925
1.22;0.6306976
1.23;0.6263472
1.24;0.6277117
1.25;0.62673813
1.26;0.62476754
1.27;0.62431073
1.28;0.6192359
1.29;0.6197919
1.3;0.6197918
1.31;0.61821705
1.32;0.61864007
1.33;0.61646175
1.34;0.6160122
1.35;0.6128217
1.36;0.6182026
1.37;0.6135511
1.3800000000000001;0.615824
1.3900000000000001;0.6156066
1.4000000000000001;0.6129348
1.41;0.61196727
1.42;0.61267734
1.43;0.6193053
1.44;0.6153703
1.45;0.61570233
1.46;0.61898917
1.47;0.6220079
1.48;0.620667
1.49;0.627148
1.5;0.62688977
1.51;0.62683386
1.52;0.62983936
1.53;0.6293603
1.54;0.6304443
1.55;0.6299421
1.56;0.6289526
1.57;0.63141197
1.58;0.63003564
1.59;0.62658733
1.6;0.6283511
1.61;0.6360564
1.62;0.63493043
1.6300000000000001;0.6330888
1.6400000000000001;0.63662815
1.6500000000000001;0.6378715
1.6600000000000001;0.6388611
1.67;0.64072746
1.68;0.64268863
1.69;0.644652
1.7;0.6466943
