time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;8.399215;0.013998691
0.01;0.00021175793;0.003529299;8.260092;0.02776551
0.015;0.0008399117;0.009332352;7.855002;0.04085718
0.02;0.0018637512;0.0155312605;7.2178183;0.052886877
0.025;0.0032507654;0.021671768;6.3982663;0.06355066
0.03;0.004959217;0.027551206;5.454407;0.072641335
0.035;0.0069411425;0.03305306;4.4455895;0.08005065
0.04;0.009145406;0.03810586;3.427038;0.08576238
0.045;0.011520482;0.04266845;2.446258;0.08983947
0.05;0.014016828;0.04672276;1.5411128;0.092407994
0.055;0.016588831;0.050269186;0.7391399;0.093639895
0.06;0.019196173;0.053322703;0.057836466;0.09373629
0.065;0.021804726;0.055909555;-0.49448833;0.092912145
0.07;0.024386797;0.058063805;-0.91745454;0.091383055
0.075;0.02692137;0.05982526;-1.2171587;0.089354455
0.08;0.029393692;0.06123686;-1.4046649;0.08701335
0.085;0.031794474;0.062342104;-1.4945195;0.08452248
0.09;0.034119524;0.0631843;-1.5033693;0.08201686
0.095;0.03636863;0.06380462;-1.4487389;0.0796023
0.1;0.038544714;0.06424119;-1.3479617;0.0773557
0.105;0.0406531;0.06452873;-1.2173102;0.075326845
0.11;0.042700455;0.06469766;-1.0713427;0.073541276
0.115;0.044694275;0.06477431;-0.92243445;0.072003886
0.12;0.046642076;0.06478066;-0.7805081;0.07070304
0.125;0.048551023;0.0647347;-0.65293556;0.06961481
0.13;0.05042755;0.06465071;-0.5446091;0.06870713
0.135;0.052277047;0.06453956;-0.45812875;0.06794358
0.14;0.054103915;0.06440943;-0.39410192;0.067286745
0.145;0.055911265;0.064265825;-0.35150445;0.066700906
0.15;0.05770122;0.06411246;-0.32806864;0.06615412
0.155;0.059474863;0.06395146;-0.32068303;0.065619655
0.16;0.061232466;0.063783824;-0.3257536;0.06507673
0.165;0.062973715;0.06360981;-0.33953062;0.064510845
0.17;0.0646979;0.06342931;-0.35837656;0.063913554
0.175;0.06640391;0.063241825;-0.37897953;0.06328192
0.18;0.06809071;0.06304695;-0.39849886;0.06261776
0.185;0.06975725;0.06284437;-0.41466168;0.06192665
0.19;0.07140275;0.06263399;-0.42580396;0.06121698
0.195;0.07302658;0.062415887;-0.43087417;0.060498856
0.2;0.074628614;0.062190514;-0.42939466;0.059783198
0.205;0.07620882;0.06195839;-0.42139477;0.059080873
0.21;0.07776752;0.061720256;-0.40731892;0.05840201
0.215;0.079305455;0.061477095;-0.38792634;0.057755463
0.22;0.08082376;0.06123012;-0.36419776;0.057148468
0.225;0.08232354;0.060980402;-0.33724302;0.056586396
0.23;0.08380612;0.06072907;-0.30822602;0.056072686
0.235;0.085273035;0.06047733;-0.27828857;0.055608872
0.24;0.08672574;0.06022621;-0.24848703;0.055194728
0.245;0.0881659;0.059976805;-0.21973865;0.054828495
0.25;0.0895946;0.059729736;-0.19279113;0.054507177
0.255;0.091013625;0.05948603;-0.16820808;0.05422683
0.26;0.09242388;0.059246078;-0.1463659;0.053982887
0.265;0.09382661;0.05901045;-0.12745829;0.053770456
0.27;0.09522274;0.05877947;-0.11151362;0.0535846
0.275;0.09661328;0.058553502;-0.0984185;0.05342057
0.28;0.097998664;0.058332536;-0.087950796;0.053273987
0.285;0.09937969;0.05811678;-0.07980733;0.05314097
0.29;0.10075676;0.057906184;-0.07362457;0.053018264
