time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;8.295179;0.013825299
0.01;0.00020915901;0.0034859837;8.156283;0.027419105
0.015;0.00082953507;0.009217056;7.751606;0.04033845
0.02;0.0018404591;0.015337159;7.114979;0.052196745
0.025;0.0032094656;0.021396438;6.296072;0.0626902
0.03;0.0048948727;0.027193736;5.3529325;0.071611755
0.035;0.0068487674;0.032613177;4.344921;0.07885329
0.04;0.009020047;0.037583534;3.327331;0.08439884
0.045;0.011357194;0.04206368;2.3477635;0.08831178
0.05;0.013810723;0.046035744;1.4441731;0.09071873
0.055;0.016335087;0.049500264;0.6441891;0.09179238
0.06;0.018889977;0.05247216;-0.034626376;0.09173467
0.065;0.021441426;0.05497802;-0.5839013;0.090761505
0.07;0.023961836;0.05705199;-1.0031974;0.089089505
0.075;0.026430303;0.058734003;-1.2985659;0.08692523
0.08;0.028832262;0.060067218;-1.4810424;0.08445683
0.085;0.031158688;0.06109547;-1.5651917;0.081848174
0.09;0.033405647;0.06186231;-1.5677487;0.07923526
0.095;0.035573184;0.0624091;-1.5063972;0.0767246
0.1;0.037664715;0.062774524;-1.3986977;0.07439344
0.105;0.039685823;0.06299337;-1.2612144;0.07229141
0.11;0.041643545;0.06309628;-1.1087997;0.070443414
0.115;0.04354576;0.0631098;-0.9540968;0.06885325
0.12;0.045400362;0.06305606;-0.8072332;0.06750786
0.125;0.047214683;0.06295291;-0.6757073;0.066381685
0.13;0.048995387;0.0628146;-0.56444883;0.06544094
0.135;0.050748046;0.06265191;-0.47600558;0.06464759
0.14;0.052477088;0.062472727;-0.4108478;0.06396285
0.145;0.05418561;0.062282316;-0.367733;0.063349955
0.15;0.05587576;0.062084176;-0.3441106;0.06277644
0.155;0.057548814;0.061880443;-0.33653328;0.06221555
0.16;0.059204802;0.06167167;-0.34105664;0.061647125
0.165;0.060843654;0.061458234;-0.3535937;0.061057802
0.17;0.062464554;0.061239757;-0.37022582;0.060440756
0.175;0.06406666;0.06101587;-0.3874399;0.059795026
0.18;0.06564916;0.06078626;-0.4023076;0.05912451
0.185;0.06721128;0.0605507;-0.41259524;0.058436852
0.19;0.06875251;0.06030922;-0.41680923;0.05774217
0.195;0.07027274;0.060062174;-0.41418925;0.057051856
0.2;0.07177219;0.059810154;-0.40464836;0.05637744
0.205;0.07325135;0.059553944;-0.3886795;0.055729643
0.21;0.07471099;0.059294436;-0.36722702;0.055117596
0.215;0.07615234;0.05903282;-0.34154373;0.054548357
0.22;0.07757652;0.05877009;-0.3130482;0.05402661
0.225;0.078985035;0.058507435;-0.28318125;0.053554643
0.23;0.08037938;0.05824593;-0.25328037;0.053132508
0.235;0.081761025;0.057986543;-0.22448221;0.05275837
0.24;0.08313149;0.057730205;-0.19766556;0.052428927
0.245;0.08449193;0.057477504;-0.17342989;0.05213988
0.25;0.08584374;0.05722916;-0.15210557;0.05188637
0.255;0.08718791;0.05698556;-0.13378917;0.051663388
0.26;0.088525385;0.056747045;-0.118390076;0.05146607
0.265;0.08985701;0.05651385;-0.10568247;0.051289935
0.27;0.09118331;0.056285992;-0.09535604;0.051131006
0.275;0.09250489;0.05606357;-0.087063074;0.050985903
0.28;0.09382202;0.055846438;-0.08045902;0.050851803
0.285;0.09513529;0.05563467;-0.07522754;0.050726425
0.29;0.096444964;0.05542814;-0.07109662;0.05060793
0.295;0.09775102;0.055226564;-0.06784232;0.050494857
0.3;0.09905389;0.055029936;-0.06528794;0.050386045
0.305;0.10035356;0.054838013;-0.06330055;0.050280545
0.31;0.10165018;0.054650635;-0.061787624;0.050177567
0.315;0.10294369;0.05446756;-0.060691923;0.050076414
0.32;0.10423418;0.05428864;-0.059982065;0.049976442
0.325;0.105521694;0.05411369;-0.059636466;0.049877048
0.33;0.10680609;0.053942468;-0.0596235;0.049777675
0.335;0.108087495;0.05377487;-0.059884816;0.049677867
0.34;0.10936578;0.05361068;-0.060325354;0.049577326
0.345;0.11064119;0.05344985;-0.060811903;0.04947597
0.35;0.11191337;0.053292084;-0.061182242;0.049374003
0.355;0.11318237;0.053137265;-0.061264776;0.049271893
0.36;0.1144485;0.05298542;-0.060904093;0.049170386
0.365;0.11571113;0.05283613;-0.05998755;0.049070407
0.37;0.11697094;0.052689616;-0.058468454;0.04897296
0.375;0.11822745;0.052545533;-0.056379426;0.048878994
0.38;0.119481124;0.052404;-0.05383231;0.048789274
0.385;0.12073205;0.05226496;-0.0510011;0.04870427
0.39;0.121980116;0.052128255;-0.048093308;0.048624117
0.395;0.123225644;0.05199394;-0.0453159;0.04854859
0.4;0.124468595;0.051861912;-0.042844623;0.048477184
0.405;0.12570913;0.051732153;-0.04080483;0.048409175
0.41;0.12694737;0.051604625;-0.03926533;0.048343733
0.415;0.12818326;0.05147922;-0.038240097;0.048279997
0.42;0.1294169;0.051355913;-0.037690353;0.04821718
0.425;0.1306484;0.051234666;-0.037526887;0.048154637
0.43;0.13187775;0.051115405;-0.037616875;0.04809194
0.435;0.13310505;0.050998107;-0.037798185;0.048028946
0.44;0.13432984;0.05088252;-0.03789984;0.04796578
0.445;0.13555284;0.050768856;-0.03776773;0.047902834
0.45;0.13677378;0.05065696;-0.037286848;0.04784069
0.455;0.13799231;0.05054663;-0.036393806;0.04778003
0.46;0.13920917;0.050438102;-0.035075195;0.047721572
0.465;0.14042415;0.050331235;-0.033356123;0.04766598
0.47;0.14163722;0.050225966;-0.03128098;0.047613844
0.475;0.14284877;0.050122377;-0.028895538;0.047565684
0.48;0.14405872;0.05002039;-0.026234718;0.04752196
0.485;0.14526723;0.04992001;-0.02331877;0.047483094
0.49;0.14647447;0.049821246;-0.020156374;0.047449503
0.495;0.14768082;0.04972418;-0.016753575;0.04742158
0.5;0.14888586;0.04962862;-0.013129102;0.047399696
0.505;0.15009026;0.049534738;-0.009331586;0.047384143
0.51;0.1512938;0.049442418;-0.0054495255;0.04737506
0.515;0.152497;0.049351778;-0.0016076313;0.047372382
0.52;0.15369986;0.049262777;0.002049193;0.0473758
0.525;0.15490277;0.049175482;0.005376487;0.047384758
0.53;0.1561056;0.04908981;0.008248814;0.047398508
0.535;0.15730874;0.049005836;0.0105749015;0.047416132
0.54;0.15851212;0.04892349;0.012308735;0.047436647
0.545;0.15971602;0.04884282;0.01345518;0.04745907
0.55;0.16092032;0.048763733;0.014068052;0.047482517
0.555;0.16212544;0.048686318;0.014240935;0.047506254
0.56;0.16333115;0.04861046;0.014091331;0.04752974
0.565;0.16453747;0.04853613;0.013742384;0.04755264
0.57;0.16574433;0.048463255;0.013303585;0.047574814
0.575;0.16695186;0.048391845;0.012854673;0.04759624
0.58;0.16815984;0.048321795;0.01243473;0.047616962
0.585;0.16936846;0.048253123;0.012038605;0.047637027
0.59;0.17057723;0.04818566;0.01162147;0.0476564
0.595;0.1717862;0.04811938;0.011107753;0.04767491
0.6;0.17299543;0.048054285;0.010402165;0.047692247
0.605;0.17420474;0.047990285;0.009403099;0.04770792
0.61;0.17541406;0.047927335;0.008016537;0.04772128
0.615;0.17662302;0.047865316;0.0061673373;0.04773156
0.62;0.17783199;0.047804296;0.0038081764;0.047737908
0.625;0.17904007;0.04774402;0.0009285824;0.047739454
0.63;0.18024787;0.047684625;-0.002435518;0.047735393
0.635;0.1814547;0.047625907;-0.0061937454;0.04772507
0.64;0.18266065;0.04756788;-0.010198942;0.04770807
0.645;0.18386506;0.047510352;-0.014254247;0.047684316
0.65;0.18506794;0.04745332;-0.018130204;0.0476541
0.655;0.18626936;0.047396787;-0.021589529;0.047618117
0.66;0.18746886;0.047340617;-0.024414072;0.047577426
0.665;0.18866639;0.047284804;-0.026428625;0.047533378
0.67;0.189862;0.047229353;-0.027520122;0.047487512
0.675;0.19105537;0.047174167;-0.027646773;0.047441434
0.68;0.19224688;0.047119334;-0.02683851;0.047396705
0.685;0.19343594;0.047064703;-0.025191301;0.047354717
0.69;0.19462372;0.04701056;-0.022856142;0.047316626
0.695;0.1958094;0.04695669;-0.02002291;0.04728325
0.7;0.19699372;0.046903268;-0.016903441;0.04725508
0.705;0.198177;0.046850357;-0.013713187;0.047232226
0.71;0.19935904;0.0467979;-0.010651681;0.04721447
0.715;0.20054041;0.04674602;-0.00788561;0.047201328
0.72;0.20172094;0.04669466;-0.0055377814;0.0471921
0.725;0.20290118;0.046643946;-0.003684195;0.04718596
0.73;0.2040807;0.046593767;-0.0023558126;0.047182035
0.735;0.2052603;0.046544287;-0.0015415014;0.047179464
0.74;0.20643948;0.046495378;-0.0011928757;0.047177475
0.745;0.2076186;0.046447113;-0.0012337273;0.04717542
0.75;0.20879732;0.046399403;-0.0015728659;0.0471728
0.755;0.20997553;0.046352215;-0.0021176634;0.047169268
0.76;0.21115357;0.046305608;-0.0027858065;0.047164626
