time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;8.440321;0.014067202
0.01;0.00021279718;0.0035466198;8.300897;0.02790203
0.015;0.00084405957;0.00937844;7.8945518;0.041059617
0.02;0.0018730263;0.015608552;7.2553754;0.05315191
0.025;0.0032671003;0.021780668;6.4333153;0.0638741
0.03;0.0049844375;0.02769132;5.4866347;0.07301849
0.035;0.0069769532;0.033223584;4.4747787;0.080476455
0.04;0.009193372;0.03830572;3.4529746;0.08623141
0.045;0.011582017;0.042896356;2.468647;0.09034582
0.05;0.014093177;0.046977255;1.559539;0.092945054
0.055;0.016681034;0.050548587;0.75309855;0.09420022
0.06;0.019305076;0.053625215;0.06678198;0.09431152
0.065;0.0219308;0.056232825;-0.4910578;0.0934931
0.07;0.024530284;0.05840544;-0.919912;0.09195991
0.075;0.02708217;0.060182597;-1.2256833;0.0899171
0.08;0.029571213;0.061606694;-1.4191946;0.08755178
0.085;0.031987872;0.06272131;-1.514752;0.08502719
0.09;0.034327574;0.063569576;-1.5287882;0.08247921
0.095;0.03658988;0.06419277;-1.4786667;0.080014765
0.1;0.038777422;0.06462903;-1.3816468;0.07771202
0.105;0.040895276;0.06491314;-1.2540046;0.075622015
0.11;0.04295007;0.06507587;-1.1103628;0.07377141
0.115;0.044949196;0.065143764;-0.9632031;0.07216607
0.12;0.046900198;0.06513916;-0.8225562;0.07079514
0.125;0.04881022;0.06508029;-0.6958905;0.069635324
0.13;0.050685637;0.06498159;-0.58814514;0.06865508
0.135;0.052531943;0.06485424;-0.50191694;0.06781856
0.14;0.054353423;0.06470646;-0.4377471;0.06708898
0.145;0.05615323;0.06454395;-0.39448696;0.0664315
0.15;0.057933547;0.0643706;-0.36970747;0.06581532
0.155;0.059695534;0.06418875;-0.36011687;0.065215126
0.16;0.061439782;0.06399977;-0.3619628;0.06461185
0.165;0.06316606;0.0638041;-0.37138906;0.06399287
0.17;0.06487392;0.06360188;-0.3847373;0.063351646
0.175;0.06656259;0.063392945;-0.39878467;0.062687
0.18;0.06823153;0.06317734;-0.41090158;0.062002167
0.185;0.06987991;0.06295487;-0.41914046;0.0613036
0.19;0.07150736;0.06272575;-0.42223746;0.06059987
0.195;0.07311371;0.06249035;-0.41957074;0.059900586
0.2;0.07469911;0.062249262;-0.4110687;0.05921547
0.205;0.07626378;0.062003072;-0.3971076;0.058553625
0.21;0.0778084;0.061752703;-0.3783922;0.05792297
0.215;0.07933396;0.061499193;-0.35584775;0.057329893
0.22;0.08084149;0.061243553;-0.33051512;0.056779034
0.225;0.08233217;0.060986795;-0.30346105;0.056273267
0.23;0.08380765;0.060730178;-0.27570486;0.055813756
0.235;0.08526898;0.060474455;-0.24816716;0.055400144
0.24;0.0867178;0.060220696;-0.22163251;0.055030756
0.245;0.08815539;0.05996965;-0.19673355;0.054702867
0.25;0.08958297;0.05972198;-0.17394294;0.054412965
0.255;0.09100204;0.059478458;-0.15357581;0.054157004
0.26;0.09241337;0.059239343;-0.13579956;0.05393067
0.265;0.09381823;0.05900518;-0.120645;0.053729597
0.27;0.09521728;0.058776096;-0.10802825;0.05354955
0.275;0.096611194;0.058552235;-0.09777569;0.05338659
0.28;0.0980006;0.058333687;-0.089651026;0.05323717
0.285;0.099385776;0.05812034;-0.08337801;0.05309821
0.29;0.10076719;0.057912175;-0.07865943;0.05296711
0.295;0.1021448;0.05770893;-0.07519353;0.052841786
0.3;0.10351905;0.05751058;-0.07268687;0.05272064
0.305;0.104889765;0.05731681;-0.07086546;0.052602533
0.31;0.10625713;0.057127487;-0.06948407;0.052486725
0.315;0.10762134;0.05694251;-0.068337716;0.052372828
0.32;0.10898229;0.056761608;-0.06727207;0.052260708
0.325;0.110340185;0.056584716;-0.06619049;0.05215039
0.33;0.111694895;0.05641156;-0.06505493;0.052041966
0.335;0.11304653;0.056242052;-0.0638819;0.051935498
0.34;0.114395216;0.056076087;-0.06272927;0.051830947
0.345;0.11574101;0.05591353;-0.061674796;0.051728155
0.35;0.1170838;0.055754192;-0.060791098;0.05162684
0.355;0.11842354;0.05559791;-0.060125425;0.05152663
0.36;0.11976041;0.05544463;-0.059687573;0.05142715
0.365;0.12109414;0.055294126;-0.059449088;0.051328067
0.37;0.12242473;0.055146273;-0.05935069;0.05122915
0.375;0.12375217;0.055000965;-0.059316307;0.05113029
0.38;0.1250764;0.054858074;-0.059270307;0.051031508
0.385;0.12639722;0.054717414;-0.059153277;0.050932918
0.39;0.12771475;0.054578956;-0.058930725;0.0508347
0.395;0.1290289;0.054442573;-0.05859704;0.05073704
0.4;0.13033961;0.054308172;-0.058174107;0.05064008
0.405;0.1316471;0.05417576;-0.057703104;0.050543908
0.41;0.13295114;0.05404518;-0.057230268;0.050448526
0.415;0.13425237;0.05391662;-0.05678898;0.050353877
0.42;0.13555013;0.053789735;-0.056388896;0.050259896
0.425;0.13684496;0.053664688;-0.056009233;0.050166547
0.43;0.13813676;0.053541377;-0.05559885;0.05007388
0.435;0.13942572;0.053419817;-0.055080958;0.049982082
0.44;0.14071186;0.05329995;-0.05436219;0.049891476
0.445;0.14199516;0.053181708;-0.053346798;0.049802564
0.45;0.14327563;0.05306505;-0.05195113;0.04971598
0.455;0.14455348;0.052949995;-0.050116375;0.049632452
0.46;0.14582871;0.05283649;-0.04781598;0.04955276
0.465;0.14710125;0.052724462;-0.0450547;0.049477667
0.47;0.1483716;0.052614048;-0.041864313;0.049407896
0.475;0.14963964;0.052505136;-0.03829956;0.049344063
0.48;0.15090577;0.05239784;-0.03444107;0.04928666
0.485;0.15217032;0.0522922;-0.030400313;0.049235992
0.49;0.15343328;0.052188188;-0.026319342;0.049192127
0.495;0.15469505;0.052085876;-0.02236058;0.04915486
0.5;0.15595601;0.05198534;-0.018688353;0.049123712
0.505;0.15721567;0.05188636;-0.015445223;0.04909797
0.51;0.15847486;0.051789172;-0.012730397;0.049076755
0.515;0.15973374;0.051693767;-0.01058417;0.04905911
0.52;0.16099179;0.05159993;-0.008982253;0.049044143
0.525;0.1622498;0.05150788;-0.00784033;0.049031075
0.53;0.16350727;0.051417384;-0.0070264707;0.049019363
0.535;0.16476433;0.05132845;-0.0063786455;0.049008735
0.54;0.16602102;0.05124105;-0.0057249875;0.04899919
0.545;0.16727743;0.051155176;-0.004905954;0.048991013
0.55;0.16853361;0.05107079;-0.0037958187;0.048984688
0.555;0.16978948;0.05098783;-0.0023197795;0.04898082
0.56;0.17104536;0.050906356;-0.00046316508;0.04898005
