radius;rdf
0.01;1.507051
0.02;0.77868116
0.03;0.5916722
0.04;0.55894697
0.05;0.47024804
0.06;0.5247429
0.07;0.49217656
0.08;0.5573604
0.09;0.57064915
0.1;0.5255436
0.11;0.51819927
0.12;0.49964395
0.13;0.5476192
0.14;0.5808841
0.15;0.5917457
0.16;0.5746492
0.17;0.57788515
0.18;0.58306795
0.19;0.57201517
0.2;0.56020457
0.21;0.5641773
0.22;0.56285244
0.23;0.5483974
0.24;0.5678514
0.25;0.5844213
0.26;0.5633725
0.27;0.57617813
0.28;0.5712616
0.29;0.56109625
0.3;0.5609325
0.31;0.55785567
0.32;0.56582505
0.33;0.59340835
0.34;0.5947374
0.35000000000000003;0.58740824
0.36;0.60446376
0.37;0.59278584
0.38;0.5882334
0.39;0.5990864
0.4;0.58521086
0.41000000000000003;0.6026185
0.42;0.6086125
0.43;0.60335237
0.44;0.6234165
0.45;0.6181505
0.46;0.61379045
0.47000000000000003;0.6119691
0.48;0.6146053
0.49;0.6057601
0.5;0.60738
0.51;0.6218124
0.52;0.6212036
0.53;0.6220966
0.54;0.6127465
0.55;0.5996338
0.56;0.5997459
0.5700000000000001;0.6084216
0.58;0.6136711
0.59;0.62000364
0.6;0.6147506
0.61;0.62289834
0.62;0.607986
0.63;0.61585253
0.64;0.6159697
0.65;0.6176373
0.66;0.6154433
0.67;0.62395954
0.68;0.6220396
0.6900000000000001;0.62967956
0.7000000000000001;0.6203313
0.71;0.6228313
0.72;0.6209463
0.73;0.6211899
0.74;0.6184049
0.75;0.6210871
0.76;0.6271347
0.77;0.62168014
0.78;0.61829215
0.79;0.6158791
0.8;0.61177295
0.81;0.61550856
0.8200000000000001;0.6152481
0.8300000000000001;0.6165112
0.84;0.6142532
0.85;0.61127734
0.86;0.61062044
0.87;0.6198176
0.88;0.631203
0.89;0.64758366
0.9;0.6544847
0.91;0.6728225
0.92;0.6977612
0.93;0.7136586
0.9400000000000001;0.7207332
0.9500000000000001;0.73428637
0.96;0.745369
0.97;0.7530507
0.98;0.75343317
0.99;0.7483366
1.0;0.7429218
1.01;0.7382919
1.02;0.73796964
1.03;0.7278881
1.04;0.71978223
1.05;0.7155807
1.06;0.7024457
1.07;0.6956078
1.08;0.6862663
1.09;0.68234336
1.1;0.681437
1.11;0.6738288
1.12;0.6705491
1.1300000000000001;0.6678884
1.1400000000000001;0.6576993
1.1500000000000001;0.65544266
1.16;0.6538287
1.17;0.6502832
1.18;0.6418423
1.19;0.6415411
1.2;0.64258796
1.21;0.6476858
1.22;0.63969815
1.23;0.6398729
1.24;0.6388022
1.25;0.6380952
1.26;0.6326516
1.27;0.6322046
1.28;0.6341775
1.29;0.6284471
1.3;0.6326602
1.31;0.63089633
1.32;0.6281009
1.33;0.6247201
1.34;0.6249482
1.35;0.6217017
1.36;0.6217078
1.37;0.6222327
1.3800000000000001;0.62466246
1.3900000000000001;0.62173074
1.4000000000000001;0.62341166
1.41;0.6211545
1.42;0.6233894
1.43;0.6249414
1.44;0.6188365
1.45;0.6229582
1.46;0.6231218
1.47;0.6234335
1.48;0.6211387
1.49;0.6203871
1.5;0.62078136
1.51;0.6187473
1.52;0.6214579
1.53;0.6218986
1.54;0.6213101
1.55;0.626762
1.56;0.6217716
1.57;0.6257672
1.58;0.6240095
1.59;0.628283
1.6;0.62646484
1.61;0.6261544
1.62;0.6274341
1.6300000000000001;0.62848294
1.6400000000000001;0.6341202
1.6500000000000001;0.63542634
1.6600000000000001;0.635583
1.67;0.6341218
1.68;0.6352991
1.69;0.63568443
1.7;0.6373923
1.71;0.6382436
1.72;0.63835764
1.73;0.63924295
1.74;0.64275515
1.75;0.64246887
1.76;0.6401873
1.77;0.6412748
1.78;0.64849526
1.79;0.64549476
1.8;0.64418167
1.81;0.6451746
1.82;0.6438186
1.83;0.64796233
1.84;0.6498164
1.85;0.6544078
1.86;0.65398043
1.87;0.65327424
1.8800000000000001;0.65134233
1.8900000000000001;0.6523945
1.9000000000000001;0.6511053
1.9100000000000001;0.649083
1.92;0.6516593
1.93;0.65562445
1.94;0.6542567
1.95;0.65180504
1.96;0.65082663
1.97;0.65277296
1.98;0.65180093
1.99;0.6498669
2.0;0.64898664
2.0100000000000002;0.6468148
2.02;0.6432038
2.0300000000000002;0.64562315
2.04;0.64471066
2.05;0.6458258
2.06;0.641493
2.07;0.64025664
2.08;0.64025736
2.09;0.6438438
2.1;0.6426349
2.11;0.64144784
2.12;0.6379538
2.13;0.64167666
2.14;0.6380408
2.15;0.6391573
2.16;0.63711494
2.17;0.63508254
2.18;0.6358242
2.19;0.6322454
2.2;0.6351586
