time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;8.779931;0.014633219
0.01;0.00022015239;0.0036692065;8.728311;0.029180402
0.015;0.00087798596;0.009755399;8.576503;0.043474574
0.02;0.0019657908;0.01638159;8.332995;0.0573629
0.025;0.003471211;0.023141408;8.010311;0.070713416
0.03;0.005377893;0.029877184;7.623376;0.08341905
0.035;0.0076662665;0.03650603;7.1878;0.09539871
0.04;0.010314306;0.04297628;6.718718;0.106596574
0.045;0.01329837;0.04925322;6.22998;0.116979875
0.05;0.016593853;0.055312846;5.7337055;0.12653606
0.055;0.02017576;0.061138667;5.2400928;0.13526954
0.06;0.02401933;0.06672036;4.7574906;0.14319868
0.065;0.028100314;0.07205209;4.2924657;0.1503528
0.07;0.03239548;0.07713209;3.8499784;0.15676942
0.075;0.036882598;0.08196133;3.4335992;0.1624921
0.08;0.041540883;0.08654351;3.0457127;0.16756828
0.085;0.046350915;0.09088415;2.6876867;0.17204776
0.09;0.0512949;0.09499055;2.3600566;0.1759812
0.095;0.056356344;0.098870784;2.062706;0.17941903
0.1;0.06152056;0.102534264;1.7949785;0.18241066
0.105;0.06677398;0.10599045;1.5558172;0.1850037
0.11;0.07210489;0.10924984;1.3438578;0.18724346
0.115;0.077502295;0.11232217;1.1575154;0.18917264
0.12;0.08295727;0.11521843;0.9950686;0.1908311
0.125;0.0884615;0.11794867;0.8547119;0.19225562
0.13;0.09400781;0.12052285;0.73460346;0.19347996
0.135;0.09959057;0.122951314;0.63290393;0.1945348
0.14;0.10520428;0.12524319;0.54779774;0.19544779
0.145;0.110844925;0.12740797;0.47751662;0.19624364
0.15;0.116508916;0.12945434;0.4203619;0.19694425
0.155;0.122193426;0.13139078;0.37471747;0.19756879
0.16;0.12789617;0.13322519;0.33906397;0.19813389
0.165;0.13361527;0.13496491;0.3119946;0.19865388
0.17;0.13934945;0.1366171;0.2922224;0.19914092
0.175;0.14509782;0.1381884;0.27858147;0.19960523
0.18;0.15085928;0.13968451;0.2700246;0.20005526
0.185;0.1566338;0.14111152;0.26561654;0.20049796
0.19;0.16242091;0.14247449;0.26452714;0.20093884
0.195;0.16822067;0.14377835;0.2660215;0.2013822
0.2;0.1740332;0.14502767;0.2694535;0.2018313
0.205;0.17985877;0.14622664;0.27426064;0.20228839
0.21;0.18569738;0.14737888;0.27995723;0.20275499
0.215;0.19154957;0.14848804;0.28612673;0.20323187
0.22;0.19741572;0.14955737;0.29241315;0.20371923
0.225;0.20329574;0.15058944;0.29851583;0.20421675
0.23;0.2091904;0.15158725;0.3041849;0.20472373
0.235;0.2150997;0.15255298;0.30921793;0.20523909
0.24;0.22102411;0.15348896;0.31345752;0.20576152
0.245;0.22696352;0.15439695;0.31678832;0.2062895
0.25;0.23291835;0.1552789;0.31913456;0.20682138
0.255;0.23888828;0.15613614;0.3204591;0.20735548
0.26;0.24487393;0.15697047;0.32076225;0.2078901
0.265;0.25087473;0.15778285;0.32007742;0.20842355
0.27;0.25689077;0.15857455;0.31846595;0.20895433
0.275;0.26292214;0.15934674;0.31601447;0.20948102
0.28;0.26896837;0.16010022;0.3128263;0.21000239
0.285;0.2750292;0.1608358;0.30901596;0.21051742
0.29;0.28110453;0.16155434;0.30470115;0.21102525
0.295;0.2871938;0.16225639;0.29999575;0.21152525
0.3;0.29329708;0.16294281;0.2950061;0.21201693
0.305;0.2994139;0.16361415;0.2898278;0.21249998
0.31;0.3055444;0.16427118;0.28454396;0.21297422
0.315;0.31168732;0.16491394;0.27922326;0.21343958
0.32;0.3178436;0.16554354;0.273919;0.21389611
0.325;0.324012;0.16616002;0.26866922;0.2143439
0.33;0.3301933;0.16676429;0.26350015;0.21478307
0.335;0.3363862;0.16735631;0.25843;0.21521379
0.34;0.3425916;0.16793706;0.25347164;0.21563624
0.345;0.34880915;0.16850683;0.24863318;0.21605062
0.35;0.3550385;0.16906595;0.24391647;0.21645716
0.355;0.3612786;0.16961437;0.23931661;0.21685602
0.36;0.36753094;0.1701532;0.23482415;0.21724738
0.365;0.3737941;0.17068224;0.23042563;0.21763143
0.37;0.38006824;0.17120191;0.22611032;0.21800828
0.375;0.3863531;0.1717125;0.2218721;0.21837807
0.38;0.39264864;0.17221431;0.21771137;0.21874093
0.385;0.39895433;0.1727075;0.21363401;0.21909697
0.39;0.40526965;0.17319217;0.20965214;0.21944639
0.395;0.41159558;0.17366901;0.20577878;0.21978936
0.4;0.41793093;0.17413789;0.20202602;0.22012608
0.405;0.4242754;0.17459893;0.19840486;0.22045675
0.41;0.43062985;0.17505279;0.1949266;0.22078162
0.415;0.43699265;0.17549905;0.19160378;0.22110096
0.42;0.44336462;0.17593835;0.1884456;0.22141504
0.425;0.44974512;0.17637064;0.1854545;0.22172412
0.43;0.45613378;0.17679603;0.182625;0.22202851
0.435;0.46253148;0.17721513;0.17994583;0.22232841
0.44;0.46893686;0.1776276;0.17740303;0.2226241
0.445;0.4753502;0.17803378;0.17497957;0.22291572
0.45;0.481771;0.17843372;0.17265698;0.22320348
0.455;0.4882005;0.17882802;0.17041658;0.22348751
0.46;0.4946366;0.17921615;0.16823862;0.2237679
0.465;0.50108063;0.1795988;0.1661007;0.22404474
0.47;0.50753176;0.1799758;0.16397582;0.22431803
0.475;0.5139908;0.18034765;0.16183265;0.22458775
0.48;0.52045655;0.18071409;0.15963444;0.22485381
0.485;0.5269297;0.18107548;0.15734139;0.22511604
0.49;0.53341085;0.18143226;0.15491304;0.22537424
0.495;0.5398987;0.18178406;0.15231293;0.2256281
0.5;0.54639447;0.18213148;0.14951083;0.22587727
0.505;0.5528969;0.18247424;0.14648518;0.22612141
0.51;0.5594068;0.18281269;0.14322324;0.22636013
0.515;0.5659235;0.18314677;0.13972257;0.22659299
0.52;0.5724472;0.18347667;0.1359894;0.22681965
0.525;0.57897687;0.18380219;0.132037;0.22703971
0.53;0.58551383;0.18412386;0.12788263;0.22725284
0.535;0.5920558;0.18444104;0.12355028;0.22745876
0.54;0.5986047;0.18475452;0.11906986;0.22765721
0.545;0.60515887;0.18506387;0.11448137;0.22784801
0.55;0.6117192;0.18536945;0.10983437;0.22803107
0.555;0.61828464;0.18567106;0.10518866;0.22820638
0.56;0.6248558;0.185969;0.10061213;0.22837406
0.565;0.63143235;0.18626323;0.09617518;0.22853436
0.57;0.6380142;0.18655387;0.091944344;0.2286876
0.575;0.6445996;0.18684047;0.08797501;0.22883423
0.58;0.6511897;0.18712348;0.08430663;0.22897474
0.585;0.6577836;0.18740276;0.08096108;0.22910967
0.59;0.6643828;0.18767877;0.07794183;0.22923958
0.595;0.67098486;0.18795092;0.07523499;0.22936496
0.6;0.67759097;0.1882197;0.0728122;0.22948632
0.605;0.68420076;0.18848506;0.07063636;0.22960405
0.61;0.6908131;0.18874675;0.06866832;0.22971849
0.615;0.6974309;0.18900566;0.06687299;0.22982995
0.62;0.7040505;0.18926089;0.06522282;0.22993866
0.625;0.7106733;0.18951288;0.06369905;0.23004483
0.63;0.71729946;0.18976176;0.06228956;0.23014864
0.635;0.72392774;0.19000728;0.060986903;0.23025028
0.64;0.7305603;0.19025008;0.059786033;0.23034993
0.645;0.73719525;0.19048974;0.05868343;0.23044772
0.65;0.7438327;0.19072634;0.057675574;0.23054385
0.655;0.7504715;0.19095966;0.05675616;0.23063844
0.66;0.7571132;0.1911902;0.055913903;0.23073164
0.665;0.76375645;0.19141765;0.055132706;0.23082353
0.67;0.7704034;0.19164263;0.05439458;0.23091419
0.675;0.77705157;0.1918646;0.053683367;0.23100366
0.68;0.7837022;0.19208388;0.052987583;0.23109198
0.685;0.7903538;0.19230019;0.052301288;0.23117913
0.69;0.79700834;0.19251408;0.051623963;0.23126517
0.695;0.803663;0.19272496;0.050959487;0.23135011
