radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0001806331
0.89;0.00084373966
0.9;0.003876021
0.91;0.010829645
0.92;0.029454475
0.93;0.070946604
0.9400000000000001;0.13962851
0.9500000000000001;0.24477081
0.96;0.40259415
0.97;0.60598993
0.98;0.8345917
0.99;1.0949653
1.0;1.3607292
1.01;1.6307025
1.02;1.8872371
1.03;2.0983062
1.04;2.2489169
1.05;2.381654
1.06;2.4938369
1.07;2.5807364
1.08;2.5891721
1.09;2.5972228
1.1;2.566051
1.11;2.5141594
1.12;2.4357674
1.1300000000000001;2.369396
1.1400000000000001;2.2767982
1.1500000000000001;2.184057
1.16;2.0879548
1.17;2.0076628
1.18;1.9301404
1.19;1.8339162
1.2;1.7554903
1.21;1.6815299
1.22;1.6065433
1.23;1.5268183
1.24;1.4568843
1.25;1.4064429
1.26;1.339075
1.27;1.285075
1.28;1.2460533
1.29;1.1921682
1.3;1.1469241
1.31;1.1143743
1.32;1.0702492
1.33;1.0367398
1.34;0.9958394
1.35;0.96486163
1.36;0.9347249
1.37;0.9109187
1.3800000000000001;0.88726944
1.3900000000000001;0.86919004
1.4000000000000001;0.85435283
1.41;0.83272403
1.42;0.8210674
1.43;0.7967564
1.44;0.78585625
1.45;0.7719858
1.46;0.75885767
1.47;0.74826723
1.48;0.7335195
1.49;0.73007166
1.5;0.7241272
1.51;0.71093464
1.52;0.70370317
1.53;0.7044138
1.54;0.70453054
1.55;0.69477844
1.56;0.6972207
1.57;0.6968045
1.58;0.6978575
1.59;0.6953695
1.6;0.6913669
1.61;0.6987249
1.62;0.69214416
1.6300000000000001;0.7008064
1.6400000000000001;0.70609087
1.6500000000000001;0.71662074
1.6600000000000001;0.7230217
1.67;0.72618157
1.68;0.7352887
1.69;0.7466713
1.7;0.7620172
1.71;0.76732713
1.72;0.7725591
1.73;0.78791565
1.74;0.79999435
1.75;0.8095035
1.76;0.8160301
1.77;0.82329625
1.78;0.8405607
1.79;0.8542416
1.8;0.8696303
1.81;0.88730836
1.82;0.90191394
1.83;0.9195727
1.84;0.93112975
1.85;0.94563645
1.86;0.9634933
1.87;0.97260845
1.8800000000000001;0.99004143
1.8900000000000001;1.0038543
1.9000000000000001;1.0226052
1.9100000000000001;1.0360775
1.92;1.0442553
1.93;1.0665709
1.94;1.0811423
1.95;1.0916969
1.96;1.1103495
1.97;1.1215136
1.98;1.1309497
1.99;1.147422
2.0;1.1616066
2.0100000000000002;1.1634184
2.02;1.1749682
2.0300000000000002;1.1803586
2.04;1.1906496
2.05;1.1932847
2.06;1.2019471
2.07;1.2070299
