x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
1.3780211;0.8010884;-1.8196914;1.6413059;-0.07777735;-0.6267437;16.247278;-2.411558;15.109177;12.25;12.25;12.25;1372;199.9999999998906
-0.8523031;0.79775465;-5.147542;0.60655624;0.43080157;0.56809723;-1.8693639;38.92554;17.541525;12.25;12.25;12.25;1372;199.9999999998906
5.078085;4.5555744;-1.4101192;-0.12250794;-0.9731394;-0.7442043;-7.852645;-7.991317;-2.1400325;12.25;12.25;12.25;1372;199.9999999998906
2.577253;-2.0431619;1.475274;-1.5799905;-0.47306907;-0.105168864;1.9930408;4.4315915;-0.81681645;12.25;12.25;12.25;1372;199.9999999998906
-0.8376944;3.6827638;-2.1967728;0.53534245;0.986993;-0.37728915;-3.7497265;12.967612;-7.7889776;12.25;12.25;12.25;1372;199.9999999998906
-3.2787309;2.1127584;5.9228034;-0.6330958;1.6998731;1.3362072;0.95065624;-0.4757241;1.9113781;12.25;12.25;12.25;1372;199.9999999998906
-1.2947162;-5.85687;0.9246984;1.9439483;1.0632898;0.082861565;7.785629;-33.892784;-0.52278686;12.25;12.25;12.25;1372;199.9999999998906
-4.6361127;2.071483;3.6607468;0.941908;-2.040208;1.1427569;32.857525;-28.673927;-1.6120172;12.25;12.25;12.25;1372;199.9999999998906
1.7223235;3.5585737;-2.6531389;0.52640754;1.2648206;0.30308884;10.847663;-0.1841603;10.633972;12.25;12.25;12.25;1372;199.9999999998906
2.5975664;0.62623036;3.0972784;0.78717554;0.44628644;0.61084354;-12.36245;18.418201;1.7840662;12.25;12.25;12.25;1372;199.9999999998906
1.9790411;6.114438;5.470754;0.6844864;-1.8266095;0.45287672;2.2922854;-4.8098655;-0.99049264;12.25;12.25;12.25;1372;199.9999999998906
-5.639286;4.4455786;1.3635832;-0.6666037;-2.0572119;-0.8841105;-6.6743197;0.15341236;0.61343753;12.25;12.25;12.25;1372;199.9999999998906
-2.418579;-4.31496;-3.5108974;-0.1194059;-0.6501273;-1.3638554;-0.79253995;-13.805347;-11.208681;12.25;12.25;12.25;1372;199.9999999998906
-3.4715097;1.4024761;-1.967004;0.67887986;0.85825926;-0.104430065;0.70281464;-0.25157106;1.6773386;12.25;12.25;12.25;1372;199.9999999998906
-2.7518234;5.504748;-4.8512435;-0.8995452;-1.0760144;-0.12170184;-12.602856;-4.1483607;16.193497;12.25;12.25;12.25;1372;199.9999999998906
