temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
0.999995;-2.189776;2057.2104;-7984.3115;-5927.101;-16190.591;7.499999e-05;0.0024999997
0.99961126;-2.1774282;2055.658;-7977.0225;-5921.3643;-16119.391;0.00029988552;0.004998092
0.9992356;-2.1544738;2054.0195;-7961.4385;-5907.419;-15989.524;0.00067440356;0.007493373
0.9988099;-2.1254299;2051.984;-7946.1475;-5894.1636;-15825.282;0.0011982735;0.009985612
0.99824166;-2.0893416;2049.2996;-7929.937;-5880.6377;-15620.895;0.0018710942;0.012473961
0.9975005;-2.0457778;2045.8071;-7912.7944;-5866.9873;-15373.663;0.0026922952;0.014957196
0.99654;-1.9929396;2041.3093;-7892.453;-5851.1436;-15073.275;0.003661088;0.017433751
0.995312;-1.9293938;2035.5908;-7867.451;-5831.8604;-14711.396;0.004776399;0.019901663
0.99376243;-1.853406;2028.4409;-7835.9766;-5807.5356;-14278.039;0.006036787;0.02235847
0.9918475;-1.763011;2019.7269;-7795.8975;-5776.1704;-13762.102;0.007440337;0.024801124
0.9895569;-1.6570095;2009.5149;-7746.2812;-5736.7666;-13157.101;0.008984561;0.027225941
0.9869481;-1.5343986;1998.2059;-7686.25;-5688.044;-12458.308;0.010666306;0.029628629
0.9841776;-1.3948766;1986.6245;-7615.0825;-5628.458;-11665.71;0.012481703;0.032004368
0.98149985;-1.2398155;1975.8464;-7533.9175;-5558.0713;-10789.023;0.014426149;0.034347974
0.9791779;-1.0714997;1966.8551;-7444.063;-5477.208;-9842.813;0.016494287;0.03665397
0.9774114;-0.8936889;1960.3936;-7348.4365;-5388.043;-8849.3;0.018679846;0.038916346
0.9763588;-0.71052665;1957.1086;-7249.7495;-5292.6406;-7832.6274;0.020975478;0.041128386
0.9761772;-0.52758616;1957.6152;-7152.1973;-5194.582;-6824.7607;0.023372661;0.043282706
0.9769937;-0.3498517;1962.2231;-7058.822;-5096.5986;-5853.807;0.025861673;0.045371357
0.97879434;-0.18322448;1970.6201;-6973.915;-5003.295;-4951.686;0.028431581;0.04738597
0.9813932;-0.031766042;1981.8252;-6899.6064;-4917.7812;-4138.8335;0.031070353;0.049318023
0.984464;0.10115703;1994.4478;-6838.005;-4843.557;-3431.035;0.03376515;0.051159315
0.98764455;0.21477987;2007.1245;-6788.6533;-4781.529;-2829.7817;0.03650298;0.05290287
0.9906509;0.30923823;2018.8696;-6750.992;-4732.1226;-2332.3533;0.03927146;0.054543693
0.9933169;0.38642043;2029.1848;-6722.7197;-4693.535;-1927.3395;0.042059533;0.05607938
0.99559635;0.44781443;2037.9906;-6702.9004;-4664.9097;-1606.3755;0.04485794;0.057510182
0.9975151;0.4949859;2045.3923;-6690.688;-4645.296;-1361.038;0.04765936;0.058838714
0.99910396;0.53020173;2051.4656;-6684.473;-4633.008;-1178.9762;0.050458353;0.060069468
1.0003699;0.5552371;2056.216;-6683.192;-4626.9756;-1050.4122;0.053251095;0.061208155
1.0013118;0.5722857;2059.6255;-6685.534;-4625.9087;-963.21155;0.056035202;0.06226133
1.0019234;0.5835014;2061.629;-6690.131;-4628.502;-905.36597;0.058809474;0.063236
1.0021714;0.59165406;2062.0142;-6694.6475;-4632.6333;-861.1765;0.061573736;0.06413931
1.0019927;0.5991673;2060.6272;-6697.568;-4636.9404;-816.9686;0.06432854;0.06497832
1.0014046;0.60831493;2057.7744;-6697.5654;-4639.791;-760.8156;0.067074925;0.065759726
1.0005716;0.62015057;2054.3003;-6694.382;-4640.0815;-688.596;0.06981426;0.06648977
0.9997506;0.6353318;2051.274;-6687.7266;-4636.4526;-598.82196;0.17407776;0.1611831
0.9991902;0.6519398;2049.5317;-6679.9766;-4630.445;-503.74786;0.17658867;0.1590889
0.9990166;0.6690941;2049.3745;-6671.6113;-4622.237;-408.83112;0.17910239;0.15710737
0.99921066;0.6850117;2050.46;-6664.0264;-4613.5664;-323.21954;0.18161936;0.15523022
0.9995956;0.6984182;2051.9712;-6658.658;-4606.687;-252.30798;0.18413927;0.15344939
0.9999497;0.7102439;2053.1387;-6653.891;-4600.7524;-189.42676;0.18666105;0.15175696
1.000143;0.72089195;2053.6165;-6649.67;-4596.0537;-131.66016;0.18918335;0.15014553
1.0001618;0.7313019;2053.4673;-6644.885;-4591.4175;-73.95313;0.19170474;0.14860831
1.0000614;0.7420286;2052.959;-6639.7295;-4586.7705;-13.781139;0.19422385;0.14713928
0.99992067;0.7529663;2052.3806;-6634.3003;-4581.92;47.694828;0.19673944;0.14573292
0.9997985;0.76421106;2051.9497;-6628.534;-4576.5845;110.56929;0.19925043;0.14438437
0.9997378;0.77573836;2051.7754;-6622.3555;-4570.58;174.48865;0.20175616;0.14308947
0.9997439;0.78700477;2051.851;-6616.4243;-4564.573;236.4694;0.20425592;0.14184439
0.9998033;0.7977376;2052.1062;-6610.8447;-4558.7383;295.1485;0.20674916;0.14064568
0.9998954;0.8077631;2052.454;-6605.8267;-4553.3726;349.74124;0.31071082;0.20714055
0.99999917;0.817192;2052.838;-6600.845;-4548.0073;400.9721;0.31306612;0.2046184
1.0001119;0.82575715;2053.2915;-6596.6274;-4543.336;447.3;0.5183932;0.33230335
1.0002583;0.8334541;2053.954;-6592.8066;-4538.8525;488.4217;0.7235145;0.45504057
1.0004847;0.83965063;2055.0413;-6590.072;-4535.0303;520.4203;0.72539467;0.44777447
1.0008413;0.8437649;2056.6948;-6589.1816;-4532.487;539.80225;0.9302489;0.5637872
1.0013227;0.84516746;2058.6523;-6590.4707;-4531.8184;543.622;1.033302;0.6150607
1.0017784;0.84461987;2060.209;-6592.9985;-4532.7896;537.4892;1.0347495;0.60511667
1.0020267;0.8426465;2060.8174;-6596.3525;-4535.535;525.3894;1.1377786;0.6538958
1.0020217;0.8405931;2060.5552;-6599.489;-4538.9336;514.59;1.139181;0.6436051
1.0018802;0.8389678;2059.9983;-6602.015;-4542.0166;506.7405;1.140642;0.63369
1.0017664;0.8378315;2059.747;-6604.182;-4544.435;500.97638;1.1421645;0.6241336
1.0017872;0.8362188;2059.9976;-6607.0146;-4547.017;491.58163;1.4483742;0.77869576
1.001891;0.8344681;2060.299;-6609.953;-4549.6543;481.32407;1.3481336;0.7132982
1.0018932;0.8326956;2059.8965;-6612.786;-4552.8896;472.35422;1.4510154;0.7557372
1.0016314;0.83245164;2058.4082;-6613.8535;-4555.4453;473.98538;1.5538139;0.7968277
1.0011245;0.8347074;2056.206;-6612.2266;-4556.0205;490.8296;1.555043;0.7853753
1.0005606;0.83933026;2054.1416;-6608.9976;-4554.856;520.4526;1.6577572;0.82475483
1.000161;0.8454882;2052.9473;-6604.4443;-4551.497;556.8011;1.6589825;0.8132267
1.0000323;0.8517737;2052.833;-6600.2217;-4547.3887;591.69293;1.6602932;0.802074
1.0001438;0.85758966;2053.5454;-6596.151;-4542.6055;622.342;1.6616861;0.7912791
1.000392;0.86180556;2054.6453;-6593.3633;-4538.718;643.3922;1.6631256;0.7808102
1.0006686;0.8643913;2055.7395;-6591.9204;-4536.1807;655.46375;1.7660638;0.8176221
1.0009027;0.86547476;2056.622;-6591.294;-4534.672;659.67334;1.7674294;0.8070454
1.0010732;0.86568284;2057.2085;-6591.002;-4533.7935;659.64795;2.0734143;0.9339704
1.0011644;0.8653005;2057.4614;-6591.0156;-4533.554;657.0335;2.0746083;0.9220481
1.0011798;0.8641569;2057.4185;-6591.5967;-4534.178;650.81287;2.1773732;0.95498824
1.0011358;0.8636237;2057.193;-6591.072;-4533.879;648.32306;2.280135;0.98707145
1.001076;0.86282223;2056.9736;-6590.981;-4534.0073;644.3422;2.2813852;0.97495097
1.001041;0.8620517;2056.903;-6590.914;-4534.0107;640.2339;2.2827234;0.9631744
1.0010483;0.8612519;2056.9727;-6590.711;-4533.7383;635.68384;2.2841456;0.9517273
1.0010664;0.86041355;2057.0132;-6590.371;-4533.358;630.97943;2.2856483;0.94059604
1.0010388;0.8594329;2056.7974;-6590.466;-4533.6685;626.0029;2.3886688;0.97100353
1.000921;0.8593564;2056.2112;-6589.414;-4533.203;626.75354;2.3901317;0.9598923
1.0007161;0.86033034;2055.3416;-6587.326;-4531.9844;633.864;2.4932058;0.9893674
1.0004765;0.86233824;2054.4702;-6584.6465;-4530.1763;646.6797;2.4946811;0.97830635
1.0002956;0.86497533;2053.9922;-6581.4077;-4527.4155;662.1789;2.6992807;1.0462329
1.000266;0.86746895;2054.1912;-6578.783;-4524.592;675.5329;2.8023453;1.0736955
1.0004177;0.86918646;2055.0615;-6576.8984;-4521.837;683.2637;2.9054303;1.1005417
1.000697;0.869449;2056.2847;-6576.4023;-4520.1177;682.2653;2.9069586;1.0887486
1.0009931;0.8684658;2057.3994;-6576.8315;-4519.432;674.6137;2.9086003;1.0772594
1.0011996;0.8665774;2058.0752;-6577.7495;-4519.6743;662.84796;2.9103594;1.0660658
1.0012782;0.8642448;2058.253;-6578.8857;-4520.633;649.6288;2.9122386;1.0551589
1.0012542;0.86214966;2058.1382;-6579.6377;-4521.4995;638.3039;2.9142382;1.0445298
1.0012121;0.8599902;2058.1016;-6580.752;-4522.6504;626.4679;3.0177069;1.0701089
1.0012455;0.8574079;2058.4446;-6582.2017;-4523.757;611.54144;3.019608;1.0595117
1.001391;0.854422;2059.1895;-6584.144;-4524.9546;593.5846;2.92005;1.0139062
1.0016074;0.8501803;2060.048;-6587.0903;-4527.042;568.47577;3.0235763;1.0390296
1.001789;0.8451284;2060.6323;-6590.842;-4530.2095;539.44696;3.0256073;1.0291182
1.0018629;0.83985376;2060.7366;-6594.539;-4533.8027;510.14972;3.027738;1.0194404
1.0018144;0.83492243;2060.3867;-6597.897;-4537.5103;483.65414;3.1313558;1.0437853
1.0016782;0.8305782;2059.7627;-6600.6753;-4540.9126;460.94476;3.235013;1.067661
1.0015087;0.8271459;2059.0845;-6602.8965;-4543.812;443.37244;3.1355984;1.0247054
1.0013603;0.82433337;2058.5847;-6604.8467;-4546.2617;428.86166;3.1377523;1.0154538
1.001288;0.8220622;2058.457;-6606.323;-4547.866;416.59198;2.8350084;0.90865654
1.001323;0.8196206;2058.7559;-6608.265;-4549.5093;402.52948;2.9383788;0.9328187
