time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.3907716;0.0039846194
0.01;5.9849917e-05;0.0009974986;2.3844225;0.007958657
0.015;0.00023908066;0.002656452;2.3654962;0.01190115
0.02;0.0005367415;0.0044728457;2.3343751;0.015791776
0.025;0.0009512682;0.006341788;2.2916656;0.019611219
0.03;0.0014805149;0.008225083;2.238176;0.023341512
0.035;0.0021218022;0.01010382;2.1748705;0.026966296
0.04;0.0028719406;0.011966419;2.1028335;0.03047102
0.045;0.003727319;0.013804884;2.023228;0.033843067
0.05;0.0046839486;0.015613162;1.9372501;0.037071817
0.055;0.005737514;0.017386405;1.8461077;0.04014866
0.06;0.0068834377;0.01912066;1.7509845;0.043066967
0.065;0.008116952;0.020812698;1.6530118;0.045821987
0.07;0.009433161;0.022459906;1.5532639;0.048410762
0.075;0.010827049;0.024060108;1.452734;0.050831985
0.08;0.012293593;0.025611654;1.3523332;0.053085875
0.085;0.013827752;0.02711324;1.2528808;0.055174008
0.09;0.015424569;0.028564017;1.1551085;0.05709919
0.095;0.017079115;0.029963361;1.0596486;0.05886527
0.1;0.018786663;0.031311102;0.9670516;0.060477022
0.105;0.020542536;0.0326072;0.87777746;0.061939985
0.11;0.022342317;0.033851996;0.79220605;0.06326033
0.115;0.024181692;0.03504593;0.7106371;0.06444472
0.12;0.026056547;0.03618965;0.6333014;0.06550023
0.125;0.027963113;0.03728415;0.5603626;0.06643417
0.13;0.029897673;0.03833035;0.4919243;0.06725404
0.135;0.031856842;0.039329432;0.42803675;0.06796743
0.14;0.03383738;0.0402826;0.36870253;0.06858194
0.145;0.035836436;0.041191306;0.31388235;0.069105074
0.15;0.037851214;0.042056903;0.26349932;0.06954424
0.155;0.0398791;0.04288075;0.21744597;0.06990665
0.16;0.04191784;0.04366442;0.17558898;0.070199296
0.165;0.04396547;0.044409566;0.13777152;0.070428915
0.17;0.046019893;0.045117542;0.103819646;0.07060195
0.175;0.04807961;0.045790102;0.07354491;0.070724525
