time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.7113712;0.0045189518
0.01;6.788032e-05;0.0011313386;2.7037716;0.0090252375
0.015;0.0002711385;0.0030126502;2.6811438;0.013493811
0.02;0.00060863653;0.005071971;2.6439846;0.017900452
0.025;0.0010785061;0.007190041;2.5930727;0.02222224
0.03;0.0016781904;0.00932328;2.5294547;0.026437998
0.035;0.002404489;0.011449948;2.4543662;0.030528607
0.04;0.0032536318;0.013556799;2.3691862;0.034477253
0.045;0.0042213416;0.015634598;2.2753782;0.03826955
0.05;0.0053029032;0.017676344;2.1744328;0.0418936
0.055;0.006493258;0.019676538;2.0678406;0.045340005
0.06;0.0077870367;0.021630658;1.9570372;0.04860173
0.065;0.009178701;0.02353513;1.8433895;0.05167405
0.07;0.010662522;0.025386957;1.7281715;0.054554336
0.075;0.0122327525;0.027183892;1.6125511;0.05724192
0.08;0.013883564;0.02892409;1.4975823;0.05973789
0.085;0.015609182;0.03060624;1.3842003;0.06204489
0.09;0.017403936;0.03222951;1.2732258;0.06416693
0.095;0.019262258;0.033793435;1.1653674;0.06610921
0.1;0.021178734;0.03529789;1.0612155;0.0678779
0.105;0.023148144;0.036743086;0.9612621;0.06948001
0.11;0.025165478;0.038129512;0.8658987;0.07092317
0.115;0.027225947;0.039457895;0.77542675;0.07221555
0.12;0.029325038;0.04072922;0.69006413;0.07336566
0.125;0.03145848;0.041944638;0.6099524;0.074382246
0.13;0.033622175;0.043105353;0.5351668;0.07527419
0.135;0.035812512;0.044212975;0.4657211;0.07605039
0.14;0.038025968;0.04526901;0.40157595;0.07671969
0.145;0.040259324;0.046275087;0.3426487;0.077290766
0.15;0.042509656;0.047232952;0.28881544;0.077772126
0.155;0.04477427;0.048144378;0.23991889;0.07817199
0.16;0.047050748;0.049011193;0.19577442;0.07849828
0.165;0.04933685;0.049835198;0.15617444;0.078758575
0.17;0.05163076;0.050618395;0.120893605;0.07896006
0.175;0.0539306;0.051362477;0.089693315;0.07910955
0.18;0.05623482;0.052069277;0.06232618;0.079213426
0.185;0.058542114;0.05274064;0.038538724;0.07927766
0.19;0.06085136;0.053378385;0.01807573;0.07930779
0.195;0.06316141;0.053984117;0.0006823935;0.07930892
0.2;0.06547156;0.054559633;-0.013893052;0.07928576
0.205;0.06778098;0.055106487;-0.025897175;0.0792426
0.21;0.07008912;0.055626284;-0.03556973;0.07918332
0.215;0.072395496;0.05612054;-0.043142088;0.07911142
0.22;0.07469973;0.056590702;-0.048835903;0.07903002
0.225;0.07700156;0.05703819;-0.05286216;0.07894192
0.23;0.079300866;0.057464395;-0.055420592;0.078849554
0.235;0.08159736;0.057870466;-0.056698896;0.07875506
0.24;0.083891034;0.05825766;-0.056872535;0.078660265
0.245;0.086182125;0.058627296;-0.056104604;0.07856676
0.25;0.08847038;0.058980253;-0.05454513;0.07847585
0.255;0.09075611;0.059317723;-0.052332196;0.07838863
0.26;0.09303926;0.059640553;-0.04959067;0.07830598
0.265;0.095320135;0.05994977;-0.046433683;0.07822859
0.27;0.09759874;0.060246132;-0.042962827;0.078156985
0.275;0.0998755;0.060530607;-0.039268307;0.07809154
0.28;0.102150254;0.060803723;-0.03543032;0.078032486
0.285;0.10442346;0.06106635;-0.031519685;0.07797995
0.29;0.106695294;0.061319135;-0.027598098;0.07793396
0.295;0.10896589;0.061562654;-0.023719436;0.07789443
0.3;0.11123552;0.06179751;-0.019929944;0.07786121
0.305;0.11350411;0.0620241;-0.016269144;0.07783409
0.31;0.115772165;0.0622431;-0.012770155;0.07781281
0.315;0.11803955;0.062454786;-0.009460455;0.07779704
0.32;0.12030678;0.062659785;-0.0063623255;0.07778644
0.325;0.12257377;0.06285834;-0.0034932073;0.07778062
0.33;0.124840766;0.06305089;-0.00086630974;0.077779174
0.335;0.12710786;0.06323774;0.0015090785;0.07778169
0.34;0.12937506;0.06341914;0.0036273175;0.077787735
0.345;0.13164267;0.063595496;0.0054861098;0.07779688
0.35;0.13391066;0.06376698;0.0070864004;0.077808686
0.355;0.13617913;0.06393387;0.008432156;0.077822745
0.36;0.1384482;0.064096384;0.009530207;0.07783862
0.365;0.14071783;0.064254716;0.010389915;0.077855945
0.37;0.14298818;0.064409085;0.011022944;0.07787431
0.375;0.1452591;0.0645596;0.011442954;0.077893384
0.38;0.14753085;0.06470651;0.011665253;0.07791283
