time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.9271395;0.0048785657
0.01;7.32856e-05;0.0012214266;2.9186172;0.009742928
0.015;0.00029271294;0.003252366;2.8932567;0.014565023
0.02;0.00065700605;0.005475051;2.8516433;0.019317761
0.025;0.0011640704;0.0077604693;2.7947047;0.023975603
0.03;0.0018110439;0.010061355;2.723655;0.028515028
0.035;0.0025943532;0.012354063;2.6399415;0.03291493
0.04;0.0035097895;0.014624123;2.5451615;0.037156865
0.045;0.0045525962;0.016861467;2.4410062;0.04122521
0.05;0.0057175476;0.019058492;2.329193;0.045107197
0.055;0.00699902;0.02120915;2.2114296;0.048792914
0.06;0.008391109;0.023308637;2.0893445;0.052275155
0.065;0.00988769;0.025353052;1.9644872;0.0555493
0.07;0.011482511;0.027339311;1.8382902;0.058613118
0.075;0.013169218;0.029264927;1.7120477;0.06146653
0.08;0.01494151;0.031128146;1.5869267;0.064111404
0.085;0.016793143;0.03292773;1.4639446;0.06655131
0.09;0.018717907;0.03466279;1.3439769;0.06879128
0.095;0.02070982;0.03633302;1.227775;0.070837565
0.1;0.022763094;0.037938487;1.1159474;0.07269748
0.105;0.024872081;0.039479498;1.008988;0.074379124
0.11;0.027031468;0.04095677;0.90728337;0.075891264
0.115;0.029236158;0.042371243;0.8111124;0.07724312
0.12;0.031481326;0.043724064;0.7206666;0.07844423
0.125;0.033762485;0.045016646;0.63605285;0.07950432
0.13;0.036075342;0.04625044;0.5573064;0.08043316
0.135;0.038416054;0.047427226;0.4844025;0.0812405
0.14;0.040780902;0.04854869;0.4172577;0.08193593
0.145;0.043166537;0.04961671;0.35574362;0.08252884
0.15;0.045569915;0.050633237;0.299694;0.083028324
0.155;0.047988214;0.05160023;0.24890915;0.08344317
0.16;0.050418917;0.05251971;0.20316477;0.083781786
0.165;0.052859653;0.053393584;0.16221592;0.084052145
0.17;0.05530851;0.054224025;0.12580228;0.08426181
0.175;0.057763524;0.055012878;0.0936539;0.0844179
0.18;0.06022326;0.055762276;0.0654929;0.08452706
0.185;0.06268606;0.05647393;0.041039117;0.08459546
0.19;0.06515095;0.057149954;0.020011812;0.08462881
0.195;0.06761672;0.057792075;0.0021331804;0.08463237
0.2;0.07008247;0.05840206;-0.012869445;0.08461092
0.205;0.07254761;0.058981795;-0.025261432;0.08456881
0.21;0.075011365;0.059532832;-0.03529925;0.08450998
0.215;0.077473335;0.060056847;-0.043228947;0.08443794
0.22;0.07993304;0.060555335;-0.04928526;0.084355794
0.225;0.082390144;0.06102974;-0.05369067;0.084266305
0.23;0.084844686;0.061481655;-0.056654874;0.084171884
0.235;0.08729624;0.061912227;-0.058374;0.084074594
0.24;0.089744896;0.062322848;-0.0590305;0.08397621
0.245;0.09219065;0.062714726;-0.058792576;0.08387822
0.25;0.094633445;0.06308896;-0.05781419;0.08378186
0.255;0.09707349;0.06344673;-0.056234773;0.08368814
0.26;0.099510655;0.06378888;-0.054179817;0.08359784
0.265;0.10194516;0.06411646;-0.05176097;0.08351157
0.27;0.10437729;0.06443042;-0.04907613;0.083429776
0.275;0.106806956;0.064731486;-0.046210572;0.08335276
0.28;0.109234594;0.06502059;-0.043237135;0.0832807
0.285;0.11165994;0.06529821;-0.040217195;0.08321367
0.29;0.11408351;0.065565236;-0.037201915;0.08315167
0.295;0.11650534;0.06582223;-0.03423311;0.08309461
0.3;0.118925594;0.066069774;-0.031344328;0.08304237
0.305;0.12134437;0.0663084;-0.02856214;0.08299477
0.31;0.123762116;0.06653877;-0.025906835;0.08295159
0.315;0.12617847;0.0667611;-0.023393221;0.0829126
0.32;0.12859379;0.06697593;-0.02103138;0.08287755
0.325;0.13100834;0.06718377;-0.018827334;0.082846165
0.33;0.13342205;0.06738487;-0.016783629;0.082818195
0.335;0.13583508;0.06757964;-0.014899933;0.08279336
0.34;0.1382476;0.067768425;-0.013173697;0.082771406
0.345;0.14065936;0.06795138;-0.011600406;0.08275207
0.35;0.14307068;0.0681289;-0.010174106;0.082735114
0.355;0.14548174;0.06830128;-0.008887709;0.0827203
0.36;0.14789218;0.0684686;-0.0077332226;0.08270741
0.365;0.15030254;0.0686313;-0.006702009;0.082696244
0.37;0.15271251;0.068789415;-0.0057850396;0.0826866
0.375;0.15512235;0.06894327;-0.00497313;0.08267831
0.38;0.15753199;0.06909298;-0.0042571817;0.08267122
0.385;0.15994169;0.06923883;-0.0036283296;0.08266517
0.39;0.16235118;0.06938084;-0.0030780633;0.08266004
0.395;0.16476062;0.06951925;-0.0025982046;0.08265571
0.4;0.1671702;0.06965425;-0.0021808676;0.08265208
0.405;0.16957979;0.06978592;-0.0018183944;0.082649045
0.41;0.1719893;0.069914356;-0.0015032921;0.08264654
0.415;0.17439936;0.070039906;-0.0012281863;0.08264449
0.42;0.17680907;0.07016233;-0.0009857758;0.082642846
0.425;0.17921938;0.07028211;-0.00076881336;0.082641564
0.43;0.18162926;0.070398934;-0.00057015754;0.08264062
0.435;0.1840396;0.070513256;-0.00038280757;0.08263998
0.44;0.18645011;0.07062504;-0.00020008757;0.08263965
0.445;0.18886058;0.0707343;-1.5869786e-05;0.08263962
0.45;0.19127147;0.07084129;0.00017523645;0.08263991
0.455;0.19368207;0.07094581;0.0003777182;0.08264054
0.46;0.19609298;0.07104818;0.0005951475;0.082641535
0.465;0.19850391;0.07114836;0.0008302147;0.08264292
0.47;0.20091498;0.071246445;0.001084862;0.08264472
0.475;0.203326;0.07134245;0.0013603999;0.082646996
0.48;0.20573725;0.07143655;0.0016576175;0.08264975
0.485;0.20814852;0.071528696;0.0019768956;0.08265305
0.49;0.21055993;0.07161903;0.00231825;0.08265691
0.495;0.21297121;0.07170748;0.0026814113;0.08266138
