x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-5.9388685;5.755324;1.3025682;-0.8416619;-1.3151125;-0.95246005;6.329987;-1.144915;3.4221814;12.25;12.25;12.25;1372;199.9999999998906
-4.6592555;5.6438107;-1.5073671;0.059961624;1.3433198;-2.2171364;-28.76589;-27.983055;-11.324035;12.25;12.25;12.25;1372;199.9999999998906
1.4113636;-5.76932;1.2303327;2.8691738;-5.051396;0.8434909;-0.04517072;-1.252387;-1.8990893;12.25;12.25;12.25;1372;199.9999999998906
-2.9235477;-4.0420055;-0.7956009;1.5433515;0.016601592;0.7519557;6.9333525;11.522746;28.21906;12.25;12.25;12.25;1372;199.9999999998906
2.3688605;2.3192198;-3.5104282;0.941947;-3.0945117;1.4457599;-14.647331;-2.4098773;-2.0022874;12.25;12.25;12.25;1372;199.9999999998906
0.4036869;1.1062883;-0.5492076;-0.16944467;-0.29881713;0.15337676;-13.265597;21.193668;-58.19116;12.25;12.25;12.25;1372;199.9999999998906
1.667291;-2.548841;4.242817;0.783121;-1.811797;-0.27800038;21.657585;3.9563231;0.7954884;12.25;12.25;12.25;1372;199.9999999998906
4.590789;-4.0481453;0.07217848;1.3769715;-3.4862065;2.2574797;259.1037;-8.650232;-157.36281;12.25;12.25;12.25;1372;199.9999999998906
4.291749;2.2081351;-5.714188;-2.6918006;1.2536974;0.99532247;-10.395281;-13.82133;5.8015094;12.25;12.25;12.25;1372;199.9999999998906
-5.0820084;0.54298365;-1.8296833;-0.35976624;-0.11866266;2.2857497;-113.95088;-3.366473;-6.1349745;12.25;12.25;12.25;1372;199.9999999998906
5.404989;2.2935352;2.3691952;0.07370272;-0.023535747;1.9177209;-22.625042;16.751822;4.750535;12.25;12.25;12.25;1372;199.9999999998906
4.3270226;-2.0512934;-5.969206;-0.023210458;4.8707347;2.0710416;-36.592274;32.322506;61.14751;12.25;12.25;12.25;1372;199.9999999998906
-0.6851416;-3.65854;-1.6728824;1.1467979;-2.0085976;0.98474;38.392662;9.630419;9.020637;12.25;12.25;12.25;1372;199.9999999998906
-1.8439234;5.3870106;-4.5555305;1.4298854;0.7327243;-0.91839725;23.56304;-63.404903;13.070823;12.25;12.25;12.25;1372;199.9999999998906
3.5870135;-0.7781165;3.1383338;0.18365084;1.2801644;-0.58551574;43.303986;-29.895655;-31.162922;12.25;12.25;12.25;1372;199.9999999998906
-1.5864366;2.359495;2.5307117;0.043492094;-2.0896301;-3.4659195;72.789024;18.97519;-44.843235;12.25;12.25;12.25;1372;199.9999999998906
2.4557714;5.4845867;5.6712046;-0.54758495;2.6590042;-0.4300446;23.165424;-8.6606865;20.1531;12.25;12.25;12.25;1372;199.9999999998906
-5.441196;6.072207;0.13485654;-1.6227925;1.1064193;-1.8499619;-40.86877;-12.991444;-27.470446;12.25;12.25;12.25;1372;199.9999999998906
1.1539388;1.7176386;-5.371062;-0.33445072;-2.9009593;-0.009659471;5.3467646;-66.36968;-10.5366955;12.25;12.25;12.25;1372;199.9999999998906
-1.6557503;-3.3924122;4.543366;-0.3908626;-3.1229103;1.1636312;-61.142113;19.763735;2.803217;12.25;12.25;12.25;1372;199.9999999998906
-4.0789905;4.8709154;-1.7721609;-0.7257651;-1.8969469;0.4046716;7.2231517;-23.197842;-26.972408;12.25;12.25;12.25;1372;199.9999999998906
4.589474;-3.091821;0.4324854;-2.4312046;-0.039572094;-0.09715952;-4.3196654;22.543633;-14.38119;12.25;12.25;12.25;1372;199.9999999998906
2.9455256;-2.0166314;3.1879256;1.9612225;1.1510848;0.6728372;3.9540906;9.957349;38.413;12.25;12.25;12.25;1372;199.9999999998906
-2.9284024;1.9853591;0.14082205;-1.5237681;1.4039948;-4.6676874;5.838971;-1.7464708;-2.653045;12.25;12.25;12.25;1372;199.9999999998906
-0.116738915;-5.1320953;3.0909333;-0.5389542;-0.44209537;0.54205114;74.43692;-40.397396;20.872458;12.25;12.25;12.25;1372;199.9999999998906
2.9130077;5.443826;4.7506757;3.340204;2.5438457;-0.3947516;18.106083;59.05804;68.76685;12.25;12.25;12.25;1372;199.9999999998906
-1.3123055;-0.2137572;-0.25442278;2.530856;1.2430488;1.4827648;36.248642;50.565178;-29.05071;12.25;12.25;12.25;1372;199.9999999998906
-1.1967913;0.55053264;2.1018949;-0.739397;-1.0075947;2.743229;-61.044388;-36.673824;-66.19216;12.25;12.25;12.25;1372;199.9999999998906
-1.2858835;-4.0017934;3.300153;2.791729;0.027615793;2.0924957;-30.269054;13.739621;17.424276;12.25;12.25;12.25;1372;199.9999999998906
-1.0645537;4.16748;1.3224841;-0.6985231;-2.2831023;1.2831252;-6.5459676;-8.87807;3.7845125;12.25;12.25;12.25;1372;199.9999999998906
-5.6930957;1.5437903;0.54483116;3.9714677;2.9333887;4.5249844;5.8362374;9.965902;-14.644425;12.25;12.25;12.25;1372;199.9999999998906
1.310618;-5.7118626;-0.6478336;-0.2229392;0.0019667968;1.5806373;22.57031;11.638113;-13.827988;12.25;12.25;12.25;1372;199.9999999998906
-2.7129073;0.685365;-5.122459;-0.67080957;1.0371752;0.75029373;-1.2961276;-1.6549441;0.9832911;12.25;12.25;12.25;1372;199.9999999998906
2.2633119;-2.3346105;-0.90015024;0.61252016;-1.2196718;1.7782127;-26.95755;-17.135717;24.500877;12.25;12.25;12.25;1372;199.9999999998906
-2.339339;3.510597;4.4523215;-0.6166283;-4.2602615;-1.7088655;-49.028076;-60.43581;-49.931;12.25;12.25;12.25;1372;199.9999999998906
3.1724274;4.4551167;-0.7103145;2.3611133;-1.1292889;0.026123583;13.852404;-4.8553376;72.370415;12.25;12.25;12.25;1372;199.9999999998906
-1.1459883;1.6727967;1.7138487;0.59807736;0.50024486;1.791337;2.8173244;-0.97034156;-0.65319633;12.25;12.25;12.25;1372;199.9999999998906
1.5480881;5.077795;-2.8168366;0.8805679;2.0826073;1.8499829;-25.962757;-29.66173;11.525434;12.25;12.25;12.25;1372;199.9999999998906
0.28124058;1.1119163;1.8848871;0.8017171;-1.8770769;-1.909324;-14.389478;12.762365;5.4854703;12.25;12.25;12.25;1372;199.9999999998906
0.9517433;2.4263625;-2.4991112;-0.59404004;-0.14392522;-3.1183748;-17.25641;-6.488864;7.118245;12.25;12.25;12.25;1372;199.9999999998906
5.8428807;3.1876616;-2.4235532;0.82587844;0.27604344;0.51622176;0.54426605;-11.080566;26.079844;12.25;12.25;12.25;1372;199.9999999998906
2.6098151;-5.4150534;-1.9209967;-2.652284;1.8946116;0.35255548;7.925884;-2.2799237;-4.240051;12.25;12.25;12.25;1372;199.9999999998906
1.5473531;2.468454;5.271259;-0.21827644;-0.6865343;-0.063176855;24.628891;25.174582;37.232323;12.25;12.25;12.25;1372;199.9999999998906
-0.6234047;-2.7328563;6.109621;-2.2411385;2.785947;3.1500356;21.718395;14.119593;9.840214;12.25;12.25;12.25;1372;199.9999999998906
1.1104815;0.48765156;3.3993165;0.69375676;1.5542635;0.13451669;13.415834;19.962894;17.395786;12.25;12.25;12.25;1372;199.9999999998906
-2.9417148;-0.9773455;2.9795156;-3.0047195;1.0837395;0.19531837;-55.365902;128.7034;22.258251;12.25;12.25;12.25;1372;199.9999999998906
-1.6481024;-4.6215587;-2.9557302;1.8250849;-1.1336983;1.6816052;-28.272238;-19.933214;-9.512769;12.25;12.25;12.25;1372;199.9999999998906
5.672123;6.0400915;-3.3844469;0.39727697;2.4467998;-0.23365581;14.862351;0.021062842;-8.292519;12.25;12.25;12.25;1372;199.9999999998906
1.919373;-2.1767173;-2.708404;-0.7077332;0.77383965;-2.3986125;-0.60273486;6.4654937;0.63528717;12.25;12.25;12.25;1372;199.9999999998906
4.677183;4.187812;-0.98691744;1.5905997;-0.8855383;2.539676;10.392485;17.125761;-12.877447;12.25;12.25;12.25;1372;199.9999999998906
-5.9787846;-1.5745516;-4.1826844;0.0029417956;-1.8746121;2.5789404;-5.948153;-8.115683;5.2709155;12.25;12.25;12.25;1372;199.9999999998906
-0.14070584;-3.3790681;-4.8600535;4.2227535;-1.1661999;-1.4024547;3.3471544;8.2331085;-13.332573;12.25;12.25;12.25;1372;199.9999999998906
-5.4401426;4.262647;3.6802588;-3.3580692;2.06777;0.552576;-44.0077;12.781928;-27.936007;12.25;12.25;12.25;1372;199.9999999998906
-4.6174912;-6.072178;-2.9676201;1.1704035;4.2964544;-0.4753419;-17.552996;-0.61860496;24.371521;12.25;12.25;12.25;1372;199.9999999998906
3.230979;-2.7876139;1.7320681;-0.56436783;1.4171345;-1.3998914;26.23891;11.95974;21.723309;12.25;12.25;12.25;1372;199.9999999998906
-3.362735;2.1773038;1.1200761;0.59613615;-0.9055275;1.3984902;33.34627;-99.09684;1.6951648;12.25;12.25;12.25;1372;199.9999999998906
3.1252217;-1.9728023;5.946809;3.4537163;-1.4853675;-2.0176601;-13.279875;-72.97001;144.32207;12.25;12.25;12.25;1372;199.9999999998906
3.3959565;-2.8560998;-3.3467293;1.1306502;-0.7442717;-1.035054;12.160101;6.328502;8.485704;12.25;12.25;12.25;1372;199.9999999998906
-1.95759;1.7553558;-2.7621036;-2.128304;-3.6548445;0.33869913;9.54229;18.870611;-5.9429317;12.25;12.25;12.25;1372;199.9999999998906
3.8048453;-4.0144033;0.38139907;1.6622262;0.46050596;-0.94228643;-256.00464;65.117424;113.62612;12.25;12.25;12.25;1372;199.9999999998906
5.627592;6.070743;0.48296;0.79259074;0.77960086;1.6850979;4.2460504;6.055392;-8.76692;12.25;12.25;12.25;1372;199.9999999998906
-0.806401;4.7366476;-2.7578483;1.0674227;3.5838113;0.92142755;-39.69576;-64.34192;8.499461;12.25;12.25;12.25;1372;199.9999999998906
5.3603253;4.0077;2.0320296;0.20713301;-2.5783467;0.3087143;-83.75861;-29.183783;35.335827;12.25;12.25;12.25;1372;199.9999999998906
-0.95838594;-5.7776427;-3.0921867;-0.60018903;0.9714792;-1.9952819;0.9788176;1.8575119;-1.5013009;12.25;12.25;12.25;1372;199.9999999998906
4.6391506;-2.3633318;5.453174;-0.9719457;-0.39301512;-1.6817735;16.92983;-10.71883;-68.49229;12.25;12.25;12.25;1372;199.9999999998906
-0.06800503;-5.033346;-2.8195567;-0.70640254;1.8028162;0.2415455;60.327236;-51.77759;55.25223;12.25;12.25;12.25;1372;199.9999999998906
-2.9123251;2.9598472;1.0545969;0.16796136;-0.0857777;-0.07229392;50.395683;102.96184;12.232007;12.25;12.25;12.25;1372;199.9999999998906
4.8127136;1.990789;1.1811161;-0.8988828;1.295751;1.9220114;9.014989;-18.054834;3.9754386;12.25;12.25;12.25;1372;199.9999999998906
3.1434672;2.275341;-4.1115036;-3.8756208;-0.16380014;1.1747439;19.85323;-4.548781;-15.158986;12.25;12.25;12.25;1372;199.9999999998906
0.40068984;4.5636406;-3.3546789;1.4210696;-0.8559743;-2.8342252;20.60061;19.457914;6.1998453;12.25;12.25;12.25;1372;199.9999999998906
-3.1618924;3.2752354;-2.6172976;-1.9686811;-0.40547544;0.398168;4.0332646;8.577328;2.5575867;12.25;12.25;12.25;1372;199.9999999998906
-0.7443025;-4.4000907;-0.4590305;-2.449267;-0.482228;2.8054874;11.789085;2.7825458;7.1240134;12.25;12.25;12.25;1372;199.9999999998906
-4.068197;-6.0873446;3.655382;0.5363736;-2.0064974;1.4780619;2.1496556;-0.9453542;4.030981;12.25;12.25;12.25;1372;199.9999999998906
-5.6575756;-5.5026946;0.9514562;1.413751;0.42205262;-0.22859234;-18.449339;14.627959;9.793092;12.25;12.25;12.25;1372;199.9999999998906
-2.5341585;1.4308525;-1.9674922;-1.662628;-0.17148462;0.66554695;-10.499166;-1.6405675;11.364512;12.25;12.25;12.25;1372;199.9999999998906
5.084036;5.0068393;3.5820966;-0.83221984;1.7476482;0.1910529;14.580628;34.3037;33.15983;12.25;12.25;12.25;1372;199.9999999998906
5.6725035;5.527006;-5.75579;-1.3275428;-0.96574354;1.2920156;10.865912;-30.222876;-0.46660396;12.25;12.25;12.25;1372;199.9999999998906
1.3903004;-4.726767;-1.0385004;-1.9529262;2.0275433;-2.9849796;29.384605;-45.831173;-45.79557;12.25;12.25;12.25;1372;199.9999999998906
-2.1120574;-5.6127357;-3.3103695;0.002468782;-1.082945;0.43318266;-2.0366914;10.174877;-10.2615595;12.25;12.25;12.25;1372;199.9999999998906
-2.1908355;-5.219086;0.85596764;-1.2792195;-2.1263113;-1.8941032;-17.140053;42.490005;48.11567;12.25;12.25;12.25;1372;199.9999999998906
-1.525214;5.062544;1.293186;0.9841669;-1.1221163;1.702854;23.85067;61.810883;31.583986;12.25;12.25;12.25;1372;199.9999999998906
3.3849022;4.2553806;-3.8042133;0.3332227;4.918695;2.4057243;-10.5262575;-2.2685468;-19.57848;12.25;12.25;12.25;1372;199.9999999998906
-2.0759568;2.4042141;-5.2536554;2.1488774;-0.66212577;-0.1401984;4.387374;1.3727642;-0.003755414;12.25;12.25;12.25;1372;199.9999999998906
4.827259;4.0449486;-5.683491;4.009181;-1.273681;2.3304462;-5.3949394;-1.3735847;-1.5586731;12.25;12.25;12.25;1372;199.9999999998906
-4.2415347;0.11818662;0.15145963;1.8203177;-1.1933985;1.5833422;-2.2180014;-22.841372;-23.690016;12.25;12.25;12.25;1372;199.9999999998906
0.3321966;0.10460259;-4.5709815;-1.2530724;-3.0673387;-1.9132913;-5.021939;3.4177659;-1.8903832;12.25;12.25;12.25;1372;199.9999999998906
4.5570507;3.731159;-4.6471634;1.1809031;1.216595;0.37307864;-29.512808;22.073177;9.401011;12.25;12.25;12.25;1372;199.9999999998906
-4.9193807;5.1435323;5.1283183;-1.8436316;-0.5204409;1.9123199;-0.7899161;-2.523499;3.1543252;12.25;12.25;12.25;1372;199.9999999998906
-2.749024;1.9246044;-3.3903883;0.77430207;-1.2636653;-0.9606216;-13.792534;11.953859;4.310593;12.25;12.25;12.25;1372;199.9999999998906
5.428559;3.1217918;-0.58482975;-0.09718863;0.8865662;-0.8133071;-32.508453;-48.295;-5.7522974;12.25;12.25;12.25;1372;199.9999999998906
4.9859905;2.811505;0.45535728;-0.05108406;-1.7924645;1.7607378;7.478749;-1.4651783;-10.138087;12.25;12.25;12.25;1372;199.9999999998906
-4.3953605;-1.6260982;-2.9403126;-0.37070283;-1.4497356;-0.15752837;-12.407854;-7.801081;-22.778004;12.25;12.25;12.25;1372;199.9999999998906
0.62916577;-0.7673818;-0.06552348;2.6720781;0.34881532;-1.625539;84.339066;86.04464;-24.092901;12.25;12.25;12.25;1372;199.9999999998906
3.4387894;2.275736;-0.06369471;0.34586304;-0.24189962;-0.7431833;-10.745221;-5.139068;-2.0984104;12.25;12.25;12.25;1372;199.9999999998906
0.57898515;0.13526945;2.5866487;1.5768251;-0.35257986;1.533955;-26.595016;71.85005;-69.11164;12.25;12.25;12.25;1372;199.9999999998906
1.355658;2.2913127;1.9151809;0.9532959;1.2726861;-0.77068347;-24.813963;-3.966445;14.392824;12.25;12.25;12.25;1372;199.9999999998906
-2.9802632;3.8537643;-5.798632;0.8161524;0.66424036;-2.1641743;-36.748917;-8.506475;20.637747;12.25;12.25;12.25;1372;199.9999999998906
-2.9933968;4.299497;-3.2006385;-1.1012158;-1.082092;0.62821937;18.31211;-1.8118472;-63.069386;12.25;12.25;12.25;1372;199.9999999998906
2.6610365;-4.7705474;-0.86096966;-0.06037069;3.9896562;-2.2102404;-4.3547244;-7.790896;9.756545;12.25;12.25;12.25;1372;199.9999999998906
-1.1843902;5.4590974;6.0065403;-0.66397274;-1.8410382;0.45329338;-40.368668;-20.67254;-0.36635694;12.25;12.25;12.25;1372;199.9999999998906
-2.8336508;-1.9576315;-0.92134213;0.9388506;-0.19460608;0.95394397;21.928616;1.38651;0.7093147;12.25;12.25;12.25;1372;199.9999999998906
-2.988256;-3.7845232;2.1789742;-1.4427366;1.2478479;3.608396;-26.70063;-10.706835;-5.0391545;12.25;12.25;12.25;1372;199.9999999998906
-3.6903734;-4.768305;1.6431452;-1.4176571;-0.23066877;-0.7242378;8.141086;6.7622485;-5.5266023;12.25;12.25;12.25;1372;199.9999999998906
-4.94795;0.13616344;-0.9462133;-1.0080682;-2.1884854;-1.6474187;2.622977;-8.51601;35.47109;12.25;12.25;12.25;1372;199.9999999998906
1.0979013;3.287098;1.354332;-0.1897642;3.3022008;2.2369738;-4.344499;-18.965147;-7.153126;12.25;12.25;12.25;1372;199.9999999998906
-4.7688894;-4.049958;-4.5077577;-0.12249608;-0.77811724;2.3622081;15.649958;7.227646;-22.068151;12.25;12.25;12.25;1372;199.9999999998906
3.8856997;3.5297713;4.213594;-1.7463646;2.0330715;1.9263349;3.0408847;-1.8039718;-2.4585953;12.25;12.25;12.25;1372;199.9999999998906
2.782268;-0.32416844;3.3693705;3.1933818;-0.19489902;-0.12420746;-26.812084;20.479174;-6.021592;12.25;12.25;12.25;1372;199.9999999998906
-0.5777708;1.9988012;-0.49636823;1.0220416;0.49046537;0.025815433;3.677056;-2.2415047;1.9738913;12.25;12.25;12.25;1372;199.9999999998906
