radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;0.0
0.99;0.0
1.0;0.0
1.01;0.0
1.02;0.0
1.03;0.41411886
1.04;1.461894
1.05;3.0010645
1.06;6.4778266
1.07;8.635194
1.08;10.421503
1.09;10.904735
1.1;9.671236
1.11;7.811998
1.12;6.8012156
1.1300000000000001;5.364751
1.1400000000000001;4.097688
1.1500000000000001;3.165096
1.16;2.3260176
1.17;1.8133669
1.18;1.4949282
1.19;1.2186209
1.2;1.1349607
1.21;1.0244532
1.22;0.97660017
1.23;0.75049806
1.24;0.6189858
1.25;0.6725176
1.26;0.51881164
1.27;0.44078964
1.28;0.6323487
1.29;0.4388771
1.3;0.44989875
1.31;0.49630603
1.32;0.4227239
1.33;0.42460042
1.34;0.4011674
1.35;0.48516312
1.36;0.48467368
1.37;0.36965585
1.3800000000000001;0.50601524
1.3900000000000001;0.30518597
1.4000000000000001;0.39725542
1.41;0.4235142
1.42;0.48895788
1.43;0.48288465
1.44;0.37273768
1.45;0.54114586
1.46;0.4335482
1.47;0.5194957
1.48;0.5458092
1.49;0.47994718
1.5;0.4476438
1.51;0.4716495
1.52;0.49520773
1.53;0.54114705
1.54;0.5561057
1.55;0.57253736
1.56;0.5912998
1.57;0.6354804
1.58;0.6248953
1.59;0.73078704
1.6;0.6308319
1.61;0.62006944
1.62;0.71573323
1.6300000000000001;0.6711737
1.6400000000000001;0.6407697
1.6500000000000001;0.6801589
1.6600000000000001;0.74443495
1.67;0.5813684
1.68;0.64217013
1.69;0.7997018
1.7;0.77314615
1.71;0.7119239
1.72;0.83201885
1.73;0.784954
1.74;0.98895043
1.75;1.0185134
1.76;1.1578242
1.77;1.2594293
1.78;1.3053036
1.79;1.3983163
1.8;1.4110545
1.81;1.4435228
1.82;1.5467913
1.83;1.6526706
1.84;1.6754801
1.85;1.9213741
1.86;1.7474625
1.87;1.8954172
1.8800000000000001;2.0485837
1.8900000000000001;2.094244
1.9000000000000001;2.1786323
1.9100000000000001;1.9907391
1.92;1.9154485
1.93;1.8651989
1.94;1.9601084
1.95;1.7438478
1.96;1.6807749
1.97;1.4780501
1.98;1.5715716
1.99;1.4524091
2.0;1.2193874
2.0100000000000002;1.3606684
2.02;1.353696
2.0300000000000002;1.3332367
2.04;1.4532903
2.05;1.3160316
2.06;1.4124305
2.07;1.3724021
2.08;1.4809656
2.09;1.459182
2.1;1.5827951
