temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
2.7999003;-0.839623;5760.0254;-7980.7793;-2220.754;-16150.401;0.00021000003;0.0070000007
2.7987456;-0.80265844;5755.1694;-7956.2427;-2201.0732;-15936.837;0.0008396684;0.013994473
2.7974405;-0.7468214;5748.537;-7929.5923;-2181.0552;-15615.643;0.0018882036;0.02098004
2.7954235;-0.6693906;5738.2256;-7898.7573;-2160.5317;-15168.005;0.0033543298;0.027952747
2.7923324;-0.56319827;5722.411;-7855.8296;-2133.4185;-14550.746;0.005235809;0.034905393
2.7876523;-0.41853005;5698.5938;-7790.497;-2091.9033;-13705.296;0.007528881;0.04182712
2.7807171;-0.22430296;5663.881;-7692.5205;-2028.6396;-12564.747;0.010227372;0.04870177
2.7709014;0.032819908;5616.7954;-7549.329;-1932.5337;-11052.596;0.01332144;0.055506
2.7584057;0.362878;5561.248;-7352.004;-1790.7559;-9121.298;0.016796393;0.06220886
2.7452517;0.7647294;5507.2812;-7102.6064;-1595.3252;-6797.2354;0.020632716;0.06877572
2.7340372;1.225505;5463.339;-6812.212;-1348.873;-4168.2666;0.024807625;0.07517462
2.7259219;1.7265848;5435.05;-6494.8633;-1059.8135;-1348.3354;0.029295146;0.081375405
2.7227674;2.237877;5431.464;-6175.8613;-744.39746;1478.5094;0.034065396;0.087347165
2.726955;2.7230768;5457.978;-5883.923;-425.94482;4101.259;0.03908629;0.093062595
2.7379444;3.151377;5507.256;-5639.686;-132.43018;6364.6924;0.04432404;0.09849787
2.752094;3.5059187;5563.83;-5450.5664;113.26367;8206.769;0.04974179;0.103628725
2.7655666;3.7865748;5614.893;-5311.0977;303.7954;9652.405;0.05530092;0.10843318
2.7765152;4.00257;5656.446;-5211.118;445.32764;10760.469;0.060965378;0.11289885
2.7853673;4.161709;5691.324;-5144.9873;546.3369;11568.329;0.06670569;0.11702752
2.793148;4.2706437;5722.0186;-5108.6504;613.36816;12107.695;0.07250055;0.12083425
2.7998521;4.3356295;5747.641;-5098.0566;649.5845;12414.833;0.1797689;0.28534746
2.8050823;4.3657594;5766.885;-5107.0166;659.86816;12542.506;0.18537055;0.28086448
2.8084347;4.372836;5775.94;-5126.368;649.5718;12563.422;0.29231423;0.4236438
2.8083813;4.376097;5770.645;-5139.384;631.2612;12591.998;0.29762027;0.4133615
2.805116;4.3894725;5755.4717;-5137.5;617.9717;12696.1045;0.30298492;0.4039799
2.8008828;4.419412;5739.4004;-5118.8076;620.5928;12893.359;0.51129043;0.65550053
2.7977514;4.460136;5730.367;-5091.1323;639.23486;13136.009;0.61777586;0.76268625
2.7973135;4.5000024;5732.911;-5065.8037;667.1074;13350.776;0.72409487;0.8620177
2.7996426;4.527281;5743.751;-5052.5513;691.1997;13479.531;0.83040947;0.95449364
2.8026037;4.539798;5753.862;-5050.7;703.1616;13528.339;0.8350958;0.9278842
2.8042047;4.5441995;5758.3926;-5052.855;705.5376;13543.552;0.94139576;1.0122535
2.8044896;4.5453463;5758.7505;-5055.676;703.0747;13549.159;1.0474892;1.0911345
2.804135;4.547467;5756.8696;-5056.4854;700.3843;13564.62;1.2548503;1.2675256
2.8033707;4.5518913;5753.6606;-5054.67;698.9907;13595.436;1.2588819;1.234198
2.8025196;4.5594354;5751.1826;-5050.2295;700.9531;13641.994;1.5673568;1.4927208
2.8022513;4.5675745;5751.0938;-5045.3857;705.708;13687.06;1.5706954;1.4543476
2.8024867;4.5741286;5751.961;-5042.69;709.271;13721.468;1.7772;1.601081
2.8025703;4.57993;5751.4956;-5039.924;711.5718;13754.391;2.0847712;1.8287467
2.8021195;4.588208;5748.2627;-5033.9316;714.33105;13806.511;2.1887798;1.870752
2.8008647;4.6021338;5742.093;-5021.848;720.2446;13895.647;2.3940144;1.9950119
2.7992666;4.6217356;5737.113;-5004.5444;732.56836;14013.707;2.4977033;2.030653
2.799035;4.6398315;5740.117;-4990.5;749.6172;14107.493;2.7027948;2.145075
2.8013434;4.645733;5751.612;-4988.366;763.2456;14117.049;3.0089037;2.3324835
2.8045712;4.636622;5762.936;-4998.439;764.4971;14044.155;3.111271;2.3570232
2.8063848;4.6181784;5768.478;-5013.5625;754.9155;13931.358;3.1122973;2.3054054
2.8069873;4.594762;5771.075;-5031.1216;739.9536;13797.029;3.2150028;2.3297122
2.8075514;4.56698;5773.516;-5052.0273;721.4888;13638.934;3.520559;2.4968505
2.8079607;4.5371466;5773.869;-5073.21;700.6592;13473.703;3.622963;2.5159464
2.8073921;4.509479;5770.1846;-5091.373;678.8115;13328.493;3.9286768;2.6725693
2.805969;4.4876614;5764.422;-5103.559;660.8628;13219.696;4.030994;2.687329
2.8046117;4.471244;5760.2886;-5111.492;648.7964;13137.425;4.0320244;2.6353102
2.8040824;4.4562426;5759.6553;-5119.3804;640.2749;13055.961;4.23661;2.7157757
2.804253;4.44036;5761.1084;-5128.5967;632.5117;12965.468;4.3398867;2.7294886
2.804566;4.421774;5763.177;-5140.573;622.6035;12858.831;4.1384916;2.5546246
2.8048973;4.4008007;5764.58;-5154.3584;610.2217;12740.362;4.2418957;2.5708458
2.8047066;4.380688;5763.4136;-5166.878;596.53564;12631.779;4.040813;2.4052458
