radius;rdf
0.01;7524.121
0.02;1169.6971
0.03;386.12378
0.04;140.83493
0.05;104.38229
0.06;69.48838
0.07;38.776897
0.08;27.817554
0.09;23.300354
0.1;20.658316
0.11;16.852274
0.12;17.82591
0.13;15.183893
0.14;15.610914
0.15;12.999573
0.16;13.297716
0.17;14.097909
0.18;12.067901
0.19;13.202855
0.2;11.542722
0.21;11.151054
0.22;12.098897
0.23;11.187841
0.24;11.164019
0.25;12.525779
0.26;13.1360235
0.27;11.987224
0.28;12.759258
0.29;12.208998
0.3;13.469752
0.31;12.583862
0.32;13.454105
0.33;12.910108
0.34;12.879441
0.35000000000000003;13.877823
0.36;15.289236
0.37;13.098209
0.38;13.520305
0.39;14.102738
0.4;14.238556
0.41000000000000003;14.158963
0.42;13.963022
0.43;13.098972
0.44;12.834231
0.45;13.491686
0.46;13.451339
0.47000000000000003;13.5084505
0.48;13.340216
0.49;13.167313
0.5;12.8717985
0.51;12.966694
0.52;12.618594
0.53;13.363427
0.54;13.060363
0.55;13.563911
0.56;12.719163
0.5700000000000001;12.872802
0.58;12.165751
0.59;12.8986845
0.6;13.225595
0.61;13.397172
0.62;14.34886
0.63;13.759259
0.64;13.770871
0.65;14.211493
0.66;13.689472
0.67;13.145552
0.68;13.378989
0.6900000000000001;13.721426
0.7000000000000001;13.408243
0.71;13.186892
0.72;13.318649
0.73;13.697593
0.74;13.181709
0.75;12.946265
0.76;12.844495
0.77;12.7825165
0.78;12.8021
0.79;12.990944
0.8;12.851313
0.81;12.913695
0.8200000000000001;13.233843
0.8300000000000001;13.279169
0.84;13.244152
0.85;13.363869
0.86;13.438162
0.87;13.139281
0.88;13.469683
0.89;13.452698
0.9;13.751927
0.91;13.581031
0.92;13.610933
0.93;13.743806
0.9400000000000001;13.280704
0.9500000000000001;13.723648
0.96;13.73806
0.97;13.425133
0.98;13.070267
0.99;13.226705
1.0;13.519524
1.01;13.643953
1.02;13.301172
1.03;13.91815
1.04;14.274871
1.05;14.338757
1.06;14.595075
1.07;15.687358
1.08;18.047428
1.09;22.957214
1.1;30.456041
1.11;39.208908
1.12;40.813602
1.1300000000000001;30.226877
1.1400000000000001;24.28299
1.1500000000000001;20.225267
1.16;18.352388
1.17;17.295044
1.18;16.283993
1.19;15.832905
1.2;15.224866
1.21;15.021267
1.22;15.020864
1.23;14.999647
1.24;14.888742
1.25;14.917537
1.26;14.746211
1.27;14.311477
1.28;14.277125
1.29;14.141968
1.3;14.05694
1.31;14.067111
1.32;14.219121
1.33;14.380257
1.34;14.402497
1.35;14.193814
1.36;14.279578
1.37;14.060813
1.3800000000000001;13.9841795
1.3900000000000001;14.2829
1.4000000000000001;14.221028
1.41;14.3280325
1.42;14.268293
1.43;14.149554
1.44;14.636369
1.45;14.524064
1.46;14.330224
1.47;14.212737
1.48;14.261836
1.49;14.186483
1.5;14.088678
1.51;14.258568
1.52;14.569655
1.53;14.542957
1.54;14.762835
1.55;14.546607
1.56;14.51484
1.57;14.527006
1.58;14.30618
1.59;14.423708
1.6;14.368901
1.61;14.304916
1.62;14.1918955
1.6300000000000001;14.400841
1.6400000000000001;14.542553
1.6500000000000001;14.416219
1.6600000000000001;14.594338
1.67;14.768939
1.68;14.549563
1.69;14.579696
1.7;14.428172
1.71;14.464884
1.72;14.366148
1.73;14.698432
1.74;14.591138
1.75;14.683623
1.76;14.706576
1.77;14.652478
1.78;14.743482
1.79;14.683786
1.8;14.848277
1.81;14.885276
1.82;14.786571
1.83;14.744204
1.84;14.999629
1.85;14.948916
1.86;14.799075
1.87;14.858403
1.8800000000000001;15.087812
1.8900000000000001;15.13894
1.9000000000000001;15.243099
1.9100000000000001;14.893305
1.92;15.112043
1.93;14.933801
1.94;15.047734
1.95;14.794287
1.96;14.747983
1.97;14.649319
1.98;14.750474
1.99;14.918279
2.0;14.962908
2.0100000000000002;14.849362
2.02;14.797667
2.0300000000000002;14.636313
2.04;14.661452
2.05;14.794619
2.06;14.80991
2.07;14.822349
2.08;14.846818
2.09;14.979948
2.1;14.907263
2.11;15.029232
2.12;15.148239
2.13;15.283145
2.14;15.307463
2.15;15.472734
2.16;15.657733
2.17;15.712184
2.18;15.376983
2.19;15.053484
2.2;15.078841
2.21;15.031543
2.22;15.221772
2.23;15.152312
2.24;14.800898
2.25;14.782658
2.2600000000000002;14.817535
2.27;14.680119
2.2800000000000002;14.54051
2.29;14.628781
2.3000000000000003;14.632719
2.31;14.764951
2.32;14.580819
2.33;14.421445
2.34;14.476767
2.35;14.501997
2.36;14.411283
2.37;14.304018
2.38;14.342719
2.39;14.563153
2.4;14.529715
2.41;14.552167
2.42;14.492237
2.43;14.520388
2.44;14.55637
2.45;14.520209
2.46;14.617144
2.47;14.487418
2.48;14.601611
2.49;14.63887
2.5;14.623513
2.5100000000000002;14.335624
2.52;14.374504
2.5300000000000002;14.367872
2.54;14.419767
2.5500000000000003;14.570262
2.56;14.717489
2.57;14.713384
2.58;14.845521
2.59;14.779237
2.6;14.773173
2.61;14.600294
2.62;14.480742
2.63;14.511151
2.64;14.554207
2.65;14.621339
2.66;14.545738
2.67;14.660923
2.68;14.549353
2.69;14.526425
2.7;14.567864
2.71;14.565369
2.72;14.476263
2.73;14.498319
2.74;14.52255
2.75;14.639692
2.7600000000000002;14.816392
2.77;14.8685
2.7800000000000002;14.805493
2.79;14.7429085
2.8000000000000003;14.867392
2.81;14.830639
2.82;14.826345
2.83;14.811331
2.84;14.736959
2.85;14.719232
2.86;14.500569
2.87;14.668429
2.88;14.6428175
2.89;14.667074
2.9;14.652978
2.91;14.625846
2.92;14.531987
2.93;14.648048
2.94;14.760439
2.95;14.707758
2.96;14.710315
2.97;14.651097
2.98;14.606252
2.99;14.652658
3.0;14.772099
3.0100000000000002;14.767036
3.02;14.861502
3.0300000000000002;14.923901
3.04;14.750522
3.0500000000000003;14.726858
3.06;14.751961
3.0700000000000003;14.795167
3.08;14.684439
3.09;14.799114
3.1;14.81884
3.11;14.848255
3.12;14.784612
3.13;14.851804
3.14;14.875017
3.15;14.828011
3.16;14.856088
3.17;14.940242
3.18;14.946835
3.19;14.947035
3.2;14.878249
3.21;14.7438345
3.22;14.763821
3.23;14.639043
3.24;14.75922
3.25;14.630331
3.2600000000000002;14.683269
3.27;14.675689
3.2800000000000002;14.609047
3.29;14.607329
3.3000000000000003;14.721622
3.31;14.763111
3.3200000000000003;14.6832485
3.33;14.643556
3.34;14.637845
3.35;14.649612
3.36;14.586386
3.37;14.668892
3.38;14.617139
3.39;14.484401
3.4;14.606663
3.41;14.662769
3.42;14.599414
3.43;14.630564
3.44;14.550912
3.45;14.697297
3.46;14.659213
3.47;14.601677
3.48;14.658972
3.49;14.673626
3.5;14.5320015
3.5100000000000002;14.452658
3.52;14.512251
3.5300000000000002;14.558784
3.54;14.634626
3.5500000000000003;14.644941
3.56;14.671286
3.5700000000000003;14.681098
3.58;14.691955
3.59;14.711345
3.6;14.684581
3.61;14.699397
3.62;14.675461
3.63;14.699632
3.64;14.664501
3.65;14.662689
3.66;14.658216
3.67;14.708021
3.68;14.740484
3.69;14.8028555
3.7;14.757976
3.71;14.784289
3.72;14.729443
3.73;14.729271
3.74;14.661578
3.75;14.73175
3.7600000000000002;14.731069
3.77;14.722901
3.7800000000000002;14.699751
3.79;14.761888
3.8000000000000003;14.693069
3.81;14.700155
3.8200000000000003;14.698228
3.83;14.763704
3.84;14.745673
3.85;14.611347
3.86;14.669266
3.87;14.654435
3.88;14.674152
3.89;14.620944
3.9;14.652204
3.91;14.685808
3.92;14.645996
3.93;14.659829
3.94;14.586393
3.95;14.589726
3.96;14.573058
3.97;14.534425
3.98;14.699961
3.99;14.752569
4.0;14.750071
4.01;14.766648
4.0200000000000005;14.677375
4.03;14.656772
4.04;14.581669
4.05;14.450631
4.0600000000000005;14.428008
4.07;14.4214325
4.08;14.509431
4.09;14.636673
4.1;14.626564
4.11;14.692961
4.12;14.781838
4.13;14.844045
4.14;14.735211
4.15;14.794038
4.16;14.802737
4.17;14.753616
4.18;14.668661
4.19;14.7534275
4.2;14.764416
4.21;14.618143
4.22;14.534967
4.23;14.547949
4.24;14.540873
4.25;14.631423
4.26;14.717281
4.2700000000000005;14.660662
4.28;14.709358
4.29;14.73889
4.3;14.714199
4.3100000000000005;14.673843
4.32;14.614056
4.33;14.662797
4.34;14.651297
4.3500000000000005;14.60307
4.36;14.574811
4.37;14.611363
4.38;14.68275
4.39;14.715269
4.4;14.753799
4.41;14.75766
4.42;14.72752
4.43;14.647404
4.44;14.805376
4.45;14.830117
4.46;14.784125
4.47;14.732877
4.48;14.610221
4.49;14.671768
4.5;14.735743
4.51;14.796896
4.5200000000000005;14.696568
4.53;14.745977
4.54;14.670616
4.55;14.680561
4.5600000000000005;14.727364
4.57;14.645639
4.58;14.637778
4.59;14.683359
4.6000000000000005;14.621889
4.61;14.713849
4.62;14.827794
4.63;14.77291
4.64;14.661707
4.65;14.686713
4.66;14.687863
4.67;14.64103
4.68;14.804206
4.69;14.743236
4.7;14.734678
4.71;14.643215
4.72;14.741239
4.73;14.770618
4.74;14.613416
4.75;14.674271
4.76;14.664145
4.7700000000000005;14.696357
4.78;14.643681
4.79;14.566473
4.8;14.61419
4.8100000000000005;14.708029
4.82;14.693894
4.83;14.666649
4.84;14.629317
4.8500000000000005;14.540449
4.86;14.533569
4.87;14.57224
4.88;14.572892
4.89;14.5201845
4.9;14.58088
4.91;14.613485
4.92;14.732337
4.93;14.714059
4.94;14.6280575
4.95;14.596397
4.96;14.583342
4.97;14.668778
4.98;14.699237
4.99;14.698195
5.0;14.616439
5.01;14.645073
5.0200000000000005;14.745057
5.03;14.666711
5.04;14.67793
5.05;14.710504
5.0600000000000005;14.591582
5.07;14.640638
5.08;14.678233
5.09;14.7179985
5.1000000000000005;14.705582
5.11;14.651507
5.12;14.6673355
5.13;14.659301
5.14;14.605088
5.15;14.607009
5.16;14.65266
5.17;14.63547
5.18;14.614322
5.19;14.669566
5.2;14.705252
5.21;14.701821
5.22;14.692387
5.23;14.71116
5.24;14.71083
5.25;14.688348
5.26;14.746814
5.2700000000000005;14.613699
5.28;14.573488
5.29;14.630487
5.3;14.696965
5.3100000000000005;14.616988
5.32;14.646063
5.33;14.687746
5.34;14.73181
5.3500000000000005;14.695076
5.36;14.618613
5.37;14.567465
5.38;14.634965
5.39;14.565176
5.4;14.529447
5.41;14.527509
5.42;14.580006
5.43;14.630366
5.44;14.623449
5.45;14.677372
5.46;14.621166
