temperature;pressure;system_kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
2.815877;5.013735;5817.4473;-4767.117;1050.33;15825.743;259.1217;8637.391
2.8557894;5.343073;5909.298;-4627.932;1281.3656;17276.281;259.31573;4321.929
2.9082851;5.70381;6039.4053;-4475.9688;1563.4366;18804.934;259.28952;2880.9946
2.9861612;6.0925984;6236.6978;-4321.842;1914.856;20334.158;259.36655;2161.388
3.1041207;6.4534836;6521.8633;-4217.411;2304.4521;21521.701;259.5489;1730.326
3.2655468;6.7584987;6885.3228;-4180.289;2705.0334;22240.693;259.3984;1441.1023
3.456541;7.012458;7280.135;-4191.2036;3088.9312;22615.207;259.35367;1235.0175
3.646983;7.2537165;7653.2183;-4202.8184;3450.4;22957.691;259.30054;1080.4188
3.8179305;7.5460124;7976.8525;-4159.698;3817.154;23659.41;259.35648;960.5795
3.9625146;7.885937;8255.207;-4066.7642;4188.443;24691.459;259.515;865.05005
4.091968;8.215147;8510.084;-3975.1753;4534.9087;25704.54;259.5639;786.5573
4.2136617;8.843352;8835.845;-3661.1187;5174.7266;28114.705;259.6078;721.13275
4.5006094;8.968527;9365.518;-3819.1147;5546.4033;27506.365;259.54352;665.49615
4.6414704;9.210094;9643.153;-3801.4263;5841.7266;27997.729;259.5856;618.0609
4.771029;9.442719;9898.981;-3787.3972;6111.5845;28482.01;259.62653;576.9478
4.8900642;10.089215;10202.366;-3460.265;6742.1016;30974.348;259.55765;540.7451
5.155695;10.180878;10690.478;-3637.5825;7052.8945;30268.945;259.4823;508.78882
5.283686;10.454656;10861.5205;-3564.7676;7296.7534;31117.61;259.41266;480.39383
5.329556;10.756592;10980.416;-3456.445;7523.9707;32208.176;259.34204;454.98605
5.4062657;11.014668;11109.594;-3389.3882;7720.2056;33053.734;259.27054;432.11755
5.4404917;11.3518505;11147.412;-3231.0947;7916.3174;34474.402;259.19934;411.42752
5.44908;12.143851;11352.221;-2769.1865;8583.034;37823.92;258.90747;392.28403
5.7897043;12.486451;11929.039;-2775.6758;9153.363;38187.312;258.94193;375.27817
5.897632;12.616164;12141.99;-2823.004;9318.986;38221.21;258.86972;359.54126
5.962505;12.9125;12258.034;-2708.9233;9549.11;39271.875;258.6861;344.9148
6.0180573;13.085429;12374.993;-2685.3262;9689.667;39711.31;258.61597;331.55893
6.071031;13.486707;12456.894;-2477.6758;9979.218;41342.37;258.65576;319.3281
6.120649;13.801948;12442.849;-2293.938;10148.91;42742.332;258.58633;307.84088
6.121877;13.877157;12594.253;-2345.0464;10249.207;42637.723;258.51785;297.14694
6.2179976;13.961049;12759.409;-2388.566;10370.844;42548.516;258.44897;287.16553
6.26172;14.086217;12878.856;-2381.4326;10497.424;42752.035;258.37823;277.82608
6.3403616;14.41539;13175.338;-2275.4453;10899.893;43591.758;258.41037;269.1775
6.597434;16.284702;15740.877;-1688.7031;14052.174;47349.125;258.22696;260.8353
10.597943;34.26144;49253.797;1503.69;50757.49;67058.6;257.81494;252.75977
64.75334;60.71568;122276.31;-1264.8477;121011.46;49922.562;258.0834;245.7937
55.375317;58.74522;109156.72;2125.1724;111281.89;69840.086;257.80664;238.70985
58.592155;123.344574;242817.77;11495.645;254313.42;126018.61;257.77924;232.23355
283.68268;263.777;606140.9;13281.726;619422.56;134852.0;257.9394;226.26262
562.8287;508.31244;1215620.1;47861.727;1263481.9;342142.84;258.09735;220.59602
1476.6129;241.51343;655954.25;22082.785;678037.0;184331.06;258.26157;215.21797
358.5284;283.072;843496.8;24424.41;867921.2;197843.55;258.3217;210.01764
934.23474;346.84824;1062411.5;57469.164;1119880.6;398288.1;257.83408;204.6302
1357.2295;300.66776;1042007.3;53677.375;1095684.6;373647.94;258.57025;200.44206
1745.5775;246.09021;900146.2;66281.06;966427.25;450768.0;258.2571;195.64932
1773.1543;166.7153;675850.9;48192.492;724043.4;341365.25;259.1078;191.93169
835.63446;324.39053;1476880.9;92206.11;1569087.0;607737.5;259.27274;187.8788
2452.8625;94.982994;451234.6;43689.85;494924.44;313233.9;259.93683;184.35237
723.6619;288.81192;1655618.9;87965.92;1743584.9;582367.8;260.00168;180.55673
2516.7915;89.711716;511054.5;57599.523;568654.0;398112.9;260.56366;177.25418
944.3906;198.45815;1372589.5;88824.0;1461413.5;586929.0;260.50262;173.66841
2373.728;72.17961;478867.72;63253.277;542121.0;433389.22;260.5419;170.28883
780.82275;195.79088;1637435.6;108256.11;1745691.8;705252.4;260.6693;167.0957
2956.0195;59.132206;401432.53;91723.49;493156.0;604858.0;260.8078;164.03006
1661.8005;99.10234;895192.3;105531.42;1000723.7;689695.1;260.08115;160.54393
1832.1848;127.47424;1236156.0;164389.16;1400545.1;1045469.8;260.86465;158.0998
4499.573;26.908134;128016.21;90515.27;218531.48;598796.3;261.69333;155.76985
937.7042;87.63032;1169425.6;69578.266;1239003.9;471021.4;261.04434;152.6575
1769.6409;76.51775;1016964.06;102801.766;1119765.9;671590.44;260.24194;149.56433
2464.6694;43.771194;580258.44;80773.33;661031.8;538628.7;260.47842;147.16295
1529.5101;53.11228;864424.5;62228.35;926652.9;425202.12;260.85663;144.92035
1202.6715;80.448326;1408496.8;98952.72;1507449.5;648364.44;260.67633;142.44609
2986.069;23.452637;365765.06;57573.21;423338.28;397747.72;260.73;140.17743
628.24756;74.09095;1548317.2;70821.95;1619139.2;477141.94;260.65872;137.91466
2179.6284;37.977562;714359.44;92010.84;806370.3;606225.06;260.6941;135.77817
1683.6588;46.547752;1006424.1;88590.47;1095014.6;585895.75;260.9713;133.83144
2122.9243;35.084156;727738.6;95633.516;823372.1;628305.44;261.8829;132.26408
1710.2057;38.591263;940330.6;73718.25;1014048.9;495733.2;260.70306;129.70302
1641.36;32.88702;818114.6;71186.41;889301.0;480173.1;261.11676;127.99841
1143.8501;51.828663;1384106.0;101699.4;1485805.4;666114.0;262.67484;126.89605
2396.9927;23.4391;581433.75;78116.89;659550.6;523145.3;260.9452;124.25961
1288.9135;56.806404;1607895.4;135694.38;1743589.8;870931.56;259.78662;121.965546
4027.0156;12.616831;225629.3;83434.31;309063.6;553963.8;262.13556;121.359055
1276.2382;34.628853;1105658.1;61697.613;1167355.6;422495.5;262.3181;119.77996
1500.172;33.368126;1090556.0;66085.95;1156641.9;447794.7;262.0403;118.03618
1767.9629;35.2398;1107901.8;99520.29;1207422.1;650986.6;263.18195;116.96976
2548.4514;21.002785;601467.5;87510.33;688977.8;578500.8;262.08527;114.949684
1726.1088;26.904749;888325.25;71174.35;959499.6;479757.38;261.1983;113.07286
1402.5983;41.36698;1402396.5;107841.97;1510238.5;701606.4;259.9138;111.074265
3035.5618;17.477066;451325.88;103163.84;554489.75;674512.1;261.58682;110.37419
1753.0374;30.26572;1021615.4;93249.47;1114864.9;612758.0;261.31036;108.87932
2286.457;24.86651;785491.9;101797.27;887289.2;665564.1;261.26398;107.516045
2140.9268;30.016306;969980.8;119540.09;1089520.9;772022.75;260.79004;106.01221
3159.174;13.694789;391127.4;72497.19;463624.6;487859.3;260.78555;104.733154
1222.1074;34.15314;1248746.5;77764.266;1326510.8;519085.06;260.8151;103.49805
2100.25;20.990961;700653.0;78159.234;778812.2;521860.5;260.4356;102.13161
1219.7354;34.817753;1274876.2;90549.2;1365425.4;596563.94;260.81348;101.09049
2124.1355;29.009733;944148.8;130665.945;1074814.8;841331.1;262.0677;100.40907
2913.5132;16.185318;468278.3;94437.18;562715.5;622179.25;260.29282;98.595764
1368.7427;43.012905;1581940.8;128289.12;1710229.9;827383.3;260.3559;97.51157
3652.543;16.457783;312561.06;159477.38;472038.44;1016822.5;261.21536;96.74644
2773.6685;16.095837;486362.06;87011.44;573373.5;577668.56;261.07166;95.630646
1484.0582;28.690657;1026246.2;92118.086;1118364.2;608249.2;259.9308;94.177826
1552.1665;33.90582;1257829.1;105191.734;1363020.9;687450.0;260.794;93.474556
