time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1041.8752;1.7364588
0.01;0.03017348;0.50289136;980.2933;3.370281
0.015;0.11099472;1.2332747;899.384;4.869254
0.02;0.23830526;1.9858773;831.8756;6.2557135
0.025;0.4085236;2.7234905;772.9371;7.543942
0.03;0.61865056;3.4369476;720.26855;8.74439
0.035;0.8659143;4.123401;672.1846;9.864697
0.04;1.1478643;4.7827682;626.9933;10.909686
0.045;1.4621547;5.4153876;585.16296;11.884957
0.05;1.8066438;6.022146;545.82166;12.794661
0.055;2.179317;6.603991;508.7808;13.642629
0.06;2.5782464;7.1617956;474.71313;14.433817
0.065;3.001684;7.696626;443.3358;15.172709
0.07;3.4479706;8.209455;413.64658;15.862121
0.075;3.9155574;8.701239;385.93988;16.505354
0.08;4.4030166;9.172952;360.33313;17.10591
0.085;4.9090357;9.625561;336.42053;17.66661
0.09;5.432398;10.059996;313.6004;18.189278
0.095;5.971974;10.477147;292.22968;18.676327
0.1;6.5268984;10.878163;271.85278;19.129416
0.105;7.096072;11.263607;252.28488;19.54989
0.11;7.678601;11.634244;233.83162;19.93961
0.115;8.273555;11.990659;216.61388;20.300632
0.12;8.88003;12.333374;200.78654;20.635277
0.125;9.497236;12.662982;185.56706;20.944555
0.13;10.124393;12.979992;170.79678;21.229216
0.135;10.760716;13.284835;156.60368;21.490223
0.14;11.405465;13.577934;143.6087;21.72957
0.145;12.057971;13.859737;131.25645;21.94833
0.15;12.717436;14.130484;119.99175;22.148317
0.155;13.383073;14.390401;109.663414;22.331089
0.16;14.054311;14.639907;100.51298;22.498611
0.165;14.730665;14.879458;92.24276;22.65235
0.17;15.411747;15.109555;84.498695;22.79318
0.175;16.097095;15.330567;77.54791;22.922426
0.18;16.78631;15.542879;70.914314;23.040617
0.185;17.478907;15.746762;65.11593;23.149143
0.19;18.174593;15.942625;59.78735;23.248789
0.195;18.873116;16.130869;54.858387;23.34022
0.2;19.574192;16.311827;50.416954;23.424248
0.205;20.277622;16.485872;46.748684;23.502163
0.21;20.983248;16.653372;43.32125;23.574366
0.215;21.690855;16.814617;39.965626;23.640974
0.22;22.400282;16.969912;36.67547;23.7021
0.225;23.111334;17.119507;33.79084;23.758417
0.23;23.823896;17.263693;31.213896;23.810442
0.235;24.537794;17.40269;28.841648;23.858511
0.24;25.25286;17.536709;26.315805;23.90237
0.245;25.968962;17.66596;23.436878;23.941431
0.25;26.685854;17.79057;20.541325;23.975668
0.255;27.40345;17.910751;17.818739;24.005365
0.26;28.121737;18.026754;15.380192;24.030998
0.265;28.840498;18.13868;13.336794;24.053226
0.27;29.559626;18.246681;11.730619;24.072779
0.275;30.279068;18.35095;10.168109;24.089725
0.28;30.998745;18.451633;8.704065;24.10423
0.285;31.718578;18.548878;7.3334165;24.116453
0.29;32.438515;18.642826;6.181234;24.126757
0.295;33.158306;18.733507;5.328938;24.135637
0.3;33.87794;18.821077;4.548101;24.143217
0.305;34.597347;18.905653;3.6815028;24.149353
0.31;35.316624;18.987432;2.773441;24.153976
0.315;36.0357;19.06651;2.0009754;24.15731
0.32;36.754566;19.143003;1.5483034;24.159891
0.325;37.473106;19.216978;1.3384681;24.162123
0.33;38.19146;19.288616;1.0789458;24.16392
0.335;38.909492;19.357956;0.82899195;24.165302
0.34;39.627205;19.4251;0.64429796;24.166376
0.345;40.344658;19.490173;0.4591826;24.167141
0.35;41.061676;19.553179;0.2975775;24.167637
0.355;41.778687;19.614407;0.16299571;24.16791
0.36;42.495613;19.673893;0.09415648;24.168066
0.365;43.212677;19.731815;0.07834519;24.168196
0.37;43.92965;19.78813;0.05282742;24.168283
0.375;44.646725;19.842989;0.06627216;24.168394
0.38;45.36376;19.896387;0.036791414;24.168457
0.385;46.080902;19.948442;-0.006751758;24.168446
0.39;46.798004;19.999147;0.019302975;24.168476
0.395;47.515125;20.048576;0.11440196;24.168667
0.4;48.232136;20.096724;0.2206959;24.169035
0.405;48.94905;20.143642;0.3046317;24.169542
0.41;49.66602;20.18944;0.45063367;24.170294
0.415;50.382824;20.234068;0.5329007;24.171183
0.42;51.09975;20.27768;0.4932616;24.172005
0.425;51.816536;20.32021;0.53298867;24.172894
0.43;52.53323;20.361715;0.65731204;24.173988
0.435;53.249554;20.402128;0.7702249;24.175272
0.44;53.965496;20.441477;0.8699257;24.176722
0.445;54.681126;20.479822;0.9356794;24.178282
0.45;55.396397;20.517185;1.1369797;24.180176
0.455;56.111187;20.553549;1.4581766;24.182606
0.46;56.82566;20.589006;1.8503753;24.18569
0.465;57.539787;20.62358;2.17597;24.189318
0.47;58.253708;20.657343;2.5370333;24.193546
0.475;58.967243;20.690262;3.0658352;24.198656
0.48;59.680355;20.722345;3.5027053;24.204493
0.485;60.393124;20.753649;3.7415674;24.21073
0.49;61.105408;20.784151;3.754061;24.216986
0.495;61.81698;20.813797;3.6491327;24.223068
0.5;62.52808;20.842693;3.6223946;24.229105
0.505;63.238777;20.870884;3.7259157;24.235315
0.51;63.949448;20.898512;3.8905022;24.241798
0.515;64.65996;20.925554;4.012131;24.248486
0.52;65.37041;20.952055;4.0148253;24.255177
0.525;66.08064;20.977982;3.9210947;24.261713
0.53;66.790886;21.003424;3.805885;24.268055
0.535;67.50086;21.028305;3.6710234;24.274174
0.54;68.21076;21.052704;3.4557981;24.279934
0.545;68.92044;21.076586;3.1253607;24.285143
0.55;69.63006;21.100018;2.8015094;24.289812
0.555;70.33946;21.122961;2.5155723;24.294004
0.56;71.04869;21.145445;2.2842026;24.297812
0.565;71.75755;21.16742;2.330116;24.301695
0.57;72.46621;21.18895;2.5987372;24.306026
0.575;73.174774;21.210081;2.9213722;24.310896
0.58;73.88329;21.230831;3.1711175;24.316181
0.585;74.59182;21.25123;3.331059;24.321732
0.59;75.30043;21.271309;3.3536837;24.327322
0.595;76.00908;21.291058;3.361796;24.332924
0.6;76.71776;21.310488;3.5223908;24.338795
0.605;77.42653;21.329622;3.7350094;24.34502
0.61;78.13534;21.348452;3.915741;24.351547
0.615;78.84414;21.366976;4.0804963;24.358347
0.62;79.55314;21.385252;4.1972547;24.365343
0.625;80.26227;21.40327;4.2598844;24.372442
0.63;80.97178;21.421106;4.294945;24.3796
0.635;81.68154;21.438725;4.3679595;24.38688
0.64;82.391464;21.456112;4.4146943;24.39424
0.645;83.101715;21.473312;4.3698664;24.401522
0.65;83.81185;21.49022;4.309414;24.408705
0.655;84.52186;21.506834;4.2690105;24.41582
0.66;85.23197;21.523224;4.2086906;24.422834
0.665;85.94218;21.539392;4.1950297;24.429825
0.67;86.652214;21.555277;4.2637377;24.436932
0.675;87.362305;21.570938;4.3428335;24.44417
0.68;88.07256;21.586412;4.4380636;24.451567
0.685;88.782906;21.601679;4.597421;24.459229
0.69;89.49331;21.616741;4.777669;24.467192
0.695;90.20378;21.631601;4.904276;24.475365
0.7;90.91415;21.646227;5.03342;24.483755
0.705;91.624695;21.660685;5.063118;24.492193
0.71;92.33511;21.67491;4.870804;24.50031
0.715;93.0454;21.688906;4.6184134;24.508009
0.72;93.75551;21.702663;4.441475;24.515411
0.725;94.46562;21.716234;4.278703;24.522541
0.73;95.17575;21.729624;4.144561;24.52945
0.735;95.885635;21.742773;3.9611897;24.53605
0.74;96.59569;21.755785;3.615231;24.542076
0.745;97.30592;21.768661;3.2734249;24.547533
0.75;98.016205;21.78138;2.987384;24.552511
0.755;98.72671;21.793974;2.8008108;24.55718
0.76;99.43728;21.806421;2.6038811;24.56152
0.765;100.14787;21.81871;2.2967904;24.565348
0.77;100.85878;21.830906;2.0624056;24.568785
0.775;101.56975;21.842957;1.969801;24.572067
