time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2001.7478;3.3362463
0.01;0.056587815;0.94313025;1907.9851;6.5162215
0.015;0.21293174;2.3659084;1778.8;9.480888
0.02;0.46212402;3.8510334;1657.2213;12.242924
0.025;0.7977513;5.3183417;1543.1406;14.814825
0.03;1.2138898;6.7438326;1436.798;17.209488
0.035;1.7049818;8.11896;1337.8566;19.439249
0.04;2.2659094;9.44129;1245.0211;21.514284
0.045;2.8918447;10.710536;1157.8948;23.444109
0.05;3.5781755;11.927252;1077.4264;25.23982
0.055;4.320694;13.093012;1002.39264;26.910475
0.06;5.1154833;14.209676;931.2645;28.462582
0.065;5.958821;15.279029;864.8908;29.904066
0.07;6.8472857;16.30306;803.25775;31.242828
0.075;7.7777853;17.283966;745.49475;32.48532
0.08;8.747295;18.223532;692.119;33.63885
0.085;9.752968;19.123466;643.0924;34.710674
0.09;10.792252;19.98565;597.7394;35.706905
0.095;11.862785;20.811905;555.75116;36.633156
0.1;12.962369;21.603949;516.12616;37.493366
0.105;14.089026;22.363535;478.65845;38.29113
0.11;15.240896;23.092268;443.10416;39.029636
0.115;16.416195;23.791586;409.47958;39.712105
0.12;17.613224;24.462812;378.49896;40.342937
0.125;18.83035;25.107134;350.0008;40.92627
0.13;20.066195;25.725891;323.07;41.46472
0.135;21.319368;26.320208;298.95398;41.96298
0.14;22.588638;26.891237;276.97733;42.424606
0.145;23.873268;27.440538;256.79587;42.8526
0.15;25.17223;27.969143;237.4866;43.24841
0.155;26.484491;28.47795;219.21762;43.613773
0.16;27.809174;28.967892;202.64719;43.95152
0.165;29.14537;29.439766;187.55948;44.26412
0.17;30.492094;29.894209;173.1612;44.55272
0.175;31.848513;30.331917;159.71907;44.818916
0.18;33.213978;30.753683;146.95642;45.063847
0.185;34.587914;31.160282;134.74608;45.28842
0.19;35.969845;31.552496;123.606926;45.494434
0.195;37.3592;31.930943;113.33263;45.683323
0.2;38.75552;32.296265;103.98827;45.856636
0.205;40.158592;32.64926;95.281845;46.015438
0.21;41.5677;32.99024;87.51654;46.1613
0.215;42.982246;33.31957;80.02822;46.294678
0.22;44.401527;33.63752;72.92789;46.416225
0.225;45.824745;33.944256;66.5867;46.527203
0.23;47.251644;34.240322;60.846363;46.628613
0.235;48.68176;34.52607;55.987057;46.721928
0.24;50.114864;34.801987;51.88836;46.808407
0.245;51.550735;35.068527;48.10849;46.888588
0.25;52.989048;35.32603;44.43675;46.96265
0.255;54.429718;35.57498;40.843018;47.03072
0.26;55.872444;35.81567;37.475597;47.093178
0.265;57.317204;36.048557;34.30881;47.15036
0.27;58.763817;36.27396;31.098255;47.20219
0.275;60.212032;36.492138;28.30853;47.24937
0.28;61.66174;36.703415;26.111908;47.292892
0.285;63.112877;36.908115;24.150574;47.33314
0.29;64.56542;37.106564;22.287315;47.37029
0.295;66.01908;37.29892;20.534018;47.40451
0.3;67.47374;37.48541;18.783772;47.435818
0.305;68.92953;37.66641;17.124083;47.46436
0.31;70.38624;37.842064;15.672783;47.49048
0.315;71.84398;38.012688;14.34029;47.51438
0.32;73.30274;38.178513;12.946089;47.535957
0.325;74.76289;38.339947;11.691185;47.555443
0.33;76.22427;38.497105;10.549752;47.573025
0.335;77.68678;38.65014;9.364881;47.588634
0.34;79.15035;38.799194;8.413245;47.602654
0.345;80.61455;38.944225;7.7531753;47.615578
0.35;82.08;39.085716;7.2001433;47.62758
0.355;83.546425;39.223675;6.6380806;47.63864
0.36;85.01366;39.358173;6.0875454;47.64879
0.365;86.48194;39.48947;5.373999;47.657745
0.37;87.95119;39.617653;4.746697;47.665653
0.375;89.42126;39.74278;4.3454757;47.672897
0.38;90.89208;39.86495;4.0049295;47.679573
0.385;92.363716;39.98429;3.4801657;47.68537
0.39;93.83617;40.10093;2.626463;47.68975
0.395;95.30931;40.214897;1.690566;47.692566
0.4;96.7828;40.326164;0.5300354;47.69345
0.405;98.256645;40.434834;-0.5386747;47.692554
0.41;99.73072;40.540943;-1.5980906;47.689888
0.415;101.20527;40.644684;-2.6352224;47.685497
0.42;102.680405;40.746197;-3.5787666;47.67953
0.425;104.15565;40.84535;-4.591942;47.67188
0.43;105.63115;40.942307;-5.5523014;47.662624
0.435;107.10677;41.03708;-5.9395957;47.652725
0.44;108.58289;41.129883;-6.2787814;47.64226
0.445;110.058945;41.220577;-6.7065487;47.631084
0.45;111.53527;41.30936;-7.181081;47.619118
0.455;113.01166;41.39621;-7.6357746;47.606388
0.46;114.48677;41.480713;-8.203017;47.592716
0.465;115.95982;41.56266;-8.595519;47.578392
0.47;117.43091;41.642166;-8.808466;47.563713
0.475;118.90037;41.71943;-9.078343;47.54858
0.48;120.367935;41.794426;-9.280976;47.53311
0.485;121.83369;41.867245;-9.231222;47.517727
0.49;123.29813;41.938137;-9.001331;47.502724
0.495;124.76125;42.007156;-8.758148;47.48813
0.5;126.223236;42.074413;-8.459103;47.47403
0.505;127.684525;42.140106;-8.131552;47.460476
0.51;129.14455;42.2041;-7.9298725;47.44726
0.515;130.60374;42.266582;-7.7765656;47.4343
0.52;132.0622;42.32763;-7.633393;47.421577
0.525;133.5195;42.387146;-7.491622;47.409092
0.53;134.97609;42.445316;-7.129685;47.39721
0.535;136.43124;42.50194;-6.6554885;47.386116
0.54;137.88615;42.557453;-6.2587624;47.375683
0.545;139.34023;42.61169;-5.850574;47.365932
0.55;140.79338;42.664658;-5.4722576;47.35681
0.555;142.24586;42.716473;-5.0694976;47.348366
0.56;143.6976;42.767143;-4.719167;47.3405
0.565;145.14897;42.816807;-4.4079247;47.333153
0.57;146.59967;42.865402;-4.1355095;47.32626
0.575;148.05054;42.9132;-3.9526944;47.31967
0.58;149.5011;42.960087;-3.833328;47.313282
0.585;150.9515;43.00613;-3.7025816;47.307114
0.59;152.4019;43.051384;-3.5825596;47.30114
0.595;153.85185;43.095757;-3.4190564;47.29544
0.6;155.30125;43.139236;-3.2901711;47.28996
0.605;156.74995;43.181805;-3.1086473;47.28478
0.61;158.19786;43.223457;-2.787268;47.280132
0.615;159.6453;43.26431;-2.693653;47.275642
0.62;161.09157;43.304184;-2.6598222;47.27121
0.625;162.53748;43.343327;-2.7648482;47.2666
0.63;163.98286;43.38171;-2.946977;47.261692
0.635;165.42795;43.41941;-3.1218576;47.25649
0.64;166.87265;43.45642;-3.302351;47.250984
0.645;168.31654;43.49265;-3.4046624;47.245308
0.65;169.75977;43.52815;-3.460304;47.23954
0.655;171.20189;43.562824;-3.347251;47.233963
0.66;172.6438;43.596916;-2.9683604;47.229015
0.665;174.08516;43.630363;-2.5259104;47.224804
0.67;175.52658;43.66333;-2.0991805;47.221306
0.675;176.96797;43.695793;-1.7341723;47.21842
0.68;178.40926;43.72776;-1.4247667;47.21604
0.685;179.85072;43.7593;-1.1448463;47.214134
0.69;181.2917;43.790268;-0.84878176;47.21272
0.695;182.733;43.82086;-0.54689825;47.211807
0.7;184.17336;43.8508;-0.20739277;47.211464
0.705;185.61359;43.880283;0.19936968;47.211796
0.71;187.05304;43.909164;0.62854683;47.21284
0.715;188.49275;43.937706;0.9697773;47.21446
0.72;189.93256;43.965866;1.2141382;47.21648
0.725;191.37221;43.99361;1.4565171;47.21891
0.73;192.81203;44.02101;1.6830297;47.221714
0.735;194.25172;44.048008;1.8454108;47.22479
0.74;195.69139;44.074635;2.0343835;47.22818
0.745;197.13112;44.10092;2.2483823;47.23193
0.75;198.57146;44.126987;2.4303606;47.235977
0.755;200.01236;44.152836;2.5923457;47.2403
0.76;201.45386;44.17848;2.7648115;47.244907
0.765;202.8953;44.20377;2.876849;47.249702
0.77;204.33772;44.228943;2.8552048;47.25446
0.775;205.78041;44.253853;2.7654164;47.25907
0.78;207.22314;44.27845;2.7561498;47.263664
0.785;208.66579;44.30271;2.8604922;47.268433
0.79;210.10887;44.326767;2.9169388;47.273293
0.795;211.55229;44.350586;2.93401;47.278183
0.8;212.995;44.373955;2.9251213;47.28306
0.805;214.43858;44.397224;2.8354526;47.287785
0.81;215.88185;44.420135;2.7685764;47.292397
