radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;8.405881e-06
0.87;4.1068764e-05
0.88;0.0003211257
0.89;0.0014363194
0.9;0.005403393
0.91;0.01594593
0.92;0.042228464
0.93;0.08969265
0.9400000000000001;0.1717263
0.9500000000000001;0.29326954
0.96;0.46668637
0.97;0.6772367
0.98;0.9237715
0.99;1.1843054
1.0;1.4538755
1.01;1.7010496
1.02;1.9239202
1.03;2.1266406
1.04;2.2694337
1.05;2.3968067
1.06;2.474017
1.07;2.5248728
1.08;2.5343533
1.09;2.5278397
1.1;2.487046
1.11;2.435248
1.12;2.3675478
1.1300000000000001;2.2949424
1.1400000000000001;2.2155585
1.1500000000000001;2.1308908
1.16;2.0474985
1.17;1.9604527
1.18;1.8821961
1.19;1.8063763
1.2;1.7224953
1.21;1.6430877
1.22;1.5732969
1.23;1.513093
1.24;1.4536141
1.25;1.391779
1.26;1.3423698
1.27;1.2867483
1.28;1.2402239
1.29;1.1962705
1.3;1.151378
1.31;1.1127571
1.32;1.0686882
1.33;1.0380754
1.34;1.004971
1.35;0.9761651
1.36;0.9465867
1.37;0.9229715
1.3800000000000001;0.9000021
1.3900000000000001;0.87797385
1.4000000000000001;0.8556257
1.41;0.8350078
1.42;0.82141125
1.43;0.8101662
1.44;0.79327464
1.45;0.78328496
1.46;0.7649438
1.47;0.7524979
1.48;0.7441254
1.49;0.735144
1.5;0.72624373
1.51;0.72019666
1.52;0.7178681
1.53;0.7113639
1.54;0.7093113
1.55;0.7057945
1.56;0.70308524
1.57;0.700703
1.58;0.7004076
1.59;0.70269275
1.6;0.70403725
1.61;0.70784414
1.62;0.7094546
1.6300000000000001;0.7117268
1.6400000000000001;0.7152909
1.6500000000000001;0.7153314
1.6600000000000001;0.72046113
1.67;0.731253
1.68;0.73971707
1.69;0.7466358
1.7;0.75510037
1.71;0.7677978
1.72;0.7756153
1.73;0.7833273
1.74;0.79677063
1.75;0.8109774
1.76;0.82096153
1.77;0.8319467
1.78;0.8512966
1.79;0.86323196
1.8;0.88009405
1.81;0.8894014
1.82;0.9041466
1.83;0.9189629
1.84;0.93800175
1.85;0.9515664
1.86;0.9676769
1.87;0.98026466
1.8800000000000001;0.9968811
1.8900000000000001;1.012126
1.9000000000000001;1.0238807
1.9100000000000001;1.0395582
1.92;1.0516896
1.93;1.0662234
1.94;1.0825522
1.95;1.0967673
1.96;1.1071485
1.97;1.118402
1.98;1.1266392
1.99;1.1396546
2.0;1.1525892
2.0100000000000002;1.157093
2.02;1.1681697
2.0300000000000002;1.1752673
2.04;1.1808172
2.05;1.1868579
2.06;1.1891123
