radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;4.1068764e-05
0.88;0.00044154783
0.89;0.0017267229
0.9;0.0054187407
0.91;0.017034499
0.92;0.041501313
0.93;0.091353066
0.9400000000000001;0.17711587
0.9500000000000001;0.30179757
0.96;0.46700996
0.97;0.6781691
0.98;0.92512393
0.99;1.1842675
1.0;1.4425741
1.01;1.6954623
1.02;1.923711
1.03;2.122126
1.04;2.278492
1.05;2.3851767
1.06;2.469685
1.07;2.5152395
1.08;2.534909
1.09;2.5157924
1.1;2.4808192
1.11;2.4400651
1.12;2.3732288
1.1300000000000001;2.298946
1.1400000000000001;2.217422
1.1500000000000001;2.1321058
1.16;2.051392
1.17;1.9687129
1.18;1.8935713
1.19;1.8089709
1.2;1.7252167
1.21;1.6602498
1.22;1.5900128
1.23;1.5152996
1.24;1.4540195
1.25;1.3890519
1.26;1.3308065
1.27;1.2827742
1.28;1.2268319
1.29;1.1853548
1.3;1.1463491
1.31;1.1110606
1.32;1.0717999
1.33;1.0335051
1.34;1.0086628
1.35;0.9792783
1.36;0.95270926
1.37;0.92492306
1.3800000000000001;0.9020706
1.3900000000000001;0.8733366
1.4000000000000001;0.852352
1.41;0.83755314
1.42;0.8179918
1.43;0.8040886
1.44;0.79095733
1.45;0.777285
1.46;0.76568514
1.47;0.7570486
1.48;0.7425927
1.49;0.7356415
1.5;0.72366977
1.51;0.7178898
1.52;0.7138833
1.53;0.71108454
1.54;0.709751
1.55;0.7095937
1.56;0.7078212
1.57;0.70568395
1.58;0.7031066
1.59;0.707918
1.6;0.70657897
1.61;0.70711035
1.62;0.710762
1.6300000000000001;0.71397114
1.6400000000000001;0.71645683
1.6500000000000001;0.72036284
1.6600000000000001;0.72571826
1.67;0.73335344
1.68;0.7384438
1.69;0.74632454
1.7;0.75813
1.71;0.7659217
1.72;0.77366096
1.73;0.78114355
1.74;0.79545605
1.75;0.80546695
1.76;0.81734246
1.77;0.83000714
1.78;0.84346086
1.79;0.8589498
1.8;0.87511474
1.81;0.88609904
1.82;0.90081835
1.83;0.92297566
1.84;0.93655866
1.85;0.94986653
1.86;0.96423507
1.87;0.97992325
1.8800000000000001;0.9912082
1.8900000000000001;1.0082326
1.9000000000000001;1.0227202
1.9100000000000001;1.0408027
1.92;1.0503856
1.93;1.0654392
1.94;1.0755881
1.95;1.093349
1.96;1.1068317
1.97;1.1179656
1.98;1.1282037
1.99;1.1419767
2.0;1.1535647
2.0100000000000002;1.1595588
2.02;1.1666225
2.0300000000000002;1.1773561
2.04;1.1838926
2.05;1.1874987
2.06;1.1943944
2.07;1.1978511
