time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;2.9991524;0.0049985875
0.01;7.509017e-05;0.0012515029;2.9902558;0.0099823475
0.015;0.0002999131;0.003332368;2.9637845;0.014921987
0.02;0.00067313673;0.0056094727;2.9203615;0.019789256
0.025;0.0011925795;0.00795053;2.8609636;0.024557529
0.03;0.0018552534;0.010306964;2.7869017;0.029202366
0.035;0.0026574382;0.0126544675;2.6997068;0.033701878
0.04;0.0035947498;0.014978125;2.601083;0.038037017
0.045;0.0046622413;0.017267559;2.4928155;0.042191707
0.05;0.0058544655;0.019514885;2.3767223;0.046152912
0.055;0.007165604;0.021713952;2.2545862;0.049910557
0.06;0.00858954;0.023859832;2.1281345;0.053457446
0.065;0.010119908;0.025948482;1.9989696;0.056789063
0.07;0.011750239;0.02797676;1.8685889;0.059903376
0.075;0.0134740025;0.029942228;1.7383391;0.06280061
0.08;0.01528468;0.031843085;1.6094161;0.06548297
0.085;0.017175797;0.033678036;1.4828831;0.06795444
0.09;0.019141033;0.035446357;1.3596483;0.07022052
0.095;0.021174176;0.037147675;1.2404717;0.07228798
0.1;0.023269316;0.03878219;1.1259866;0.07416462
0.105;0.025420735;0.040350374;1.0166972;0.075859115
0.11;0.027622845;0.041852795;0.91298723;0.07738076
0.115;0.029870577;0.04329069;0.8151398;0.07873932
0.12;0.032159008;0.04466529;0.7233372;0.079944886
0.125;0.034483604;0.04597814;0.6376807;0.08100769
0.13;0.036839977;0.04723074;0.55819416;0.08193801
0.135;0.039224196;0.048424933;0.48483613;0.08274607
0.14;0.041632645;0.049562674;0.41750807;0.08344192
0.145;0.044061825;0.050645776;0.3560635;0.08403536
0.15;0.04650885;0.051676497;0.30031738;0.08453589
0.155;0.048970893;0.052656874;0.25004855;0.08495264
0.16;0.05144532;0.05358888;0.20501097;0.08529432
0.165;0.053929962;0.054474708;0.16493708;0.08556922
0.17;0.056422777;0.055316444;0.12954418;0.08578512
0.175;0.058922246;0.05611643;0.0985381;0.085949354
0.18;0.06142635;0.056876246;0.07161863;0.08606872
0.185;0.0639342;0.05759838;0.048482683;0.08614952
0.19;0.06644438;0.058284543;0.028827734;0.08619757
0.195;0.068956204;0.058936927;0.012354538;0.086218156
0.2;0.07146855;0.059557125;-0.0012300106;0.08621611
0.205;0.0739807;0.060146905;-0.012210864;0.08619576
0.21;0.076492436;0.060708284;-0.020862639;0.08616099
0.215;0.07900309;0.061242703;-0.027448056;0.08611524
0.22;0.08151246;0.061751865;-0.03221632;0.086061545
0.225;0.08402046;0.06223738;-0.035402406;0.08600254
0.23;0.0865266;0.062700436;-0.037225816;0.085940495
