time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.998901;0.004998168
0.01;7.508396e-05;0.0012513994;2.990056;0.009981595
0.015;0.0002998915;0.0033321276;2.963734;0.014921151
0.02;0.000673098;0.0056091505;2.9205456;0.019788727
0.025;0.0011925304;0.007950203;2.8614829;0.024557866
0.03;0.0018552258;0.01030681;2.7878304;0.02920425
0.035;0.0026574703;0.01265462;2.7011292;0.033706132
0.04;0.003594917;0.01497882;2.6030483;0.038044546
0.045;0.0046626367;0.017269023;2.4953773;0.04220351
0.05;0.005855217;0.01951739;2.3798983;0.046170004
0.055;0.0071668695;0.021717787;2.2583873;0.049933985
0.06;0.008591505;0.02386529;2.1325502;0.053488232
0.065;0.010122786;0.025955863;2.0039768;0.056828197
0.07;0.01175427;0.027986357;1.8741452;0.05995177
0.075;0.013479472;0.029954381;1.7443873;0.06285908
0.08;0.015291866;0.031858053;1.6158963;0.06555224
0.085;0.017184995;0.03369607;1.4897164;0.0680351
0.09;0.019152602;0.03546778;1.3667465;0.070313014
0.095;0.021188473;0.03717276;1.2477477;0.0723926
0.1;0.023286674;0.038811125;1.1333505;0.07428151
0.105;0.025441384;0.04038315;1.0240508;0.07598826
0.11;0.027647391;0.041889988;0.9202418;0.077522
0.115;0.029899176;0.043332137;0.8222096;0.07889235
0.12;0.032191984;0.04471109;0.7301418;0.08010925
0.125;0.034521136;0.046028182;0.6441438;0.08118282
0.13;0.036882546;0.047285315;0.56424683;0.082123235
0.135;0.03927195;0.04848389;0.4904174;0.0829406
0.14;0.04168572;0.049625855;0.4225623;0.08364487
0.145;0.04412054;0.050713263;0.36054423;0.08424578
0.15;0.04657326;0.051748063;0.3041828;0.084752746
0.155;0.049041077;0.052732345;0.25326452;0.08517486
0.16;0.05152146;0.053668194;0.20754907;0.08552077
0.165;0.05401207;0.054557648;0.16677509;0.085798725
0.17;0.05651095;0.055402894;0.13066494;0.086016506
0.175;0.05901621;0.056205913;0.09893073;0.08618139
0.18;0.06152642;0.056968905;0.071278445;0.08630019
0.185;0.0640399;0.057693604;0.04741089;0.0863792
0.19;0.066555865;0.05838234;0.027031844;0.086424254
0.195;0.06907311;0.05903685;0.009849024;0.086440675
0.2;0.07159081;0.05965901;-0.004423725;0.0864333
0.205;0.074108146;0.060250524;-0.01606413;0.08640652
0.21;0.07662473;0.060813278;-0.025339633;0.08636429
0.215;0.07913995;0.061348796;-0.032505937;0.08631012
0.22;0.081653394;0.06185863;-0.03780579;0.08624711
0.225;0.084165126;0.06234454;-0.0414678;0.08617799
0.23;0.08667478;0.06280781;-0.04370607;0.08610515
0.235;0.08918217;0.06324977;-0.044719428;0.08603062
0.24;0.091687426;0.06367183;-0.044691335;0.085956134
0.245;0.09419029;0.06407503;-0.043789923;0.08588315
0.25;0.09669113;0.064460754;-0.042168114;0.08581287
0.255;0.09918971;0.06482988;-0.03996411;0.08574626
0.26;0.10168642;0.06518361;-0.03730192;0.08568409
0.265;0.104181334;0.06552286;-0.034291826;0.08562694
0.27;0.1066746;0.065848514;-0.031031558;0.08557522
0.275;0.10916616;0.06616131;-0.027606927;0.08552921
0.28;0.11165647;0.06646219;-0.024092484;0.08548906
0.285;0.114145555;0.066751786;-0.020552803;0.0854548
0.29;0.11663367;0.06703085;-0.017042737;0.0854264
0.295;0.11912107;0.067300044;-0.013608504;0.08540371
0.3;0.12160779;0.06755988;-0.01028817;0.08538657
0.305;0.12409432;0.0678111;-0.0071124155;0.08537471
0.31;0.12658007;0.068053804;-0.004105238;0.08536787
0.315;0.12906572;0.06828874;-0.0012846108;0.08536573
0.32;0.13155155;0.06851643;0.0013368283;0.085367955
0.325;0.13403703;0.06873694;0.0037510276;0.08537421
0.33;0.13652311;0.06895106;0.0059539583;0.08538413
0.335;0.13900962;0.069159016;0.007944828;0.08539738
0.34;0.14149645;0.069361;0.009725561;0.08541358
0.345;0.14398369;0.06955734;0.011300138;0.08543242
0.35;0.14647184;0.0697485;0.012674121;0.08545354
0.355;0.14896034;0.06993443;0.013854352;0.08547663
0.36;0.1514496;0.07011555;0.014848599;0.08550138
0.365;0.15393952;0.07029202;0.015665574;0.08552749
0.37;0.15643045;0.070464164;0.016314736;0.08555468
0.375;0.15892208;0.07063203;0.01680632;0.08558269
0.38;0.16141471;0.07079593;0.017151257;0.08561128
0.385;0.16390805;0.070955865;0.017360954;0.08564021
0.39;0.16640233;0.071112104;0.01744748;0.08566929
0.395;0.16889797;0.07126497;0.017423103;0.08569833
0.4;0.17139386;0.071414106;0.017300414;0.08572716
0.405;0.17389105;0.07156011;0.017092224;0.085755646
0.41;0.1763889;0.07170281;0.016811347;0.08578367
0.415;0.17888749;0.071842365;0.016470872;0.085811116
0.42;0.18138726;0.071979076;0.016083403;0.08583792
0.425;0.18388765;0.0721128;0.015661467;0.08586403
0.43;0.18638907;0.072243825;0.015217044;0.08588939
0.435;0.18889096;0.07237202;0.01476154;0.08591399
0.44;0.1913938;0.07249764;0.014305646;0.085937835
0.445;0.19389722;0.07262068;0.013859211;0.08596093
0.45;0.19640116;0.07274117;0.013431154;0.08598332
0.455;0.19890592;0.07285931;0.013029329;0.08600503
0.46;0.2014114;0.07297514;0.012660385;0.08602613
