time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;3.0008345;0.005001391
0.01;7.513186e-05;0.0012521977;2.991998;0.009988054
0.015;0.00030008322;0.003334258;2.9656954;0.01493088
0.02;0.0006735308;0.0056127566;2.9225526;0.019801801
0.025;0.0011933033;0.007955355;2.8635402;0.024574367
0.03;0.00185644;0.010313556;2.7899563;0.029224295
0.035;0.0026592326;0.012663012;2.7033193;0.033729825
0.04;0.0035973329;0.014988888;2.605318;0.038072024
0.045;0.004665823;0.017280826;2.4977233;0.042234898
0.05;0.005859293;0.019530976;2.3823323;0.04620545
0.055;0.00717195;0.021733182;2.2609236;0.049973655
0.06;0.008597709;0.023882527;2.1351924;0.05353231
0.065;0.01013026;0.025975026;2.0067272;0.056876857
0.07;0.0117631545;0.028007511;1.8770086;0.060005203
0.075;0.013489891;0.029977534;1.7473805;0.0629175
0.08;0.015303961;0.031883255;1.6190262;0.06561588
0.085;0.017198972;0.033723474;1.4929883;0.06810419
0.09;0.019168556;0.035497326;1.3701763;0.070387825
0.095;0.021206602;0.037204564;1.251347;0.0724734
0.1;0.0233072;0.038845334;1.1371279;0.07436861
0.105;0.025464527;0.040419884;1.0280207;0.076081984
0.11;0.0276732;0.041929092;0.92441565;0.077622674
0.115;0.029928006;0.043373924;0.82659405;0.07900033
0.12;0.03222403;0.044755597;0.73474056;0.0802249
0.125;0.034556776;0.0460757;0.64896095;0.0813065
0.13;0.03692191;0.047335785;0.5692793;0.0822553
0.135;0.03931533;0.048537444;0.49566054;0.0830814
0.14;0.041733593;0.04968285;0.42800817;0.08379474
0.145;0.044173207;0.050773803;0.36617994;0.08440505
0.15;0.046630934;0.051812146;0.30999348;0.0849217
0.155;0.04910415;0.05280016;0.25923204;0.085353754
0.16;0.05159026;0.053739857;0.21365495;0.08570985
0.165;0.05408711;0.05463344;0.1729978;0.08599818
0.17;0.056592535;0.05548288;0.1369834;0.086226486
0.175;0.059104726;0.056290217;0.10532322;0.08640202
0.18;0.0616222;0.05705759;0.07772245;0.08653156
0.185;0.06414334;0.05778679;0.053884733;0.08662137
0.19;0.06666734;0.05848012;0.03351411;0.08667722
0.195;0.06919289;0.05913922;0.016318774;0.08670442
0.2;0.07171931;0.059766095;0.0020133848;0.08670778
0.205;0.07424573;0.060362384;-0.009679184;0.08669165
0.21;0.076771736;0.06092995;-0.019025728;0.08665994
0.215;0.07929666;0.06147028;-0.026281519;0.086616136
0.22;0.081820235;0.061985023;-0.0316892;0.08656332
0.225;0.0843425;0.06247593;-0.03547753;0.08650419
0.23;0.08686252;0.06294385;-0.03786123;0.086441085
0.235;0.08938081;0.06339064;-0.03904005;0.08637602
0.24;0.0918973;0.063817576;-0.039198913;0.086310685
0.245;0.09441161;0.064225584;-0.038507655;0.086246505
0.25;0.09692385;0.0646159;-0.037121013;0.08618464
0.255;0.099434495;0.064989865;-0.035179153;0.08612601
0.26;0.101943254;0.065348245;-0.03280768;0.08607133
0.265;0.10445044;0.065692104;-0.030118044;0.08602113
0.27;0.10695603;0.06602223;-0.027208496;0.08597578
0.275;0.10946036;0.06633961;-0.02416425;0.08593551
0.28;0.11196341;0.06664489;-0.02105875;0.08590041
0.285;0.1144656;0.06693895;-0.017953938;0.08587049
0.29;0.11696654;0.067222156;-0.014901763;0.08584566
0.295;0.11946702;0.067495495;-0.011944792;0.08582575
0.3;0.121966794;0.06775933;-0.00911735;0.08581055
0.305;0.12446638;0.06801441;-0.006446411;0.085799806
0.31;0.12696524;0.06826088;-0.0039524166;0.08579322
0.315;0.12946422;0.068499595;-0.0016501587;0.08579047
0.32;0.13196337;0.06873093;0.0004505981;0.08579122
0.325;0.13446245;0.0689551;0.0023444153;0.08579513
0.33;0.13696149;0.06917247;0.004029518;0.08580184
0.335;0.13946098;0.06938357;0.0055072685;0.08581102
0.34;0.1419604;0.06958843;0.0067815376;0.08582232
0.345;0.14446083;0.06978784;0.0078582745;0.08583542
0.35;0.14696161;0.069981724;0.008745091;0.08584999
0.355;0.14946291;0.07017038;0.009450875;0.08586575
0.36;0.15196429;0.070353836;0.009985579;0.08588239
0.365;0.15446663;0.0705327;0.010359971;0.08589966
0.37;0.15696952;0.07070699;0.010585325;0.0859173
0.375;0.15947288;0.07087684;0.0106734065;0.085935086
0.38;0.1619771;0.07104258;0.0106360465;0.08595282
0.385;0.16448192;0.0712043;0.010485303;0.08597029
0.39;0.16698748;0.071362175;0.010233148;0.085987344
0.395;0.16949305;0.07151605;0.009891533;0.08600383
0.4;0.17199981;0.07166659;0.009472297;0.08601962
0.405;0.17450702;0.07181359;0.0089870775;0.086034596
0.41;0.17701468;0.071957186;0.008447257;0.08604868
0.415;0.17952333;0.072097726;0.007863906;0.08606178
0.42;0.18203193;0.07223489;0.007247724;0.08607386
0.425;0.18454093;0.07236899;0.0066089616;0.08608488
0.43;0.1870505;0.07250019;0.005957335;0.086094804
0.435;0.18956059;0.07262857;0.005301964;0.08610364
0.44;0.1920712;0.07275424;0.004651233;0.0861114
0.445;0.19458154;0.07287698;0.004012713;0.08611808
0.45;0.19709234;0.07299717;0.00339309;0.086123735
0.455;0.19960353;0.07311485;0.0027980146;0.0861284
0.46;0.20211475;0.07322998;0.0022320962;0.086132124
0.465;0.20462634;0.07334277;0.0016988835;0.086134955
0.47;0.20713767;0.073453076;0.0012009107;0.08613695
0.475;0.20964907;0.07356108;0.000739837;0.08613819
0.48;0.21216042;0.07366682;0.0003165834;0.08613872
0.485;0.21467188;0.073770404;-6.8509085e-05;0.0861386
0.49;0.21718289;0.07387173;-0.00041549734;0.086137906
0.495;0.21969436;0.07397116;-0.0007247507;0.0861367
0.5;0.22220574;0.07406858;-0.0009968113;0.08613504
0.505;0.2247167;0.07416393;-0.0012323014;0.08613299
0.51;0.22722723;0.07425726;-0.001431808;0.0861306
0.515;0.22973782;0.07434881;-0.0015958484;0.08612794
0.52;0.23224826;0.07443854;-0.0017248344;0.08612506
0.525;0.23475835;0.07452647;-0.0018190277;0.08612203
0.53;0.2372682;0.07461264;-0.0018785726;0.0861189
0.535;0.23977792;0.074697174;-0.0019035158;0.086115725
0.54;0.24228711;0.07477997;-0.0018938271;0.086112574
0.545;0.24479558;0.074861035;-0.0018494902;0.08610949
0.55;0.247305;0.07494091;-0.0017705641;0.08610654
