time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.007733;0.0050128885
0.01;7.530521e-05;0.0012550869;2.9988086;0.010010903
0.015;0.00030077252;0.003341917;2.9722526;0.014964657
0.02;0.00067506416;0.005625535;2.9286828;0.019845795
0.025;0.0011959941;0.007973294;2.869097;0.024627624
0.03;0.0018605619;0.010336456;2.7948046;0.029285632
0.035;0.0026650329;0.012690633;2.7073603;0.033797897
0.04;0.003605022;0.015020926;2.6084578;0.03814533
0.045;0.0046755495;0.01731685;2.499895;0.04231182
0.05;0.005871176;0.019570587;2.3834937;0.04628431
0.055;0.0071860384;0.021775873;2.261047;0.05005272
0.06;0.00861401;0.023927806;2.1342626;0.053609826
0.065;0.010148715;0.026022349;2.0047598;0.05695109
0.07;0.0117836865;0.028056394;1.8740289;0.060074475
0.075;0.0135123385;0.03002742;1.743417;0.06298017
0.08;0.015328144;0.031933635;1.6141264;0.06567038
0.085;0.017224604;0.033773735;1.4872158;0.068149075
0.09;0.019195324;0.035546895;1.3635874;0.07042172
0.095;0.021234255;0.037253078;1.2440106;0.072495066
0.1;0.023335192;0.038891986;1.1291195;0.07437693
0.105;0.02549261;0.040464465;1.0194162;0.07607596
0.11;0.027700873;0.04197102;0.91529816;0.077601455
0.115;0.029954785;0.04341273;0.81704754;0.078963205
0.12;0.03224949;0.044790965;0.72485876;0.0801713
0.125;0.0345803;0.04610707;0.6388367;0.08123603
0.13;0.036943093;0.047362942;0.5590133;0.082167715
0.135;0.039333574;0.048559967;0.48535255;0.08297664
0.14;0.041748345;0.049700413;0.4177625;0.08367291
0.145;0.04418381;0.05078599;0.3561028;0.08426642
0.15;0.046637084;0.05181898;0.30018932;0.08476673
0.155;0.04910527;0.05280137;0.24980515;0.08518307
0.16;0.051585857;0.05373527;0.20470425;0.085524246
0.165;0.05407671;0.054622937;0.16461968;0.085798614
0.17;0.05657564;0.055466313;0.12926635;0.086014055
0.175;0.05908111;0.056267727;0.09834925;0.086177975
0.18;0.06159124;0.057028927;0.07156504;0.086297244
0.185;0.06410512;0.057752363;0.048607595;0.08637826
0.19;0.06662131;0.058439746;0.0291709;0.08642688
0.195;0.069138765;0.059092965;0.012952286;0.08644846
0.2;0.071657084;0.05971424;-0.0003446981;0.08644789
0.205;0.07417506;0.06030493;-0.011008386;0.086429544
0.21;0.07669275;0.06086727;-0.019316614;0.08639735
0.215;0.0792092;0.06140248;-0.025535272;0.08635479
0.22;0.08172454;0.06191253;-0.029916827;0.086304925
0.225;0.08423828;0.06239873;-0.032699373;0.08625043
0.23;0.08675038;0.06286259;-0.034105532;0.086193584
0.235;0.08926065;0.06330543;-0.03434255;0.08613635
0.24;0.09176932;0.0637287;-0.03360156;0.08608035
0.245;0.09427614;0.06413343;-0.03205796;0.086026914
0.25;0.09678155;0.06452104;-0.029871384;0.08597713
0.255;0.099285245;0.064892314;-0.027186072;0.08593182
0.26;0.10178771;0.065248534;-0.024131354;0.085891604
0.265;0.10428893;0.06559052;-0.020822149;0.0858569
0.27;0.10678909;0.06591919;-0.017359575;0.08582797
0.275;0.10928846;0.06623543;-0.013831442;0.08580492
0.28;0.111787096;0.066539936;-0.0103130825;0.08578773
0.285;0.114285044;0.06683336;-0.006868043;0.08577628
0.29;0.11678302;0.067116685;-0.0035489353;0.08577036
0.295;0.11928061;0.06739017;-0.00039839672;0.0857697
0.3;0.12177837;0.06765465;0.0025500306;0.08577395
0.305;0.124276;0.06791038;0.0052709826;0.08578274
0.31;0.12677413;0.068158135;0.007746265;0.08579564
0.315;0.12927294;0.06839838;0.009964184;0.08581225
0.32;0.13177183;0.068631165;0.01191875;0.08583212
0.325;0.1342718;0.068857335;0.013608765;0.0858548
0.33;0.13677242;0.06907698;0.01503757;0.08587986
0.335;0.13927376;0.06929042;0.01621213;0.08590688
0.34;0.14177592;0.069498;0.017142592;0.08593545
0.345;0.14427875;0.069699876;0.017841933;0.08596519
0.35;0.1467828;0.06989657;0.018325359;0.085995734
0.355;0.14928791;0.07008822;0.018609919;0.08602674
0.36;0.15179378;0.07027489;0.018714184;0.08605794
0.365;0.15430085;0.07045701;0.018657569;0.08608903
0.37;0.1568089;0.07063464;0.018459963;0.0861198
0.375;0.15931778;0.0708079;0.01814144;0.086150035
0.38;0.16182797;0.07097718;0.017721636;0.08617957
0.385;0.16433892;0.07114239;0.017219687;0.08620827
0.39;0.16685067;0.07130371;0.016653594;0.08623603
0.395;0.16936336;0.071461335;0.01604023;0.08626276
0.4;0.17187707;0.07161544;0.015394954;0.08628842
0.405;0.17439145;0.07176603;0.01473162;0.08631297
0.41;0.17690644;0.07191318;0.014062588;0.08633641
0.415;0.17942277;0.07205734;0.013398763;0.08635874
0.42;0.18193945;0.0721982;0.012749701;0.08637999
0.425;0.18445706;0.0723361;0.012123748;0.086400196
0.43;0.1869753;0.072471045;0.01152805;0.08641941
0.435;0.18949409;0.0726031;0.010968673;0.08643769
0.44;0.19201405;0.07273259;0.0104505485;0.08645511
0.445;0.19453378;0.07285909;0.0099775875;0.08647174
0.45;0.19705456;0.072983176;0.009552661;0.08648766
0.455;0.19957581;0.073104694;0.009177657;0.086502954
