radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;2.1014703e-05
0.87;4.1068768e-05
0.88;0.0003512312
0.89;0.0014716388
0.9;0.0053727026
0.91;0.01602859
0.92;0.042777307
0.93;0.09131542
0.9400000000000001;0.17419283
0.9500000000000001;0.29970646
0.96;0.4688461
0.97;0.6794501
0.98;0.93048567
0.99;1.1857073
1.0;1.4649287
1.01;1.717663
1.02;1.9323729
1.03;2.1189182
1.04;2.2815194
1.05;2.3888962
1.06;2.4645338
1.07;2.5150769
1.08;2.528476
1.09;2.5120525
1.1;2.4833157
1.11;2.4188085
1.12;2.3596904
1.1300000000000001;2.290384
1.1400000000000001;2.213914
1.1500000000000001;2.1385384
1.16;2.0617113
1.17;1.9723643
1.18;1.8942317
1.19;1.8142827
1.2;1.7461507
1.21;1.664987
1.22;1.5879697
1.23;1.5150707
1.24;1.4533315
1.25;1.3933564
1.26;1.3348898
1.27;1.2832537
1.28;1.2325184
1.29;1.1935626
1.3;1.152965
1.31;1.110478
1.32;1.0682154
1.33;1.0309225
1.34;1.009345
1.35;0.97768795
1.36;0.9483885
1.37;0.92281806
1.3800000000000001;0.89251995
1.3900000000000001;0.8697395
1.4000000000000001;0.8572428
1.41;0.8378212
1.42;0.8221008
1.43;0.8067506
1.44;0.7922063
1.45;0.78136414
1.46;0.7656983
1.47;0.75245684
1.48;0.7411904
1.49;0.73247635
1.5;0.72144663
1.51;0.71460545
1.52;0.7121626
1.53;0.7097688
1.54;0.70236963
1.55;0.69883955
1.56;0.702333
1.57;0.7004038
1.58;0.7025347
1.59;0.7064944
1.6;0.7061234
1.61;0.7043372
1.62;0.7060828
1.6300000000000001;0.7096417
1.6400000000000001;0.71224767
1.6500000000000001;0.72277474
1.6600000000000001;0.7291806
1.67;0.741496
1.68;0.7445661
1.69;0.74589854
1.7;0.75425166
1.71;0.7664631
1.72;0.775164
1.73;0.787566
1.74;0.8033745
1.75;0.8137002
1.76;0.82664466
1.77;0.8388021
1.78;0.85015863
1.79;0.8643681
1.8;0.8762894
1.81;0.88915586
1.82;0.9060944
1.83;0.9185029
1.84;0.9306876
1.85;0.9475789
1.86;0.9645089
1.87;0.9758184
1.8800000000000001;0.9909201
1.8900000000000001;1.0106438
1.9000000000000001;1.0253812
1.9100000000000001;1.0403649
1.92;1.0557184
1.93;1.0675553
1.94;1.0811292
1.95;1.093112
1.96;1.111494
1.97;1.1186004
1.98;1.1314834
1.99;1.1398474
2.0;1.1504779
2.0100000000000002;1.1622058
2.02;1.1675829
2.0300000000000002;1.1774573
2.04;1.1830208
2.05;1.188749
2.06;1.191576
