x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
4.87543;-2.794379;-3.0664146;0.53996176;0.5325333;-0.29373085;-1.5181735;12.546998;-7.976388;12.25;12.25;12.25;1372;149.99999999993608
2.7770147;5.191283;1.7350856;3.7669332;-0.15934157;1.0341828;7.7553077;2.1131506;2.797461;12.25;12.25;12.25;1372;149.99999999993608
0.6494575;-0.7821557;-2.7129133;-1.7174916;1.6314673;-2.521726;1.7099912;1.5280414;-1.6390436;12.25;12.25;12.25;1372;149.99999999993608
-1.2122315;2.213575;5.3984694;-1.3479015;-0.40694112;-1.7420251;17.388107;-3.4671001;6.8135514;12.25;12.25;12.25;1372;149.99999999993608
0.8918404;-4.345555;-0.5710088;0.18578789;0.53467846;0.8887789;18.527811;36.21497;15.051005;12.25;12.25;12.25;1372;149.99999999993608
-2.3639538;2.094237;-2.8016877;0.08513579;2.340412;-0.849858;0.4651563;0.065437175;-1.6298119;12.25;12.25;12.25;1372;149.99999999993608
2.0175831;5.0556197;5.0745306;1.6615825;-0.5416355;0.10929705;-22.847588;-4.9278755;12.03261;12.25;12.25;12.25;1372;149.99999999993608
-4.942351;-3.8192883;3.608899;-1.5446341;0.7531576;0.98872393;3.1147783;2.3158565;1.0739679;12.25;12.25;12.25;1372;149.99999999993608
3.5732431;-1.0198482;-5.3848157;-0.02480398;1.3346962;0.5245172;2.9285898;11.144753;-17.589155;12.25;12.25;12.25;1372;149.99999999993608
4.834399;4.6330056;4.9232464;-1.0653019;1.5720876;0.33932376;-17.698723;-39.229897;0.612187;12.25;12.25;12.25;1372;149.99999999993608
1.2863301;0.80425704;-2.5744283;0.78175324;-1.9487655;-0.27743098;26.143488;-18.733284;20.158401;12.25;12.25;12.25;1372;149.99999999993608
-5.620053;0.86526525;-4.091735;-2.3453834;-0.900293;0.21083637;-53.807175;6.064509;59.623512;12.25;12.25;12.25;1372;149.99999999993608
1.4537747;-4.664187;-3.3823657;0.0021368228;-0.05913595;1.5337446;21.230381;37.894665;35.631744;12.25;12.25;12.25;1372;149.99999999993608
2.8772006;-5.019464;2.1739812;-0.6172167;-0.48704875;1.837509;-37.549126;24.721556;13.830062;12.25;12.25;12.25;1372;149.99999999993608
1.7023686;5.798103;-0.86425376;0.9952238;-0.78340894;0.11437842;-2.5293183;-1.4414264;19.381794;12.25;12.25;12.25;1372;149.99999999993608
3.2324722;-4.2576795;-4.9429336;-0.5771688;-0.12663727;-1.3316115;19.837238;6.3431706;3.68812;12.25;12.25;12.25;1372;149.99999999993608
-5.3230696;5.5440984;-1.306187;-1.2464979;-0.3237265;-0.8856029;3.0437012;-36.639557;-5.183331;12.25;12.25;12.25;1372;149.99999999993608
4.644103;-1.7041728;-4.191832;-1.2912488;-0.23631036;-1.596305;2.934374;3.390655;1.2345648;12.25;12.25;12.25;1372;149.99999999993608
-1.3067478;4.081652;-0.38574964;0.23603435;-1.0376085;0.7211053;1.2635432;1.1408899;-0.13287033;12.25;12.25;12.25;1372;149.99999999993608
-1.4633698;1.0197996;-0.26941255;1.3943101;-1.7454623;1.251627;15.221914;0.5185946;34.406876;12.25;12.25;12.25;1372;149.99999999993608
-1.4785426;-4.1615353;3.641643;-0.061415214;-0.43326804;0.5779307;2.6833556;-5.0753527;-6.086456;12.25;12.25;12.25;1372;149.99999999993608
3.9807513;-5.8396235;-5.092355;1.5784997;0.62670803;1.2224582;14.761791;-20.638853;-19.70838;12.25;12.25;12.25;1372;149.99999999993608
5.136783;2.164775;-3.4742527;1.4152067;0.086755075;-0.55096;1.8214846;-7.708487;-0.23597035;12.25;12.25;12.25;1372;149.99999999993608
3.319734;4.062249;-2.4024084;1.0000618;0.33280432;1.5650567;-11.287665;45.832287;-11.559251;12.25;12.25;12.25;1372;149.99999999993608
0.9456083;1.6045511;3.117456;-1.2443693;0.5161707;-1.2035061;-7.497181;-1.1336259;7.790636;12.25;12.25;12.25;1372;149.99999999993608
5.0974736;-2.190153;-2.2516465;-1.967019;1.8394293;0.15070033;10.732068;-13.057651;-5.3354073;12.25;12.25;12.25;1372;149.99999999993608
5.9530706;5.5814805;-0.36847433;0.33641598;-0.15742232;-1.0357574;-1.4371175;-0.52524215;4.2005315;12.25;12.25;12.25;1372;149.99999999993608
-5.374723;3.610318;0.34828827;2.080443;0.22162502;-0.40616995;-5.8312297;0.1188556;-25.969542;12.25;12.25;12.25;1372;149.99999999993608
0.3372495;-5.83132;2.3784444;0.6654152;-0.19693585;1.1578742;33.809982;10.849847;-11.142998;12.25;12.25;12.25;1372;149.99999999993608
-5.188276;-4.5241685;1.2653178;1.5879775;-0.2797142;-0.9813021;5.387839;-4.0871167;-3.5927777;12.25;12.25;12.25;1372;149.99999999993608
-5.396114;-2.0168242;0.76053786;-0.38213432;-0.13180575;-2.5016067;-2.7598531;6.7172513;-1.1985618;12.25;12.25;12.25;1372;149.99999999993608
-4.6162868;-0.4166294;3.1483035;0.64748615;0.30030066;-0.44522953;8.68629;7.528445;0.91490406;12.25;12.25;12.25;1372;149.99999999993608
-6.1081777;-0.17358567;1.8595029;-1.462229;1.4462035;-0.7070915;-4.7702622;-6.2435026;-11.6318245;12.25;12.25;12.25;1372;149.99999999993608
4.6300507;1.8393251;-0.4570132;0.25186038;-0.57482016;1.177511;-35.39071;4.102564;-11.428894;12.25;12.25;12.25;1372;149.99999999993608
5.677593;-2.6033058;-1.4640043;-1.6200222;1.6333905;0.059473265;5.269579;-19.070314;5.1347837;12.25;12.25;12.25;1372;149.99999999993608
1.6098399;0.3975652;-5.76627;0.7885772;-1.193001;0.24667048;-24.835909;-12.943715;-22.816109;12.25;12.25;12.25;1372;149.99999999993608
1.8467307;-4.927073;3.857913;1.0691026;-1.4236869;-0.70233953;12.987268;66.80636;-25.08657;12.25;12.25;12.25;1372;149.99999999993608
-0.9928579;0.030565737;-1.0165808;1.239332;-1.5738628;3.5070314;17.150496;-15.44785;2.7803776;12.25;12.25;12.25;1372;149.99999999993608
0.35721755;-0.51512486;2.158931;-1.1753447;-1.2777236;-1.1901494;-48.934353;31.034264;25.361704;12.25;12.25;12.25;1372;149.99999999993608
1.452565;-5.6548223;-4.3779616;0.66218245;0.9039008;2.6656697;-7.425224;-5.375945;-47.89538;12.25;12.25;12.25;1372;149.99999999993608
-2.2237911;-2.6924098;2.1469803;1.152658;1.4799668;1.607243;-27.872755;-27.797358;14.018325;12.25;12.25;12.25;1372;149.99999999993608
-4.9887366;-3.9196012;-3.8707926;-1.3582932;-1.095187;-1.8362217;-23.042051;77.67912;21.321371;12.25;12.25;12.25;1372;149.99999999993608
-6.048198;-2.4235094;5.840282;0.7924547;-0.8472589;0.74636734;-16.923779;-25.901949;19.626268;12.25;12.25;12.25;1372;149.99999999993608
-6.0899167;-0.11241236;-4.351664;1.8801197;-1.3351475;2.258142;-4.1713386;47.666607;43.52912;12.25;12.25;12.25;1372;149.99999999993608
-4.627127;-5.0032096;5.7666783;0.3308266;0.15560335;-1.1724726;85.04106;-9.88891;14.934153;12.25;12.25;12.25;1372;149.99999999993608
-2.6067998;-1.1420343;0.90848064;-0.0637314;-0.6159932;0.14164692;30.554153;18.05891;50.774837;12.25;12.25;12.25;1372;149.99999999993608
4.0880637;-3.036701;-3.6253128;-0.11172756;0.53924453;-0.5907122;11.285719;39.095047;12.862674;12.25;12.25;12.25;1372;149.99999999993608
-5.3215585;3.4207847;-1.6147414;-1.1613225;0.27476904;1.0674481;-16.671574;-13.876734;-0.16976516;12.25;12.25;12.25;1372;149.99999999993608
-3.2588744;0.02413365;0.30765334;0.9562941;-0.81224096;0.5294758;0.5421207;-3.2897081;-2.3347573;12.25;12.25;12.25;1372;149.99999999993608
4.0409336;-2.8024032;-6.0317197;-1.1274369;0.5296894;-0.1756392;19.73243;31.945084;-19.678669;12.25;12.25;12.25;1372;149.99999999993608
-1.443706;1.301753;-2.4422157;1.8207352;-0.24715136;-0.47483522;44.623463;8.244428;-75.48315;12.25;12.25;12.25;1372;149.99999999993608
-5.5649767;-2.920165;3.4966943;-0.9429395;1.5253587;-1.4433172;-13.997564;0.22513975;3.3720958;12.25;12.25;12.25;1372;149.99999999993608
-4.443416;-3.3850577;-5.47009;0.015612723;0.18184736;1.0045164;-6.2183075;9.393059;4.1607223;12.25;12.25;12.25;1372;149.99999999993608
5.901715;-2.1352043;3.7495508;-1.7625378;2.1495697;1.2314138;-24.56249;-8.45746;0.268669;12.25;12.25;12.25;1372;149.99999999993608
-2.596972;-1.1451738;-4.325032;0.5058196;-0.1564823;-0.110483706;-0.16892314;0.8824634;4.960072;12.25;12.25;12.25;1372;149.99999999993608
3.7779589;-4.214591;3.9823449;1.4843177;-1.2214344;-1.3378105;-0.11842099;-3.0852525;-12.517084;12.25;12.25;12.25;1372;149.99999999993608
-3.3857014;5.320657;-2.204318;-0.137526;-0.23417473;0.56457263;-3.867988;22.962524;-32.10196;12.25;12.25;12.25;1372;149.99999999993608
1.8262458;-2.3169334;-3.7115438;1.8038539;-1.1244885;0.26137555;-5.2750936;4.195009;43.807907;12.25;12.25;12.25;1372;149.99999999993608
-0.89304274;5.7683372;1.1741672;0.42318884;0.25114936;1.2806852;17.96229;-21.579168;-13.022894;12.25;12.25;12.25;1372;149.99999999993608
-3.2769423;-0.8066413;-0.7362277;-0.6677735;-0.71634644;0.021622457;37.489033;9.556657;34.274002;12.25;12.25;12.25;1372;149.99999999993608
3.1232822;2.4241223;5.308123;0.5461731;1.4075118;-1.3031722;2.8309045;3.1095824;-16.317719;12.25;12.25;12.25;1372;149.99999999993608
-3.5405674;-5.737491;2.411563;-0.34744197;-0.56864595;0.95015603;39.702225;-1.5933666;36.77939;12.25;12.25;12.25;1372;149.99999999993608
3.189601;0.56455934;-2.9845119;0.43908146;-1.0383654;1.3170269;4.818116;12.315641;13.80434;12.25;12.25;12.25;1372;149.99999999993608
5.0656075;-5.000633;-3.7312717;-1.419074;-0.36531585;-0.34569007;31.407347;22.808737;13.293523;12.25;12.25;12.25;1372;149.99999999993608
4.418624;4.658154;-5.1186795;-1.5869033;-0.5905782;-1.5696499;16.427185;-31.891867;14.9858265;12.25;12.25;12.25;1372;149.99999999993608
3.6404467;-3.1906455;-5.207711;-0.09401396;-0.43180215;-0.35242012;-6.2555923;-12.715365;37.64718;12.25;12.25;12.25;1372;149.99999999993608
