temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
1.0;-2.1897721;2057.2207;-7379.8687;-5322.648;-16190.591;0.0;0.0
0.99962133;-2.1774209;2055.6785;-7377.54;-5321.8613;-16119.391;0.0;0.0
0.9992505;-2.1544623;2054.0503;-7373.6387;-5319.5884;-15989.523;0.0;0.0
0.9988301;-2.1254141;2052.0251;-7367.712;-5315.6865;-15825.278;0.0;0.0
0.9982667;-2.0893219;2049.351;-7359.1396;-5309.7886;-15620.888;0.0;0.0
0.99753034;-2.0457525;2045.8688;-7347.1035;-5301.235;-15373.646;0.0;0.0
0.99657494;-1.9929099;2041.3809;-7330.6465;-5289.2656;-15073.255;0.0;0.0
0.99535173;-1.9293568;2035.6719;-7308.5312;-5272.8594;-14711.3545;0.0;0.0
0.99380684;-1.8533646;2028.5316;-7279.3535;-5250.822;-14277.993;0.0;0.0
0.9918972;-1.7629576;2019.8276;-7241.589;-5221.761;-13762.008;0.0;0.0
0.989611;-1.6569543;2009.6249;-7193.768;-5184.143;-13157.016;0.0;0.0
0.9870075;-1.5343504;1998.3275;-7134.8525;-5136.525;-12458.286;0.0;0.0
0.98424214;-1.3947961;1986.7539;-7064.63;-5077.876;-11665.525;0.0;0.0
0.9815682;-1.2397033;1975.9818;-6983.9907;-5008.009;-10788.676;0.0;0.0
0.9792503;-1.0713878;1967.0018;-6894.7666;-4927.7646;-9842.49;0.0;0.0
0.9774908;-0.89352787;1960.5536;-6799.4243;-4838.8706;-8848.731;0.0;0.0
0.97644293;-0.7103596;1957.2781;-6701.0317;-4743.754;-7832.045;0.0;0.0
0.97626585;-0.5274465;1957.7936;-6603.3213;-4645.528;-6824.3477;0.0;0.0
0.9770866;-0.34966582;1962.4115;-6510.087;-4547.6753;-5853.159;0.0;0.0
0.9788931;-0.18305422;1970.8186;-6425.1016;-4454.283;-4951.144;0.0;0.0
0.9814959;-0.03158658;1982.031;-6350.927;-4368.8955;-4138.2554;0.0;0.0
0.9845711;0.1013746;1994.665;-6289.0347;-4294.3696;-3430.2698;0.0;0.0
0.9877586;0.21504551;2007.3574;-6239.417;-4232.0596;-2828.7825;0.0;0.0
0.9907707;0.3094979;2019.115;-6201.2856;-4182.171;-2331.4119;0.0;0.0
0.9934419;0.38667953;2029.4395;-6173.1978;-4143.7583;-1926.4198;0.0;0.0
0.9957254;0.44800824;2038.2533;-6153.7676;-4115.514;-1605.8322;0.0;0.0
0.9976489;0.49529487;2045.6643;-6141.5835;-4095.9192;-1359.8779;0.0;0.0
0.99924266;0.5304622;2051.751;-6135.46;-4083.709;-1178.1108;0.0;0.0
1.0005149;0.5554947;2056.5137;-6134.0938;-4077.58;-1049.5868;0.0;0.0
1.0014615;0.5725822;2059.9333;-6136.0938;-4076.1604;-962.1922;0.0;0.0
1.0020787;0.58379173;2061.9497;-6140.137;-4078.1875;-904.40656;0.0;0.0
1.0023321;0.59200555;2062.342;-6144.5645;-4082.2224;-859.89386;0.0;0.0
1.0021567;0.59946966;2060.9597;-6147.664;-4086.7043;-815.9659;0.0;0.0
1.0015727;0.60860544;2058.114;-6147.8022;-4089.6882;-759.8925;0.0;0.0
1.0007441;0.6205201;2054.651;-6144.438;-4089.787;-687.2595;0.0;0.0
0.99992883;0.6356676;2051.6362;-6137.989;-4086.3525;-597.6948;0.0;0.0
0.9993734;0.6523327;2049.9055;-6129.832;-4079.9265;-502.3287;0.0;0.0
0.99920565;0.6694965;2049.7612;-6121.5234;-4071.7622;-407.3853;0.0;0.0
0.9994052;0.6853866;2050.8596;-6114.42;-4063.5603;-321.95145;0.0;0.0
0.9997961;0.69887036;2052.3848;-6108.839;-4056.454;-250.64151;0.0;0.0
1.0001559;0.7106171;2053.5625;-6104.4927;-4050.9302;-188.21599;0.0;0.0
