temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
1.0029122;0.91036093;2063.8276;-6003.9272;-3940.0996;892.80023;0.0;0.0;1838.265625
1.0033517;0.9001773;2065.2896;-6010.8296;-3945.54;833.71576;0.0;0.0;1838.265625
1.0036491;0.8892064;2066.008;-6018.3115;-3952.3035;771.77655;0.0;0.0;1838.265625
1.0037223;0.87847304;2065.8594;-6025.379;-3959.5195;712.88165;0.0;0.0;1838.265625
1.0036206;0.86930174;2065.2158;-6031.5273;-3966.3115;663.5909;0.0;0.0;1838.265625
1.0034825;0.8609684;2064.6067;-6036.8403;-3972.2336;618.85254;0.0;0.0;1838.265625
1.0034091;0.8541053;2064.2808;-6041.649;-3977.3682;581.6558;0.0;0.0;1838.265625
1.0034064;0.8477528;2064.2297;-6046.214;-3981.9841;546.72504;0.0;0.0;1838.265625
1.0034635;0.84176433;2064.4116;-6050.749;-3986.3374;513.3362;0.0;0.0;1838.265625
1.0035716;0.83620536;2064.7563;-6055.4316;-3990.6753;481.9901;0.0;0.0;1838.265625
1.0037044;0.8306277;2065.1213;-6060.2656;-3995.1443;450.5001;0.0;0.0;1838.265625
1.0038154;0.82514966;2065.311;-6065.163;-3999.852;419.91052;0.0;0.0;1838.265625
1.0038564;0.82034266;2065.123;-6069.623;-4004.5;393.7771;0.0;0.0;1838.265625
1.0037819;0.81631947;2064.4297;-6073.209;-4008.7793;372.9765;0.0;0.0;1838.265625
1.0035843;0.81428194;2063.266;-6075.373;-4012.107;364.06723;0.0;0.0;1838.265625
1.0032996;0.8141037;2061.841;-6075.9414;-4014.1003;365.93457;0.0;0.0;1838.265625
1.0029975;0.81576514;2060.4512;-6074.8926;-4014.4414;377.87662;0.0;0.0;1838.265625
1.0027531;0.81887746;2059.3992;-6072.541;-4013.1418;397.1444;0.0;0.0;1838.265625
1.0026319;0.82295793;2058.9124;-6069.5117;-4010.5994;420.62115;0.0;0.0;1838.265625
1.0026683;0.8271248;2059.041;-6066.426;-4007.3848;443.34323;0.0;0.0;1838.265625
1.0028381;0.83096296;2059.6265;-6063.7397;-4004.1133;463.33887;0.0;0.0;1838.265625
1.0030818;0.8337161;2060.4375;-6061.6567;-4001.2192;476.89996;0.0;0.0;1838.265625
1.0033506;0.8357853;2061.3213;-6060.195;-3998.8735;486.5436;0.0;0.0;1838.265625
1.0036236;0.8364608;2062.2192;-6059.544;-3997.3247;488.47305;0.0;0.0;1838.265625
1.0038921;0.83603454;2063.0525;-6059.446;-3996.3933;484.45575;0.0;0.0;1838.265625
1.0041252;0.8350145;2063.727;-6059.8105;-3996.0835;477.48154;0.0;0.0;1838.265625
1.0043131;0.8333734;2064.2776;-6060.5215;-3996.244;467.33014;0.0;0.0;1838.265625
1.0044973;0.8309631;2064.9792;-6061.7314;-3996.7522;452.63394;0.0;0.0;1838.265625
1.0047745;0.827467;2066.2017;-6063.87;-3997.6685;430.9094;0.0;0.0;1838.265625
1.0052108;0.82184637;2067.9766;-6067.7095;-3999.733;396.36252;0.0;0.0;1838.265625
1.0057228;0.8143048;2069.7776;-6073.146;-4003.3684;351.17053;0.0;0.0;1838.265625
1.0061256;0.8054571;2070.8042;-6079.464;-4008.6597;300.324;0.0;0.0;1838.265625
1.006232;0.79682344;2070.501;-6085.214;-4014.713;253.3175;0.0;0.0;1838.265625
1.0059963;0.7899911;2068.898;-6089.1943;-4020.2964;218.84436;0.0;0.0;1838.265625
1.0055054;0.7861268;2066.5042;-6090.4937;-4023.9895;202.32123;0.0;0.0;1838.265625
1.00493;0.78572935;2063.9944;-6089.0244;-4025.03;205.14905;0.0;0.0;1838.265625
1.004424;0.78841156;2061.9385;-6085.3423;-4023.4038;224.05254;0.0;0.0;1838.265625
1.0040944;0.7934322;2060.6758;-6080.161;-4019.4854;254.26584;0.0;0.0;1838.265625
1.0039811;0.7997034;2060.2427;-6074.3896;-4014.147;289.7164;0.0;0.0;1838.265625
1.0040455;0.80623245;2060.4033;-6068.5566;-4008.1533;325.40146;0.0;0.0;1838.265625
1.0042065;0.81274486;2060.9126;-6062.9766;-4002.064;360.29773;0.0;0.0;1838.265625
1.004441;0.8183236;2061.8433;-6058.1753;-3996.332;389.202;0.0;0.0;1838.265625
1.0048212;0.82230294;2063.5305;-6054.772;-3991.2415;407.7727;0.0;0.0;1838.265625
1.0054102;0.823689;2065.8792;-6053.702;-3987.823;410.71912;0.0;0.0;1838.265625
1.006052;0.8226808;2068.1094;-6054.5693;-3986.46;400.6986;0.0;0.0;1838.265625
1.0065367;0.8196188;2069.6074;-6056.7134;-3987.106;380.81656;0.0;0.0;1838.265625
1.0068207;0.81563556;2070.412;-6059.4883;-3989.0762;357.24026;0.0;0.0;1838.265625
1.0069847;0.81154364;2070.8257;-6062.4463;-3991.6206;333.8471;0.0;0.0;1838.265625
1.0070837;0.8074291;2070.8806;-6065.2886;-3994.408;311.046;0.0;0.0;1838.265625
1.0070679;0.8043019;2070.373;-6067.392;-3997.019;294.81567;0.0;0.0;1838.265625
1.0068978;0.8028495;2069.2495;-6068.179;-3998.9297;289.05258;0.0;0.0;1838.265625
1.0066023;0.80384177;2067.7466;-6067.1904;-3999.4438;297.53076;0.0;0.0;1838.265625
1.0062748;0.8069839;2066.246;-6064.575;-3998.329;317.85995;0.0;0.0;1838.265625
1.006;0.8125326;2065.011;-6060.4453;-3995.4343;350.93018;0.0;0.0;1838.265625
1.0058085;0.819775;2064.0776;-6055.2314;-3991.1538;392.73712;0.0;0.0;1838.265625
1.0056814;0.82837254;2063.3936;-6049.0674;-3985.6738;441.51932;0.0;0.0;1838.265625
1.005619;0.8377682;2063.0674;-6042.4233;-3979.356;493.98682;0.0;0.0;1838.265625
1.005684;0.8472231;2063.4316;-6035.905;-3972.4731;545.40015;0.0;0.0;1838.265625
1.0059812;0.8555964;2064.9546;-6030.632;-3965.6772;588.5314;0.0;0.0;1838.265625
1.0066249;0.8611224;2068.002;-6028.202;-3960.2002;612.9115;0.0;0.0;1838.265625
1.0076472;0.8618231;2072.4678;-6030.0205;-3957.5527;607.84375;0.0;0.0;1838.265625
1.0089208;0.8562766;2077.5156;-6036.8726;-3959.357;567.16016;0.0;0.0;1838.265625
1.0101297;0.8460823;2081.6924;-6047.7363;-3966.044;502.58737;0.0;0.0;1838.265625
1.0108877;0.8331341;2083.5942;-6060.3096;-3976.7153;427.3769;0.0;0.0;1838.265625
1.0109534;0.82049793;2082.6494;-6071.7646;-3989.1152;359.58072;0.0;0.0;1838.265625
1.0103569;0.81192404;2079.3472;-6079.586;-4000.2388;318.90176;0.0;0.0;1838.265625
1.0093497;0.80935824;2074.8403;-6082.647;-4007.8066;313.7656;0.0;0.0;1838.265625
1.0082471;0.8131249;2070.3474;-6080.925;-4010.5774;343.52396;0.0;0.0;1838.265625
1.0073105;0.8223371;2066.744;-6075.374;-4008.6301;401.53412;0.0;0.0;1838.265625
1.0066715;0.8351827;2064.3474;-6067.291;-4002.9436;477.1683;0.0;0.0;1838.265625
1.0063248;0.85082316;2063.009;-6057.663;-3994.654;566.0988;0.0;0.0;1838.265625
1.0061932;0.86782783;2062.458;-6047.3154;-3984.8574;660.9782;0.0;0.0;1838.265625
1.0062263;0.88511735;2062.5613;-6036.894;-3974.3328;756.1199;0.0;0.0;1838.265625
1.0064127;0.901838;2063.308;-6026.963;-3963.6548;846.83704;0.0;0.0;1838.265625
1.006755;0.9172291;2064.6453;-6018.2637;-3953.6184;929.0416;0.0;0.0;1838.265625
1.0072145;0.9307537;2066.384;-6010.973;-3944.589;1000.1496;0.0;0.0;1838.265625
1.0077422;0.9414077;2068.391;-6005.5645;-3937.1733;1054.89;0.0;0.0;1838.265625
1.0083283;0.94877124;2070.7075;-6002.1973;-3931.4897;1090.8656;0.0;0.0;1838.265625
1.0090072;0.9524194;2073.46;-6001.383;-3927.9229;1105.4797;0.0;0.0;1838.265625
1.0097926;0.9521512;2076.5742;-6003.503;-3926.9287;1097.7717;0.0;0.0;1838.265625
1.0106134;0.9476311;2079.6204;-6008.4917;-3928.8713;1066.7523;0.0;0.0;1838.265625
1.0113246;0.9392797;2082.079;-6015.757;-3933.6777;1015.77826;0.0;0.0;1838.265625
1.0118378;0.92830324;2083.7134;-6024.42;-3940.7065;951.9771;0.0;0.0;1838.265625
1.0121425;0.9159487;2084.5303;-6033.7197;-3949.1895;882.21045;0.0;0.0;1838.265625
1.0122558;0.90353936;2084.5303;-6042.7383;-3958.208;813.7756;0.0;0.0;1838.265625
1.012161;0.8917031;2083.6548;-6050.8286;-3967.1738;750.25214;0.0;0.0;1838.265625
1.0118539;0.8820089;2081.9312;-6056.877;-3974.9458;700.2377;0.0;0.0;1838.265625
1.0113682;0.8754406;2079.586;-6060.3066;-3980.7207;668.7051;0.0;0.0;1838.265625
1.0107876;0.87215614;2076.9556;-6060.965;-3984.0093;655.85284;0.0;0.0;1838.265625
1.0101923;0.87256855;2074.371;-6058.815;-3984.4438;663.29614;0.0;0.0;1838.265625
1.0096631;0.8763187;2072.171;-6054.216;-3982.045;688.37775;0.0;0.0;1838.265625
1.0092814;0.88252926;2070.65;-6047.887;-3977.2373;725.66974;0.0;0.0;1838.265625
1.0091053;0.8899777;2070.0625;-6040.7793;-3970.7168;767.92114;0.0;0.0;1838.265625
1.0091903;0.89750385;2070.522;-6033.8965;-3963.3745;808.5076;0.0;0.0;1838.265625
1.0095184;0.90375584;2071.8792;-6028.2266;-3956.3474;840.2714;0.0;0.0;1838.265625
1.0100193;0.9078802;2073.81;-6024.336;-3950.526;859.15454;0.0;0.0;1838.265625
1.0106056;0.9097992;2076.0515;-6022.46;-3946.4084;865.25476;0.0;0.0;1838.265625
1.0112436;0.9089087;2078.5244;-6022.7705;-3944.246;855.3982;0.0;0.0;1838.265625
1.0119268;0.90535164;2081.1646;-6025.537;-3944.3726;830.5012;0.0;0.0;1838.265625
1.0126169;0.8985024;2083.7434;-6030.6504;-3946.907;787.57153;0.0;0.0;1838.265625
1.0132371;0.88901335;2085.9294;-6037.911;-3951.9817;730.8693;0.0;0.0;1838.265625
1.0137085;0.87785655;2087.4912;-6046.426;-3958.9346;666.2181;0.0;0.0;1838.265625
1.0140138;0.8659995;2088.3904;-6055.601;-3967.2107;599.03076;0.0;0.0;1838.265625
1.0141575;0.8539783;2088.614;-6064.881;-3976.2668;532.28864;0.0;0.0;1838.265625
