time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.998929;0.004998215
0.01;7.5085714e-05;0.0012514286;2.9899454;0.009981457
0.015;0.00029989073;0.0033321192;2.9632397;0.01492019
0.02;0.00067307067;0.0056089223;2.9194236;0.019785896
0.025;0.0011924211;0.007949473;2.8595204;0.024551764
0.03;0.001854931;0.010305173;2.7848399;0.029193163
0.035;0.002656847;0.012651652;2.6969547;0.033688087
0.04;0.0035937494;0.014973956;2.5975888;0.038017403
0.045;0.004660651;0.01726167;2.488555;0.042164993
0.05;0.0058520664;0.019506887;2.3716848;0.0461178
0.055;0.0071621416;0.02170346;2.2487943;0.049865793
0.06;0.008584701;0.023846393;2.1216114;0.053401813
0.065;0.010113365;0.025931705;1.9917717;0.05672143
0.07;0.011741608;0.027956212;1.8607672;0.05982271
0.075;0.013462886;0.029917523;1.7299643;0.062705986
0.08;0.015270627;0.031813808;1.6005676;0.0653736
0.085;0.017158352;0.033643827;1.4736388;0.06782966
0.09;0.019119687;0.035406828;1.3500847;0.0700798
0.095;0.021148441;0.037102528;1.2306722;0.072130926
0.1;0.02323867;0.038731117;1.116029;0.07399097
0.105;0.025384568;0.040292967;1.0066543;0.07566873
0.11;0.027580706;0.041788947;0.9029336;0.07717362
0.115;0.0298219;0.043220144;0.80514157;0.07851552
0.12;0.032103203;0.044587784;0.7134548;0.07970461
0.125;0.0344201;0.045893464;0.62796855;0.080751225
0.13;0.03676824;0.04713877;0.5486951;0.08166572
0.135;0.039143644;0.048325486;0.47558698;0.08245836
0.14;0.04154283;0.049455754;0.40853488;0.083139256
0.145;0.04396221;0.05053128;0.34738293;0.083718225
0.15;0.046398867;0.051554292;0.29193607;0.084204786
0.155;0.04885002;0.0525269;0.24196501;0.08460806
0.16;0.05131307;0.053451113;0.19721434;0.08493675
0.165;0.053785913;0.0543292;0.15740952;0.0851991
0.17;0.056266367;0.055163108;0.12226108;0.08540287
0.175;0.05875291;0.055955153;0.09146941;0.085555315
0.18;0.06124389;0.056707304;0.06473035;0.0856632
0.185;0.06373791;0.05742154;0.041738186;0.085732765
0.19;0.06623387;0.05809989;0.02218921;0.08576975
0.195;0.06873089;0.058744352;0.00578507;0.08577939
0.2;0.07122815;0.059356786;-0.0077647967;0.08576645
0.205;0.07372473;0.059938807;-0.018741045;0.08573521
0.21;0.07622036;0.06049235;-0.027412876;0.08568952
0.215;0.07871448;0.061018977;-0.034036614;0.08563279
0.22;0.08120694;0.06152041;-0.038854893;0.08556804
0.225;0.083697185;0.061997917;-0.04209592;0.08549788
0.23;0.086185314;0.062453125;-0.043972917;0.08542459
