time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;3.008566;0.0050142766
0.01;7.532683e-05;0.0012554473;2.9996312;0.010013661
0.015;0.00030085727;0.0033428585;2.9730365;0.014968723
0.02;0.0006752535;0.0056271125;2.9294176;0.019851085
0.025;0.0011963213;0.007975476;2.8697648;0.024634026
0.03;0.0018610605;0.010339226;2.7953873;0.029293006
0.035;0.0026657328;0.012693966;2.7078364;0.033806067
0.04;0.003605939;0.015024747;2.608811;0.038154084
0.045;0.0046767015;0.017321115;2.5001147;0.04232094
0.05;0.005872569;0.019575229;2.3835711;0.04629356
0.055;0.0071876817;0.021780854;2.2609708;0.050061844
0.06;0.008615906;0.023933074;2.1340325;0.053618565
0.065;0.010150851;0.026027823;2.0043826;0.056959204
0.07;0.011786026;0.028061967;1.8735139;0.060081728
0.075;0.013514881;0.030033069;1.742773;0.06298635
0.08;0.015330843;0.031939257;1.6133724;0.0656753
0.085;0.017227428;0.03377927;1.4863662;0.06815258
0.09;0.019198308;0.03555242;1.3626667;0.07042369
0.095;0.021237295;0.037258413;1.2430382;0.07249542
0.1;0.023338342;0.038897235;1.1281142;0.074375615
0.105;0.02549575;0.04046945;1.0184003;0.076072946
0.11;0.027703995;0.04197575;0.9142874;0.07759676
0.115;0.029957889;0.04341723;0.8160548;0.07895685
0.12;0.032252528;0.044795178;0.7238898;0.08016333
0.125;0.034583293;0.04611106;0.63789684;0.08122649
0.13;0.0369459;0.04736654;0.5580973;0.08215666
0.135;0.039336346;0.04856339;0.4844529;0.08296408
0.14;0.04175092;0.049703475;0.41686603;0.08365885
0.145;0.044186287;0.05078884;0.35519278;0.084250845
0.15;0.046639282;0.05182142;0.29924724;0.08474959
0.155;0.049107287;0.05280353;0.24881195;0.08516427
0.16;0.051587526;0.053737007;0.20364119;0.085503675
0.165;0.054078016;0.054624256;0.16347;0.08577613
0.17;0.05657653;0.05546719;0.12801687;0.08598949
0.175;0.059081487;0.056268085;0.09698992;0.08615114
0.18;0.06159101;0.057028715;0.070090294;0.086267956
0.185;0.06410416;0.0577515;0.047016717;0.08634631
0.19;0.06661944;0.058438104;0.027467942;0.0863921
0.195;0.06913612;0.059090704;0.011146046;0.08641067
0.2;0.07165324;0.059711035;-0.0022412473;0.08640694
0.205;0.07417022;0.060300987;-0.012978302;0.08638531
0.21;0.076686434;0.06086225;-0.021339776;0.08634974
0.215;0.07920143;0.061396457;-0.027589055;0.086303756
0.22;0.08171502;0.061905317;-0.031976942;0.08625046
0.225;0.084226966;0.06239035;-0.03474046;0.08619256
0.23;0.08673713;0.06285299;-0.036101997;0.08613239
0.235;0.08924531;0.06329455;-0.036268853;0.086071946
0.24;0.091751695;0.06371646;-0.035432734;0.08601289
0.245;0.09425631;0.064119935;-0.033769406;0.08595661
0.25;0.09675903;0.06450602;-0.031439018;0.08590421
0.255;0.099260114;0.06487589;-0.028586391;0.085856564
0.26;0.1017597;0.06523058;-0.025341066;0.08581433
0.265;0.10425812;0.06557115;-0.021818088;0.08577797
0.27;0.10675536;0.065898366;-0.018118644;0.08574777
0.275;0.10925156;0.066213064;-0.014330543;0.085723884
0.28;0.11174718;0.06651618;-0.010529353;0.08570634
0.285;0.11424201;0.066808194;-0.006778981;0.085695036
0.29;0.11673656;0.06708998;-0.0031326853;0.08568981
0.295;0.1192309;0.0673621;0.0003659512;0.085690424
0.3;0.121725224;0.06762512;0.0036822013;0.08569656
0.305;0.124219775;0.067879654;0.0067892037;0.08570788
0.31;0.12671427;0.06812595;0.009667135;0.08572399
0.315;0.12920952;0.06836482;0.012302373;0.08574449
0.32;0.13170499;0.06859635;0.014686734;0.085768975
0.325;0.13420132;0.06882119;0.01681672;0.085797
0.33;0.13669825;0.069039516;0.018692933;0.085828155
0.335;0.13919605;0.06925177;0.02031932;0.08586202
0.34;0.14169501;0.069458336;0.021702686;0.08589819
0.345;0.14419493;0.06965939;0.022852061;0.08593628
0.35;0.14669596;0.06985522;0.023778485;0.08597591
0.355;0.14919794;0.07004598;0.024494497;0.08601674
0.36;0.151701;0.070231944;0.025013933;0.08605842
0.365;0.15420547;0.070413455;0.025351781;0.086100675
0.37;0.15671104;0.07059056;0.025523666;0.08614322
0.375;0.15921803;0.070763566;0.02554618;0.08618579
0.38;0.16172586;0.070932396;0.025436;0.086228184
0.385;0.1642357;0.0710977;0.025210235;0.086270206
0.39;0.16674612;0.07125903;0.024885744;0.08631168
0.395;0.16925809;0.071416914;0.024479091;0.086352475
0.4;0.17177112;0.0715713;0.024006275;0.08639249
0.405;0.17428547;0.07172242;0.02348252;0.08643162
0.41;0.17680086;0.07187027;0.022921838;0.08646983
0.415;0.17931727;0.072014965;0.022337168;0.08650706
0.42;0.18183526;0.072156854;0.021739874;0.08654329
0.425;0.18435393;0.07229566;0.021139985;0.086578526
0.43;0.18687363;0.07243164;0.020546163;0.08661277
0.435;0.18939465;0.072565;0.01996568;0.08664604
0.44;0.19191656;0.072695665;0.019404603;0.086678386
0.445;0.19443938;0.07282374;0.018868092;0.086709835
0.45;0.19696301;0.07294927;0.018360374;0.086740434
0.455;0.19948786;0.07307248;0.017885124;0.086770244
0.46;0.20201345;0.07319328;0.017445348;0.086799316
0.465;0.20453992;0.0733118;0.017043589;0.086827725
0.47;0.20706713;0.073428065;0.016682154;0.08685552
0.475;0.20959565;0.073542334;0.016362917;0.0868828
0.48;0.21212457;0.07365437;0.016087458;0.08690961
0.485;0.21465467;0.07376449;0.015857114;0.08693604
0.49;0.21718511;0.073872484;0.015672583;0.086962156
0.495;0.21971646;0.0739786;0.015534226;0.08698805
0.5;0.22224878;0.074082926;0.015441604;0.08701379
0.505;0.2247818;0.07418541;0.015393629;0.08703944
0.51;0.2273159;0.074286245;0.015388502;0.087065086
0.515;0.2298505;0.07438528;0.015423473;0.0870908
0.52;0.23238549;0.07448253;0.015494862;0.08711662
0.525;0.23492174;0.07457834;0.015598228;0.08714262
0.53;0.23745872;0.07467256;0.015728325;0.08716883
0.535;0.23999688;0.074765384;0.015879283;0.0871953
0.54;0.24253492;0.07485645;0.016044678;0.08722204
0.545;0.24507485;0.07494643;0.016218005;0.08724907
0.55;0.24761474;0.07503477;0.016392773;0.08727639
0.555;0.2501559;0.07512189;0.016562784;0.087303996
0.56;0.25269768;0.07520764;0.016722355;0.08733186
0.565;0.2552404;0.07529216;0.016866527;0.08735997
0.57;0.25778404;0.07537545;0.016991097;0.08738829
0.575;0.26032868;0.07545759;0.0170926;0.08741678
0.58;0.26287368;0.07553841;0.017168563;0.08744539
0.585;0.26542014;0.075618275;0.017217077;0.08747409
0.59;0.26796696;0.075696886;0.017237019;0.08750282
0.595;0.27051485;0.07577446;0.017227774;0.08753153
0.6;0.27306375;0.07585104;0.017189179;0.08756018
0.605;0.2756131;0.07592647;0.017121425;0.08758871
0.61;0.2781641;0.076001115;0.017024888;0.08761709
0.615;0.28071523;0.076074585;0.016900191;0.087645255
0.62;0.28326762;0.07614721;0.01674797;0.08767317
0.625;0.28582057;0.07621882;0.016569085;0.087700784
0.63;0.2883749;0.07628966;0.016364494;0.08772806
0.635;0.29092968;0.076359496;0.01613525;0.08775495
0.64;0.29348516;0.07642843;0.015882574;0.08778142
0.645;0.2960414;0.07649649;0.015607855;0.08780744
0.65;0.2985991;0.07656387;0.015312588;0.08783296
0.655;0.30115733;0.07663037;0.0149985;0.087857954
