time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;4.5772285;0.007628714
0.01;0.000114644616;0.0019107437;4.5603113;0.015229234
0.015;0.00045772747;0.005085861;4.5101066;0.022746077
0.02;0.0010267211;0.008556009;4.42823;0.03012646
0.025;0.0018175027;0.012116685;4.3172345;0.03732185
0.03;0.002824484;0.015691578;4.1803594;0.044289116
0.035;0.0040407763;0.019241791;4.021312;0.050991304
0.04;0.005458376;0.022743234;3.844016;0.057398
0.045;0.00706837;0.026179148;3.6524262;0.06348538
0.05;0.008861137;0.02953712;3.450365;0.06923598
0.055;0.010826509;0.032807603;3.241411;0.07463834
0.06;0.012954017;0.035983384;3.028859;0.07968643
0.065;0.015232973;0.03905891;2.8156116;0.08437912
0.07;0.017652728;0.042030305;2.6042342;0.08871951
0.075;0.020202566;0.04489459;2.3969038;0.09271435
0.08;0.022872135;0.04765028;2.1954532;0.09637344
0.085;0.025651474;0.050297007;2.0013683;0.09970905
0.09;0.028530639;0.05283451;1.8158334;0.10273544
0.095;0.031500522;0.055264074;1.6397544;0.10546836
0.1;0.034552224;0.057587042;1.4737766;0.107924655
0.105;0.03767739;0.059805382;1.3183274;0.11012187
0.11;0.040868357;0.061921753;1.1736422;0.112077944
0.115;0.044117883;0.06393896;1.0397832;0.11381091
0.12;0.047419213;0.06586002;0.9166755;0.115338705
0.125;0.05076632;0.06768843;0.8041208;0.11667891
0.13;0.05415348;0.06942754;0.70182186;0.11784861
0.135;0.05757552;0.071080886;0.60940075;0.118864276
0.14;0.061028037;0.07265243;0.5264188;0.11974164
0.145;0.064506724;0.07414566;0.4523846;0.12049562
0.15;0.068007976;0.075564414;0.38677415;0.12114024
0.155;0.07152857;0.07691244;0.32904026;0.12168864
0.16;0.075065516;0.07819325;0.27862146;0.12215301
0.165;0.07861647;0.07941057;0.23495267;0.1225446
0.17;0.08217916;0.0805678;0.19747286;0.122873716
0.175;0.085751496;0.081668094;0.16562988;0.12314977
0.18;0.089332394;0.082715176;0.13888921;0.12338125
0.185;0.092920214;0.0837119;0.116734914;0.12357581
0.19;0.09651389;0.08466131;0.098676085;0.12374027
0.195;0.10011243;0.085566185;0.084247924;0.123880684
0.2;0.10371523;0.08642936;0.07301304;0.124002375
0.205;0.10732178;0.08725348;0.06456321;0.124109976
0.21;0.11093163;0.08804098;0.058519233;0.12420751
0.215;0.11454443;0.08879413;0.054531377;0.124298394
0.22;0.11816005;0.08951519;0.052279748;0.12438553
0.225;0.12177834;0.090206176;0.05147345;0.124471314
0.23;0.1253991;0.090868905;0.051850796;0.12455773
0.235;0.12902294;0.09150563;0.053176943;0.124646366
0.24;0.13264936;0.092117615;0.05524362;0.12473843
0.245;0.13627878;0.09270665;0.057866517;0.12483488
0.25;0.1399115;0.09327433;0.060884;0.12493635
0.255;0.14354706;0.09382161;0.06415489;0.12504327
0.26;0.14718609;0.094350055;0.06755698;0.12515587
0.265;0.15082884;0.09486091;0.070985235;0.12527418
