radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.00013431768
0.91;0.0012762806
0.92;0.0059312517
0.93;0.018024143
0.9400000000000001;0.04751019
0.9500000000000001;0.10295077
0.96;0.19748512
0.97;0.35368216
0.98;0.54105794
0.99;0.78598803
1.0;1.0683745
1.01;1.3768822
1.02;1.6731627
1.03;1.944077
1.04;2.1809042
1.05;2.3904955
1.06;2.563901
1.07;2.6479895
1.08;2.735376
1.09;2.767038
1.1;2.7327929
1.11;2.6845608
1.12;2.6247647
1.1300000000000001;2.547534
1.1400000000000001;2.4704561
1.1500000000000001;2.3801198
1.16;2.2948263
1.17;2.184781
1.18;2.0677612
1.19;1.9679492
1.2;1.8727509
1.21;1.7831535
1.22;1.6974138
1.23;1.6160405
1.24;1.5462521
1.25;1.4827076
1.26;1.4095517
1.27;1.3388073
1.28;1.2776616
1.29;1.2165638
1.3;1.1657494
1.31;1.1261306
1.32;1.0772606
1.33;1.0460622
1.34;1.0027642
1.35;0.959966
1.36;0.9335911
1.37;0.89804226
1.3800000000000001;0.88192433
1.3900000000000001;0.85829824
1.4000000000000001;0.837921
1.41;0.8206457
1.42;0.79933876
1.43;0.7842679
1.44;0.7613377
1.45;0.74642324
1.46;0.73960906
1.47;0.72549546
1.48;0.7146033
1.49;0.69881284
1.5;0.69391966
1.51;0.68297905
1.52;0.68038005
1.53;0.67797536
1.54;0.67490244
1.55;0.6656613
1.56;0.66639924
1.57;0.6601812
1.58;0.6620202
1.59;0.6569206
1.6;0.6597044
1.61;0.6616393
1.62;0.6706524
1.6300000000000001;0.6670231
1.6400000000000001;0.6738236
1.6500000000000001;0.6812146
1.6600000000000001;0.68840134
1.67;0.69408655
1.68;0.69945556
1.69;0.7111628
1.7;0.71873516
1.71;0.73064214
1.72;0.7432795
1.73;0.75241625
1.74;0.76473194
1.75;0.7801985
1.76;0.79590523
1.77;0.8179288
1.78;0.8258055
1.79;0.83998585
1.8;0.86321235
1.81;0.8802242
1.82;0.893524
1.83;0.9114084
1.84;0.9287793
1.85;0.93822485
1.86;0.9605372
1.87;0.97249675
1.8800000000000001;0.9991746
1.8900000000000001;1.0134782
1.9000000000000001;1.0242584
1.9100000000000001;1.0442998
1.92;1.052633
1.93;1.0741652
1.94;1.0855616
1.95;1.1023043
1.96;1.1124734
1.97;1.1210172
1.98;1.1392864
1.99;1.142874
2.0;1.1574756
2.0100000000000002;1.1651644
2.02;1.1746181
2.0300000000000002;1.1808828
2.04;1.1864315
2.05;1.2021577
2.06;1.2130927
2.07;1.2077284
