time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;0.30076653;0.00050127757
0.01;7.5309986e-06;0.00012551664;0.2998423;0.0010010147
0.015;3.007776e-05;0.00033419734;0.29707658;0.0014961424
0.02;6.750187e-05;0.0005625156;0.29250216;0.001983646
0.025;0.00011957424;0.00079716154;0.28617048;0.0024605969
0.03;0.0001859775;0.0010332083;0.278154;0.0029241866
0.035;0.00026630942;0.00126814;0.26854333;0.0033717589
0.04;0.00036008927;0.001500372;0.2574464;0.0038008364
0.045;0.0004667597;0.0017287395;0.24498622;0.004209147
0.05;0.0005856964;0.0019523215;0.23129903;0.004594645
0.055;0.00071621215;0.00217034;0.21653241;0.0049555325
0.06;0.00085756986;0.0023821387;0.20084201;0.005290269
0.065;0.0010089789;0.0025871256;0.18439144;0.005597588
0.07;0.0011696167;0.0027848016;0.16734686;0.0058764997
0.075;0.0013386286;0.0029747302;0.14987767;0.006126296
0.08;0.0015151367;0.0031565349;0.13215193;0.006346549
0.085;0.0016982573;0.0033299162;0.1143356;0.006537108
0.09;0.0018870928;0.0034946161;0.09658958;0.006698091
0.095;0.0020807555;0.0036504485;0.0790685;0.006829872
0.1;0.0022783647;0.0037972745;0.06191879;0.00693307
0.105;0.0024790654;0.0039350246;0.045277122;0.0070085316
0.11;0.0026820195;0.004063666;0.029268876;0.007057313
0.115;0.0028864245;0.004183224;0.014007468;0.007080659
0.12;0.0030915143;0.00429377;-0.00040686727;0.007079981
0.125;0.0032965732;0.004395431;-0.013887601;0.0070568346
0.13;0.0035009175;0.004488356;-0.02636242;0.007012897
0.135;0.003703925;0.004572747;-0.03777347;0.0069499416
0.14;0.0039050223;0.004648836;-0.048077524;0.0068698125
0.145;0.00410369;0.0047168853;-0.057245642;0.006774403
0.15;0.0042994795;0.004777199;-0.06526302;0.006665631
0.155;0.004491973;0.0048300787;-0.072128445;0.006545417
0.16;0.004680835;0.00487587;-0.07785379;0.006415661
0.165;0.00486578;0.004914929;-0.08246288;0.006278223
0.17;0.005046566;0.004947614;-0.08599112;0.006134904
0.175;0.0052230298;0.004974314;-0.088484004;0.005987431
0.18;0.005395038;0.0049954057;-0.089996316;0.0058374368
0.185;0.00556251;0.0050112703;-0.09059112;0.0056864517
0.19;0.005725427;0.0050223046;-0.09033794;0.0055358885
0.195;0.005883802;0.005028891;-0.089312166;0.0053870347
0.2;0.006037671;0.005031393;-0.087593496;0.0052410457
0.205;0.0061871368;0.0050301924;-0.08526471;0.005098938
0.21;0.006332301;0.005025636;-0.08241014;0.0049615875
0.215;0.006473321;0.0050180783;-0.07911534;0.004829729
0.22;0.0066103544;0.0050078444;-0.075464815;0.0047039543
0.225;0.0067435848;0.0049952483;-0.07154162;0.004584718
0.23;0.006873219;0.004980593;-0.06742602;0.0044723414
0.235;0.0069994433;0.004964144;-0.06319471;0.0043670167
0.24;0.007122485;0.0049461704;-0.05891995;0.004268817
0.245;0.0072425473;0.004926903;-0.05466876;0.004177702
0.25;0.007359845;0.0049065636;-0.050502423;0.0040935315
0.255;0.007474612;0.004885367;-0.046475608;0.0040160725
0.26;0.0075870026;0.0048634633;-0.04263665;0.003945011
0.265;0.007697243;0.0048410334;-0.039026555;0.003879967
0.27;0.0078055067;0.004818214;-0.035679344;0.0038205013
0.275;0.00791195;0.004795121;-0.032621697;0.0037661318
0.28;0.008016732;0.004771864;-0.029873371;0.0037163428
0.285;0.008119997;0.0047485363;-0.02744695;0.003670598
0.29;0.0082218535;0.0047252034;-0.025348516;0.0036283506
0.295;0.008322404;0.004701923;-0.023577787;0.003589054
0.3;0.008421738;0.004678743;-0.022128591;0.0035521733
0.305;0.008519934;0.004655701;-0.020989418;0.003517191
0.31;0.008617042;0.004632818;-0.020143984;0.0034836174
0.315;0.008713102;0.004610107;-0.01957176;0.0034509979
0.32;0.008808138;0.0045875716;-0.019248774;0.0034189166
0.325;0.008902185;0.004565223;-0.01914812;0.003387003
0.33;0.00899522;0.0045430404;-0.019240754;0.0033549352
0.335;0.009087258;0.0045210235;-0.019496068;0.0033224416
0.34;0.00917827;0.004499152;-0.01988257;0.0032893042
0.345;0.009268246;0.0044774134;-0.020368632;0.0032553563
0.35;0.0093571665;0.0044557936;-0.020922842;0.003220485
0.355;0.009444971;0.0044342587;-0.021514865;0.0031846268
0.36;0.009531679;0.004412814;-0.022115696;0.0031477674
0.365;0.00961723;0.004391429;-0.022698227;0.003109937
0.37;0.009701596;0.0043700878;-0.023237694;0.0030712076
0.375;0.009784745;0.004348776;-0.023711845;0.0030316878
0.38;0.009866661;0.004327483;-0.02410133;0.002991519
0.385;0.009947338;0.004306207;-0.024389898;0.002950869
0.39;0.0100267315;0.004284928;-0.02456443;0.0029099283
0.395;0.010104865;0.0042636557;-0.024615115;0.002868903
0.4;0.0101817;0.0042423746;-0.02453537;0.0028280108
0.405;0.0102572795;0.0042211027;-0.024321686;0.0027874748
0.41;0.010331601;0.004199838;-0.023973744;0.0027475185
0.415;0.010404664;0.00417858;-0.023494115;0.0027083617
0.42;0.0104765175;0.0041573485;-0.02288804;0.002670215
0.425;0.010547177;0.004136148;-0.022163145;0.0026332764
0.43;0.010616685;0.0041149943;-0.021329194;0.0025977276
0.435;0.010685094;0.0040939054;-0.020398013;0.002563731
0.44;0.010752448;0.004072897;-0.019382615;0.0025314265
0.445;0.0108187655;0.004051972;-0.018297486;0.0025009308
0.45;0.010884138;0.0040311622;-0.017157856;0.0024723343
0.455;0.010948625;0.0040104855;-0.015979478;0.002445702
0.46;0.01101227;0.003989953;-0.014778279;0.0024210715
0.465;0.011075146;0.003969586;-0.013570075;0.0023984546
0.47;0.011137295;0.0039493954;-0.012370314;0.0023778374
0.475;0.011198796;0.003929402;-0.011193631;0.0023591814
0.48;0.011259721;0.003909625;-0.010053842;0.002342425
0.485;0.011320093;0.0038900662;-0.008963541;0.0023274857
0.49;0.011379992;0.0038707454;-0.007933976;0.0023142626
0.495;0.011439472;0.0038516743;-0.0069749267;0.0023026376
0.5;0.011498562;0.003832854;-0.0060945842;0.0022924799
0.505;0.011557326;0.003814299;-0.005299434;0.0022836477
0.51;0.011615801;0.0037960133;-0.0045942874;0.0022759903
0.515;0.011674024;0.0037780015;-0.0039821947;0.0022693535
0.52;0.011732019;0.0037602624;-0.0034645398;0.0022635793
0.525;0.011789815;0.0037427985;-0.0030410534;0.0022585108
0.53;0.011847443;0.0037256111;-0.0027099268;0.002253994
0.535;0.011904909;0.0037086944;-0.0024678987;0.0022498812
0.54;0.011962238;0.0036920484;-0.0023104053;0.0022460304
0.545;0.012019414;0.0036756617;-0.002231711;0.002242311
0.55;0.012076476;0.003659538;-0.002225093;0.0022386024
0.555;0.012133412;0.0036436673;-0.0022829957;0.0022347975
0.56;0.012190191;0.0036280332;-0.0023972273;0.002230802
0.565;0.012246846;0.003612639;-0.0025591312;0.0022265369
0.57;0.012303348;0.00359747;-0.0027597845;0.002221937
0.575;0.012359711;0.003582525;-0.0029901627;0.0022169536
0.58;0.012415887;0.0035677836;-0.0032413295;0.0022115514
0.585;0.012471876;0.0035532413;-0.0035045936;0.0022057104
0.59;0.012527675;0.0035388914;-0.0037716583;0.0021994242
0.595;0.0125832725;0.0035247258;-0.0040347516;0.0021926996
0.6;0.012638624;0.0035107285;-0.0042867665;0.002185555
0.605;0.0126937665;0.0034969053;-0.0045213345;0.0021780194
0.61;0.012748658;0.0034832398;-0.0047329227;0.0021701313
0.615;0.012803288;0.0034697258;-0.00491691;0.0021619364
0.62;0.012857655;0.0034563588;-0.005069576;0.0021534872
0.625;0.012911739;0.0034431305;-0.0051881927;0.00214484
0.63;0.01296555;0.0034300396;-0.005270958;0.0021360551
0.635;0.013019071;0.003417079;-0.0053170156;0.0021271936
0.64;0.013072306;0.0034042464;-0.0053264173;0.0021183162
0.645;0.013125254;0.0033915387;-0.005300044;0.0021094827
0.65;0.01317791;0.0033789512;-0.005239563;0.00210075
0.655;0.013230286;0.003366485;-0.005147337;0.0020921712
0.66;0.013282378;0.003354136;-0.0050263554;0.002083794
0.665;0.013334204;0.0033419055;-0.0048800865;0.0020756605
0.67;0.013385766;0.0033297925;-0.00471242;0.0020678064
0.675;0.013437057;0.0033177917;-0.0045275656;0.0020602606
0.68;0.013488106;0.0033059085;-0.0043298937;0.002053044
0.685;0.013538915;0.0032941399;-0.0041238987;0.0020461709
0.69;0.013589504;0.003282489;-0.0039140326;0.0020396474
0.695;0.013639875;0.0032709534;-0.003704658;0.002033473
0.7;0.013690022;0.003259529;-0.0034999256;0.00202764
0.705;0.01373998;0.0032482224;-0.003303726;0.0020221337
0.71;0.013789748;0.00323703;-0.0031195867;0.0020169343
0.715;0.013839356;0.0032259573;-0.0029506378;0.0020120167
0.72;0.013888784;0.0032149963;-0.0027995582;0.0020073508
0.725;0.013938044;0.003204148;-0.0026685456;0.002002903
0.73;0.013987148;0.003193413;-0.002559278;0.0019986376
0.735;0.014036113;0.0031827919;-0.0024729318;0.001994516
0.74;0.014084924;0.00317228;-0.002410146;0.0019904992
0.745;0.014133604;0.0031618802;-0.0023710793;0.0019865474
0.75;0.014182127;0.0031515837;-0.0023553877;0.0019826216
0.755;0.01423053;0.0031413974;-0.002362301;0.0019786844
0.76;0.014278779;0.0031313112;-0.0023906203;0.0019747003
0.765;0.014326899;0.0031213288;-0.002438805;0.0019706355
0.77;0.014374861;0.0031114419;-0.0025049876;0.0019664606
0.775;0.014422697;0.0031016555;-0.0025870577;0.0019621488
0.78;0.014470361;0.0030919577;-0.002682708;0.0019576775
0.785;0.014517886;0.0030823534;-0.0027895034;0.0019530284
0.79;0.014565241;0.0030728353;-0.0029049248;0.0019481869
0.795;0.014612444;0.0030634054;-0.003026457;0.0019431427
0.8;0.014659467;0.0030540556;-0.0031515898;0.0019378902
0.805;0.0147063155;0.003044786;-0.0032779493;0.0019324269
0.81;0.0147529775;0.0030355921;-0.0034032494;0.0019267548
0.815;0.01479946;0.0030264745;-0.003525417;0.0019208791
0.82;0.014845733;0.0030174253;-0.003642573;0.0019148082
0.825;0.014891813;0.0030084471;-0.0037531052;0.001908553
0.83;0.014937679;0.002999534;-0.0038556347;0.0019021269
0.835;0.014983337;0.0029906863;-0.003949082;0.0018955452
0.84;0.015028763;0.0029818974;-0.0040326444;0.001888824
0.845;0.015073963;0.0029731682;-0.004105822;0.001881981
0.85;0.015118939;0.0029644978;-0.00416837;0.0018750337
0.855;0.015163703;0.0029558872;-0.0042203353;0.0018679998
0.86;0.015208192;0.002947324;-0.004261998;0.0018608965
0.865;0.015252477;0.00293882;-0.004293873;0.0018537401
0.87;0.015296493;0.0029303625;-0.0043166587;0.0018465456
0.875;0.015340292;0.0029219605;-0.0043312437;0.0018393269
0.88;0.015383829;0.002913604;-0.004338626;0.0018320958
0.885;0.015427129;0.0029052973;-0.004339924;0.0018248627
0.89;0.015470195;0.0028970402;-0.004336306;0.0018176355
0.895;0.015513005;0.0028888276;-0.0043289713;0.0018104205
0.9;0.015555579;0.002880663;-0.0043191095;0.001803222
0.905;0.0155979255;0.0028725462;-0.004307888;0.0017960422
0.91;0.015639987;0.0028644665;-0.004296407;0.0017888815
0.915;0.01568184;0.0028564373;-0.0042856648;0.0017817387
0.92;0.015723448;0.0028484508;-0.004276566;0.0017746111
0.925;0.015764806;0.0028405057;-0.004269872;0.0017674946
0.93;0.015805937;0.0028326053;-0.0042662113;0.0017603843
0.935;0.015846817;0.0028247444;-0.0042660665;0.0017532742
0.94;0.015887482;0.0028169295;-0.004269759;0.0017461579
0.945;0.015927864;0.0028091471;-0.0042774617;0.0017390288
0.95;0.015968036;0.0028014097;-0.0042892043;0.0017318801
0.955;0.016007971;0.0027937123;-0.0043048677;0.0017247053
0.96;0.016047647;0.0027860499;-0.004324214;0.0017174983
0.965;0.016087096;0.0027784277;-0.0043468876;0.0017102535
0.97;0.016126264;0.0027708355;-0.004372413;0.0017029662
0.975;0.01616521;0.0027632837;-0.004400256;0.0016956325
0.98;0.016203916;0.002755768;-0.0044298028;0.0016882494
0.985;0.016242372;0.0027482864;-0.0044603986;0.0016808155
0.99;0.016280565;0.002740836;-0.004491364;0.0016733299
0.995;0.016318502;0.0027334176;-0.004521989;0.0016657931
1.0;0.016356189;0.0027260315;-0.0045516053;0.0016582072
1.005;0.016393607;0.0027186745;-0.0045795436;0.0016505746
1.01;0.016430777;0.0027113494;-0.004605169;0.0016428994
1.015;0.016467683;0.0027040532;-0.004627918;0.0016351861
1.02;0.016504314;0.0026967833;-0.004647267;0.0016274407
1.025;0.016540682;0.0026895418;-0.0046627703;0.0016196694
1.03;0.016576814;0.0026823322;-0.00467405;0.0016118793
1.035;0.016612666;0.0026751475;-0.0046808124;0.001604078
1.04;0.016648257;0.00266799;-0.004682828;0.0015962733
1.045;0.01668358;0.0026608582;-0.0046799504;0.0015884733
1.05;0.016718615;0.0026537485;-0.0046721227;0.0015806864
1.055;0.016753402;0.002646667;-0.004659341;0.0015729208
1.06;0.016787948;0.0026396145;-0.0046416596;0.0015651848
1.065;0.016822208;0.0026325833;-0.0046192063;0.0015574861
1.07;0.016856223;0.00262558;-0.0045921444;0.0015498325
1.075;0.016889961;0.0026185985;-0.004560678;0.0015422314
1.08;0.016923448;0.0026116432;-0.004525041;0.0015346897
1.085;0.016956676;0.002604712;-0.0044854744;0.0015272138
1.09;0.016989674;0.0025978095;-0.0044422313;0.0015198102
1.095;0.017022403;0.002590929;-0.0043955534;0.0015124843
1.1;0.017054902;0.002584076;-0.004345679;0.0015052414
1.105;0.017087154;0.0025772478;-0.00429281;0.0014980867
1.11;0.017119162;0.0025704447;-0.0042371177;0.0014910249
1.115;0.017150931;0.0025636668;-0.004178766;0.0014840603
1.12;0.017182456;0.002556913;-0.0041178474;0.0014771972
1.125;0.01721375;0.0025501854;-0.004054442;0.0014704398
1.13;0.017244846;0.0025434876;-0.003988561;0.0014637922
1.135;0.017275698;0.0025368133;-0.0039202003;0.0014572585
1.14;0.01730633;0.002530165;-0.0038492987;0.0014508431
1.145;0.017336754;0.002523545;-0.0037757792;0.00144455
1.15;0.01736695;0.0025169493;-0.0036995125;0.0014383842
1.155;0.01739692;0.0025103781;-0.0036203736;0.0014323503
1.16;0.017426698;0.0025038358;-0.0035381976;0.0014264532
1.165;0.01745628;0.002497322;-0.0034528214;0.0014206986
1.17;0.017485656;0.0024908343;-0.0033640794;0.0014150918
1.175;0.017514845;0.0024843754;-0.0032718284;0.0014096387
1.18;0.017543808;0.002477939;-0.0031759138;0.0014043455
1.185;0.017572634;0.0024715378;-0.0030762663;0.0013992185
1.19;0.01760128;0.0024651652;-0.0029727903;0.0013942637
1.195;0.017629722;0.0024588176;-0.0028654898;0.0013894879
1.2;0.017658005;0.0024525006;-0.0027543728;0.0013848973
1.205;0.0176861;0.0024462102;-0.0026395617;0.001380498
1.21;0.01771406;0.0024399534;-0.0025211934;0.001376296
1.215;0.017741876;0.0024337277;-0.0023995128;0.0013722968
1.22;0.017769534;0.0024275319;-0.0022748131;0.0013685055
1.225;0.017797058;0.0024213686;-0.0021474813;0.0013649263
1.23;0.017824456;0.002415238;-0.0020179527;0.0013615631
1.235;0.017851707;0.002409137;-0.001886774;0.0013584185
1.24;0.017878849;0.0024030712;-0.0017545222;0.0013554943
1.245;0.017905898;0.0023970413;-0.0016218771;0.0013527912
1.25;0.017932821;0.0023910427;-0.0014895545;0.0013503085
1.255;0.017959654;0.00238508;-0.0013583414;0.0013480447
1.26;0.017986398;0.0023791532;-0.0012290621;0.0013459963
1.265;0.018013053;0.0023732611;-0.001102587;0.0013441585
1.27;0.018039625;0.002367405;-0.000979803;0.0013425256
1.275;0.018066125;0.002361585;-0.00086161884;0.0013410896
1.28;0.01809257;0.0023558035;-0.0007489363;0.0013398413
1.285;0.018118966;0.0023500605;-0.0006426477;0.0013387703
1.29;0.01814529;0.0023443527;-0.0005436133;0.0013378642
1.295;0.018171562;0.0023386825;-0.00045264547;0.0013371098
1.3;0.018197816;0.0023330534;-0.00037049514;0.0013364924
1.305;0.018223993;0.0023274578;-0.00029783027;0.001335996
1.31;0.018250162;0.0023219036;-0.00023522999;0.0013356039
1.315;0.018276295;0.002316387;-0.00018315461;0.0013352986
1.32;0.018302357;0.0023109035;-0.0001419504;0.0013350621
1.325;0.018328426;0.0023054625;-0.00011181687;0.0013348757
1.33;0.01835445;0.0023000564;-9.281614e-05;0.001334721
1.335;0.018380444;0.002294687;-8.4843516e-05;0.0013345795
1.34;0.01840639;0.002289352;-8.764458e-05;0.0013344336
1.345;0.018432342;0.0022840572;-0.00010078863;0.0013342656
1.35;0.018458234;0.0022787943;-0.00012369583;0.0013340594
1.355;0.018484082;0.0022735647;-0.00015561409;0.0013338
1.36;0.01850992;0.0022683726;-0.00019565334;0.001333474
1.365;0.018535703;0.0022632116;-0.00024276722;0.0013330693
1.37;0.018561423;0.0022580805;-0.00029579905;0.0013325763
1.375;0.018587135;0.002252986;-0.0003534633;0.0013319872
1.38;0.018612755;0.0022479172;-0.0004144004;0.0013312965
