time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.098921;0.0034982017
0.01;5.2537445e-05;0.00087562413;2.0937548;0.006987793
0.015;0.00020988983;0.0023321093;2.078362;0.010451729
0.02;0.00047128295;0.003927358;2.0530155;0.0138734225
0.025;0.0008354422;0.0055696145;2.0181653;0.017237032
0.03;0.0013006163;0.0072256466;1.9744067;0.02052771
0.035;0.0018646088;0.00887909;1.9224569;0.023731804
0.04;0.00252481;0.010520042;1.8631289;0.02683702
0.045;0.0032782368;0.012141617;1.7973087;0.029832533
0.05;0.00412159;0.013738633;1.7259146;0.03270906
0.055;0.0050512883;0.015306935;1.6498843;0.035458863
0.06;0.006063503;0.016843064;1.5701494;0.03807578
0.065;0.0071542496;0.018344231;1.4876148;0.04055514
0.07;0.00831938;0.019808047;1.4031487;0.04289372
0.075;0.009554665;0.021232588;1.317567;0.045089666
0.08;0.010855796;0.022616243;1.2316302;0.047142383
0.085;0.012218485;0.023957813;1.1460278;0.04905243
0.09;0.013638412;0.025256315;1.0613939;0.050821416
0.095;0.015111354;0.02651115;0.97828317;0.05245189
0.1;0.016633147;0.027721914;0.89718634;0.0539472
0.105;0.018199716;0.028888438;0.8185251;0.055311408
0.11;0.019807145;0.030010827;0.74265766;0.056549173
0.115;0.021451611;0.031089291;0.66988164;0.057665642
0.12;0.023129486;0.03212429;0.60043514;0.058666367
0.125;0.024837263;0.03311635;0.5345023;0.059557203
0.13;0.026571658;0.03406623;0.47221863;0.060344234
0.135;0.0283296;0.034974813;0.41367334;0.06103369
0.14;0.030108083;0.035842955;0.35891512;0.06163188
0.145;0.03190445;0.036671784;0.3079544;0.06214514
0.15;0.033716127;0.03746236;0.26076785;0.06257975
0.155;0.035540774;0.038215887;0.21730335;0.062941924
0.16;0.03737618;0.038933523;0.17748278;0.06323773
0.165;0.039220415;0.039616577;0.14120519;0.06347307
0.17;0.041071597;0.04026627;0.10835164;0.063653655
0.175;0.04292828;0.040884074;0.07878678;0.06378497
0.18;0.044788804;0.041471113;0.052363433;0.06387224
0.185;0.046651937;0.042028774;0.028924204;0.063920446
0.19;0.04851658;0.0425584;0.008304683;0.06393429
0.195;0.05038157;0.04306117;-0.009664522;0.06391818
0.2;0.052246105;0.04353842;-0.025155878;0.06387626
0.205;0.054109417;0.043991394;-0.038343176;0.06381235
0.21;0.055970993;0.044421423;-0.049399808;0.06373002
0.215;0.057830013;0.044829465;-0.058497634;0.06363252
0.22;0.059686217;0.045216832;-0.06580537;0.063522846
0.225;0.061539225;0.04558461;-0.07148753;0.063403696
0.23;0.06338886;0.04593396;-0.07570399;0.06327753
0.235;0.065234736;0.04626577;-0.07860828;0.06314651
0.24;0.06707671;0.04658105;-0.08034775;0.0630126
0.245;0.068914965;0.046880927;-0.0810627;0.06287749
0.25;0.070749246;0.047166165;-0.080885716;0.06274269
0.255;0.07257958;0.04743763;-0.079941705;0.06260945
0.26;0.07440611;0.047696225;-0.078347415;0.06247887
0.265;0.07622888;0.047942694;-0.07621137;0.06235185
0.27;0.07804782;0.048177663;-0.07363381;0.062229127
0.275;0.079863355;0.048402034;-0.07070654;0.062111285
0.28;0.08167541;0.048616316;-0.06751343;0.061998762
0.285;0.08348423;0.04882119;-0.06413024;0.061891876
0.29;0.08528974;0.04901709;-0.060625054;0.061790835
0.295;0.087092444;0.049204774;-0.05705864;0.061695736
0.3;0.08889231;0.049384616;-0.053484503;0.061606597
0.305;0.09068947;0.049557086;-0.04994952;0.061523348
0.31;0.09248424;0.049722712;-0.046494134;0.06144586
0.315;0.09427669;0.049881846;-0.043152668;0.061373938
0.32;0.09606706;0.05003493;-0.0399536;0.06130735
0.325;0.097855225;0.050182167;-0.03691996;0.061245814
0.33;0.099641815;0.05032415;-0.03406971;0.06118903
0.335;0.10142645;0.05046092;-0.031415775;0.06113667
0.34;0.10320981;0.05059304;-0.028966736;0.061088394
0.345;0.10499143;0.050720498;-0.026726931;0.061043847
0.35;0.106771775;0.050843704;-0.02469713;0.061002687
0.355;0.10855084;0.05096284;-0.022874687;0.060964562
0.36;0.11032873;0.05107811;-0.0212543;0.06092914
0.365;0.11210554;0.051189743;-0.01982813;0.06089609
0.37;0.11388124;0.051297855;-0.018586356;0.060865115
0.375;0.11565599;0.051402662;-0.017517652;0.060835917
0.38;0.11742972;0.05150426;-0.016609369;0.060808238
0.385;0.11920251;0.051602818;-0.015847946;0.06078182
0.39;0.12097444;0.051698476;-0.015219203;0.060756456
0.395;0.12274528;0.05179126;-0.014708605;0.060731944
0.4;0.124515474;0.051881447;-0.014301433;0.060708106
0.405;0.12628478;0.051969048;-0.013983011;0.060684804
0.41;0.12805317;0.052054137;-0.013738944;0.060661905
0.415;0.12982054;0.052136764;-0.013555243;0.06063931
0.42;0.13158722;0.052217152;-0.013418599;0.060616948
0.425;0.13335297;0.05229528;-0.013316475;0.060594752
0.43;0.13511784;0.052371256;-0.013237265;0.06057269
0.435;0.13688222;0.052445292;-0.013170452;0.06055074
0.44;0.13864551;0.052517243;-0.013106656;0.060528897
0.445;0.14040808;0.0525873;-0.013037673;0.060507167
0.45;0.14216976;0.05265547;-0.012956472;0.06048557
0.455;0.14393085;0.052721925;-0.01285723;0.060464144
0.46;0.1456909;0.052786555;-0.012735222;0.060442917
0.465;0.14745037;0.052849595;-0.012586848;0.06042194
0.47;0.14920913;0.05291104;-0.012409591;0.060401257
0.475;0.15096688;0.052970838;-0.012201922;0.06038092
0.48;0.15272409;0.0530292;-0.0119634;0.060360983
0.485;0.15448105;0.053086273;-0.011694486;0.060341492
0.49;0.15623716;0.05314189;-0.011396543;0.060322497
0.495;0.15799254;0.05319614;-0.011071606;0.060304046
0.5;0.15974736;0.05324912;-0.0107222535;0.060286175
0.505;0.16150172;0.0533009;-0.01035143;0.06026892
0.51;0.16325553;0.05335148;-0.009962232;0.060252316
0.515;0.1650087;0.053400874;-0.009557801;0.060236387
