temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.9999001;-2.1898468;2057.015;-7379.8687;-5322.8535;-16190.591;0.0;0.0;1838.265625
0.9994212;-2.1775703;2055.2668;-7377.539;-5322.2725;-16119.392;0.0;0.0;1838.265625
0.99895084;-2.1546888;2053.434;-7373.6387;-5320.2046;-15989.539;0.0;0.0;1838.265625
0.9984303;-2.12572;2051.2036;-7367.7188;-5316.515;-15825.321;0.0;0.0;1838.265625
0.99776715;-2.089714;2048.3252;-7359.1504;-5310.825;-15620.999;0.0;0.0;1838.265625
0.9969315;-2.0462322;2044.6399;-7347.1133;-5302.4736;-15373.835;0.0;0.0;1838.265625
0.99587715;-1.9934933;2039.951;-7330.667;-5290.716;-15073.613;0.0;0.0;1838.265625
0.99455506;-1.9300425;2034.0422;-7308.5654;-5274.5234;-14711.877;0.0;0.0;1838.265625
0.99291205;-1.854177;2026.7054;-7279.4077;-5252.702;-14278.82;0.0;0.0;1838.265625
0.990905;-1.7639267;2017.8103;-7241.677;-5223.866;-13763.318;0.0;0.0;1838.265625
0.98852336;-1.6580755;2007.419;-7193.923;-5186.504;-13158.787;0.0;0.0;1838.265625
0.9858236;-1.535664;1995.9347;-7135.0635;-5139.129;-12460.744;0.0;0.0;1838.265625
0.9829641;-1.3964009;1984.1836;-7064.9805;-5080.797;-11669.234;0.0;0.0;1838.265625
0.9801973;-1.2415382;1973.232;-6984.4385;-5011.2065;-10793.295;0.0;0.0;1838.265625
0.97778475;-1.0735297;1964.0648;-6895.3564;-4931.2915;-9848.428;0.0;0.0;1838.265625
0.9759275;-0.89594156;1957.4221;-6800.1543;-4842.7324;-8855.78;0.0;0.0;1838.265625
0.9747822;-0.713207;1953.9531;-6701.966;-4748.0127;-7841.098;0.0;0.0;1838.265625
0.97450745;-0.53056306;1954.2649;-6604.39;-4650.125;-6834.4775;0.0;0.0;1838.265625
0.9752264;-0.35320282;1958.6685;-6511.3647;-4552.6963;-5865.1787;0.0;0.0;1838.265625
0.97692883;-0.18684122;1966.8517;-6426.4653;-4459.614;-4964.0947;0.0;0.0;1838.265625
0.9794267;-0.03573012;1977.842;-6352.4736;-4374.632;-4152.7285;0.0;0.0;1838.265625
0.9823983;0.09703611;1990.2512;-6290.65;-4300.3984;-3445.368;0.0;0.0;1838.265625
0.9854798;0.21038115;2002.7205;-6241.17;-4238.449;-2845.2317;0.0;0.0;1838.265625
0.98838913;0.30461356;2014.2589;-6203.0938;-4188.835;-2348.6357;0.0;0.0;1838.265625
0.99095654;0.38157454;2024.3679;-6175.052;-4150.6836;-1944.4297;0.0;0.0;1838.265625
0.9931389;0.44276944;2032.9658;-6155.667;-4122.701;-1624.1481;0.0;0.0;1838.265625
0.9949585;0.48971295;2040.1666;-6143.6323;-4103.466;-1379.6658;0.0;0.0;1838.265625
0.99645334;0.5247395;2046.0382;-6137.549;-4091.5107;-1198.2448;0.0;0.0;1838.265625
0.9976204;0.549696;2050.5886;-6136.156;-4085.5671;-1069.7155;0.0;0.0;1838.265625
0.99846953;0.56653184;2053.8076;-6138.2305;-4084.4229;-983.30707;0.0;0.0;1838.265625
0.9989857;0.57761025;2055.6199;-6142.3174;-4086.6975;-925.8366;0.0;0.0;1838.265625
0.9991416;0.5856693;2055.8274;-6146.828;-4091.0007;-881.80756;0.0;0.0;1838.265625
