time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;1.8032016;0.003005336
0.01;4.5132874e-05;0.0007522146;1.7990389;0.006003734
0.015;0.0001803219;0.0020035768;1.7866272;0.008981446
0.02;0.00040494342;0.0033745284;1.7661651;0.011925055
0.025;0.0007179688;0.004786459;1.7379788;0.014821686
0.03;0.0011179823;0.006211013;1.7024984;0.017659184
0.035;0.0016032018;0.0076342947;1.6602533;0.020426271
0.04;0.002171507;0.009047947;1.6118485;0.023112686
0.045;0.0028204673;0.010446175;1.5579448;0.02570926
0.05;0.0035473718;0.011824573;1.4992417;0.028207997
0.055;0.004349283;0.013179645;1.4364601;0.030602098
0.06;0.0052230414;0.014508449;1.3703203;0.032885965
0.065;0.0061653415;0.01580857;1.3015372;0.035055194
0.07;0.00717271;0.01707788;1.2308033;0.037106533
0.075;0.008241613;0.018314695;1.1587766;0.039037827
0.08;0.009368438;0.01951758;1.0860853;0.04084797
0.085;0.010549533;0.02068536;1.0133055;0.04253681
0.09;0.011781252;0.021817133;0.94097084;0.044105094
0.095;0.013059942;0.02291218;0.8695644;0.04555437
0.1;0.01438205;0.023970084;0.79951817;0.0468869
0.105;0.015744068;0.024990585;0.73121184;0.048105586
0.11;0.017142547;0.025973557;0.66497844;0.049213883
0.115;0.018574195;0.026919123;0.6010992;0.050215717
0.12;0.020035798;0.027827498;0.5398087;0.051115397
0.125;0.021524273;0.028699031;0.48130047;0.051917564
0.13;0.023036726;0.029534265;0.42572412;0.052627105
0.135;0.024570355;0.030333772;0.3731908;0.05324909
0.14;0.026122557;0.03109828;0.32377696;0.053788718
0.145;0.0276908;0.031828504;0.2775258;0.05425126
0.15;0.02927281;0.032525342;0.2344508;0.05464201
0.155;0.030866455;0.033189736;0.19453919;0.054966245
0.16;0.032469753;0.03382266;0.15775383;0.05522917
0.165;0.034080815;0.034425065;0.12403742;0.055435896
0.17;0.035698;0.03499804;0.09331365;0.05559142
0.175;0.037319794;0.035542663;0.06549042;0.05570057
0.18;0.038944792;0.03605999;0.04046275;0.055768006
0.185;0.040571727;0.036551107;0.018114157;0.0557982
0.19;0.04219955;0.037017148;-0.0016811156;0.055795398
0.195;0.043827247;0.037459187;-0.01905606;0.055763636
0.2;0.045453925;0.037878267;-0.034149334;0.05570672
0.205;0.047078945;0.038275562;-0.047103632;0.055628214
0.21;0.04870157;0.03865204;-0.05806402;0.055531442
0.215;0.05032131;0.039008766;-0.06717673;0.05541948
0.22;0.05193772;0.03934676;-0.07458761;0.055295166
0.225;0.053550452;0.039667003;-0.08044137;0.055161096
0.23;0.055159237;0.03997046;-0.08487999;0.055019632
0.235;0.056763772;0.040257994;-0.088042386;0.054872893
0.24;0.058363996;0.040530555;-0.09006309;0.05472279
0.245;0.059959773;0.04078896;-0.091071755;0.054571003
0.25;0.061551113;0.041034076;-0.0911926;0.054419015
0.255;0.06313797;0.04126665;-0.09054386;0.054268107
0.26;0.06472038;0.041487426;-0.0892371;0.05411938
0.265;0.06629836;0.04169708;-0.087377384;0.05397375
0.27;0.06787211;0.04189636;-0.08506256;0.05383198
0.275;0.06944168;0.042085867;-0.082383335;0.053694673
0.28;0.07100724;0.042266212;-0.07942298;0.053562302
