time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.4025128;0.004004188
0.01;6.0142054e-05;0.0010023676;2.396168;0.0079978015
0.015;0.00024024896;0.002669433;2.3772628;0.011959906
0.02;0.00053937157;0.0044947634;2.3461766;0.0158702
0.025;0.0009559474;0.0063729826;2.303511;0.019709386
0.03;0.0014878334;0.008265741;2.2500646;0.023459492
0.035;0.0021323483;0.01015404;2.1868026;0.027104164
0.04;0.0028863123;0.012026302;2.1148007;0.030628832
0.045;0.0037461198;0.013874517;2.0352187;0.034020863
0.05;0.004707766;0.015692553;1.9492553;0.037269622
0.055;0.005766948;0.017475601;1.8581113;0.040366475
0.06;0.0069190897;0.019219695;1.7629694;0.043304756
0.065;0.0081594195;0.02092159;1.6649575;0.046079684
0.07;0.009483035;0.022578653;1.5651509;0.04868827
0.075;0.010884925;0.02418872;1.4645404;0.05112917
0.08;0.012360059;0.025750123;1.3640345;0.05340256
0.085;0.013903386;0.02726154;1.2644483;0.055509977
0.09;0.015509938;0.028722106;1.1665123;0.05745416
0.095;0.01717482;0.030131264;1.0708573;0.059238926
0.1;0.018893186;0.031488642;0.97803366;0.060868982
0.105;0.02066045;0.032794368;0.888498;0.06234981
0.11;0.022472069;0.034048587;0.8026333;0.06368753
0.115;0.024323804;0.03525189;0.7207441;0.064888775
0.12;0.026211469;0.03640482;0.6430637;0.06596055
0.125;0.028131308;0.03750841;0.5697593;0.06691015
0.13;0.030079495;0.038563456;0.50094193;0.067745045
0.135;0.032052662;0.03957119;0.4366668;0.068472825
0.14;0.03404762;0.04053288;0.3769424;0.069101065
0.145;0.03606127;0.041449737;0.32173336;0.06963728
0.15;0.03809099;0.04232332;0.27096874;0.0700889
0.155;0.040134087;0.043154933;0.22454493;0.07046314
0.16;0.04218844;0.043946292;0.18233167;0.07076703
0.165;0.044251792;0.04469878;0.14417577;0.07100732
0.17;0.04632227;0.045413993;0.10990598;0.0711905
0.175;0.04839823;0.046093553;0.07933697;0.071322724
0.18;0.050478093;0.046738975;0.052272305;0.071409844
0.185;0.0525605;0.047351804;0.028508086;0.071457356
0.19;0.054644354;0.047933646;0.007835238;0.07147042
0.195;0.05672853;0.048485927;-0.009957777;0.071453825
0.2;0.058812216;0.04901018;-0.02508292;0.07141202
0.205;0.060894717;0.0495079;-0.03775068;0.0713491
0.21;0.06297526;0.049980365;-0.04816825;0.07126882
0.215;0.06505343;0.050429016;-0.05653802;0.07117459
