x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-3.4564104;3.247261;5.26721;0.048869535;-0.5053831;-0.11684703;-3.0951874;-15.92646;3.6339023;12.25;12.25;12.25;1372;50.00000000000713
5.616436;5.6208577;5.241047;0.072625175;-1.7529894;-1.0579708;55.426807;-17.265219;-5.7882895;12.25;12.25;12.25;1372;50.00000000000713
4.475904;4.231275;-2.5463443;-0.31210947;-2.668608;0.15942062;-1.5799774;1.4139823;-2.9559152;12.25;12.25;12.25;1372;50.00000000000713
-0.3378594;-2.0971804;-5.7031336;0.061103065;-1.4461615;-1.4070252;-4.382073;2.3809948;4.1178217;12.25;12.25;12.25;1372;50.00000000000713
-5.399049;-3.602302;2.424381;-0.14477837;0.50167674;-0.113803074;18.351152;24.79758;-0.27784863;12.25;12.25;12.25;1372;50.00000000000713
-0.06622827;-2.5531192;-4.6139045;-0.6336844;0.83617896;0.16255163;16.855387;11.016668;6.217617;12.25;12.25;12.25;1372;50.00000000000713
-5.6205916;5.628043;-2.6859648;-0.09786056;-0.693713;-3.221485;-1.543294;-4.830458;-3.669996;12.25;12.25;12.25;1372;50.00000000000713
-3.8274074;4.6546307;6.04284;0.72060645;2.8963165;1.0853181;-19.205587;0.18834813;-4.29165;12.25;12.25;12.25;1372;50.00000000000713
-0.22433366;-5.7578106;-2.1428862;-0.8911964;-2.1555653;0.38535377;2.2865648;-2.75663;9.601198;12.25;12.25;12.25;1372;50.00000000000713
-3.7590575;-1.191104;2.424019;0.9020849;-0.03229028;-0.60524374;25.748953;-7.889292;-18.746069;12.25;12.25;12.25;1372;50.00000000000713
-0.65212727;-4.041855;-4.362372;-0.8546896;-0.01880319;-0.4764065;-0.23304586;6.03403;26.003572;12.25;12.25;12.25;1372;50.00000000000713
1.58533;4.020629;-4.4317513;0.061071057;-0.30398276;-0.5013124;-0.7640257;9.08384;-7.605939;12.25;12.25;12.25;1372;50.00000000000713
-5.4676523;5.2154446;-3.8981545;-0.18881412;-0.19020769;0.8363031;2.963679;6.215008;5.213473;12.25;12.25;12.25;1372;50.00000000000713
2.3424637;-5.417799;-1.1000261;0.5109796;0.32396412;0.18397495;-0.61147076;0.10210199;-6.980546;12.25;12.25;12.25;1372;50.00000000000713
2.281586;-2.627111;-2.7312412;-0.69767386;1.7185208;1.6242731;-1.4685191;-2.1508136;3.0074506;12.25;12.25;12.25;1372;50.00000000000713
0.3705903;5.0277286;-5.231209;0.8824407;-1.0855268;-0.1901186;10.479767;4.626219;5.4651423;12.25;12.25;12.25;1372;50.00000000000713
-0.13031702;1.3561122;3.681335;-0.12862101;-1.2009331;1.3827693;-17.944798;2.4370563;2.682307;12.25;12.25;12.25;1372;50.00000000000713
-0.19917783;6.041325;0.49975765;0.6180438;0.6332019;1.5078934;7.247922;-1.754334;-10.110873;12.25;12.25;12.25;1372;50.00000000000713
0.5829403;1.2225463;5.6973867;1.4129614;0.8136047;0.2039694;-0.121069185;2.204627;3.5543954;12.25;12.25;12.25;1372;50.00000000000713
4.4008493;3.1276708;-2.958783;1.557791;-0.23073833;0.09404341;7.7405095;-5.8369107;15.105826;12.25;12.25;12.25;1372;50.00000000000713
5.8394766;-1.3823546;-2.8528044;-2.4312212;-0.18751168;-0.5764359;7.9882364;-15.971839;16.257519;12.25;12.25;12.25;1372;50.00000000000713
4.9774685;-3.8248665;-2.4748492;-0.50290924;-0.41121197;-0.13938037;25.9045;13.368282;-3.2784877;12.25;12.25;12.25;1372;50.00000000000713
2.5412743;5.5468254;-2.2354348;-0.79653156;-0.4016736;-1.5012889;-37.75728;-6.8888154;19.48132;12.25;12.25;12.25;1372;50.00000000000713
-6.090551;-4.445531;4.6397443;-0.68382347;0.091667205;-2.0286076;0.5685423;3.8002744;-2.4098754;12.25;12.25;12.25;1372;50.00000000000713
-0.09428786;-4.5783005;-2.5779989;0.46329936;-0.30163893;-1.2738707;10.780072;-11.948338;-12.00679;12.25;12.25;12.25;1372;50.00000000000713
-2.3403447;-1.512797;5.821994;0.78009623;0.7250991;1.4338293;-0.16050354;4.4106503;9.696046;12.25;12.25;12.25;1372;50.00000000000713
2.0942497;-5.530146;-4.602769;-1.6797192;-1.6999087;-0.549517;-34.812126;-15.0802965;-25.451082;12.25;12.25;12.25;1372;50.00000000000713
2.0587447;-0.8860685;-1.4212065;0.26545432;-0.99342203;-1.1727201;18.83377;-0.5109044;5.3701634;12.25;12.25;12.25;1372;50.00000000000713
-3.535529;1.5391523;3.8390963;0.084454834;0.5389512;0.1483249;1.2237492;2.0027583;1.8074386;12.25;12.25;12.25;1372;50.00000000000713
5.520274;4.490127;4.281025;-0.6661862;1.185037;1.309468;2.3069685;-9.417137;16.029177;12.25;12.25;12.25;1372;50.00000000000713
4.7965317;-0.6992302;0.102981016;-0.48601264;-1.0592228;-1.2187394;-3.14418;1.5441906;1.341202;12.25;12.25;12.25;1372;50.00000000000713
5.464396;-1.4204999;-3.7792208;-1.2289937;-0.5076994;0.51611966;-1.8883649;-5.220048;-41.947445;12.25;12.25;12.25;1372;50.00000000000713
-2.6077628;5.024524;-4.610294;-0.66697925;2.8919663;0.09154345;-16.361008;-14.102792;-3.2336788;12.25;12.25;12.25;1372;50.00000000000713
4.6383123;-5.941968;-5.8293524;0.8885191;0.52294147;1.2949163;6.919045;-0.06905285;0.46479407;12.25;12.25;12.25;1372;50.00000000000713
-2.7966158;0.6470462;-2.1364837;0.38651195;-0.25139844;0.8311021;1.201374;-17.645916;0.86896724;12.25;12.25;12.25;1372;50.00000000000713
0.18112053;-2.7002728;0.9515357;-0.3530247;0.21446355;-0.7915769;0.79705364;-4.407685;3.6048336;12.25;12.25;12.25;1372;50.00000000000713
-5.935101;0.61130637;-1.6210313;0.22418018;0.5868621;-0.50997657;11.58078;15.670938;-10.324322;12.25;12.25;12.25;1372;50.00000000000713
3.5414891;-1.6707869;4.193574;0.054599945;0.71039295;1.2330459;-9.038533;15.289374;-7.2974644;12.25;12.25;12.25;1372;50.00000000000713
-2.0067098;-1.9005573;0.9199049;0.4708428;0.61266613;-0.014715288;-3.7128234;3.9283454;11.550342;12.25;12.25;12.25;1372;50.00000000000713
-5.304877;-3.3655276;-5.221263;1.0051147;0.26578316;-0.76654345;-27.900103;-17.608488;16.697418;12.25;12.25;12.25;1372;50.00000000000713
5.799068;-3.6025767;5.327553;-0.80902326;0.30133367;-0.09085585;-1.5708078;-4.6287203;3.931791;12.25;12.25;12.25;1372;50.00000000000713
-4.140691;3.9510252;-4.054233;0.5405505;0.04949162;-0.85049117;16.34949;18.304459;0.15448931;12.25;12.25;12.25;1372;50.00000000000713
-4.9571652;-5.985483;-6.1055264;-0.179586;0.51564074;1.8971123;-3.8270445;-9.560001;31.712763;12.25;12.25;12.25;1372;50.00000000000713
-4.6557813;-2.6674428;-5.498858;0.30727062;1.1029509;-0.14682247;18.174131;-2.7532866;7.3182964;12.25;12.25;12.25;1372;50.00000000000713
2.841035;-3.589709;1.3379214;0.12424956;0.3330688;-1.4208205;-4.1404176;-8.267959;4.016029;12.25;12.25;12.25;1372;50.00000000000713
2.2297843;-3.3916013;4.7595663;1.171641;0.79420465;-0.3866345;-9.661154;4.631936;4.0459332;12.25;12.25;12.25;1372;50.00000000000713
