time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.9727268;0.004954545
0.01;7.4429714e-05;0.0012404952;2.9639313;0.009894431
0.015;0.00029727566;0.0033030629;2.9377708;0.014790715
0.02;0.0006672215;0.0055601792;2.8948467;0.01961546
0.025;0.0011821063;0.007880709;2.8361475;0.024342371
0.03;0.0018389814;0.010216563;2.7629364;0.028947266
0.035;0.0026341625;0.012543631;2.6767428;0.033408504
0.04;0.0035633189;0.014847162;2.579227;0.037707217
0.045;0.004621553;0.017116861;2.4721506;0.041827466
0.05;0.0058034947;0.019344982;2.3573024;0.045756303
0.055;0.007103364;0.021525346;2.2364442;0.049483713
0.06;0.008515106;0.023653071;2.1112647;0.053002484
0.065;0.010032446;0.025724221;1.9833587;0.056308083
0.07;0.011648977;0.02773566;1.854201;0.059398416
0.075;0.013358212;0.029684916;1.725131;0.062273636
0.08;0.015153703;0.031570215;1.5973452;0.06493588
0.085;0.017029028;0.03339025;1.4718909;0.067389034
0.09;0.01897793;0.035144314;1.3496795;0.0696385
0.095;0.020994298;0.0368321;1.2314715;0.07169095
0.1;0.0230722;0.038453665;1.1179016;0.07355412
0.105;0.025205985;0.0400095;1.0094767;0.07523658
0.11;0.027390221;0.041500334;0.9065846;0.07674755
0.115;0.029619792;0.042927235;0.8095122;0.07809674
0.12;0.031889837;0.04429144;0.7184481;0.07929415
0.125;0.034195825;0.045594435;0.63349223;0.080349974
0.13;0.036533475;0.04683779;0.55467546;0.081274435
0.135;0.03889889;0.04802332;0.4819568;0.0820777
0.14;0.041288435;0.0491529;0.41524243;0.08276977
0.145;0.04369874;0.050228436;0.3543865;0.08336041
0.15;0.04612681;0.051252007;0.2992044;0.083859086
0.155;0.04856987;0.052225668;0.24947563;0.08427487
0.16;0.051025387;0.053151447;0.20495266;0.08461647
0.165;0.05349121;0.054031525;0.16536684;0.08489207
0.17;0.05596537;0.05486801;0.13043414;0.085109465
0.175;0.058446;0.05566286;0.099859655;0.085275896
0.18;0.06093179;0.056418326;0.07334257;0.08539814
0.185;0.06342126;0.057136267;0.05058042;0.08548243
0.19;0.06591326;0.057818647;0.031271834;0.08553456
0.195;0.06840698;0.058467504;0.0151198935;0.085559756
0.2;0.07090147;0.059084557;0.0018341548;0.08556281
0.205;0.07339612;0.05967164;-0.008867248;0.085548036
0.21;0.07589052;0.06023057;-0.017256029;0.08551928
0.215;0.07838399;0.06076278;-0.02359229;0.08547995
0.22;0.080876485;0.061270066;-0.028123373;0.08543308
0.225;0.0833677;0.061753854;-0.031082602;0.08538128
0.23;0.08585729;0.062215425;-0.032688785;0.0853268
0.235;0.08834556;0.062656425;-0.033145662;0.08527155
0.24;0.09083208;0.06307783;-0.032641593;0.08521715
0.245;0.093317285;0.063481145;-0.03134956;0.085164905
0.25;0.09580097;0.063867316;-0.029427433;0.08511586
0.255;0.098283276;0.06423744;-0.027017646;0.085070826
0.26;0.100764535;0.06459265;-0.02424816;0.085030414
0.265;0.1032446;0.06493372;-0.021232335;0.084995024
0.27;0.10572393;0.065261684;-0.018069927;0.08496491
0.275;0.1082024;0.06557721;-0.014847676;0.084940165
0.28;0.110680446;0.06588122;-0.011640021;0.084920764
0.285;0.11315803;0.06617428;-0.008510226;0.08490658
0.29;0.115635596;0.06645724;-0.0055107763;0.08489739
0.295;0.118112855;0.066730425;-0.002684434;0.08489292
0.3;0.12059051;0.06699473;-6.4750646e-05;0.08489281
0.305;0.12306822;0.06725039;0.0023231446;0.08489668
0.31;0.12554628;0.067498;0.0044620093;0.08490412
0.315;0.12802492;0.067738056;0.006341711;0.08491469
0.32;0.13050412;0.067970894;0.0079586;0.084927954
0.325;0.13298373;0.06819679;0.009314779;0.08494348
0.33;0.1354643;0.068416305;0.010417347;0.08496084
0.335;0.13794544;0.06862957;0.01127773;0.08497964
0.34;0.14042726;0.0688369;0.01191091;0.08499949
0.345;0.14291017;0.06903873;0.012334609;0.08502005
0.35;0.14539373;0.06923511;0.012568733;0.085040994
0.355;0.14787816;0.069426365;0.012634561;0.08506205
0.36;0.15036334;0.06961265;0.012554136;0.08508298
0.365;0.15284933;0.069794215;0.012349895;0.08510356
0.37;0.15533625;0.06997128;0.012044351;0.085123636
0.375;0.157824;0.070144;0.0116598;0.08514307
0.38;0.16031218;0.07031236;0.011218226;0.08516176
0.385;0.16280125;0.07047673;0.0107407365;0.085179664
0.39;0.16529101;0.07063719;0.010247258;0.08519674
0.395;0.16778123;0.07079377;0.009756032;0.085213006
0.4;0.17027242;0.07094684;0.009283193;0.08522847
0.405;0.17276374;0.07109618;0.00884272;0.08524321
0.41;0.17525585;0.07124221;0.008446165;0.08525729
0.415;0.17774811;0.07138479;0.0081027085;0.08527079
0.42;0.18024118;0.07152428;0.0078192325;0.08528382
0.425;0.18273443;0.071660556;0.007600406;0.0852965
0.43;0.1852285;0.07179399;0.0074489177;0.08530891
0.435;0.1877226;0.071924366;0.007365639;0.08532119
0.44;0.19021751;0.072052084;0.0073497826;0.08533344
0.445;0.1927126;0.07217701;0.0073990026;0.08534577
0.45;0.19520801;0.07229927;0.0075094597;0.085358284
0.455;0.19770391;0.07241901;0.0076759364;0.08537108
0.46;0.2002006;0.072536446;0.007892028;0.08538423
0.465;0.20269755;0.07265145;0.008150389;0.08539781
0.47;0.20519482;0.07276412;0.0084431;0.085411884
0.475;0.20769294;0.07287472;0.008762077;0.08542649
0.48;0.21019144;0.07298314;0.009099485;0.08544166
0.485;0.21269034;0.073089465;0.009447997;0.0854574
0.49;0.21518981;0.07319381;0.00980101;0.08547374
0.495;0.21768995;0.07329628;0.010152803;0.08549066
0.5;0.22019072;0.073396906;0.01049847;0.08550815
0.505;0.22269215;0.07349576;0.010833938;0.08552621
0.51;0.22519389;0.073592775;0.011155846;0.0855448
0.515;0.22769658;0.07368822;0.011461408;0.085563906
0.52;0.23019975;0.073781975;0.011748399;0.085583486
0.525;0.23270349;0.07387413;0.012015128;0.08560351
0.53;0.23520817;0.073964834;0.012260437;0.08562395
0.535;0.23771322;0.07405396;0.012483744;0.08564475
0.54;0.2402192;0.074141726;0.012685002;0.0856659
0.545;0.24272582;0.07422808;0.012864634;0.08568733
0.55;0.2452334;0.07431316;0.013023573;0.08570904
0.555;0.24774146;0.074396834;0.013163223;0.08573098
0.56;0.2502503;0.07447926;0.013285321;0.08575312
0.565;0.25276005;0.074560486;0.013392015;0.08577544
0.57;0.25527063;0.074640535;0.013485731;0.08579792
0.575;0.25778204;0.07471943;0.013569144;0.08582053
0.58;0.26029408;0.07479715;0.013645176;0.08584327
0.585;0.26280707;0.07487381;0.013716865;0.08586614
0.59;0.26532042;0.07494928;0.0137873795;0.085889116
0.595;0.26783535;0.075023904;0.01385984;0.08591221
0.6;0.2703506;0.07509738;0.013937289;0.08593544
0.605;0.27286687;0.075169936;0.014022552;0.085958816
0.61;0.27538428;0.0752416;0.014118289;0.085982345
0.615;0.2779021;0.07531222;0.014226815;0.08600606
0.62;0.28042084;0.07538194;0.014350074;0.08602998
0.625;0.2829407;0.07545085;0.014489565;0.086054124
0.63;0.28546172;0.07551897;0.014646297;0.08607853
0.635;0.2879834;0.07558619;0.014820842;0.08610324
0.64;0.29050598;0.0756526;0.015013395;0.08612826
0.645;0.29302996;0.07571834;0.015223923;0.086153634
0.65;0.29555458;0.07578323;0.015452086;0.08617938
0.655;0.2980806;0.075847484;0.015697291;0.08620555
0.66;0.30060747;0.07591098;0.015958617;0.08623214
0.665;0.3031358;0.07597389;0.01623474;0.0862592
0.67;0.3056654;0.07603617;0.016523948;0.08628674
0.675;0.30819574;0.07609771;0.016824374;0.08631478
0.68;0.310727;0.07615858;0.017134117;0.08634334
0.685;0.31325993;0.07621896;0.017451474;0.08637243
0.69;0.31579387;0.07627872;0.017775048;0.08640205
0.695;0.31832924;0.07633795;0.018103706;0.086432226
0.7;0.32086545;0.07639653;0.018436644;0.08646295
0.705;0.32340327;0.07645468;0.01877334;0.08649424
0.71;0.32594207;0.076512225;0.019113606;0.086526096
0.715;0.3284818;0.076569185;0.019457499;0.08655853
0.72;0.33102363;0.07662584;0.019805372;0.086591534
0.725;0.33356577;0.076681785;0.020157855;0.08662513
0.73;0.33611006;0.07673745;0.020515637;0.08665932
0.735;0.33865523;0.07679257;0.020879451;0.08669412
0.74;0.34120163;0.07684722;0.021249788;0.08672954
0.745;0.3437492;0.07690138;0.02162665;0.08676558
0.75;0.34629834;0.076955184;0.022009283;0.08680227
0.755;0.34884822;0.07700843;0.022395937;0.086839594
0.76;0.35139978;0.077061355;0.022783702;0.08687756
0.765;0.3539525;0.07711384;0.02316851;0.08691618
0.77;0.3565066;0.07716593;0.023545083;0.08695542
0.775;0.35906145;0.07721752;0.023907272;0.08699527
0.78;0.36161804;0.07726882;0.024248209;0.08703568
0.785;0.3641759;0.07731972;0.024560567;0.08707661
