time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;0.85883856;0.0014313976
0.01;2.1504631e-05;0.00035841053;0.85634094;0.0028586325
0.015;8.589318e-05;0.00095436873;0.8488784;0.00427343
0.02;0.00019279121;0.0016065935;0.83653927;0.005667662
0.025;0.0003415799;0.0022771994;0.81947184;0.007033448
0.03;0.0005314028;0.002952238;0.797875;0.00836324
0.035;0.00076117617;0.0036246483;0.77199906;0.009649905
0.04;0.0010296028;0.004290012;0.7421386;0.010886802
0.045;0.0013351858;0.0049451324;0.7086236;0.012067842
0.05;0.0016762412;0.0055874703;0.67182;0.013187542
0.055;0.0020509278;0.006214933;0.6321133;0.014241064
0.06;0.0024572487;0.006825691;0.5899116;0.01522425
0.065;0.0028930928;0.007418187;0.54563224;0.016133638
0.07;0.0033562358;0.007991038;0.49969816;0.016966468
0.075;0.0038443767;0.008543059;0.45253134;0.017720686
0.08;0.004355152;0.009073233;0.4045495;0.018394936
0.085;0.00488615;0.009580686;0.3561575;0.018988531
0.09;0.005434946;0.010064715;0.30774656;0.019501442
0.095;0.0059991153;0.010524764;0.25968832;0.019934256
0.1;0.0065762554;0.010960425;0.21233298;0.020288145
0.105;0.0071639763;0.011371391;0.16600664;0.020564822
0.11;0.007759964;0.011757521;0.12100795;0.020766502
0.115;0.008361962;0.012118786;0.077608384;0.02089585
0.12;0.008967789;0.012455263;0.036049407;0.020955931
0.125;0.009575373;0.012767163;-0.0034567725;0.02095017
0.13;0.010182742;0.013054797;-0.040728204;0.02088229
0.135;0.010787986;0.013318501;-0.07561291;0.020756269
0.14;0.01138941;0.013558822;-0.107988685;0.020576287
0.145;0.011985348;0.013776262;-0.13776188;0.020346684
0.15;0.012574329;0.013971476;-0.16486722;0.020071905
0.155;0.013155013;0.014145175;-0.18926601;0.019756462
0.16;0.013726138;0.01429806;-0.21094505;0.019404888
0.165;0.014286647;0.014430956;-0.22991541;0.019021695
0.17;0.014835566;0.014544672;-0.24621014;0.018611345
0.175;0.015372096;0.014640092;-0.25988373;0.018178206
0.18;0.015895564;0.014718114;-0.27100885;0.017726524
0.185;0.016405405;0.014779645;-0.2796755;0.017260399
0.19;0.01690115;0.014825571;-0.28598964;0.016783748
0.195;0.017382555;0.014856884;-0.29007012;0.016300298
0.2;0.017849345;0.014874455;-0.29204693;0.015813554
0.205;0.018301472;0.014879245;-0.2920598;0.015326787
0.21;0.018738927;0.014872165;-0.2902568;0.014843025
0.215;0.019161785;0.014854097;-0.28679144;0.01436504
0.22;0.01957023;0.014825932;-0.28182155;0.0138953375
0.225;0.019964527;0.014788539;-0.2755073;0.013436158
0.23;0.020345038;0.0147427805;-0.2680105;0.012989474
0.235;0.020712052;0.014689398;-0.25949138;0.012556989
0.24;0.021066038;0.014629193;-0.2501085;0.012140141
0.245;0.02140748;0.014562911;-0.24001731;0.011740113
0.25;0.02173688;0.0144912535;-0.22936845;0.011357832
0.255;0.02205478;0.01441489;-0.21830635;0.010993987
0.26;0.022361746;0.014334453;-0.20696963;0.0106490385
0.265;0.022658283;0.014250494;-0.1954886;0.010323224
0.27;0.022945095;0.014163638;-0.18398556;0.010016581
0.275;0.023222636;0.014074325;-0.17257304;0.00972896
0.28;0.023491561;0.013983072;-0.16135508;0.009460035
0.285;0.023752406;0.013890295;-0.15042387;0.009209328
0.29;0.024005692;0.013796375;-0.13986328;0.008976223
0.295;0.02425197;0.013701678;-0.12974577;0.00875998
0.3;0.024491774;0.01360654;-0.12013288;0.008559758
0.305;0.024725562;0.013511235;-0.11107629;0.008374631
0.31;0.024953729;0.013415983;-0.102617;0.008203602
0.315;0.025176788;0.013321051;-0.094785705;0.008045627
0.32;0.025395073;0.013226601;-0.08760337;0.007899621
0.325;0.025608972;0.013132807;-0.081081875;0.0077644843
0.33;0.025818778;0.013039787;-0.07522371;0.0076391115
0.335;0.026024785;0.012947653;-0.07002349;0.0075224056
0.34;0.026227294;0.012856516;-0.06546763;0.0074132932
0.345;0.026426446;0.0127663985;-0.061536014;0.007310733
0.35;0.026622502;0.012677383;-0.0582018;0.00721373
0.355;0.026815621;0.012589495;-0.0554328;0.0071213422
0.36;0.027005931;0.012502745;-0.053191766;0.007032689
0.365;0.027193546;0.012417144;-0.051437452;0.00694696
