temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.999995;-2.189776;2057.2104;-7379.8687;-5322.658;-16190.591;0.0;0.0;1838.265625
0.99961126;-2.1774282;2055.658;-7377.54;-5321.882;-16119.391;0.0;0.0;1838.265625
0.9992356;-2.1544738;2054.0195;-7373.6387;-5319.619;-15989.524;0.0;0.0;1838.265625
0.9988099;-2.1254299;2051.984;-7367.713;-5315.729;-15825.282;0.0;0.0;1838.265625
0.99824166;-2.0893416;2049.2996;-7359.1387;-5309.839;-15620.895;0.0;0.0;1838.265625
0.9975005;-2.0457778;2045.8071;-7347.1045;-5301.2974;-15373.663;0.0;0.0;1838.265625
0.99654;-1.9929396;2041.3093;-7330.6465;-5289.337;-15073.275;0.0;0.0;1838.265625
0.995312;-1.9293938;2035.5908;-7308.533;-5272.9424;-14711.396;0.0;0.0;1838.265625
0.99376243;-1.853406;2028.4409;-7279.358;-5250.917;-14278.039;0.0;0.0;1838.265625
0.9918475;-1.763011;2019.7269;-7241.596;-5221.869;-13762.102;0.0;0.0;1838.265625
0.9895569;-1.6570095;2009.5149;-7193.7744;-5184.26;-13157.101;0.0;0.0;1838.265625
0.9869481;-1.5343986;1998.2059;-7134.8535;-5136.6475;-12458.308;0.0;0.0;1838.265625
0.9841776;-1.3948766;1986.6245;-7064.648;-5078.0234;-11665.71;0.0;0.0;1838.265625
0.98149985;-1.2398155;1975.8464;-6984.022;-5008.176;-10789.023;0.0;0.0;1838.265625
0.9791779;-1.0714997;1966.8551;-6894.8037;-4927.9487;-9842.813;0.0;0.0;1838.265625
0.9774114;-0.8936889;1960.3936;-6799.487;-4839.0933;-8849.3;0.0;0.0;1838.265625
0.9763588;-0.71052665;1957.1086;-6701.0938;-4743.9854;-7832.6274;0.0;0.0;1838.265625
0.9761772;-0.52758616;1957.6152;-6603.3623;-4645.747;-6824.7607;0.0;0.0;1838.265625
0.9769937;-0.3498517;1962.2231;-6510.15;-4547.927;-5853.807;0.0;0.0;1838.265625
0.97879434;-0.18322448;1970.6201;-6425.162;-4454.542;-4951.686;0.0;0.0;1838.265625
0.9813932;-0.031766042;1981.8252;-6350.984;-4369.1587;-4138.8335;0.0;0.0;1838.265625
0.984464;0.10115703;1994.4478;-6289.121;-4294.6733;-3431.035;0.0;0.0;1838.265625
0.98764455;0.21477987;2007.1245;-6239.525;-4232.4004;-2829.7817;0.0;0.0;1838.265625
0.9906509;0.30923823;2018.8696;-6201.39;-4182.5205;-2332.3533;0.0;0.0;1838.265625
0.9933169;0.38642043;2029.1848;-6173.2974;-4144.1123;-1927.3395;0.0;0.0;1838.265625
0.99559635;0.44781443;2037.9906;-6153.8203;-4115.8296;-1606.3755;0.0;0.0;1838.265625
0.9975151;0.4949859;2045.3923;-6141.7056;-4096.3135;-1361.038;0.0;0.0;1838.265625
0.99910396;0.53020173;2051.4656;-6135.54;-4084.0745;-1178.9762;0.0;0.0;1838.265625
1.0003699;0.5552371;2056.216;-6134.1772;-4077.9612;-1050.4122;0.0;0.0;1838.265625
1.0013118;0.5722857;2059.6255;-6136.1934;-4076.5679;-963.21155;0.0;0.0;1838.265625
1.0019234;0.5835014;2061.629;-6140.235;-4078.606;-905.36597;0.0;0.0;1838.265625
1.0021714;0.59165406;2062.0142;-6144.703;-4082.689;-861.1765;0.0;0.0;1838.265625
1.0019927;0.5991673;2060.6272;-6147.77;-4087.1428;-816.9686;0.0;0.0;1838.265625
1.0014046;0.60831493;2057.7744;-6147.914;-4090.1396;-760.8156;0.0;0.0;1838.265625
1.0005716;0.62015057;2054.3003;-6144.5684;-4090.268;-688.596;0.0;0.0;1838.265625
0.9997506;0.6353318;2051.274;-6138.108;-4086.834;-598.82196;0.0;0.0;1838.265625
0.9991902;0.6519398;2049.5317;-6129.983;-4080.4512;-503.74786;0.0;0.0;1838.265625
0.9990166;0.6690941;2049.3745;-6121.667;-4072.2925;-408.83112;0.0;0.0;1838.265625
0.99921066;0.6850117;2050.46;-6114.5557;-4064.0957;-323.21954;0.0;0.0;1838.265625
0.9995956;0.6984182;2051.9712;-6109.0073;-4057.0361;-252.30798;0.0;0.0;1838.265625
0.9999497;0.7102439;2053.1387;-6104.6323;-4051.4937;-189.42676;0.0;0.0;1838.265625
1.000143;0.72089195;2053.6165;-6100.704;-4047.0876;-131.66016;0.0;0.0;1838.265625
1.0001618;0.7313019;2053.4673;-6096.719;-4043.252;-73.95313;0.0;0.0;1838.265625
1.0000614;0.7420286;2052.959;-6092.118;-4039.1592;-13.781139;0.0;0.0;1838.265625
0.99992067;0.7529663;2052.3806;-6086.967;-4034.5862;47.694828;0.0;0.0;1838.265625
0.9997985;0.76421106;2051.9497;-6081.4287;-4029.479;110.56929;0.0;0.0;1838.265625
0.9997378;0.77573836;2051.7754;-6075.675;-4023.8994;174.48865;0.0;0.0;1838.265625
0.9997439;0.78700477;2051.851;-6070.02;-4018.169;236.4694;0.0;0.0;1838.265625
0.9998033;0.7977376;2052.1062;-6064.6367;-4012.5305;295.1485;0.0;0.0;1838.265625
0.9998954;0.8077631;2052.454;-6059.618;-4007.164;349.74124;0.0;0.0;1838.265625
0.99999917;0.817192;2052.838;-6055.045;-4002.207;400.9721;0.0;0.0;1838.265625
1.0001119;0.82575715;2053.2915;-6050.8765;-3997.585;447.3;0.0;0.0;1838.265625
1.0002583;0.8334541;2053.954;-6047.3496;-3993.3955;488.4217;0.0;0.0;1838.265625
1.0004847;0.83965063;2055.0413;-6044.9736;-3989.9324;520.4203;0.0;0.0;1838.265625
1.0008413;0.8437649;2056.6948;-6044.1807;-3987.4858;539.80225;0.0;0.0;1838.265625
1.0013227;0.84516746;2058.6523;-6045.47;-3986.8179;543.622;0.0;0.0;1838.265625
1.0017784;0.84461987;2060.209;-6048.292;-3988.083;537.4892;0.0;0.0;1838.265625
1.0020267;0.8426465;2060.8174;-6051.793;-3990.9756;525.3894;0.0;0.0;1838.265625
1.0020217;0.8405931;2060.5552;-6054.9287;-3994.3735;514.59;0.0;0.0;1838.265625
1.0018802;0.8389678;2059.9983;-6057.5693;-3997.571;506.7405;0.0;0.0;1838.265625
1.0017664;0.8378315;2059.747;-6059.884;-4000.1367;500.97638;0.0;0.0;1838.265625
1.0017872;0.8362188;2059.9976;-6062.5527;-4002.5552;491.58163;0.0;0.0;1838.265625
1.001891;0.8344681;2060.299;-6065.491;-4005.1921;481.32407;0.0;0.0;1838.265625
1.0018932;0.8326956;2059.8965;-6068.1123;-4008.2158;472.35422;0.0;0.0;1838.265625
1.0016314;0.83245164;2058.4082;-6069.2285;-4010.8203;473.98538;0.0;0.0;1838.265625
1.0011245;0.8347074;2056.206;-6068.1562;-4011.9502;490.8296;0.0;0.0;1838.265625
1.0005606;0.83933026;2054.1416;-6064.878;-4010.7363;520.4526;0.0;0.0;1838.265625
1.000161;0.8454882;2052.9473;-6060.4883;-4007.541;556.8011;0.0;0.0;1838.265625
1.0000323;0.8517737;2052.833;-6056.004;-4003.171;591.69293;0.0;0.0;1838.265625
1.0001438;0.85758966;2053.5454;-6052.2275;-3998.6821;622.342;0.0;0.0;1838.265625
1.000392;0.86180556;2054.6453;-6049.6357;-3994.9905;643.3922;0.0;0.0;1838.265625
1.0006686;0.8643913;2055.7395;-6048.0947;-3992.3552;655.46375;0.0;0.0;1838.265625
1.0009027;0.86547476;2056.622;-6047.5176;-3990.8955;659.67334;0.0;0.0;1838.265625
1.0010732;0.86568284;2057.2085;-6047.535;-3990.3267;659.64795;0.0;0.0;1838.265625
1.0011644;0.8653005;2057.4614;-6047.728;-3990.2666;657.0335;0.0;0.0;1838.265625
1.0011798;0.8641569;2057.4185;-6047.9995;-3990.581;650.81287;0.0;0.0;1838.265625
1.0011358;0.8636237;2057.193;-6047.964;-3990.7708;648.32306;0.0;0.0;1838.265625
1.001076;0.86282223;2056.9736;-6047.759;-3990.7852;644.3422;0.0;0.0;1838.265625
1.001041;0.8620517;2056.903;-6047.4478;-3990.5447;640.2339;0.0;0.0;1838.265625
1.0010483;0.8612519;2056.9727;-6047.2275;-3990.255;635.68384;0.0;0.0;1838.265625
1.0010664;0.86041355;2057.0132;-6047.117;-3990.104;630.97943;0.0;0.0;1838.265625
1.0010388;0.8594329;2056.7974;-6046.8027;-3990.0054;626.0029;0.0;0.0;1838.265625
1.000921;0.8593564;2056.2112;-6045.85;-3989.639;626.75354;0.0;0.0;1838.265625
1.0007161;0.86033034;2055.3416;-6044.0547;-3988.7131;633.864;0.0;0.0;1838.265625
1.0004765;0.86233824;2054.4702;-6041.3105;-3986.8403;646.6797;0.0;0.0;1838.265625
1.0002956;0.86497533;2053.9922;-6038.202;-3984.21;662.1789;0.0;0.0;1838.265625
1.000266;0.86746895;2054.1912;-6035.2354;-3981.0442;675.5329;0.0;0.0;1838.265625
1.0004177;0.86918646;2055.0615;-6033.187;-3978.1255;683.2637;0.0;0.0;1838.265625
1.000697;0.869449;2056.2847;-6032.414;-3976.1294;682.2653;0.0;0.0;1838.265625
1.0009931;0.8684658;2057.3994;-6032.7607;-3975.3613;674.6137;0.0;0.0;1838.265625
1.0011996;0.8665774;2058.0752;-6033.8096;-3975.7344;662.84796;0.0;0.0;1838.265625
1.0012782;0.8642448;2058.253;-6035.044;-3976.791;649.6288;0.0;0.0;1838.265625
1.0012542;0.86214966;2058.1382;-6036.122;-3977.984;638.3039;0.0;0.0;1838.265625
1.0012121;0.8599902;2058.1016;-6037.1055;-3979.004;626.4679;0.0;0.0;1838.265625
1.0012455;0.8574079;2058.4446;-6038.572;-3980.1272;611.54144;0.0;0.0;1838.265625
1.001391;0.854422;2059.1895;-6040.661;-3981.4717;593.5846;0.0;0.0;1838.265625
1.0016074;0.8501803;2060.048;-6043.7705;-3983.7224;568.47577;0.0;0.0;1838.265625
1.001789;0.8451284;2060.6323;-6047.424;-3986.7915;539.44696;0.0;0.0;1838.265625
1.0018629;0.83985376;2060.7366;-6051.2026;-3990.466;510.14972;0.0;0.0;1838.265625
1.0018144;0.83492243;2060.3867;-6054.6094;-3994.2227;483.65414;0.0;0.0;1838.265625
