time;msd;einstein_diffusion;velocity_autocorrelation;green_kubo_diffusion
0.005;0.0;0.0;2.8591173;0.0047651953
0.01;7.158159e-05;0.0011930265;2.850873;0.009516651
0.015;0.00028591175;0.0031767974;2.8263342;0.014227208
0.02;0.0006417561;0.0053479676;2.7860522;0.018870628
0.025;0.0011370894;0.007580596;2.7309206;0.023422163
0.03;0.0017691405;0.009828559;2.6621158;0.027859021
0.035;0.0025344475;0.012068797;2.58102;0.03216072
0.04;0.0034289444;0.014287269;2.4891694;0.03630934
0.045;0.0044480055;0.016474092;2.3881853;0.040289648
0.05;0.005586578;0.018621925;2.279721;0.044089183
0.055;0.0068392004;0.02072485;2.165402;0.047698185
0.06;0.00820015;0.022778194;2.0468102;0.051109534
0.065;0.009663489;0.024778176;1.9254266;0.05431858
0.07;0.011223116;0.026721705;1.8026369;0.057322975
0.075;0.012872871;0.02860638;1.6796992;0.06012247
0.08;0.014606612;0.030430442;1.5577356;0.0627187
0.085;0.01641825;0.032192647;1.4377435;0.06511494
0.09;0.018301753;0.033892132;1.3205845;0.067315914
0.095;0.02025128;0.035528563;1.2069916;0.06932756
0.1;0.022261139;0.0371019;1.0975727;0.07115685
0.105;0.024325827;0.038612425;0.99282295;0.07281156
0.11;0.026440172;0.040060867;0.8931316;0.07430011
0.115;0.028599124;0.041448005;0.7987903;0.075631425
0.12;0.030797996;0.042774994;0.7099989;0.076814756
0.125;0.033032387;0.044043183;0.6268809;0.07785956
0.13;0.03529808;0.04525395;0.54948586;0.07877537
0.135;0.03759124;0.046408936;0.47780415;0.07957171
0.14;0.039908305;0.047509886;0.41177;0.080258
0.145;0.04224588;0.04855848;0.35126987;0.08084344
0.15;0.044601;0.049556665;0.296152;0.08133703
0.155;0.04697096;0.05050641;0.24623176;0.08174741
0.16;0.049353227;0.051409613;0.20129675;0.08208291
0.165;0.05174549;0.05226817;0.16111387;0.08235143
0.17;0.054145806;0.05308412;0.12543295;0.08256049
0.175;0.05655238;0.053859413;0.09399242;0.08271714
0.18;0.0589635;0.054595828;0.06652137;0.082828015
0.185;0.06137794;0.05529544;0.042745728;0.08289926
0.19;0.06379443;0.055960022;0.022389855;0.08293657
0.195;0.066212036;0.056591485;0.0051802974;0.082945205
0.2;0.06862971;0.057191424;-0.009151998;0.082929954
0.205;0.07104698;0.05776177;-0.020869536;0.08289517
0.21;0.073462896;0.058303885;-0.030226564;0.082844794
0.215;0.07587742;0.058819704;-0.037467603;0.08278234
0.22;0.07828987;0.059310503;-0.042826578;0.08271097
0.225;0.08069998;0.059777766;-0.046525676;0.08263343
0.23;0.08310778;0.060223024;-0.048774775;0.082552135
0.235;0.085512936;0.060647473;-0.049771246;0.08246918
0.24;0.087915584;0.06105249;-0.049699042;0.08238635
0.245;0.09031551;0.061439123;-0.048729032;0.08230513
0.25;0.09271292;0.061808612;-0.047018666;0.08222677
0.255;0.09510777;0.06216194;-0.044712003;0.08215225
0.26;0.09750016;0.062500104;-0.041940123;0.08208235
0.265;0.09989031;0.06282409;-0.038821183;0.082017645
0.27;0.10227819;0.06313468;-0.035460938;0.08195855
0.275;0.10466406;0.06343276;-0.031953346;0.08190529
0.28;0.10704808;0.063719094;-0.028380966;0.08185799
0.285;0.10943038;0.06399438;-0.024815632;0.08181663
0.29;0.11181119;0.064259306;-0.021318974;0.0817811
0.295;0.11419063;0.06451449;-0.017943049;0.08175119
0.3;0.116569;0.06476055;-0.014731032;0.08172664
0.305;0.11894615;0.06499789;-0.011717589;0.08170711
0.31;0.12132242;0.06522711;-0.008929661;0.081692226
0.315;0.12369802;0.06544869;-0.006387054;0.08168159
0.32;0.12607299;0.06566302;-0.0041030366;0.08167475
0.325;0.12844749;0.06587051;-0.0020849677;0.08167127
0.33;0.13082129;0.066071354;-0.00033487775;0.08167072
0.335;0.13319519;0.06626626;0.0011499046;0.08167263
0.34;0.13556874;0.06645526;0.0023760998;0.08167659
0.345;0.1379422;0.066638745;0.003353923;0.08168218
0.35;0.14031555;0.06681693;0.0040965606;0.08168901
0.355;0.1426888;0.06699005;0.0046196575;0.081696704
0.36;0.14506197;0.06715831;0.004940916;0.081704944
0.365;0.14743526;0.06732204;0.0050796675;0.08171341
0.37;0.14980842;0.06748127;0.005056344;0.081721835
0.375;0.15218174;0.06763633;0.0048920596;0.081729986
0.38;0.15455487;0.06778722;0.0046081864;0.08173767
0.385;0.15692833;0.06793434;0.004226037;0.081744716
0.39;0.15930152;0.06807758;0.0037664557;0.08175099
0.395;0.16167459;0.06821712;0.0032494422;0.081756406
0.4;0.1640477;0.068353206;0.0026936743;0.0817609
0.405;0.16642095;0.06848599;0.0021164813;0.08176442
0.41;0.1687941;0.06861549;0.0015335396;0.08176698
0.415;0.17116714;0.06874182;0.0009587984;0.08176857
0.42;0.17354017;0.06886515;0.00040449578;0.08176925
0.425;0.17591323;0.068985574;-0.00011868378;0.08176905
0.43;0.17828616;0.06910317;-0.00060164905;0.08176805
0.435;0.18065901;0.06921801;-0.0010366441;0.08176632
0.44;0.18303193;0.069330275;-0.0014172253;0.08176396
0.445;0.18540508;0.069440104;-0.0017381209;0.08176106
0.45;0.18777777;0.069547325;-0.001995123;0.08175774
0.455;0.19015084;0.06965233;-0.0021850173;0.081754096
0.46;0.19252373;0.06975497;-0.0023054474;0.08175025
0.465;0.19489646;0.06985536;-0.0023549304;0.08174633
0.47;0.19726957;0.06995375;-0.002332825;0.08174244
0.475;0.1996429;0.07005014;-0.002239322;0.08173871
0.48;0.20201562;0.07014432;-0.0020754833;0.081735246
0.485;0.20438908;0.070236795;-0.0018431132;0.081732176
0.49;0.20676254;0.070327386;-0.0015446951;0.081729606
0.495;0.20913598;0.07041615;-0.0011832264;0.08172763
0.5;0.2115095;0.07050317;-0.0007621399;0.08172636
0.505;0.21388331;0.07058855;-0.0002852214;0.08172589
0.51;0.21625729;0.07067232;0.00024346115;0.08172629
0.515;0.21863176;0.07075462;0.0008196476;0.081727654
0.52;0.22100605;0.07083527;0.0014389134;0.08173005
0.525;0.22338092;0.07091458;0.002096819;0.08173355
0.53;0.22575621;0.07099252;0.002788886;0.0817382
0.535;0.22813162;0.07106904;0.0035106516;0.08174405
0.54;0.23050767;0.07114434;0.004257644;0.081751145
0.545;0.23288383;0.0712183;0.0050253035;0.08175952
0.55;0.23526065;0.071291104;0.005808922;0.081769206
0.555;0.23763792;0.07136274;0.006603467;0.08178021
0.56;0.24001566;0.07143323;0.0074035926;0.08179255
0.565;0.24239402;0.07150266;0.008203569;0.08180622
0.57;0.24477303;0.07157106;0.008997356;0.08182122
0.575;0.2471527;0.071638465;0.0097787585;0.08183751
0.58;0.24953304;0.071704894;0.010541556;0.08185508
0.585;0.25191417;0.07177042;0.011279759;0.08187388
0.59;0.25429562;0.07183492;0.011987693;0.08189386
0.595;0.25667822;0.071898654;0.012660107;0.08191496
0.6;0.25906163;0.07196156;0.013292241;0.08193712
0.605;0.2614456;0.072023585;0.013879786;0.081960246
0.61;0.26383048;0.07208483;0.014418836;0.08198428
0.615;0.2662163;0.07214534;0.01490586;0.08200912
0.62;0.26860264;0.072205015;0.015337638;0.082034685
0.625;0.2709897;0.07226391;0.015711328;0.08206087
0.63;0.27337813;0.07232226;0.01602435;0.08208758
0.635;0.27576688;0.07237976;0.016274575;0.082114704
0.64;0.27815688;0.07243669;0.016460413;0.08214214
0.645;0.28054744;0.07249288;0.016580973;0.08216977
0.65;0.282939;0.072548464;0.01663628;0.0821975
0.655;0.2853312;0.07260336;0.01662737;0.08222521
0.66;0.28772414;0.07265761;0.016556337;0.08225281
0.665;0.290118;0.07271128;0.016426409;0.08228018
0.67;0.29251269;0.072764345;0.016241774;0.08230725
0.675;0.29490802;0.07281679;0.016007528;0.08233393
0.68;0.29730377;0.07286857;0.01572951;0.08236015
0.685;0.2997006;0.072919846;0.015414199;0.08238584
0.69;0.30209777;0.07297047;0.01506846;0.082410954
0.695;0.30449605;0.07302064;0.014699423;0.08243545
0.7;0.30689487;0.073070206;0.014314221;0.08245931
0.705;0.30929437;0.07311924;0.013919894;0.08248251
0.71;0.3116942;0.07316766;0.013523253;0.08250505
0.715;0.31409475;0.07321556;0.013130774;0.08252693
