temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion
0.2999;-2.714472;616.963;-7380.415;-6763.452;-16203.688;0.0;0.0
0.2996877;-2.7115927;616.29065;-7379.711;-6763.4204;-16186.465;0.0;0.0
0.29947323;-2.7057924;615.619;-7378.5435;-6762.9243;-16153.134;0.0;0.0
0.29926136;-2.6961188;614.95605;-7376.9375;-6761.9814;-16098.46;0.0;0.0
0.29905102;-2.6836255;614.2693;-7374.8125;-6760.543;-16028.188;0.0;0.0
0.2988276;-2.6691663;613.5126;-7372.196;-6758.683;-15946.935;0.0;0.0
0.29858327;-2.6530905;612.6618;-7368.919;-6756.2573;-15856.578;0.0;0.0
0.2983141;-2.6348076;611.70905;-7364.884;-6753.175;-15753.847;0.0;0.0
0.29802018;-2.614495;610.6463;-7360.01;-6749.3633;-15639.702;0.0;0.0
0.2976977;-2.5921483;609.4596;-7354.164;-6744.7046;-15514.091;0.0;0.0
0.2973437;-2.567091;608.1408;-7347.211;-6739.0703;-15373.267;0.0;0.0
0.2969571;-2.539494;606.6832;-7339.0234;-6732.3403;-15218.159;0.0;0.0
0.2965362;-2.5092428;605.08154;-7329.4595;-6724.378;-15048.127;0.0;0.0
0.29608023;-2.475899;603.33936;-7318.373;-6715.0337;-14860.759;0.0;0.0
0.2955921;-2.4394283;601.4708;-7305.6543;-6704.1836;-14655.893;0.0;0.0
0.2950764;-2.3997617;599.5007;-7291.2026;-6691.702;-14433.199;0.0;0.0
0.29454118;-2.3568668;597.46954;-7274.969;-6677.4995;-14192.581;0.0;0.0
0.293999;-2.3107252;595.4336;-7256.941;-6661.5073;-13934.048;0.0;0.0
0.29346517;-2.2614775;593.4615;-7237.219;-6643.758;-13658.512;0.0;0.0
0.29295844;-2.2097526;591.6312;-7215.9043;-6624.273;-13369.599;0.0;0.0
0.2924982;-2.155735;590.0198;-7193.243;-6603.2236;-13068.48;0.0;0.0
0.29210255;-2.0997193;588.6978;-7169.5176;-6580.82;-12756.921;0.0;0.0
0.2917877;-2.042537;587.72833;-7145.0674;-6557.339;-12439.633;0.0;0.0
0.2915675;-1.9845227;587.1576;-7120.2793;-6533.1216;-12118.555;0.0;0.0
0.29145005;-1.9265106;587.01855;-7095.5664;-6508.548;-11798.352;0.0;0.0
0.29144254;-1.8691317;587.32825;-7071.3604;-6484.032;-11482.538;0.0;0.0
0.2915447;-1.8132927;588.0809;-7048.0693;-6459.9883;-11176.103;0.0;0.0
0.2917522;-1.7596987;589.2511;-7026.1323;-6436.8813;-10882.884;0.0;0.0
0.29205483;-1.7088768;590.7866;-7005.9033;-6415.1167;-10605.682;0.0;0.0
0.29243514;-1.6612955;592.60657;-6987.6064;-6395.0;-10346.921;0.0;0.0
0.29286963;-1.6176294;594.6215;-6971.5;-6376.8784;-10110.141;0.0;0.0
0.2933368;-1.577872;596.72705;-6957.6177;-6360.8906;-9895.098;0.0;0.0
0.29380724;-1.5421609;598.8224;-6945.995;-6347.173;-9702.349;0.0;0.0
0.29426175;-1.5107435;600.8289;-6936.5674;-6335.7383;-9533.102;0.0;0.0
0.29468217;-1.4831358;602.68164;-6929.0996;-6326.418;-9384.557;0.0;0.0
0.29505682;-1.459423;604.3336;-6923.537;-6319.2036;-9257.088;0.0;0.0
0.29537544;-1.4392629;605.7611;-6919.54;-6313.779;-9148.765;0.0;0.0
0.29563877;-1.4220629;606.9612;-6916.948;-6309.9873;-9056.31;0.0;0.0
0.29584506;-1.4076955;607.93005;-6915.5225;-6307.5923;-8979.016;0.0;0.0
0.29599544;-1.395882;608.66986;-6915.0464;-6306.3765;-8915.346;0.0;0.0
0.29609022;-1.3859556;609.1903;-6915.2744;-6306.084;-8861.645;0.0;0.0
0.29613447;-1.3776654;609.50745;-6916.037;-6306.53;-8816.56;0.0;0.0
0.2961312;-1.3707409;609.63275;-6917.144;-6307.511;-8778.623;0.0;0.0
0.29608312;-1.3648919;609.584;-6918.386;-6308.8022;-8746.27;0.0;0.0
0.29599646;-1.3596191;609.37256;-6919.625;-6310.2524;-8716.769;0.0;0.0
0.29587075;-1.354925;609.01385;-6920.729;-6311.7153;-8690.164;0.0;0.0
0.29571405;-1.3502835;608.5303;-6921.5244;-6312.994;-8663.6;0.0;0.0
0.29552987;-1.3457094;607.9425;-6921.951;-6314.009;-8637.199;0.0;0.0
0.29532483;-1.3408942;607.2866;-6921.9243;-6314.6377;-8609.332;0.0;0.0
0.29511067;-1.3356501;606.6124;-6921.4404;-6314.828;-8579.063;0.0;0.0
0.2948997;-1.3299097;605.9618;-6920.4814;-6314.5195;-8546.105;0.0;0.0
0.29469985;-1.323855;605.37744;-6919.1514;-6313.774;-8511.547;0.0;0.0
0.29452327;-1.3176559;604.89355;-6917.5527;-6312.659;-8476.392;0.0;0.0
0.29437348;-1.3113039;604.52136;-6915.792;-6311.2705;-8440.617;0.0;0.0
0.29425138;-1.3048757;604.2583;-6913.9556;-6309.6973;-8404.642;0.0;0.0
0.29415387;-1.2985257;604.0847;-6912.175;-6308.09;-8369.275;0.0;0.0
0.2940738;-1.2922354;603.9698;-6910.458;-6306.4883;-8334.355;0.0;0.0
0.29400322;-1.2864075;603.87915;-6908.8965;-6305.0176;-8302.034;0.0;0.0
0.2939334;-1.2806969;603.78577;-6907.4307;-6303.645;-8270.3545;0.0;0.0
0.29386055;-1.2752967;603.6719;-6906.066;-6302.394;-8240.346;0.0;0.0
0.29377982;-1.2697983;603.5277;-6904.741;-6301.2134;-8209.735;0.0;0.0
0.29369235;-1.2645243;603.35114;-6903.448;-6300.097;-8180.297;0.0;0.0
0.29359582;-1.2593685;603.1438;-6902.171;-6299.0273;-8151.449;0.0;0.0
0.29349363;-1.2541803;602.9091;-6900.8696;-6297.9604;-8122.3677;0.0;0.0
0.29338402;-1.2489767;602.65;-6899.4863;-6296.8364;-8093.153;0.0;0.0
0.29327068;-1.2435769;602.3783;-6898.0425;-6295.664;-8062.83;0.0;0.0
0.29315552;-1.2383054;602.10004;-6896.5547;-6294.4546;-8033.203;0.0;0.0
0.29303962;-1.2330005;601.8241;-6894.9746;-6293.1504;-8003.396;0.0;0.0
0.29292643;-1.2277873;601.56226;-6893.3335;-6291.7715;-7974.122;0.0;0.0
0.29281843;-1.2224476;601.3252;-6891.667;-6290.342;-7944.2007;0.0;0.0
0.29271796;-1.2170694;601.12695;-6890.001;-6288.874;-7914.1445;0.0;0.0
0.29262984;-1.2121223;600.9852;-6888.427;-6287.4414;-7886.579;0.0;0.0
0.29255742;-1.2073269;600.9084;-6886.9473;-6286.039;-7859.979;0.0;0.0
0.2925013;-1.2028745;600.9057;-6885.6675;-6284.7617;-7835.42;0.0;0.0
0.29246506;-1.1986886;600.9812;-6884.6865;-6283.705;-7812.487;0.0;0.0
