time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;4.621223;0.007702038
0.01;0.00011560536;0.001926756;4.61537;0.015394322
0.015;0.00046212887;0.005134765;4.5979123;0.02305751
0.02;0.0010386946;0.008655788;4.5693254;0.030673051
0.025;0.0018438688;0.012292458;4.530359;0.03822365
0.03;0.0028756924;0.01597607;4.48197;0.0456936
0.035;0.0041317316;0.019674912;4.4252353;0.05306899
0.04;0.005609134;0.023371393;4.3613186;0.060337856
0.045;0.0073046978;0.027054437;4.29136;0.06749012
0.05;0.00921491;0.030716367;4.216488;0.0745176
0.055;0.011336021;0.03435158;4.1377506;0.08141385
0.06;0.013664052;0.037955698;4.056113;0.08817404
0.065;0.016194968;0.041525558;3.9724581;0.0947948
0.07;0.018924482;0.04505829;3.8875253;0.10127401
0.075;0.021848476;0.048552167;3.8020055;0.10761069
0.08;0.024962563;0.05200534;3.716459;0.11380479
0.085;0.028262502;0.055416666;3.6313622;0.11985706
0.09;0.031743977;0.05878514;3.547129;0.12576894
0.095;0.035402823;0.062110215;3.4640794;0.1315424
0.1;0.039234877;0.06539146;3.3824835;0.13717988
0.105;0.043236088;0.06862871;3.3025515;0.14268413
0.11;0.047402374;0.07182178;3.2244446;0.1480582
0.115;0.051729772;0.07497068;3.1482904;0.15330535
0.12;0.056214683;0.078075945;3.0741801;0.15842898
0.125;0.06085326;0.08113768;3.0021646;0.1634326
0.13;0.06564183;0.08415619;2.9322813;0.16831973
0.135;0.070576966;0.08713205;2.8645365;0.17309396
0.14;0.075655326;0.09006587;2.7989287;0.17775884
0.145;0.08087363;0.0929582;2.735438;0.1823179
0.15;0.086228594;0.09580954;2.674013;0.1867746
0.155;0.09171708;0.09862052;2.6146214;0.19113229
0.16;0.09733638;0.10139207;2.5572114;0.1953943
0.165;0.103083424;0.10412467;2.5017238;0.19956385
0.17;0.108955406;0.106819026;2.4480972;0.203644
0.175;0.11494974;0.10947595;2.3962724;0.2076378
0.18;0.12106363;0.112095945;2.3461761;0.21154809
0.185;0.12729481;0.11468001;2.2977548;0.21537769
0.19;0.13364068;0.117228664;2.2509398;0.21912925
0.195;0.14009929;0.11974298;2.2056708;0.22280537
0.2;0.14666763;0.12222302;2.1618824;0.22640851
0.205;0.15334451;0.12467034;2.1195204;0.22994104
0.21;0.1601268;0.12708478;2.0785224;0.23340525
0.215;0.16701321;0.1294676;2.0388272;0.2368033
0.22;0.17400138;0.13181923;2.00039;0.24013728
0.225;0.18108948;0.13414036;1.9631511;0.24340919
0.23;0.18827602;0.1364319;1.9270529;0.24662095
0.235;0.19555841;0.1386939;1.8920534;0.24977437
0.24;0.20293576;0.14092761;1.8581036;0.25287122
0.245;0.21040611;0.1431334;1.8251525;0.25591314
0.25;0.21796775;0.14531183;1.7931662;0.25890175
0.255;0.22561929;0.14746359;1.762101;0.2618386
0.26;0.2333589;0.14958905;1.7319167;0.26472512
0.265;0.24118534;0.15168889;1.7025833;0.26756275
0.27;0.24909696;0.15376355;1.6740602;0.27035284
0.275;0.25709245;0.15581359;1.646317;0.2730967
0.28;0.26517078;0.15783975;1.6193286;0.27579558
0.285;0.27333;0.1598421;1.5930586;0.2784507
0.29;0.28156924;0.16182141;1.5674794;0.28106314
0.295;0.2898869;0.16377792;1.5425617;0.2836341
0.3;0.29828224;0.16571234;1.5182763;0.28616455
0.305;0.3067532;0.16762468;1.4946036;0.28865555
0.31;0.31529942;0.16951582;1.471508;0.29110807
0.315;0.3239194;0.17138591;1.448972;0.293523
0.32;0.33261228;0.17323557;1.4269657;0.2959013
0.325;0.3413769;0.17506509;1.4054726;0.29824376
0.33;0.35021213;0.1768748;1.3844645;0.30055118
0.335;0.35911545;0.1786644;1.3639265;0.3028244
0.34;0.3680881;0.18043534;1.3438336;0.3050641
0.345;0.37712842;0.18218765;1.3241752;0.3072711
0.35;0.3862354;0.1839216;1.3049271;0.30944595
0.355;0.3954068;0.18563701;1.2860839;0.31158942
0.36;0.4046435;0.18733495;1.2676255;0.31370214
0.365;0.4139434;0.18901524;1.2495377;0.3157847
0.37;0.42330545;0.19067813;1.2318114;0.31783772
0.375;0.4327306;0.1923247;1.2144331;0.31986177
0.38;0.44221583;0.19395432;1.1973939;0.32185742
0.385;0.45176214;0.19556803;1.1806866;0.32382524
0.39;0.4613667;0.19716528;1.1642998;0.32576576
0.395;0.47102982;0.19874676;1.1482273;0.32767946
0.4;0.48074973;0.20031238;1.1324618;0.3295669
0.405;0.49052778;0.20186329;1.1170014;0.33142856
0.41;0.5003608;0.20339869;1.1018369;0.33326495
0.415;0.5102499;0.20491964;1.0869623;0.33507657
0.42;0.52019334;0.20642594;1.0723718;0.33686385
0.425;0.5301902;0.20791773;1.0580598;0.33862728
0.43;0.5402402;0.20939542;1.0440162;0.34036732
0.435;0.55034304;0.21085939;1.0302404;0.34208438
0.44;0.56049734;0.2123096;1.0167218;0.3437789
0.445;0.570703;0.21374646;1.0034506;0.34545133
0.45;0.5809586;0.21516986;0.99042106;0.34710205
0.455;0.59126407;0.21658023;0.977628;0.34873143
0.46;0.60161936;0.21797802;0.9650585;0.35033983
0.465;0.6120215;0.21936254;0.9527091;0.3519277
0.47;0.6224733;0.2207352;0.9405664;0.3534953
0.475;0.6329703;0.22209483;0.92862296;0.355043
0.48;0.64351535;0.22344284;0.9168708;0.35657114
0.485;0.6541057;0.2247786;0.90530103;0.35807997
0.49;0.66474223;0.2261028;0.89390796;0.35956982
0.495;0.6754226;0.22741501;0.8826879;0.36104095
0.5;0.6861472;0.22871573;0.87163156;0.36249366
0.505;0.69691586;0.23000523;0.86073744;0.36392823
0.51;0.70772696;0.23128332;0.84999967;0.3653449
0.515;0.71858186;0.23255077;0.83941835;0.36674392
0.52;0.7294797;0.2338076;0.828989;0.3681256
0.525;0.7404163;0.2350528;0.818708;0.3694901
0.53;0.75139564;0.23628795;0.8085748;0.37083772
0.535;0.76241577;0.2375127;0.798587;0.3721687
0.54;0.77347225;0.238726;0.78874314;0.37348327
0.545;0.7845724;0.23993039;0.77904135;0.37478167
0.55;0.79570824;0.2411237;0.76948273;0.37606415
0.555;0.80688584;0.24230805;0.76006615;0.37733093
0.56;0.8180999;0.24348213;0.75078726;0.37858224
0.565;0.8293519;0.24464658;0.74164736;0.37981832
0.57;0.8406417;0.24580166;0.73264176;0.38103938
0.575;0.85196567;0.24694659;0.7237696;0.38224566
0.58;0.8633275;0.24808264;0.7150282;0.38343737
0.585;0.87472695;0.24920996;0.706414;0.38461474
0.59;0.88615716;0.2503269;0.6979235;0.38577795
0.595;0.89762443;0.2514354;0.68955433;0.3869272
0.6;0.9091278;0.2525355;0.68130136;0.3880627
0.605;0.9206645;0.25362659;0.67316294;0.38918462
0.61;0.93223447;0.25470886;0.66513413;0.39029318
0.615;0.94383824;0.25578272;0.65721184;0.39138854
0.62;0.95547354;0.25684774;0.6493931;0.39247087
0.625;0.96714365;0.25790498;0.64166987;0.39354032
0.63;0.9788433;0.25895324;0.63404375;0.39459705
0.635;0.9905787;0.25999442;0.6265069;0.39564124
0.64;1.0023404;0.26102617;0.61905724;0.396673
0.645;1.0141351;0.26205042;0.61169046;0.39769247
0.65;1.0259624;0.26306728;0.6044036;0.39869982
0.655;1.0378162;0.26407537;0.5971939;0.39969516
0.66;1.049701;0.265076;0.59005564;0.40067858
0.665;1.0616192;0.26606995;0.58299;0.40165022
0.67;1.0735612;0.26705503;0.5759904;0.4026102
0.675;1.0855353;0.26803342;0.5690539;0.40355864
0.68;1.0975374;0.26900426;0.5621794;0.4044956
0.685;1.1095672;0.26996768;0.55536395;0.4054212
0.69;1.1216248;0.27092385;0.5486062;0.40633553
0.695;1.133712;0.2718734;0.5419047;0.40723872
0.7;1.1458229;0.272815;0.53525835;0.40813082
0.705;1.1579622;0.27374995;0.52866584;0.40901193
0.71;1.170127;0.27467772;0.5221292;0.40988213
0.715;1.1823202;0.27559912;0.51564926;0.41074157
0.72;1.194539;0.27651364;0.5092245;0.41159028
0.725;1.2067822;0.2774212;0.5028601;0.41242838
0.73;1.2190522;0.2783224;0.49655572;0.41325596
0.735;1.2313462;0.27921683;0.4903159;0.41407314
0.74;1.2436625;0.28010416;0.48414075;0.41488004
0.745;1.2560067;0.28098583;0.4780347;0.41567677
0.75;1.2683737;0.28186083;0.472;0.41646343
0.755;1.2807645;0.28272948;0.46603996;0.41724017
0.76;1.2931806;0.28359222;0.46015504;0.4180071
0.765;1.3056178;0.28444833;0.45434913;0.41876435
0.77;1.3180759;0.2852978;0.44862285;0.41951206
0.775;1.3305603;0.28614202;0.442979;0.42025036
0.78;1.3430662;0.28697997;0.43741584;0.42097938
0.785;1.3555924;0.28781155;0.43193445;0.42169926
0.79;1.3681432;0.28863782;0.4265353;0.42241016
0.795;1.3807125;0.28945753;0.4212159;0.42311218
0.8;1.3933048;0.29027185;0.41597554;0.42380548
0.805;1.4059199;0.2910807;0.41081268;0.42449018
0.81;1.4185537;0.2918835;0.40572464;0.42516637
0.815;1.4312085;0.29268068;0.40071073;0.42583424
0.82;1.4438833;0.2934722;0.39576823;0.42649385
0.825;1.4565804;0.29425868;0.39089566;0.42714533
0.83;1.4692949;0.29503915;0.3860918;0.42778882
0.835;1.4820276;0.29581392;0.38135582;0.42842442
0.84;1.4947805;0.29658344;0.37668633;0.42905223
0.845;1.5075562;0.29734835;0.37208357;0.42967236
0.85;1.5203447;0.2981068;0.36754662;0.43028495
0.855;1.533156;0.29886082;0.36307576;0.43089005
0.86;1.5459845;0.2996094;0.35866994;0.43148786
0.865;1.5588304;0.30035266;0.3543297;0.4320784
0.87;1.5716954;0.30109107;0.350054;0.43266183
0.875;1.5845772;0.30182424;0.34584287;0.43323824
0.88;1.5974784;0.30255273;0.34169555;0.43380773
0.885;1.6103952;0.30327594;0.33761087;0.4343704
0.89;1.6233296;0.3039943;0.33358932;0.4349264
0.895;1.6362821;0.30470803;0.32963014;0.43547577
0.9;1.6492505;0.30541676;0.325732;0.43601865
0.905;1.6622345;0.30612054;0.32189468;0.43655515
0.91;1.6752368;0.30681992;0.31811538;0.43708533
0.915;1.6882526;0.30751413;0.3143953;0.43760934
0.92;1.7012845;0.30820373;0.31073186;0.43812722
0.925;1.7143346;0.30888912;0.307124;0.4386391
0.93;1.727397;0.30956936;0.30356866;0.43914503
0.935;1.7404786;0.31024575;0.3000646;0.43964514
0.94;1.753572;0.31091702;0.29660812;0.4401395
0.945;1.7666844;0.31158453;0.29319635;0.44062817
0.95;1.7798074;0.31224695;0.2898271;0.4411112
0.955;1.7929487;0.31290555;0.28649622;0.4415887
0.96;1.806102;0.3135594;0.28320208;0.4420607
0.965;1.8192707;0.3142091;0.27994084;0.44252726
0.97;1.8324531;0.3148545;0.2767112;0.44298846
0.975;1.8456494;0.3154956;0.27351025;0.4434443
0.98;1.8588618;0.31613296;0.27033588;0.44389486
0.985;1.8720859;0.3167658;0.26718792;0.44434017
