radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;3.0081725e-05
0.84;2.9369756e-05
0.85;0.00014341384
0.86;0.00030821565
0.87;0.0013963386
0.88;0.003960545
0.89;0.010569637
0.9;0.026786622
0.91;0.056581423
0.92;0.10508775
0.93;0.17759393
0.9400000000000001;0.26839975
0.9500000000000001;0.39162058
0.96;0.5299074
0.97;0.69043857
0.98;0.8540914
0.99;1.0245342
1.0;1.1706175
1.01;1.3219508
1.02;1.4352319
1.03;1.5424623
1.04;1.640104
1.05;1.7231197
1.06;1.7551924
1.07;1.7951182
1.08;1.8285884
1.09;1.8262172
1.1;1.8576117
1.11;1.8349801
1.12;1.8345399
1.1300000000000001;1.810488
1.1400000000000001;1.7860757
1.1500000000000001;1.757964
1.16;1.7361226
1.17;1.7089571
1.18;1.6620117
1.19;1.6342435
1.2;1.5884706
1.21;1.5647337
1.22;1.5259706
1.23;1.4961748
1.24;1.4685283
1.25;1.4462824
1.26;1.3997837
1.27;1.3682998
1.28;1.3427527
1.29;1.3076866
1.3;1.2830743
1.31;1.2694945
1.32;1.2420512
1.33;1.2230924
1.34;1.1975008
1.35;1.1759366
1.36;1.1598454
1.37;1.1392734
1.3800000000000001;1.133608
1.3900000000000001;1.1189623
1.4000000000000001;1.0988764
1.41;1.0819772
1.42;1.0747265
1.43;1.0607079
1.44;1.046914
1.45;1.040041
1.46;1.0289056
1.47;1.0168407
1.48;1.0201243
1.49;1.0089629
1.5;1.0030798
1.51;0.9936127
1.52;0.990002
1.53;0.9848314
1.54;0.9708878
1.55;0.9653895
1.56;0.9634871
1.57;0.9556392
1.58;0.9419309
1.59;0.94313705
1.6;0.93701833
1.61;0.93254346
1.62;0.9337546
1.6300000000000001;0.93104786
1.6400000000000001;0.92088306
1.6500000000000001;0.9191424
1.6600000000000001;0.9241613
1.67;0.9202174
1.68;0.92011106
1.69;0.9239469
1.7;0.9257879
1.71;0.92234814
1.72;0.9207743
1.73;0.9115246
1.74;0.9216311
1.75;0.91759133
1.76;0.91660434
1.77;0.92773706
1.78;0.92258734
1.79;0.9260209
1.8;0.9324361
1.81;0.9297565
1.82;0.93372625
1.83;0.93168646
1.84;0.93354034
1.85;0.94450974
1.86;0.9465174
1.87;0.9504321
1.8800000000000001;0.9511369
1.8900000000000001;0.9522151
1.9000000000000001;0.96131647
1.9100000000000001;0.971809
1.92;0.9796599
1.93;0.97497267
1.94;0.9768864
1.95;0.97778416
1.96;0.9862293
1.97;0.9905286
1.98;1.0017211
1.99;1.0013238
2.0;1.0078378
2.0100000000000002;1.0053897
2.02;1.0160314
2.0300000000000002;1.0138267
2.04;1.0175505
2.05;1.0204405
