radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.00028019605
0.87;0.0013415802
0.88;0.0037999824
0.89;0.012688797
0.9;0.027477382
0.91;0.05452938
0.92;0.10334933
0.93;0.17399976
0.9400000000000001;0.2661014
0.9500000000000001;0.38335413
0.96;0.5231393
0.97;0.6811005
0.98;0.84856874
0.99;1.0101346
1.0;1.16894
1.01;1.3056984
1.02;1.4226432
1.03;1.5388126
1.04;1.6342797
1.05;1.7055045
1.06;1.7701333
1.07;1.8056893
1.08;1.8264058
1.09;1.8437091
1.1;1.8429843
1.11;1.8627672
1.12;1.850185
1.1300000000000001;1.8312463
1.1400000000000001;1.7899826
1.1500000000000001;1.7515539
1.16;1.7070808
1.17;1.6878101
1.18;1.6686797
1.19;1.6387689
1.2;1.6094829
1.21;1.5743457
1.22;1.535439
1.23;1.5046399
1.24;1.4724889
1.25;1.4384195
1.26;1.4026418
1.27;1.38404
1.28;1.3481383
1.29;1.3263774
1.3;1.2924548
1.31;1.2666945
1.32;1.2352858
1.33;1.2243589
1.34;1.2082822
1.35;1.1843948
1.36;1.158233
1.37;1.1525787
1.3800000000000001;1.1253275
1.3900000000000001;1.1241748
1.4000000000000001;1.1125045
1.41;1.0955691
1.42;1.0877897
1.43;1.0600402
1.44;1.0465825
1.45;1.0345417
1.46;1.0256792
1.47;1.0056497
1.48;0.9906628
1.49;0.9897073
1.5;0.9840336
1.51;0.9736266
1.52;0.96970266
1.53;0.96336037
1.54;0.9577271
1.55;0.9531933
1.56;0.94660056
1.57;0.94688827
1.58;0.9401552
1.59;0.93371934
1.6;0.93318975
1.61;0.9328888
1.62;0.92305523
1.6300000000000001;0.9241618
1.6400000000000001;0.92432094
1.6500000000000001;0.91825694
1.6600000000000001;0.91559577
1.67;0.9272913
1.68;0.92273223
1.69;0.92094874
1.7;0.92471296
1.71;0.92538005
1.72;0.9286416
1.73;0.92691684
1.74;0.9272699
1.75;0.9306661
1.76;0.92829907
1.77;0.93337774
1.78;0.9339685
1.79;0.927121
1.8;0.92944914
1.81;0.93517864
1.82;0.9328068
1.83;0.93451357
1.84;0.9388972
1.85;0.94390476
1.86;0.9478787
1.87;0.9485009
1.8800000000000001;0.9509723
1.8900000000000001;0.9571342
1.9000000000000001;0.9620974
1.9100000000000001;0.9669296
1.92;0.97419935
1.93;0.97944427
1.94;0.97937006
1.95;0.9778075
1.96;0.98518515
1.97;0.99356216
1.98;0.99993354
1.99;1.0040977
2.0;1.0048122
2.0100000000000002;1.0076059
2.02;1.0115163
2.0300000000000002;1.0145757
2.04;1.0294516
2.05;1.0280886
2.06;1.0276245
