temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
1.5;-0.0040794155;1543.1075;-1394.2632;148.84436;-3108.7122;0.0;0.0;1838.2656
1.4992657;-0.00023216383;1542.0773;-1393.2428;148.83447;-3085.4348;0.0;0.0;1838.2656
1.4980004;0.005510888;1540.4366;-1391.614;148.82263;-3050.482;0.0;0.0;1838.2656
1.4960829;0.0133062545;1538.0416;-1389.2375;148.80408;-3002.702;0.0;0.0;1838.2656
1.4933565;0.023156831;1534.722;-1385.9397;148.78235;-2941.7388;0.0;0.0;1838.2656
1.4896495;0.035093453;1530.3052;-1381.5261;148.77905;-2867.0771;0.0;0.0;1838.2656
1.4848027;0.049389713;1524.6548;-1375.8987;148.7561;-2776.9353;0.0;0.0;1838.2656
1.4787145;0.06594954;1517.7103;-1368.9589;148.75146;-2671.7224;0.0;0.0;1838.2656
1.4713724;0.084683634;1509.5306;-1360.7864;148.74426;-2552.0483;0.0;0.0;1838.2656
1.4629035;0.10522816;1500.3096;-1351.5532;148.75635;-2420.3071;0.0;0.0;1838.2656
1.4535536;0.1271364;1490.3291;-1341.5564;148.7727;-2279.5269;0.0;0.0;1838.2656
1.443617;0.14999509;1479.9161;-1331.1434;148.7727;-2132.64;0.0;0.0;1838.2656
1.4334301;0.1735349;1469.4171;-1320.6428;148.77429;-1981.8245;0.0;0.0;1838.2656
1.4233288;0.1971915;1459.1892;-1310.4004;148.78882;-1830.9073;0.0;0.0;1838.2656
1.413671;0.22050014;1449.6194;-1300.8153;148.80408;-1683.2252;0.0;0.0;1838.2656
1.4048473;0.2426807;1441.1177;-1292.3132;148.80444;-1543.9006;0.0;0.0;1838.2656
1.3972561;0.2637167;1434.0602;-1285.2534;148.80676;-1413.7764;0.0;0.0;1838.2656
1.3912232;0.28302115;1428.7185;-1279.8987;148.81982;-1296.6328;0.0;0.0;1838.2656
1.3869427;0.30031523;1425.1987;-1276.4009;148.79785;-1194.22;0.0;0.0;1838.2656
1.3844212;0.3159663;1423.3899;-1274.6184;148.77148;-1104.2898;0.0;0.0;1838.2656
1.3834343;0.32992244;1422.9258;-1274.2263;148.69946;-1026.3964;0.0;0.0;1838.2656
1.3834983;0.3429052;1423.2191;-1274.5308;148.68835;-955.38574;0.0;0.0;1838.2656
1.3839716;0.35536498;1423.5859;-1274.9629;148.62305;-887.40625;0.0;0.0;1838.2656
1.3841856;0.36796427;1423.3905;-1274.8093;148.58118;-817.53284;0.0;0.0;1838.2656
1.3835927;0.38094673;1422.1998;-1273.6445;148.5553;-743.5559;0.0;0.0;1838.2656
1.3819162;0.39435256;1419.918;-1271.3523;148.56567;-665.06177;0.0;0.0;1838.2656
1.379256;0.40803432;1416.8833;-1268.2621;148.62122;-583.54016;0.0;0.0;1838.2656
1.3761709;0.42105028;1413.9146;-1265.2224;148.69214;-505.8224;0.0;0.0;1838.2656
1.3736676;0.4325353;1412.1223;-1263.3711;148.75122;-438.9003;0.0;0.0;1838.2656
1.3728305;0.44158837;1412.3569;-1263.6045;148.75244;-389.4437;0.0;0.0;1838.2656
1.3741568;0.44810283;1414.6362;-1265.9613;148.67493;-358.07642;0.0;0.0;1838.2656
1.3771901;0.45296997;1418.2063;-1269.5746;148.63171;-338.37524;0.0;0.0;1838.2656
1.3809999;0.45688736;1422.2053;-1273.5972;148.60815;-324.7696;0.0;0.0;1838.2656
1.3849053;0.460183;1426.1946;-1277.6125;148.58203;-314.57343;0.0;0.0;1838.2656
1.3887357;0.46315774;1430.1488;-1281.5444;148.60437;-306.0768;0.0;0.0;1838.2656
1.3925796;0.46564898;1434.1128;-1285.512;148.60083;-300.266;0.0;0.0;1838.2656
1.3964044;0.46767512;1437.9067;-1289.3463;148.56042;-296.68024;0.0;0.0;1838.2656
1.3999013;0.47000334;1441.184;-1292.6294;148.55457;-290.39502;0.0;0.0;1838.2656
1.4027414;0.47263363;1443.7288;-1295.1548;148.57397;-280.97906;0.0;0.0;1838.2656
1.4048568;0.47520024;1445.6719;-1297.0925;148.57935;-270.71103;0.0;0.0;1838.2656
1.4065655;0.47793186;1447.4512;-1298.8014;148.64978;-259.20526;0.0;0.0;1838.2656
1.4083757;0.47972077;1449.5645;-1300.9204;148.64404;-253.56636;0.0;0.0;1838.2656
1.4107177;0.48067412;1452.3246;-1303.6785;148.64612;-253.82907;0.0;0.0;1838.2656
1.413764;0.480646;1455.8083;-1307.1494;148.65894;-260.95163;0.0;0.0;1838.2656
1.4175084;0.4796416;1460.0349;-1311.3918;148.64307;-274.94394;0.0;0.0;1838.2656
1.4220124;0.47738075;1465.1918;-1316.5148;148.677;-297.72574;0.0;0.0;1838.2656
1.4275763;0.47375065;1471.6284;-1322.9169;148.71155;-330.6183;0.0;0.0;1838.2656
1.4345391;0.468432;1479.5214;-1330.8422;148.6792;-375.7354;0.0;0.0;1838.2656
1.442863;0.46197903;1488.5503;-1339.9016;148.64868;-429.38016;0.0;0.0;1838.2656
1.4519709;0.45489824;1497.932;-1349.3632;148.56885;-487.1926;0.0;0.0;1838.2656
