time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;4.628049;0.0077134147
0.01;0.000115774455;0.0019295744;4.6222034;0.015417087
0.015;0.00046280198;0.0051422445;4.604857;0.023091849
0.02;0.0010402082;0.008668401;4.5764813;0.030719317
0.025;0.0018465649;0.012310432;4.5378065;0.038282327
0.03;0.0028799218;0.015999567;4.489791;0.045765314
0.035;0.004137867;0.01970413;4.433504;0.053154487
0.04;0.005617563;0.023406513;4.370079;0.06043795
0.045;0.007315832;0.027095674;4.3006787;0.06760575
0.05;0.009229181;0.030763939;4.226391;0.07464974
0.055;0.0113538895;0.034405727;4.148278;0.08156353
0.06;0.013686055;0.038016822;4.067289;0.088342346
0.065;0.016221547;0.04159371;3.984275;0.0949828
0.07;0.018956264;0.045133963;3.9000134;0.10148283
0.075;0.021885986;0.048635524;3.8151457;0.1078414
0.08;0.025006453;0.052096777;3.7302513;0.11405849
0.085;0.028313419;0.055516504;3.645776;0.120134786
0.09;0.031802583;0.05889367;3.5621579;0.1260717
0.095;0.03546992;0.06222793;3.4797008;0.13187121
0.1;0.039311234;0.06551872;3.3986735;0.13753568
0.105;0.043322362;0.068765655;3.3192937;0.14306782
0.11;0.047499534;0.071968995;3.241719;0.14847068
0.115;0.051838685;0.075128525;3.1660743;0.15374748
0.12;0.0563361;0.07824459;3.0924506;0.15890157
0.125;0.060988143;0.08131752;3.0208936;0.16393639
0.13;0.065791145;0.08434763;2.9514573;0.16885549
0.135;0.070741765;0.08733551;2.8841507;0.1736624
0.14;0.075836554;0.09028161;2.8189664;0.17836069
0.145;0.081072025;0.09318624;2.7558873;0.18295382
0.15;0.08644536;0.0960504;2.6948893;0.18744531
0.155;0.09195337;0.098874584;2.6359367;0.19183853
0.16;0.09759312;0.10165951;2.5789752;0.19613683
0.165;0.10336187;0.10440592;2.5239553;0.20034342
0.17;0.109256685;0.1071144;2.4708245;0.20446146
0.175;0.115274854;0.10978557;2.4195125;0.20849398
0.18;0.1214138;0.11242018;2.3699615;0.21244392
0.185;0.12767158;0.11501944;2.3221185;0.2163141
0.19;0.13404483;0.117583185;2.2758994;0.22010727
0.195;0.14053209;0.1201129;2.23126;0.22382605
0.2;0.14713064;0.12260887;2.1881301;0.22747293
0.205;0.15383871;0.12507212;2.1464431;0.23105033
0.21;0.16065368;0.12750292;2.1061475;0.23456058
0.215;0.16757396;0.12990229;2.0671825;0.23800589
0.22;0.17459768;0.13227098;2.0294828;0.24138835
0.225;0.18172254;0.13460928;1.9929944;0.24471001
0.23;0.1889473;0.13691834;1.957666;0.24797279
0.235;0.19626959;0.13919829;1.92344;0.25117853
0.24;0.20368797;0.14144997;1.8902576;0.25432897
0.245;0.21120131;0.14367436;1.8580745;0.25742576
0.25;0.21880698;0.14587133;1.8268429;0.26047048
0.255;0.22650382;0.14804171;1.7965171;0.2634647
0.26;0.23429036;0.15018614;1.7670431;0.26640975
0.265;0.24216545;0.15230532;1.7383858;0.26930705
0.27;0.250127;0.15439937;1.7105104;0.2721579
0.275;0.25817403;0.1564691;1.6833727;0.27496353
0.28;0.26630527;0.15851504;1.6569389;0.2777251
0.285;0.2745195;0.16053773;1.6311756;0.28044373
0.29;0.28281432;0.16253698;1.6060594;0.28312048
0.295;0.29118982;0.16451403;1.5815532;0.2857564
0.3;0.29964423;0.16646901;1.5576367;0.28835246
0.305;0.30817667;0.16840255;1.5342818;0.29090962
0.31;0.3167846;0.1703143;1.5114684;0.29342872
0.315;0.32546872;0.17220567;1.4891719;0.2959107
0.32;0.3342267;0.17407641;1.4673797;0.2983563
0.325;0.34305838;0.17592739;1.446062;0.3007664
0.33;0.3519617;0.17775843;1.4252077;0.30314174
0.335;0.36093628;0.17957029;1.4048004;0.3054831
0.34;0.36998108;0.18136327;1.3848199;0.3077911
0.345;0.37909472;0.18313754;1.3652512;0.31006655
0.35;0.3882762;0.18489341;1.3460757;0.31231
0.355;0.39752463;0.18663128;1.3272809;0.31452215
0.36;0.4068393;0.18835151;1.3088499;0.31670356
0.365;0.41621935;0.19005449;1.2907716;0.31885484
0.37;0.4256639;0.19174048;1.2730308;0.32097656
0.375;0.43517098;0.19340932;1.2556131;0.32306924
0.38;0.44474217;0.19506235;1.2385113;0.32513344
0.385;0.45437387;0.19669864;1.221714;0.32716963
0.39;0.46406636;0.19831897;1.2052083;0.3291783
0.395;0.47381884;0.19992356;1.1889868;0.33115995
0.4;0.48363176;0.20151323;1.1730446;0.333115
0.405;0.4935023;0.20308736;1.1573706;0.33504397
0.41;0.50343037;0.2046465;1.1419615;0.33694723
0.415;0.5134155;0.20619097;1.1268095;0.33882526
0.42;0.523457;0.20772104;1.1119043;0.34067842
0.425;0.53355354;0.20923668;1.0972435;0.34250718
0.43;0.5437053;0.21073848;1.0828149;0.34431186
0.435;0.55391043;0.21222623;1.0686195;0.34609288
0.44;0.56416917;0.21370044;1.0546464;0.34785065
0.445;0.5744799;0.215161;1.0408859;0.34958544
0.45;0.5848442;0.21660896;1.0273333;0.35129768
0.455;0.59525806;0.21804324;1.0139838;0.35298765
0.46;0.60572386;0.21946515;1.000829;0.35465568
0.465;0.61623883;0.22087413;0.98786277;0.35630214
0.47;0.62680304;0.2222706;0.9750812;0.35792726
0.475;0.63741654;0.22365494;0.9624792;0.3595314
0.48;0.64807725;0.22502683;0.95005053;0.3611148
0.485;0.65878737;0.22638741;0.9377958;0.3626778
0.49;0.6695439;0.22773603;0.92570907;0.36422065
0.495;0.68034476;0.22907232;0.91378665;0.36574364
0.5;0.6911924;0.23039746;0.9020285;0.36724702
0.505;0.7020869;0.23171186;0.8904263;0.36873105
0.51;0.71302325;0.23301414;0.87898535;0.37019604
0.515;0.7240039;0.23430547;0.8676983;0.3716422
0.52;0.7350286;0.2355861;0.85656583;0.3730698
0.525;0.74609643;0.23685603;0.8455864;0.37447912
0.53;0.7572057;0.23811503;0.8347555;0.37587038
0.535;0.7683578;0.2393638;0.82407624;0.37724385
0.54;0.77954906;0.24060157;0.8135449;0.37859973
0.545;0.79078203;0.24182935;0.8031608;0.37993833
0.55;0.8020551;0.24304701;0.7929229;0.3812599
0.555;0.8133687;0.24425486;0.7828335;0.3825646
0.56;0.824719;0.24545209;0.77289176;0.38385275
0.565;0.8361093;0.2466399;0.7630987;0.3851246
0.57;0.8475377;0.24781805;0.753456;0.38638034
0.575;0.8590037;0.24898659;0.7439655;0.3876203
0.58;0.87050664;0.25014558;0.734626;0.38884467
0.585;0.8820481;0.25129578;0.72544044;0.39005375
0.59;0.8936228;0.25243583;0.7164079;0.39124775
0.595;0.90523386;0.2535669;0.7075309;0.39242697
0.6;0.916881;0.25468916;0.6988095;0.39359164
0.605;0.9285651;0.25580305;0.6902397;0.39474204
0.61;0.9402791;0.25690687;0.68182456;0.39587843
0.615;0.95203036;0.2580028;0.6735601;0.39700103
0.62;0.96381414;0.25908983;0.66544825;0.3981101
0.625;0.97563094;0.26016825;0.65748733;0.39920592
0.63;0.9874813;0.26123843;0.64967394;0.4002887
0.635;0.99936485;0.2623005;0.6420065;0.40135872
0.64;1.0112787;0.26335382;0.63448334;0.4024162
0.645;1.0232263;0.26439956;0.62710077;0.40346137
0.65;1.0352054;0.26543728;0.6198575;0.40449446
0.655;1.0472116;0.26646608;0.61274916;0.4055157
0.66;1.0592532;0.26748818;0.60577273;0.4065253
0.665;1.0713228;0.26850197;0.59892714;0.40752354
0.67;1.0834233;0.26950827;0.5922069;0.40851054
0.675;1.0955529;0.2705069;0.58561105;0.40948656
0.68;1.1077119;0.27149802;0.5791385;0.4104518
0.685;1.1199006;0.2724819;0.5727799;0.41140643
0.69;1.1321172;0.27345824;0.5665375;0.41235065
0.695;1.1443632;0.27442762;0.5604035;0.41328466
0.7;1.1566344;0.27538916;0.5543753;0.41420862
0.705;1.1689382;0.27634472;0.5484489;0.41512272
0.71;1.1812685;0.2772931;0.5426178;0.41602707
0.715;1.193625;0.27823427;0.53687817;0.41692185
0.72;1.2060081;0.27916852;0.531226;0.41780725
0.725;1.2184198;0.2800965;0.52565384;0.41868332
0.73;1.2308546;0.28101704;0.52015847;0.41955027
0.735;1.243319;0.28193176;0.5147349;0.42040816
0.74;1.2558079;0.2828396;0.50937885;0.4212571
0.745;1.2683232;0.2837412;0.5040864;0.42209727
0.75;1.2808645;0.28463656;0.49885437;0.4229287
0.755;1.2934302;0.28552544;0.4936803;0.42375147
0.76;1.3060194;0.28640777;0.4885606;0.42456576
0.765;1.3186352;0.28728437;0.4834948;0.4253716
0.77;1.3312734;0.28815442;0.4784833;0.42616904
