radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;4.492564e-05
0.9400000000000001;0.000580468
0.9500000000000001;0.002609071
0.96;0.0133906165
0.97;0.046987444
0.98;0.13116646
0.99;0.30632982
1.0;0.612678
1.01;1.0612123
1.02;1.6475358
1.03;2.3169308
1.04;3.0339425
1.05;3.689911
1.06;4.2234807
1.07;4.6196585
1.08;4.891048
1.09;4.9468083
1.1;4.9068956
1.11;4.750378
1.12;4.5124955
1.1300000000000001;4.2240076
1.1400000000000001;3.903757
1.1500000000000001;3.5837004
1.16;3.2840264
1.17;2.97334
1.18;2.6748981
1.19;2.4385996
1.2;2.2041118
1.21;1.9884459
1.22;1.7985005
1.23;1.6288335
1.24;1.4808427
1.25;1.3521247
1.26;1.2435969
1.27;1.1414696
1.28;1.0494343
1.29;0.9681897
1.3;0.89882237
1.31;0.8405389
1.32;0.79046476
1.33;0.74641895
1.34;0.7043547
1.35;0.6703054
1.36;0.63689643
1.37;0.6105832
1.3800000000000001;0.58275783
1.3900000000000001;0.565819
1.4000000000000001;0.5480345
1.41;0.53143144
1.42;0.51945066
1.43;0.510233
1.44;0.49774054
1.45;0.49351484
1.46;0.4809013
1.47;0.47486264
1.48;0.47211656
1.49;0.4713142
1.5;0.4729851
1.51;0.4742089
1.52;0.4731724
1.53;0.47810844
1.54;0.48789936
1.55;0.49014392
1.56;0.50046897
1.57;0.50792795
1.58;0.5181252
1.59;0.5271666
1.6;0.5380065
1.61;0.5511673
1.62;0.5646382
1.6300000000000001;0.5736567
1.6400000000000001;0.592075
1.6500000000000001;0.6128954
1.6600000000000001;0.6340452
1.67;0.66455996
1.68;0.68774563
1.69;0.710734
1.7;0.74351066
1.71;0.7699914
1.72;0.8069616
1.73;0.84819674
1.74;0.89057356
1.75;0.9310262
1.76;0.9763088
1.77;1.0269715
1.78;1.0708205
1.79;1.1279032
1.8;1.1763697
1.81;1.2238562
1.82;1.2655922
1.83;1.3162812
1.84;1.3566569
1.85;1.3958138
1.86;1.4328241
1.87;1.4620053
1.8800000000000001;1.4918551
1.8900000000000001;1.5084978
1.9000000000000001;1.5332098
1.9100000000000001;1.5421685
1.92;1.5515369
1.93;1.5575228
1.94;1.5555049
1.95;1.5490428
1.96;1.5446463
1.97;1.5295584
1.98;1.5217913
1.99;1.5118115
2.0;1.5000213
2.0100000000000002;1.4872422
2.02;1.4824611
2.0300000000000002;1.4754709
2.04;1.4637704
2.05;1.4562954
2.06;1.4545453
2.07;1.464895
2.08;1.460648
