radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.00013536777
0.84;0.0009141346
0.85;0.0034957067
0.86;0.011221966
0.87;0.027084993
0.88;0.060371745
0.89;0.117252074
0.9;0.20201387
0.91;0.32139528
0.92;0.46918604
0.93;0.6467043
0.9400000000000001;0.83559316
0.9500000000000001;1.0358871
0.96;1.2363398
0.97;1.4282774
0.98;1.6003666
0.99;1.7538856
1.0;1.8848977
1.01;1.9790426
1.02;2.0626185
1.03;2.1058044
1.04;2.1265125
1.05;2.1376429
1.06;2.1301544
1.07;2.1077783
1.08;2.0753024
1.09;2.0406353
1.1;1.9960971
1.11;1.9479778
1.12;1.8954039
1.1300000000000001;1.8373482
1.1400000000000001;1.7866981
1.1500000000000001;1.7346765
1.16;1.6715107
1.17;1.6235567
1.18;1.5606339
1.19;1.5182909
1.2;1.472655
1.21;1.4210043
1.22;1.3801985
1.23;1.3385692
1.24;1.297805
1.25;1.2587503
1.26;1.2210236
1.27;1.1864914
1.28;1.1501448
1.29;1.1246232
1.3;1.0938148
1.31;1.0668938
1.32;1.0437276
1.33;1.026051
1.34;1.0003422
1.35;0.9753173
1.36;0.9587335
1.37;0.93950444
1.3800000000000001;0.92357105
1.3900000000000001;0.912861
1.4000000000000001;0.8967803
1.41;0.884415
1.42;0.86758876
1.43;0.86054736
1.44;0.85037816
1.45;0.8361672
1.46;0.82510155
1.47;0.8159819
1.48;0.80944395
1.49;0.8066501
1.5;0.7970487
1.51;0.79699713
1.52;0.7916325
1.53;0.78544307
1.54;0.7818678
1.55;0.78144485
1.56;0.77707905
1.57;0.7776352
1.58;0.77649665
1.59;0.77826595
1.6;0.77887064
1.61;0.77852374
1.62;0.78266305
1.6300000000000001;0.78644156
1.6400000000000001;0.7914463
1.6500000000000001;0.79482996
1.6600000000000001;0.80791926
1.67;0.81291866
1.68;0.81687677
1.69;0.8258976
1.7;0.8316515
1.71;0.83936924
1.72;0.8461266
1.73;0.85547876
1.74;0.8639022
1.75;0.8743827
1.76;0.88322353
1.77;0.89196426
1.78;0.9006711
1.79;0.91246355
1.8;0.9241122
1.81;0.93562526
1.82;0.9450989
1.83;0.9571005
1.84;0.96859336
1.85;0.98035514
1.86;0.9934237
1.87;1.0032399
1.8800000000000001;1.0122373
1.8900000000000001;1.0236228
1.9000000000000001;1.0310342
1.9100000000000001;1.0491952
1.92;1.0589657
1.93;1.0722073
1.94;1.0741087
1.95;1.0826659
1.96;1.0905861
1.97;1.0972514
1.98;1.1085707
1.99;1.1138409
2.0;1.1197753
2.0100000000000002;1.1247183
2.02;1.1270224
2.0300000000000002;1.1322255
2.04;1.1358407
2.05;1.1382008
