temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
2.7999003;-0.839623;5760.0254;-7378.474;-1618.4487;-16150.401;0.0;0.0;1838.2656
2.7987456;-0.80265844;5755.1694;-7371.837;-1616.6675;-15936.837;0.0;0.0;1838.2656
2.7974405;-0.7468214;5748.537;-7358.8926;-1610.3555;-15615.643;0.0;0.0;1838.2656
2.7954235;-0.6693906;5738.2256;-7336.004;-1597.7783;-15168.005;0.0;0.0;1838.2656
2.7923324;-0.56319827;5722.411;-7297.7593;-1575.3481;-14550.746;0.0;0.0;1838.2656
2.7876523;-0.41853005;5698.5938;-7236.326;-1537.7324;-13705.296;0.0;0.0;1838.2656
2.7807171;-0.22430296;5663.881;-7140.9116;-1477.0308;-12564.747;0.0;0.0;1838.2656
2.7709014;0.032819908;5616.7954;-6999.1235;-1382.3281;-11052.596;0.0;0.0;1838.2656
2.7584057;0.362878;5561.248;-6802.5977;-1241.3496;-9121.298;0.0;0.0;1838.2656
2.7452517;0.7647294;5507.2812;-6553.7383;-1046.457;-6797.2354;0.0;0.0;1838.2656
2.7340372;1.225505;5463.339;-6263.377;-800.0381;-4168.2666;0.0;0.0;1838.2656
2.7259219;1.7265848;5435.05;-5946.273;-511.22314;-1348.3354;0.0;0.0;1838.2656
2.7227674;2.237877;5431.464;-5626.749;-195.28516;1478.5094;0.0;0.0;1838.2656
2.726955;2.7230768;5457.978;-5334.3047;123.67334;4101.259;0.0;0.0;1838.2656
2.7379444;3.151377;5507.256;-5090.2314;417.0244;6364.6924;0.0;0.0;1838.2656
2.752094;3.5059187;5563.83;-4901.1445;662.68555;8206.769;0.0;0.0;1838.2656
2.7655666;3.7865748;5614.893;-4761.3325;853.56055;9652.405;0.0;0.0;1838.2656
2.7765152;4.00257;5656.446;-4661.3203;995.1255;10760.469;0.0;0.0;1838.2656
2.7853673;4.161709;5691.324;-4595.4185;1095.9058;11568.329;0.0;0.0;1838.2656
2.793148;4.2706437;5722.0186;-4559.881;1162.1377;12107.695;0.0;0.0;1838.2656
2.7998521;4.3356295;5747.641;-4550.0537;1197.5874;12414.833;0.0;0.0;1838.2656
2.8050823;4.3657594;5766.885;-4559.634;1207.251;12542.506;0.0;0.0;1838.2656
2.8084347;4.372836;5775.94;-4578.9688;1196.9712;12563.422;0.0;0.0;1838.2656
2.8083813;4.376097;5770.645;-4592.6865;1177.9585;12591.998;0.0;0.0;1838.2656
2.805116;4.3894725;5755.4717;-4591.08;1164.3916;12696.1045;0.0;0.0;1838.2656
2.8008828;4.419412;5739.4004;-4572.8604;1166.54;12893.359;0.0;0.0;1838.2656
2.7977514;4.460136;5730.367;-4545.6914;1184.6758;13136.009;0.0;0.0;1838.2656
2.7973135;4.5000024;5732.911;-4521.57;1211.3413;13350.776;0.0;0.0;1838.2656
2.7996426;4.527281;5743.751;-4509.1826;1234.5684;13479.531;0.0;0.0;1838.2656
2.8026037;4.539798;5753.862;-4507.4453;1246.4165;13528.339;0.0;0.0;1838.2656
2.8042047;4.5441995;5758.3926;-4509.991;1248.4014;13543.552;0.0;0.0;1838.2656
2.8044896;4.5453463;5758.7505;-4513.073;1245.6772;13549.159;0.0;0.0;1838.2656
2.804135;4.547467;5756.8696;-4514.2754;1242.5942;13564.62;0.0;0.0;1838.2656
2.8033707;4.5518913;5753.6606;-4512.5415;1241.1191;13595.436;0.0;0.0;1838.2656
2.8025196;4.5594354;5751.1826;-4508.297;1242.8857;13641.994;0.0;0.0;1838.2656
2.8022513;4.5675745;5751.0938;-4504.481;1246.6128;13687.06;0.0;0.0;1838.2656
2.8024867;4.5741286;5751.961;-4501.752;1250.209;13721.468;0.0;0.0;1838.2656
2.8025703;4.57993;5751.4956;-4499.002;1252.4937;13754.391;0.0;0.0;1838.2656
2.8021195;4.588208;5748.2627;-4493.1084;1255.1543;13806.511;0.0;0.0;1838.2656
2.8008647;4.6021338;5742.093;-4481.0244;1261.0684;13895.647;0.0;0.0;1838.2656
2.7992666;4.6217356;5737.113;-4463.8184;1273.2944;14013.707;0.0;0.0;1838.2656
2.799035;4.6398315;5740.117;-4449.53;1290.5874;14107.493;0.0;0.0;1838.2656
2.8013434;4.645733;5751.612;-4447.8535;1303.7583;14117.049;0.0;0.0;1838.2656
2.8045712;4.636622;5762.936;-4457.926;1305.0103;14044.155;0.0;0.0;1838.2656
2.8063848;4.6181784;5768.478;-4473.457;1295.021;13931.358;0.0;0.0;1838.2656
2.8069873;4.594762;5771.075;-4491.522;1279.5532;13797.029;0.0;0.0;1838.2656
2.8075514;4.56698;5773.516;-4512.363;1261.1533;13638.934;0.0;0.0;1838.2656
2.8079607;4.5371466;5773.869;-4534.0186;1239.8506;13473.703;0.0;0.0;1838.2656
2.8073921;4.509479;5770.1846;-4551.92;1218.2646;13328.493;0.0;0.0;1838.2656
2.805969;4.4876614;5764.422;-4564.074;1200.3477;13219.696;0.0;0.0;1838.2656
2.8046117;4.471244;5760.2886;-4572.17;1188.1187;13137.425;0.0;0.0;1838.2656
2.8040824;4.4562426;5759.6553;-4580.1064;1179.5488;13055.961;0.0;0.0;1838.2656
2.804253;4.44036;5761.1084;-4589.5522;1171.5562;12965.468;0.0;0.0;1838.2656
2.804566;4.421774;5763.177;-4601.283;1161.8936;12858.831;0.0;0.0;1838.2656
2.8048973;4.4008007;5764.58;-4614.9385;1149.6416;12740.362;0.0;0.0;1838.2656
2.8047066;4.380688;5763.4136;-4627.3604;1136.0532;12631.779;0.0;0.0;1838.2656
2.8038387;4.363659;5760.1045;-4636.7827;1123.3218;12544.483;0.0;0.0;1838.2656
2.8027098;4.3522825;5755.5723;-4641.929;1113.6431;12490.809;0.0;0.0;1838.2656
2.8012333;4.3484464;5748.843;-4640.6514;1108.1914;12483.113;0.0;0.0;1838.2656
2.7990677;4.356354;5739.6475;-4630.187;1109.4604;12545.113;0.0;0.0;1838.2656
2.7966664;4.3757195;5731.0254;-4611.173;1119.8525;12669.152;0.0;0.0;1838.2656
2.7950728;4.4024825;5726.27;-4587.658;1138.6118;12826.256;0.0;0.0;1838.2656
2.7946239;4.4317575;5725.5615;-4563.8115;1161.75;12989.118;0.0;0.0;1838.2656
2.7949338;4.460064;5727.5264;-4542.091;1185.4355;13141.293;0.0;0.0;1838.2656
2.7957025;4.4838486;5731.2217;-4524.476;1206.7456;13265.069;0.0;0.0;1838.2656
2.7967417;4.5019593;5735.8887;-4511.6465;1224.2422;13355.614;0.0;0.0;1838.2656
2.7978692;4.513633;5740.7783;-4503.7197;1237.0586;13410.212;0.0;0.0;1838.2656
2.7989666;4.5179424;5745.8604;-4501.1973;1244.6631;13423.814;0.0;0.0;1838.2656
2.8002365;4.514972;5751.9805;-4504.9126;1247.0679;13395.193;0.0;0.0;1838.2656
2.8018317;4.50338;5758.701;-4515.6855;1243.0156;13317.821;0.0;0.0;1838.2656
2.8032563;4.4850926;5763.289;-4531.497;1231.792;13207.797;0.0;0.0;1838.2656
2.803652;4.4651895;5762.984;-4547.215;1215.769;13098.644;0.0;0.0;1838.2656
2.8027623;4.449345;5758.917;-4558.556;1200.3608;13019.401;0.0;0.0;1838.2656
2.8016605;4.438436;5755.9785;-4567.121;1188.8574;12965.115;0.0;0.0;1838.2656
2.801453;4.4293723;5755.5195;-4575.9595;1179.56;12916.049;0.0;0.0;1838.2656
2.8012211;4.424507;5751.749;-4581.4385;1170.3105;12896.762;0.0;0.0;1838.2656
2.7991855;4.431527;5740.5586;-4575.734;1164.8247;12957.855;0.0;0.0;1838.2656
2.795674;4.456062;5726.0854;-4555.369;1170.7163;13122.105;0.0;0.0;1838.2656
2.7925484;4.495323;5715.54;-4524.3667;1191.1733;13359.713;0.0;0.0;1838.2656
2.7913172;4.5397444;5713.66;-4491.8057;1221.8545;13608.448;0.0;0.0;1838.2656
2.7924814;4.5788856;5720.285;-4466.5977;1253.6875;13811.055;0.0;0.0;1838.2656
2.795011;4.6072383;5729.667;-4451.208;1278.459;13948.649;0.0;0.0;1838.2656
2.7970307;4.626256;5735.4956;-4441.8154;1293.6802;14041.869;0.0;0.0;1838.2656
2.7974188;4.642301;5735.193;-4432.203;1302.9897;14130.961;0.0;0.0;1838.2656
2.796549;4.6595707;5732.896;-4419.8877;1313.0083;14230.794;0.0;0.0;1838.2656
2.7962573;4.675105;5734.385;-4409.2207;1325.1641;14313.484;0.0;0.0;1838.2656
2.797289;4.6830096;5740.06;-4404.9375;1335.1226;14345.727;0.0;0.0;1838.2656
2.7987137;4.683574;5744.3594;-4405.3174;1339.042;14340.241;0.0;0.0;1838.2656
