time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.151112e-05;5.2518534e-08
0.01;8.070793e-10;1.3451323e-08;3.1509146e-05;1.0503378e-07
0.015;3.228163e-09;3.5868478e-08;3.150374e-05;1.5754001e-07
0.02;7.262942e-09;6.052451e-08;3.149545e-05;2.1003243e-07
0.025;1.2910993e-08;8.607329e-08;3.1484775e-05;2.6250706e-07
0.03;2.0171747e-08;1.12065266e-07;3.147232e-05;3.1496091e-07
0.035;2.9044552e-08;1.3830739e-07;3.1458512e-05;3.6739178e-07
0.04;3.9528764e-08;1.647032e-07;3.1443724e-05;4.1979797e-07
0.045;5.162349e-08;1.911981e-07;3.1428175e-05;4.7217827e-07
0.05;6.532805e-08;2.1776017e-07;3.14123e-05;5.245321e-07
0.055;8.064158e-08;2.443684e-07;3.1396237e-05;5.768592e-07
0.06;9.7563024e-08;2.7100842e-07;3.138018e-05;6.2915944e-07
0.065;1.1609202e-07;2.9767185e-07;3.1364252e-05;6.814332e-07
0.07;1.3622726e-07;3.243506e-07;3.1348623e-05;7.336809e-07
0.075;1.5796837e-07;3.510408e-07;3.1333388e-05;7.8590324e-07
0.08;1.8131439e-07;3.7773833e-07;3.1318545e-05;8.381008e-07
0.085;2.062642e-07;4.0443962e-07;3.1304226e-05;8.902745e-07
0.09;2.3281748e-07;4.3114346e-07;3.129046e-05;9.424253e-07
0.095;2.6097356e-07;4.5784836e-07;3.127724e-05;9.945541e-07
0.1;2.9073158e-07;4.8455263e-07;3.126459e-05;1.0466616e-06
0.105;3.2209059e-07;5.112549e-07;3.1252555e-05;1.0987493e-06
0.11;3.550506e-07;5.3795543e-07;3.1241172e-05;1.1508179e-06
0.115;3.8961133e-07;5.646541e-07;3.1230324e-05;1.2028684e-06
0.12;4.257706e-07;5.9134805e-07;3.1220112e-05;1.2549019e-06
0.125;4.6352943e-07;6.180392e-07;3.1210442e-05;1.3069193e-06
0.13;5.0288764e-07;6.447278e-07;3.120139e-05;1.3589216e-06
0.135;5.4384236e-07;6.714103e-07;3.1192874e-05;1.4109098e-06
0.14;5.8639534e-07;6.980897e-07;3.1184885e-05;1.4628846e-06
0.145;6.305455e-07;7.2476496e-07;3.1177424e-05;1.514847e-06
0.15;6.7629173e-07;7.5143527e-07;3.1170428e-05;1.5667977e-06
0.155;7.2363486e-07;7.7810193e-07;3.1163905e-05;1.6187375e-06
0.16;7.725747e-07;8.0476536e-07;3.1157844e-05;1.6706673e-06
0.165;8.231108e-07;8.31425e-07;3.1152093e-05;1.7225874e-06
0.17;8.7524086e-07;8.5807926e-07;3.1146807e-05;1.7744987e-06
0.175;9.2896596e-07;8.847295e-07;3.1141844e-05;1.8264018e-06
0.18;9.842879e-07;9.113777e-07;3.113711e-05;1.878297e-06
0.185;1.0412034e-06;9.380211e-07;3.1132648e-05;1.9301847e-06
0.19;1.0997113e-06;9.646591e-07;3.1128387e-05;1.9820654e-06
0.195;1.1598189e-06;9.912983e-07;3.1124284e-05;2.0339392e-06
0.2;1.2215147e-06;1.0179289e-06;3.112029e-05;2.0858063e-06
0.205;1.2848066e-06;1.0445582e-06;3.1116386e-05;2.137667e-06
0.21;1.3496939e-06;1.0711857e-06;3.1112526e-05;2.1895212e-06
0.215;1.416171e-06;1.097807e-06;3.11086e-05;2.241369e-06
