time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;3.8995383;0.0064992304
0.01;9.7654556e-05;0.001627576;3.8863337;0.012976454
0.015;0.00038995358;0.0043328176;3.847099;0.019388285
0.02;0.00087492005;0.007291001;3.7829716;0.025693238
0.025;0.001549328;0.010328853;3.6957192;0.03185277
0.03;0.002408783;0.0133821275;3.5876231;0.03783214
0.035;0.0034478477;0.016418323;3.4613361;0.043601036
0.04;0.004660173;0.019417388;3.3197188;0.0491339
0.045;0.0060386383;0.022365326;3.1657102;0.054410085
0.05;0.007575503;0.025251677;3.0021977;0.059413746
0.055;0.009262562;0.02806837;2.8319552;0.064133674
0.06;0.011091276;0.0308091;2.657556;0.06856293
0.065;0.013052865;0.033468887;2.481357;0.072698526
0.07;0.015138529;0.036044117;2.3054578;0.076540954
0.075;0.01733944;0.03853209;2.1316938;0.08009378
0.08;0.01964689;0.040931024;1.9616374;0.083363175
0.085;0.022052309;0.04323982;1.7966177;0.08635754
0.09;0.024547504;0.04545834;1.637717;0.08908707
0.095;0.027124451;0.047586758;1.4858028;0.0915634
0.1;0.029775629;0.04962605;1.3415364;0.0937993
0.105;0.032493733;0.051577356;1.2053993;0.0958083
0.11;0.035271976;0.05344239;1.0777129;0.09760448
0.115;0.03810401;0.0552232;0.9586497;0.09920224
0.12;0.04098377;0.056921907;0.84826225;0.10061601
0.125;0.043905832;0.058541108;0.7464968;0.101860166
0.13;0.046865188;0.060083576;0.6532065;0.102948844
0.135;0.049856983;0.06155183;0.56817305;0.1038958
0.14;0.052877102;0.06294893;0.49111116;0.10471432
0.145;0.05592173;0.06427785;0.42169085;0.10541714
0.15;0.058987357;0.065541506;0.3595438;0.106016375
0.155;0.06207081;0.06674281;0.30427298;0.1065235
0.16;0.06516936;0.06788475;0.25546104;0.10694926
0.165;0.06828069;0.06897039;0.21268028;0.10730373
0.17;0.07140256;0.0700025;0.17549618;0.107596226
0.175;0.07453326;0.07098406;0.14347309;0.107835345
0.18;0.077671036;0.07191762;0.1161792;0.10802898
0.185;0.080814585;0.072805926;0.093191184;0.1081843
0.19;0.08396285;0.07365162;0.07409698;0.108307794
0.195;0.08711471;0.07445702;0.058499355;0.10840529
0.2;0.09026962;0.075224675;0.04601886;0.10848199
0.205;0.0934266;0.07595658;0.036295805;0.10854249
0.21;0.096585624;0.076655254;0.028992034;0.108590804
0.215;0.099746056;0.07732252;0.023792654;0.108630456
0.22;0.102907404;0.077960156;0.020406319;0.10866447
0.225;0.10606996;0.07857034;0.018565431;0.10869541
0.23;0.1092332;0.07915449;0.018026281;0.10872546
0.235;0.1123975;0.07971454;0.018567853;0.1087564
0.24;0.11556248;0.08025172;0.019991463;0.10878972
0.245;0.11872861;0.08076776;0.022119472;0.108826585
0.25;0.121895544;0.0812637;0.024793956;0.10886791
0.255;0.12506372;0.08174099;0.027875377;0.10891437
0.26;0.12823305;0.082200676;0.03124095;0.10896644
0.265;0.13140398;0.082644016;0.0347831;0.109024405
0.27;0.13457645;0.08307188;0.038408186;0.10908842
0.275;0.13775069;0.08348526;0.04203563;0.10915848
0.28;0.14092664;0.08388491;0.04559602;0.109234475
0.285;0.144105;0.08427193;0.049030755;0.10931619
0.29;0.14728558;0.08464689;0.052290272;0.10940334
0.295;0.15046863;0.08501053;0.055333715;0.109495565
0.3;0.15365416;0.08536342;0.058127765;0.109592445
0.305;0.15684268;0.085706376;0.06064617;0.10969352
0.31;0.16003354;0.086039536;0.06286902;0.109798305
0.315;0.16322756;0.08636379;0.06478241;0.10990628
0.32;0.16642466;0.08667952;0.06637821;0.110016905
0.325;0.16962498;0.086987175;0.06765347;0.11012966
0.33;0.17282821;0.08728697;0.068610154;0.11024401
0.335;0.17603475;0.087579474;0.0692548;0.11035944
0.34;0.17924471;0.087865055;0.069598384;0.110475436
0.345;0.18245798;0.08814395;0.0696558;0.11059152
0.35;0.18567422;0.08841629;0.0694456;0.11070727
0.355;0.18889411;0.08868268;0.06898926;0.11082225
0.36;0.19211698;0.08894304;0.06831128;0.110936105
0.365;0.195343;0.08919772;0.06743876;0.111048505
0.37;0.1985727;0.089447156;0.066399954;0.11115917
0.375;0.20180495;0.089691095;0.06522472;0.11126788
0.38;0.2050406;0.08993009;0.063943274;0.111374445
0.385;0.20827927;0.09016419;0.06258481;0.11147875
0.39;0.21152061;0.090393424;0.06117788;0.11158072
0.395;0.21476471;0.09061802;0.05974848;0.1116803
0.4;0.218012;0.090838335;0.05832031;0.1117775
0.405;0.22126134;0.09105405;0.056913644;0.11187236
0.41;0.22451389;0.091265805;0.055545453;0.11196493
0.415;0.22776866;0.091473356;0.054229215;0.11205532
0.42;0.23102571;0.09167687;0.05297518;0.112143606
0.425;0.23428535;0.0918766;0.051790904;0.11222993
0.43;0.23754793;0.092072845;0.050681226;0.112314396
0.435;0.24081226;0.09226523;0.04964899;0.11239714
0.44;0.24407904;0.09245418;0.04869554;0.1124783
0.445;0.24734813;0.09263975;0.04782087;0.112558
0.45;0.2506195;0.092822045;0.047023974;0.11263637
0.455;0.25389335;0.093001224;0.046303302;0.112713546
0.46;0.25716877;0.09317709;0.04565657;0.112789646
0.465;0.26044697;0.093350165;0.045081157;0.11286478
0.47;0.26372695;0.093520194;0.04457389;0.11293907
0.475;0.26700917;0.09368743;0.04413093;0.11301262
0.48;0.27029392;0.09385206;0.04374809;0.11308553
0.485;0.27358034;0.094013855;0.04342024;0.1131579
0.49;0.2768693;0.09417323;0.043141685;0.113229804
0.495;0.28016043;0.09433011;0.042905893;0.113301314
0.5;0.2834538;0.0944846;0.042705525;0.11337249
0.505;0.28674906;0.09463666;0.042532753;0.113443375
0.51;0.29004657;0.094786465;0.042379133;0.113514006
0.515;0.29334614;0.094934024;0.042236093;0.1135844
0.52;0.2966483;0.095079586;0.04209502;0.11365456
0.525;0.29995266;0.09522307;0.041947536;0.11372447
0.53;0.30325887;0.09536443;0.04178582;0.11379412
0.535;0.3065673;0.09550383;0.04160284;0.11386345
0.54;0.30987778;0.095641285;0.04139198;0.11393244
0.545;0.3131908;0.095777;0.041147713;0.11400102
0.55;0.31650573;0.095910825;0.04086524;0.11406913
0.555;0.31982192;0.09604262;0.040540572;0.114136696
0.56;0.3231414;0.09617303;0.040170334;0.11420365
0.565;0.326463;0.09630177;0.03975206;0.1142699
0.57;0.32978615;0.0964287;0.039284293;0.11433537
0.575;0.33311146;0.09655405;0.038766935;0.114399984
0.58;0.33643866;0.09667778;0.038201377;0.11446366
0.585;0.33976814;0.096800044;0.037590228;0.1145263
0.59;0.3430993;0.096920714;0.036937892;0.114587866
0.595;0.34643215;0.09703981;0.036249787;0.11464828
0.6;0.34976682;0.09715745;0.0355328;0.11470751
0.605;0.3531031;0.09727357;0.03479469;0.114765495
0.61;0.35644153;0.097388394;0.034044202;0.11482224
0.615;0.35978132;0.09750171;0.033290584;0.11487772
0.62;0.36312285;0.09761367;0.03254357;0.11493196
0.625;0.36646596;0.09772425;0.031812392;0.11498498
0.63;0.36981055;0.09783348;0.031106055;0.11503682
0.635;0.37315646;0.097941324;0.030432262;0.11508755
0.64;0.37650412;0.09804796;0.029797338;0.115137205
0.645;0.37985313;0.09815327;0.029205948;0.11518589
0.65;0.38320345;0.098257296;0.028661221;0.11523365
0.655;0.38655502;0.098360054;0.02816457;0.11528059
