radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;0.0
0.81;0.0
0.8200000000000001;0.0
0.8300000000000001;0.0
0.84;0.0
0.85;0.0
0.86;0.0
0.87;0.0
0.88;0.0
0.89;0.0
0.9;0.0
0.91;0.0
0.92;0.0
0.93;0.0
0.9400000000000001;0.0
0.9500000000000001;0.0
0.96;0.0
0.97;0.0
0.98;0.0
0.99;0.0
1.0;0.0
1.01;0.0
1.02;0.0
1.03;0.0
1.04;0.0
1.05;0.0
1.06;0.0
1.07;0.015767897
1.08;0.06849145
1.09;0.268595
1.1;0.64403063
1.11;1.211446
1.12;1.6959549
1.1300000000000001;2.0402846
1.1400000000000001;2.5494726
1.1500000000000001;2.9392555
1.16;3.395452
1.17;3.9152489
1.18;4.613645
1.19;5.346397
1.2;6.446042
1.21;8.044419
1.22;10.016461
1.23;9.391789
1.24;5.9686103
1.25;3.6074505
1.26;2.3184142
1.27;1.6402751
1.28;1.1729517
1.29;0.9214569
1.3;0.7460071
1.31;0.6153055
1.32;0.52688664
1.33;0.4383281
1.34;0.3806643
1.35;0.34621975
1.36;0.30914456
1.37;0.25759915
1.3800000000000001;0.2485628
1.3900000000000001;0.22826177
1.4000000000000001;0.21673378
1.41;0.20218687
1.42;0.19053105
1.43;0.17493214
1.44;0.16428445
1.45;0.154264
1.46;0.14725497
1.47;0.14782175
1.48;0.14604495
1.49;0.14131467
1.5;0.13651128
1.51;0.13806628
1.52;0.1489366
1.53;0.15796451
1.54;0.15926218
1.55;0.17164285
1.56;0.19331324
1.57;0.22004364
1.58;0.22425626
1.59;0.26174343
1.6;0.2848242
1.61;0.32341114
1.62;0.36818528
1.6300000000000001;0.40884912
1.6400000000000001;0.4535927
1.6500000000000001;0.48669744
1.6600000000000001;0.5473198
1.67;0.61325353
1.68;0.7022632
1.69;0.82065326
1.7;0.9677301
1.71;1.233695
1.72;1.451968
1.73;1.7961274
1.74;1.8223505
1.75;1.5275704
1.76;1.2118603
1.77;0.8845616
1.78;0.68920815
1.79;0.51655304
1.8;0.41942
1.81;0.35969388
1.82;0.31613553
1.83;0.28973818
1.84;0.25845802
1.85;0.2498244
1.86;0.23887658
1.87;0.2388838
1.8800000000000001;0.24945404
1.8900000000000001;0.2574464
1.9000000000000001;0.27792004
1.9100000000000001;0.30703905
1.92;0.34373593
1.93;0.36693507
1.94;0.42431474
1.95;0.47362757
1.96;0.54537
1.97;0.6308599
1.98;0.70770365
1.99;0.79723024
2.0;0.8787168
2.0100000000000002;0.95919204
2.02;1.0594581
2.0300000000000002;1.1575083
2.04;1.2874635
2.05;1.4108512
2.06;1.6051011
2.07;1.8183719
2.08;2.0873406
2.09;2.4479377
2.1;2.9305503
2.11;3.5048432
