radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;1.2142558e-05
0.81;4.7378373e-05
0.8200000000000001;0.0002658216
0.8300000000000001;0.0011844685
0.84;0.0048680417
0.85;0.012842807
0.86;0.029904315
0.87;0.064118005
0.88;0.11747209
0.89;0.20287345
0.9;0.3169794
0.91;0.45624188
0.92;0.62762165
0.93;0.8139978
0.9400000000000001;1.0041574
0.9500000000000001;1.1995177
0.96;1.37626
0.97;1.5379912
0.98;1.685214
0.99;1.8046167
1.0;1.8962587
1.01;1.9661447
1.02;2.020416
1.03;2.05349
1.04;2.0601642
1.05;2.060237
1.06;2.0460277
1.07;2.0172496
1.08;1.9842191
1.09;1.9483478
1.1;1.8926345
1.11;1.8508085
1.12;1.8066646
1.1300000000000001;1.7625368
1.1400000000000001;1.7065412
1.1500000000000001;1.6612129
1.16;1.6097264
1.17;1.5598482
1.18;1.5126635
1.19;1.4593148
1.2;1.4153259
1.21;1.3769276
1.22;1.3365846
1.23;1.3008841
1.24;1.2646592
1.25;1.2315104
1.26;1.1971365
1.27;1.170288
1.28;1.1412878
1.29;1.1129391
1.3;1.0887519
1.31;1.0677589
1.32;1.0452198
1.33;1.0190216
1.34;0.99947697
1.35;0.97619593
1.36;0.96524125
1.37;0.94928044
1.3800000000000001;0.92881954
1.3900000000000001;0.90985656
1.4000000000000001;0.89350164
1.41;0.88567036
1.42;0.87128395
1.43;0.8594794
1.44;0.85111934
1.45;0.843814
1.46;0.8359263
1.47;0.8278106
1.48;0.8272984
1.49;0.8205639
1.5;0.8145313
1.51;0.8122869
1.52;0.8074173
1.53;0.8055543
1.54;0.80089504
1.55;0.8000963
1.56;0.8008655
1.57;0.7991435
1.58;0.79791254
1.59;0.7966325
1.6;0.79816777
1.61;0.80029535
1.62;0.80486745
1.6300000000000001;0.8056705
1.6400000000000001;0.8107822
1.6500000000000001;0.81525236
1.6600000000000001;0.82028854
1.67;0.8264727
1.68;0.8321769
1.69;0.8422131
1.7;0.8476674
1.71;0.85125226
1.72;0.86191463
1.73;0.86991346
1.74;0.8771659
1.75;0.8875869
1.76;0.8979147
1.77;0.90550274
1.78;0.9153941
1.79;0.9306565
1.8;0.9354127
1.81;0.94794744
1.82;0.95916754
1.83;0.9670407
1.84;0.977046
1.85;0.9892305
1.86;0.9995584
1.87;1.0080345
1.8800000000000001;1.0202798
1.8900000000000001;1.0312
1.9000000000000001;1.0412394
1.9100000000000001;1.0479889
1.92;1.0583851
1.93;1.0676349
1.94;1.0737427
1.95;1.0809354
1.96;1.0889454
1.97;1.0954394
1.98;1.1006573
1.99;1.1046067
2.0;1.1043279
2.0100000000000002;1.1062274
2.02;1.1121972
2.0300000000000002;1.1157316
2.04;1.1217827
2.05;1.120981
