x;y;z;v_x;v_y;v_z;a_x;a_y;a_z;L_x;L_y;L_z;particles_number;time
-3.4656048;0.927942;3.6792898;3.219387;-1.9546987;0.6861984;-1.979759;32.353275;23.29934;12.25;12.25;12.25;1372;199.9999999998906
2.6633692;1.7002485;2.346874;0.38730186;1.1118542;0.63562554;21.564814;12.0448265;10.889849;12.25;12.25;12.25;1372;199.9999999998906
-5.7905836;-2.792942;4.763389;1.5118852;0.2355959;-0.28394657;9.440291;9.298068;-6.967313;12.25;12.25;12.25;1372;199.9999999998906
1.6591676;3.0985825;-5.194256;1.8469235;-0.3149149;-4.3919754;37.6894;-15.774696;-5.414284;12.25;12.25;12.25;1372;199.9999999998906
0.8590118;-0.50957835;-4.63556;-2.1556666;-0.3818183;1.6861647;32.80395;17.161415;-41.86334;12.25;12.25;12.25;1372;199.9999999998906
1.1433668;-4.4411464;3.1806319;-0.7660656;-2.1387777;3.2618225;75.23467;-59.379013;5.472344;12.25;12.25;12.25;1372;199.9999999998906
2.0855796;-3.02499;1.1013404;1.3673807;0.7379287;-2.44206;55.373413;19.0859;5.942795;12.25;12.25;12.25;1372;199.9999999998906
1.4861456;5.0476203;-4.251165;-0.4470816;-2.916324;-1.8879699;9.960277;15.539939;15.3992405;12.25;12.25;12.25;1372;199.9999999998906
4.038866;-3.9709718;-1.8705343;-0.11018185;0.21716025;0.85471815;15.837242;-46.53031;13.722111;12.25;12.25;12.25;1372;199.9999999998906
-1.1381098;1.9917055;5.346928;-3.7910678;-0.7875851;-0.48746246;-15.1856785;43.740574;-48.204346;12.25;12.25;12.25;1372;199.9999999998906
5.136909;3.1996334;2.4968643;-0.23390421;-0.54397285;0.72112453;8.890963;-42.618683;-41.634777;12.25;12.25;12.25;1372;199.9999999998906
-4.661138;3.9027755;-5.17614;1.0317577;2.4383242;0.5388723;-2.169119;43.23876;-88.064125;12.25;12.25;12.25;1372;199.9999999998906
-2.1779447;3.8060296;-4.3043;0.7180784;-2.2562673;1.1974976;-28.460323;-15.525842;-16.290314;12.25;12.25;12.25;1372;199.9999999998906
-3.1548893;-4.0626407;-0.29523852;-3.2029562;0.44126207;-1.4679867;1.2866241;22.014088;-4.4496403;12.25;12.25;12.25;1372;199.9999999998906
1.6486164;4.3115025;-2.4721835;1.3972187;-1.9540936;0.3438879;34.519615;11.009977;-4.3156247;12.25;12.25;12.25;1372;199.9999999998906
-2.4393437;3.4248493;-0.07716461;0.22698134;0.15221535;1.6164651;-35.92248;39.801964;12.796495;12.25;12.25;12.25;1372;199.9999999998906
2.8759193;5.3382044;4.6015887;-0.7359599;-2.56344;0.608732;16.663597;25.738281;-12.18132;12.25;12.25;12.25;1372;199.9999999998906
