temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
0.00011;-2.9391608;0.22634916;-7380.813;-7380.5864;-16209.328;0.0;0.0;1838.2656
0.00020997929;-2.9390788;0.43198556;-7380.6343;-7380.202;-16209.286;0.0;0.0;1838.2656
0.00030991036;-2.939001;0.6374155;-7380.632;-7379.9946;-16209.269;0.0;0.0;1838.2656
0.0004097876;-2.9389243;0.842633;-7380.6445;-7379.802;-16209.256;0.0;0.0;1838.2656
0.0005096151;-2.9388423;1.0476472;-7380.64;-7379.5923;-16209.213;0.0;0.0;1838.2656
0.00060939364;-2.9387543;1.2524581;-7380.641;-7379.3887;-16209.138;0.0;0.0;1838.2656
0.0007091222;-2.938664;1.4570656;-7380.622;-7379.165;-16209.05;0.0;0.0;1838.2656
0.00080880156;-2.9385674;1.66147;-7380.6245;-7378.963;-16208.925;0.0;0.0;1838.2656
0.00090843154;-2.9384625;1.8656735;-7380.617;-7378.7515;-16208.755;0.0;0.0;1838.2656
0.0010080131;-2.9383523;2.069676;-7380.6133;-7378.5435;-16208.557;0.0;0.0;1838.2656
0.0011075453;-2.9382327;2.273477;-7380.601;-7378.3276;-16208.304;0.0;0.0;1838.2656
0.001207029;-2.9381037;2.4770792;-7380.585;-7378.108;-16208.0;0.0;0.0;1838.2656
0.0013064643;-2.9379642;2.6804829;-7380.578;-7377.8975;-16207.638;0.0;0.0;1838.2656
0.001405851;-2.9378133;2.8836856;-7380.546;-7377.662;-16207.21;0.0;0.0;1838.2656
0.0015051891;-2.9376507;3.086689;-7380.5376;-7377.4507;-16206.72;0.0;0.0;1838.2656
0.0016044788;-2.937475;3.2894964;-7380.517;-7377.2275;-16206.157;0.0;0.0;1838.2656
0.0017037209;-2.9372878;3.4921064;-7380.489;-7376.9966;-16205.529;0.0;0.0;1838.2656
0.001802915;-2.9370837;3.6945195;-7380.4536;-7376.7593;-16204.809;0.0;0.0;1838.2656
0.001902061;-2.9368634;3.896736;-7380.4214;-7376.5244;-16203.999;0.0;0.0;1838.2656
0.0020011598;-2.9366276;4.098759;-7380.3853;-7376.2866;-16203.102;0.0;0.0;1838.2656
0.0021002113;-2.936375;4.3005877;-7380.345;-7376.0444;-16202.113;0.0;0.0;1838.2656
0.0021992147;-2.9361038;4.502221;-7380.304;-7375.802;-16201.0205;0.0;0.0;1838.2656
0.0022981719;-2.9358149;4.703663;-7380.252;-7375.5483;-16199.83;0.0;0.0;1838.2656
0.0023970818;-2.935505;4.904909;-7380.1987;-7375.294;-16198.523;0.0;0.0;1838.2656
0.0024959438;-2.9351761;5.1059613;-7380.1543;-7375.0483;-16197.112;0.0;0.0;1838.2656
0.0025947595;-2.9348226;5.3068233;-7380.0654;-7374.759;-16195.563;0.0;0.0;1838.2656
0.0026935285;-2.934451;5.507497;-7380.0166;-7374.5093;-16193.917;0.0;0.0;1838.2656
0.0027922522;-2.9340525;5.7079835;-7379.9277;-7374.2197;-16192.12;0.0;0.0;1838.2656
0.0028909298;-2.933623;5.9083033;-7379.873;-7373.965;-16190.151;0.0;0.0;1838.2656
0.0029895734;-2.9331346;6.1085653;-7379.7764;-7373.668;-16187.858;0.0;0.0;1838.2656
0.0030882233;-2.9326463;6.3086677;-7379.698;-7373.3896;-16185.565;0.0;0.0;1838.2656
0.003186788;-2.9320967;6.5086;-7379.5986;-7373.09;-16182.935;0.0;0.0;1838.2656
0.003285356;-2.9315188;6.7084446;-7379.4766;-7372.768;-16180.146;0.0;0.0;1838.2656
0.003383878;-2.9309144;6.9080973;-7379.376;-7372.468;-16177.213;0.0;0.0;1838.2656
0.0034823534;-2.9302185;7.107717;-7379.261;-7372.1533;-16173.775;0.0;0.0;1838.2656
0.0035808599;-2.92953;7.3072195;-7379.1475;-7371.8403;-16170.377;0.0;0.0;1838.2656
0.0036792771;-2.9287856;7.5065174;-7379.0293;-7371.523;-16166.67;0.0;0.0;1838.2656
0.003777685;-2.92792;7.705903;-7378.893;-7371.187;-16162.296;0.0;0.0;1838.2656
0.0038761466;-2.9270785;7.90519;-7378.7637;-7370.8584;-16158.054;0.0;0.0;1838.2656
0.0039745052;-2.9261305;8.104339;-7378.6045;-7370.5;-16153.224;0.0;0.0;1838.2656
0.0040729013;-2.9251282;8.303529;-7378.4644;-7370.1606;-16148.096;0.0;0.0;1838.2656
0.0041712816;-2.9240816;8.502626;-7378.288;-7369.7856;-16142.721;0.0;0.0;1838.2656
0.004269632;-2.9229813;8.701603;-7378.1353;-7369.4336;-16137.052;0.0;0.0;1838.2656
0.004367954;-2.921777;8.900587;-7377.963;-7369.0625;-16130.808;0.0;0.0;1838.2656
0.0044663087;-2.9204876;9.099674;-7377.785;-7368.6855;-16124.096;0.0;0.0;1838.2656
0.004564683;-2.919169;9.2987;-7377.5996;-7368.301;-16117.221;0.0;0.0;1838.2656
0.0046630073;-2.917885;9.497427;-7377.3955;-7367.898;-16110.538;0.0;0.0;1838.2656
0.0047612363;-2.9165378;9.695951;-7377.1973;-7367.5015;-16103.505;0.0;0.0;1838.2656
0.0048594633;-2.9150555;9.894576;-7376.998;-7367.1035;-16095.728;0.0;0.0;1838.2656
0.004957741;-2.9134817;10.093343;-7376.781;-7366.6875;-16087.446;0.0;0.0;1838.2656
0.005056041;-2.9119327;10.292003;-7376.573;-7366.2812;-16079.302;0.0;0.0;1838.2656
0.005154267;-2.91044;10.490328;-7376.343;-7365.8525;-16071.466;0.0;0.0;1838.2656
0.0052524046;-2.9086742;10.688822;-7376.109;-7365.42;-16062.126;0.0;0.0;1838.2656
0.005350714;-2.9069285;10.8875475;-7375.874;-7364.9863;-16052.8955;0.0;0.0;1838.2656
0.0054489663;-2.9052048;11.086069;-7375.61;-7364.524;-16043.786;0.0;0.0;1838.2656
0.005547179;-2.9033797;11.284607;-7375.366;-7364.0815;-16034.118;0.0;0.0;1838.2656
0.005645441;-2.9015226;11.483257;-7375.1006;-7363.617;-16024.274;0.0;0.0;1838.2656
0.0057437113;-2.89969;11.681859;-7374.826;-7363.1445;-16014.564;0.0;0.0;1838.2656
0.0058419504;-2.8977022;11.8806;-7374.564;-7362.6836;-16004.0;0.0;0.0;1838.2656
0.005940291;-2.895838;12.079359;-7374.2617;-7362.182;-15994.117;0.0;0.0;1838.2656
0.006038541;-2.8939555;12.278017;-7373.9785;-7361.7007;-15984.133;0.0;0.0;1838.2656
0.006136836;-2.891899;12.477007;-7373.6816;-7361.2046;-15973.189;0.0;0.0;1838.2656
0.0062352517;-2.8898473;12.676301;-7373.387;-7360.711;-15962.272;0.0;0.0;1838.2656
0.006333696;-2.887812;12.875717;-7373.0713;-7360.196;-15951.447;0.0;0.0;1838.2656
0.0064321756;-2.8857427;13.075361;-7372.748;-7359.673;-15940.435;0.0;0.0;1838.2656
0.0065307366;-2.8836648;13.275296;-7372.4346;-7359.159;-15929.376;0.0;0.0;1838.2656
0.006629359;-2.881494;13.47561;-7372.1055;-7358.63;-15917.805;0.0;0.0;1838.2656
0.006728109;-2.879234;13.676506;-7371.7734;-7358.097;-15905.744;0.0;0.0;1838.2656
0.0068270224;-2.877013;13.877865;-7371.4355;-7357.5576;-15893.898;0.0;0.0;1838.2656
0.0069260015;-2.8748033;14.079544;-7371.091;-7357.011;-15882.115;0.0;0.0;1838.2656
0.0070250737;-2.8725083;14.2818;-7370.748;-7356.4663;-15869.863;0.0;0.0;1838.2656
0.0071243416;-2.8702543;14.484629;-7370.415;-7355.93;-15857.838;0.0;0.0;1838.2656
0.007223696;-2.8679407;14.688037;-7370.048;-7355.36;-15845.486;0.0;0.0;1838.2656
0.007323251;-2.8656476;14.892113;-7369.71;-7354.818;-15833.248;0.0;0.0;1838.2656
0.0074229357;-2.8632157;15.097019;-7369.3477;-7354.2505;-15820.248;0.0;0.0;1838.2656
0.007522901;-2.860821;15.302803;-7369.01;-7353.707;-15807.453;0.0;0.0;1838.2656
0.007623019;-2.8583367;15.50935;-7368.659;-7353.15;-15794.165;0.0;0.0;1838.2656
0.007723356;-2.855975;15.7166;-7368.2905;-7352.5737;-15781.555;0.0;0.0;1838.2656
0.007823822;-2.8536296;15.924505;-7367.955;-7352.031;-15769.037;0.0;0.0;1838.2656
0.007924481;-2.851175;16.133392;-7367.604;-7351.4707;-15755.918;0.0;0.0;1838.2656
0.00802543;-2.8487012;16.343355;-7367.265;-7350.922;-15742.695;0.0;0.0;1838.2656
0.008126617;-2.84628;16.55423;-7366.922;-7350.3677;-15729.766;0.0;0.0;1838.2656
0.008228012;-2.8438182;16.765985;-7366.5977;-7349.8315;-15716.612;0.0;0.0;1838.2656
0.00832963;-2.8413904;16.9787;-7366.2754;-7349.297;-15703.648;0.0;0.0;1838.2656
0.00843149;-2.8389351;17.192368;-7365.954;-7348.7617;-15690.536;0.0;0.0;1838.2656
0.008533576;-2.836474;17.406979;-7365.6426;-7348.236;-15677.392;0.0;0.0;1838.2656
