time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;1.495093;0.0024918215
0.01;3.7430804e-05;0.0006238468;1.4908442;0.004976562
0.015;0.00014951002;0.0016612224;1.4781662;0.0074401726
0.02;0.00033560148;0.002796679;1.4572448;0.009868913
0.025;0.0005946552;0.003964368;1.428386;0.012249557
0.03;0.00092522346;0.0051401304;1.3919996;0.014569556
0.035;0.0013254808;0.006311813;1.3485937;0.016817212
0.04;0.0017932478;0.007471866;1.2987546;0.018981803
0.045;0.002326028;0.008614918;1.2431277;0.021053683
0.05;0.0029210318;0.009736773;1.1824099;0.023024365
0.055;0.0035752135;0.0108339805;1.1173196;0.024886565
0.06;0.004285311;0.011903642;1.0485941;0.026634222
0.065;0.005047872;0.012943263;0.97697383;0.028262513
0.07;0.005859315;0.01395075;0.90318084;0.029767813
0.075;0.0067159445;0.014924321;0.827924;0.031147687
0.08;0.0076139853;0.01586247;0.75187635;0.032400813
0.085;0.008549633;0.016763987;0.675678;0.033526946
0.09;0.009519066;0.017627899;0.5999258;0.03452682
0.095;0.01051851;0.018453525;0.5251678;0.0354021
0.1;0.011544188;0.019240312;0.45190722;0.03615528
0.105;0.012592447;0.019988012;0.38059488;0.036789604
0.11;0.013659734;0.020696567;0.31162938;0.037308987
0.115;0.014742589;0.021366071;0.24536054;0.03771792
0.12;0.015837682;0.021996783;0.18208627;0.038021397
0.125;0.016941868;0.022589156;0.12205524;0.038224824
0.13;0.018052133;0.02314376;0.06546998;0.038333938
0.135;0.019165637;0.023661278;0.012487366;0.03835475
0.14;0.02027975;0.02414256;-0.03677865;0.038293455
0.145;0.021391954;0.024588453;-0.08225408;0.038156364
0.15;0.022500023;0.025000025;-0.12390282;0.03794986
0.155;0.023601845;0.025378326;-0.16172265;0.03768032
0.16;0.024695633;0.025724618;-0.19574378;0.037354082
0.165;0.025779529;0.026039928;-0.22602409;0.036977373
0.17;0.026852021;0.02632551;-0.25264853;0.036556292
0.175;0.027911937;0.026582796;-0.27572456;0.03609675
0.18;0.028957976;0.026812939;-0.29537985;0.035604455
0.185;0.029989175;0.027017275;-0.31175902;0.035084855
0.19;0.031004775;0.027197171;-0.32502282;0.03454315
0.195;0.032004066;0.027353903;-0.33534148;0.033984248
0.2;0.03298659;0.027488824;-0.34289977;0.033412747
0.205;0.033951797;0.027603086;-0.34788567;0.03283294
0.21;0.034899693;0.02769817;-0.3504951;0.03224878
0.215;0.035829987;0.027775183;-0.35092694;0.031663902
0.22;0.036742646;0.027835337;-0.3493817;0.031081598
0.225;0.03763786;0.027879898;-0.34605908;0.030504834
0.23;0.03851573;0.02790995;-0.34115624;0.029936241
0.235;0.03937649;0.027926588;-0.33486885;0.029378125
0.24;0.040220484;0.027930893;-0.32738593;0.028832482
0.245;0.041048117;0.027923888;-0.31889006;0.028300999
0.25;0.041859787;0.027906524;-0.30955806;0.027785068
0.255;0.042656;0.02787974;-0.29955682;0.027285807
0.26;0.043437302;0.027844425;-0.28904483;0.026804065
0.265;0.044204026;0.027801275;-0.27817035;0.02634045
0.27;0.044956904;0.027751174;-0.26707143;0.02589533
0.275;0.04569644;0.027694812;-0.25587514;0.025468871
0.28;0.046423182;0.027632846;-0.24469747;0.025061041
0.285;0.047137808;0.02756597;-0.23364268;0.024671638
0.29;0.04784064;0.02749462;-0.22280361;0.024300298
0.295;0.04853246;0.02741947;-0.21226184;0.02394653
0.3;0.049213562;0.027340867;-0.20208746;0.023609716
0.305;0.04988466;0.027259374;-0.19233993;0.02328915
0.31;0.050546203;0.027175376;-0.18306728;0.022984037
0.315;0.051198468;0.027089138;-0.17430748;0.022693524
0.32;0.051842112;0.0270011;-0.16608866;0.02241671
0.325;0.052477535;0.026911559;-0.15842927;0.022152662
0.33;0.053104933;0.026820673;-0.15133883;0.02190043
0.335;0.053724915;0.026728813;-0.14481948;0.021659065
0.34;0.054337587;0.026636072;-0.13886502;0.021427622
0.345;0.054943345;0.02654268;-0.13346326;0.021205183
0.35;0.055542435;0.026448779;-0.12859488;0.02099086
0.355;0.056135062;0.026354492;-0.124236606;0.020783799
0.36;0.056721557;0.02625998;-0.12035942;0.0205832
0.365;0.05730205;0.026165318;-0.11693125;0.020388315
