time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;4.49633;0.007493883
0.01;0.00011261842;0.0018769738;4.479695;0.014960041
0.015;0.00044963547;0.0049959496;4.4303517;0.022343962
0.02;0.0010085632;0.008404694;4.3498855;0.02959377
0.025;0.0017853451;0.011902302;4.240791;0.036661755
0.03;0.002774486;0.015413812;4.1062584;0.04350552
0.035;0.003969211;0.018901005;3.9498916;0.05008867
0.04;0.0053616534;0.022340223;3.7755356;0.05638123
0.045;0.0069430433;0.025714975;3.587084;0.062359706
0.05;0.008703909;0.029013028;3.3882759;0.06800683
0.055;0.010634265;0.032225046;3.1826468;0.07331124
0.06;0.012723787;0.035343852;2.9734113;0.078266926
0.065;0.014961985;0.038364064;2.7634566;0.08287269
0.07;0.017338322;0.041281722;2.555301;0.08713152
0.075;0.019842358;0.044094127;2.351103;0.09105003
0.08;0.022463813;0.04679961;2.1526613;0.0946378
0.085;0.025192847;0.049397737;1.9614545;0.09790689
0.09;0.028019803;0.05188852;1.7786579;0.10087132
0.095;0.03093553;0.054272857;1.6051587;0.10354658
0.1;0.033931363;0.056552272;1.44161;0.10594927
0.105;0.0369991;0.05872873;1.2884352;0.10809666
0.11;0.040131144;0.060804766;1.1458669;0.11000644
0.115;0.043320302;0.06278305;1.0139718;0.111696385
0.12;0.046559963;0.064666614;0.89267546;0.113184184
0.125;0.04984417;0.066458896;0.78178525;0.114487156
0.13;0.05316723;0.06816312;0.6810061;0.11562216
0.135;0.05652418;0.069782935;0.5899655;0.116605446
0.14;0.059910517;0.071322046;0.5082278;0.11745249
0.145;0.06332199;0.0727839;0.4353099;0.118178
0.15;0.06675518;0.07417242;0.37069348;0.11879583
0.155;0.07020666;0.07549103;0.31383616;0.11931889
0.16;0.07367377;0.07674351;0.26418635;0.1197592
0.165;0.07715393;0.07793326;0.22118482;0.12012784
0.17;0.08064494;0.07906367;0.18427868;0.12043497
0.175;0.08414509;0.080138184;0.15292235;0.12068984
0.18;0.08765253;0.08115975;0.12658681;0.12090082
0.185;0.09116641;0.0821319;0.10475964;0.12107542
0.19;0.09468513;0.083057135;0.086951956;0.121220335
0.195;0.09820826;0.083938695;0.072699584;0.121341504
0.2;0.10173486;0.08477905;0.061565313;0.12144411
0.205;0.10526449;0.085580885;0.053140253;0.12153268
0.21;0.10879653;0.086346455;0.047045026;0.12161109
0.215;0.112330966;0.087078266;0.04293045;0.12168264
0.22;0.11586725;0.08777822;0.04047743;0.1217501
0.225;0.11940567;0.08844865;0.039397333;0.12181576
0.23;0.12294593;0.08909125;0.03943155;0.121881485
0.235;0.12648791;0.08970774;0.04035039;0.121948734
0.24;0.13003203;0.09030002;0.041952353;0.12201866
0.245;0.13357809;0.09086945;0.04406281;0.12209209
0.25;0.13712606;0.09141737;0.04653196;0.12216964
0.255;0.14067656;0.09194546;0.04923295;0.122251704
0.26;0.14422923;0.092454635;0.05205995;0.12233847
0.265;0.14778452;0.092946246;0.05492534;0.12243001
0.27;0.15134257;0.09342134;0.057758305;0.12252627
0.275;0.15490328;0.09388077;0.060502175;0.12262711
