time;temperature;pressure;kinetic_energy;potential_energy;total_energy;virial;msd;diffusion;volume
200.005;2.8122468;4.448466;5778.744;-4539.6636;1239.0806;12974.898;0.0;0.0;1838.2656
200.01;2.8186376;4.438243;5789.8784;-4551.0723;1238.806;12896.252;0.0;0.0;1838.2656
200.015;2.822652;4.4339232;5794.8926;-4555.998;1238.8945;12862.401;0.0;0.0;1838.2656
200.02;2.8235621;4.4340563;5795.5063;-4556.2266;1239.28;12861.907;0.0;0.0;1838.2656
200.025;2.8235152;4.434655;5796.3896;-4556.9688;1239.4207;12863.442;0.0;0.0;1838.2656
200.03;2.8245296;4.4341464;5799.5215;-4560.3525;1239.169;12854.375;0.0;0.0;1838.2656
200.035;2.826286;4.43575;5801.333;-4562.5933;1238.7397;12859.595;0.0;0.0;1838.2656
200.04;2.82577;4.445525;5795.5195;-4556.9336;1238.5858;12925.13;0.0;0.0;1838.2656
200.045;2.820347;4.465795;5778.837;-4540.1235;1238.7135;13070.278;0.0;0.0;1838.2656
200.05;2.8095007;4.4965925;5750.848;-4512.079;1238.7692;13296.097;0.0;0.0;1838.2656
200.055;2.7933373;4.5357766;5713.9883;-4474.8022;1239.1862;13585.909;0.0;0.0;1838.2656
200.06;2.7743137;4.5758753;5676.383;-4436.5156;1239.867;13882.257;0.0;0.0;1838.2656
200.065;2.7575805;4.606943;5648.3325;-4408.1143;1240.2185;14109.689;0.0;0.0;1838.2656
200.07;2.747542;4.623243;5636.079;-4395.866;1240.2128;14224.087;0.0;0.0;1838.2656
200.075;2.745816;4.623661;5641.2207;-4400.9414;1240.2793;14216.109;0.0;0.0;1838.2656
200.08;2.752461;4.6079187;5662.862;-4422.878;1239.9841;14086.012;0.0;0.0;1838.2656
200.085;2.766482;4.5801373;5696.9395;-4457.407;1239.5325;13864.646;0.0;0.0;1838.2656
200.09;2.7849467;4.5477247;5736.0596;-4496.8726;1239.1869;13607.66;0.0;0.0;1838.2656
200.095;2.8038642;4.5167413;5772.6343;-4533.748;1238.886;13363.642;0.0;0.0;1838.2656
200.1;2.8200333;4.4921966;5801.2334;-4562.5693;1238.6641;13171.085;0.0;0.0;1838.2656
200.105;2.8313427;4.4779925;5818.0225;-4579.539;1238.4833;13059.176;0.0;0.0;1838.2656
200.11;2.8362014;4.4758873;5821.407;-4582.6504;1238.7567;13040.794;0.0;0.0;1838.2656
200.115;2.834846;4.482956;5814.5996;-4575.489;1239.1111;13093.393;0.0;0.0;1838.2656
200.12;2.830008;4.4944024;5803.227;-4563.989;1239.2384;13179.262;0.0;0.0;1838.2656
200.125;2.8240192;4.5078864;5789.404;-4550.4136;1238.9901;13281.271;0.0;0.0;1838.2656
200.13;2.8165596;4.5253086;5771.0356;-4532.2207;1238.8147;13414.088;0.0;0.0;1838.2656
200.135;2.8061857;4.548011;5746.234;-4507.3457;1238.8881;13588.888;0.0;0.0;1838.2656
200.14;2.7926776;4.5743976;5716.748;-4477.523;1239.2251;13793.377;0.0;0.0;1838.2656
200.145;2.7779744;4.599156;5688.651;-4448.827;1239.824;13986.109;0.0;0.0;1838.2656
200.15;2.7658703;4.6148725;5669.7495;-4429.593;1240.1565;14110.585;0.0;0.0;1838.2656
200.155;2.759832;4.6179094;5664.571;-4424.449;1240.1217;14137.691;0.0;0.0;1838.2656
200.16;2.7606552;4.608935;5671.751;-4431.9927;1239.7582;14073.838;0.0;0.0;1838.2656
200.165;2.76636;4.5936017;5686.0107;-4446.5615;1239.4492;13960.759;0.0;0.0;1838.2656
200.17;2.7740722;4.5763946;5702.1406;-4462.892;1239.2487;13833.604;0.0;0.0;1838.2656
200.175;2.7817419;4.560233;5717.0386;-4477.848;1239.1902;13714.682;0.0;0.0;1838.2656
