time;msd;einstein_diffusion;vaf;gk_diffusion
0.005;0.0;0.0;8.359585;0.013932642
0.01;0.00020954761;0.0034924601;8.315759;0.02779224
0.015;0.00083596807;0.0092885345;8.186524;0.041436445
0.02;0.0018727146;0.015605956;7.9787407;0.05473435
0.025;0.0033092792;0.02206186;7.7025337;0.0675719
0.03;0.005131687;0.028509373;7.370029;0.079855286
0.035;0.007323161;0.034872193;6.9940243;0.091511995
0.04;0.009864747;0.04110311;6.5870376;0.10249039
0.045;0.01273595;0.04717018;6.160627;0.1127581
0.05;0.015915327;0.05305109;5.7249765;0.12229973
0.055;0.01938095;0.05873015;5.2887793;0.13111436
0.06;0.023111014;0.064197265;4.859252;0.13921311
0.065;0.027083846;0.06944576;4.4421225;0.14661665
0.07;0.031278633;0.074472934;4.041876;0.15335311
0.075;0.035675257;0.07927835;3.6618183;0.15945613
0.08;0.040254746;0.083864056;3.304263;0.16496325
0.085;0.044999182;0.088233694;2.9706957;0.16991441
0.09;0.04989176;0.09239214;2.6619039;0.17435092
0.095;0.054917272;0.096346095;2.378092;0.1783144
0.1;0.06006128;0.100102134;2.119026;0.18184611
0.105;0.06531086;0.10366803;1.8840858;0.18498625
0.11;0.07065445;0.1070522;1.6723843;0.18777356
0.115;0.07608109;0.110262446;1.482812;0.19024491
0.12;0.08158186;0.11330815;1.3141148;0.1924351
0.125;0.087147795;0.11619706;1.16493;0.19437665
0.13;0.092771955;0.11893841;1.0338315;0.1960997
0.135;0.09844773;0.121540405;0.91937494;0.197632
0.14;0.104169086;0.124010816;0.820117;0.19899885
0.145;0.109931484;0.12635803;0.7346387;0.20022325
0.15;0.1157306;0.12858956;0.66156864;0.20132588
0.155;0.12156295;0.13071285;0.59959424;0.2023252
0.16;0.1274253;0.13273469;0.54747444;0.20323765
0.165;0.13331492;0.13466153;0.50404245;0.20407772
0.17;0.13922985;0.13649985;0.4682118;0.20485808
0.175;0.14516847;0.13825569;0.43897945;0.20558971
0.18;0.1511292;0.13993444;0.41542178;0.20628208
0.185;0.15711075;0.14154121;0.39669898;0.20694324
0.19;0.16311231;0.14308098;0.38204607;0.20757999
0.195;0.1691329;0.14455804;0.37077722;0.20819795
0.2;0.17517248;0.14597706;0.36227787;0.20880175
0.205;0.18122998;0.14734145;0.35600042;0.20939508
0.21;0.18730588;0.14865547;0.3514664;0.20998086
0.215;0.19339888;0.1499216;0.34825522;0.21056128
0.22;0.1995095;0.15114357;0.34600636;0.21113797
0.225;0.20563756;0.15232413;0.34441355;0.21171199
0.23;0.21178265;0.15346567;0.3432182;0.21228401
0.235;0.21794493;0.15457088;0.34220973;0.21285436
0.24;0.22412434;0.1556419;0.34121317;0.21342304
0.245;0.23032045;0.15668058;0.34009263;0.21398987
0.25;0.23653343;0.15768896;0.33873898;0.21455443
0.255;0.24276344;0.15866892;0.33707276;0.21511622
0.26;0.24901007;0.15962185;0.33503753;0.21567462
0.265;0.25527254;0.16054878;0.33259585;0.21622895
0.27;0.26155213;0.16145192;0.32972887;0.21677849
0.275;0.2678476;0.16233188;0.32643032;0.21732254
0.28;0.27415928;0.16319005;0.32270557;0.21786039
0.285;0.28048706;0.16402753;0.3185697;0.21839134
0.29;0.28683025;0.16484497;0.31404525;0.21891475
0.295;0.2931887;0.16564333;0.30916226;0.21943001
0.3;0.2995623;0.1664235;0.3039563;0.21993661
0.305;0.30595088;0.16718628;0.29846734;0.22043405
0.31;0.31235415;0.16793233;0.29274398;0.22092196
0.315;0.31877205;0.16866246;0.28684038;0.22140002
0.32;0.32520363;0.1693769;0.28080943;0.22186804
0.325;0.33164856;0.17007619;0.27470964;0.22232589
0.33;0.33810762;0.17076142;0.26859704;0.22277355
0.335;0.3445803;0.17143297;0.26252264;0.2232111
0.34;0.35106513;0.17209075;0.25653392;0.22363865
0.345;0.35756245;0.17273548;0.250673;0.22405644
0.35;0.36407262;0.17336792;0.24497539;0.22446473
0.355;0.37059426;0.17398793;0.23946923;0.22486384
0.36;0.37712872;0.17459662;0.23417382;0.22525413
0.365;0.3836741;0.17519364;0.22909914;0.22563598
0.37;0.39023095;0.17577972;0.22424705;0.22600971
0.375;0.39679876;0.176355;0.2196125;0.22637573
0.38;0.4033772;0.17691982;0.21518688;0.22673438
