radius;rdf
0.01;0.0
0.02;0.0
0.03;0.0
0.04;0.0
0.05;0.0
0.06;0.0
0.07;0.0
0.08;0.0
0.09;0.0
0.1;0.0
0.11;0.0
0.12;0.0
0.13;0.0
0.14;0.0
0.15;0.0
0.16;0.0
0.17;0.0
0.18;0.0
0.19;0.0
0.2;0.0
0.21;0.0
0.22;0.0
0.23;0.0
0.24;0.0
0.25;0.0
0.26;0.0
0.27;0.0
0.28;0.0
0.29;0.0
0.3;0.0
0.31;0.0
0.32;0.0
0.33;0.0
0.34;0.0
0.35000000000000003;0.0
0.36;0.0
0.37;0.0
0.38;0.0
0.39;0.0
0.4;0.0
0.41000000000000003;0.0
0.42;0.0
0.43;0.0
0.44;0.0
0.45;0.0
0.46;0.0
0.47000000000000003;0.0
0.48;0.0
0.49;0.0
0.5;0.0
0.51;0.0
0.52;0.0
0.53;0.0
0.54;0.0
0.55;0.0
0.56;0.0
0.5700000000000001;0.0
0.58;0.0
0.59;0.0
0.6;0.0
0.61;0.0
0.62;0.0
0.63;0.0
0.64;0.0
0.65;0.0
0.66;0.0
0.67;0.0
0.68;0.0
0.6900000000000001;0.0
0.7000000000000001;0.0
0.71;0.0
0.72;0.0
0.73;0.0
0.74;0.0
0.75;0.0
0.76;0.0
0.77;0.0
0.78;0.0
0.79;0.0
0.8;5.4911805e-05
0.81;0.00045155408
0.8200000000000001;0.0018221781
0.8300000000000001;0.007077789
0.84;0.022993883
0.85;0.06179406
0.86;0.13892718
0.87;0.2695793
0.88;0.46826515
0.89;0.7272444
0.9;1.0509634
0.91;1.4052277
0.92;1.7716044
0.93;2.115399
0.9400000000000001;2.416119
0.9500000000000001;2.6653705
0.96;2.8551176
0.97;2.976116
0.98;3.033477
0.99;3.050581
1.0;3.0029824
1.01;2.9229448
1.02;2.8111577
1.03;2.7010555
1.04;2.564503
1.05;2.4225674
1.06;2.2867267
1.07;2.1529744
1.08;2.0044332
1.09;1.8757367
1.1;1.7567182
1.11;1.6406118
1.12;1.5370983
1.1300000000000001;1.4380934
1.1400000000000001;1.3368644
1.1500000000000001;1.2575694
1.16;1.1829785
1.17;1.1127276
1.18;1.0524592
1.19;0.98872024
1.2;0.94023794
1.21;0.88664526
1.22;0.8429209
1.23;0.80888295
1.24;0.77101344
1.25;0.7392728
1.26;0.71375686
1.27;0.6864983
1.28;0.6632438
1.29;0.64053804
1.3;0.6225871
1.31;0.6065945
1.32;0.5918247
1.33;0.5769467
1.34;0.5704729
1.35;0.5624662
1.36;0.555838
1.37;0.54880184
1.3800000000000001;0.5495487
1.3900000000000001;0.54352736
1.4000000000000001;0.5416005
1.41;0.5446009
1.42;0.5480854
1.43;0.55026895
1.44;0.5553302
1.45;0.5617807
1.46;0.5693391
1.47;0.57691294
1.48;0.5843043
1.49;0.59416115
1.5;0.60595006
1.51;0.6230723
1.52;0.6413607
1.53;0.65905905
1.54;0.67640096
1.55;0.69593626
1.56;0.7206018
1.57;0.7427312
1.58;0.76687586
1.59;0.79494894
1.6;0.8193006
1.61;0.84725624
1.62;0.8767602
1.6300000000000001;0.9017616
1.6400000000000001;0.930308
1.6500000000000001;0.95949614
1.6600000000000001;0.98522276
1.67;1.0115943
1.68;1.0416236
1.69;1.0661064
1.7;1.0866345
1.71;1.1111927
1.72;1.1371766
1.73;1.1563174
1.74;1.1790992
1.75;1.1930678
1.76;1.207217
1.77;1.2215722
1.78;1.23608
1.79;1.2500272
1.8;1.2583951
1.81;1.2719525
1.82;1.2857211
1.83;1.2938145
1.84;1.3004887
1.85;1.3073887
1.86;1.3109593
1.87;1.3128601
1.8800000000000001;1.3155751
1.8900000000000001;1.3165783
1.9000000000000001;1.3142674
1.9100000000000001;1.3098124
1.92;1.3046707
1.93;1.2965999
1.94;1.2832115
1.95;1.2708911
1.96;1.2601241
1.97;1.2431629
1.98;1.2260661
1.99;1.2094722
2.0;1.1921023
2.0100000000000002;1.1717056
2.02;1.1479628
2.0300000000000002;1.1308827
2.04;1.1096592
2.05;1.08854
